batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,2,65,140923,9,9,1.0,False,True
0,2,66,32505,2,2,1.0,False,False
0,2,67,14421,1,1,1.0,False,False
0,2,68,29356,77,68,0.1693548387096774,True,True
0,2,69,24025,0,0,1.0,False,False
0,2,70,131248,2,2,1.0,False,False
0,2,71,67883,9,10,0.46153846153846156,True,True
0,2,72,79266,10,10,0.3333333333333333,True,True
0,2,73,108389,11,11,0.15789473684210525,True,True
0,2,74,95415,9,9,0.6363636363636364,True,True
0,2,75,90553,19,20,0.11428571428571428,True,True
0,2,76,34826,9,10,0.46153846153846156,True,True
0,2,77,67754,29,28,0.16326530612244897,True,True
0,2,78,120141,2,2,1.0,False,False
0,2,79,136222,32,33,0.4444444444444444,True,True
0,3,0,58421,7,7,1.0,False,False
0,3,1,78712,10,9,0.46153846153846156,True,True
0,3,2,64815,5,5,1.0,False,False
0,3,3,8321,9,10,0.05555555555555555,True,True
0,3,4,142855,20,20,0.08108108108108109,True,True
0,3,5,112134,15,15,1.0,False,False
0,3,6,108005,3,3,1.0,False,False
0,3,7,83520,5,5,1.0,False,False
0,3,8,92640,4,4,1.0,False,False
0,3,9,125058,3,3,1.0,False,False
0,3,10,126684,10,10,0.1111111111111111,True,True
0,3,11,46606,4,4,1.0,False,False
0,3,12,44299,20,19,0.21875,True,True
0,3,13,52537,2,2,1.0,False,False
0,3,14,45776,10,9,0.11764705882352941,True,True
0,3,15,109034,16,15,0.34782608695652173,True,True
0,3,16,43990,9,9,0.5,True,True
0,3,17,148018,3,3,1.0,False,False
0,3,18,42174,66,66,0.36082474226804123,True,True
0,3,19,56758,19,20,0.18181818181818182,True,True
0,3,20,21464,1,1,1.0,False,False
0,3,21,146420,1,1,1.0,False,False
0,3,22,1096,6,6,1.0,False,False
0,3,23,75993,4,4,1.0,False,False
0,3,24,87757,1,1,1.0,False,False
0,3,25,59980,10,10,0.1111111111111111,True,True
0,3,26,124982,2,2,1.0,False,False
0,3,27,141402,2,2,1.0,False,False
0,3,28,111056,1,1,1.0,False,False
0,3,29,1841,3,3,1.0,False,False
0,3,30,137821,0,0,1.0,False,False
0,3,31,46731,2,2,1.0,False,False
0,3,32,71725,12,15,0.5,True,True
0,3,33,103468,19,20,0.08333333333333333,True,True
0,3,34,105546,2,2,1.0,False,False
0,3,35,99944,11,11,0.29411764705882354,True,True
0,3,36,113460,10,10,0.05263157894736842,True,True
0,3,37,98104,1,1,1.0,False,False
0,3,38,91888,0,0,1.0,False,False
0,3,39,36237,0,0,1.0,False,False
0,3,40,83916,1,1,1.0,False,False
0,3,41,147819,11,11,1.0,False,False
0,3,42,11000,2,2,1.0,False,False
0,3,43,148867,1,1,1.0,False,False
0,3,44,83504,1,1,1.0,False,False
0,3,45,133794,34,32,0.32,True,True
0,3,46,123557,0,0,1.0,False,False
0,3,47,62311,87,82,0.18181818181818182,True,True
0,3,48,19011,0,0,1.0,False,False
0,3,49,81867,7,7,1.0,False,False
0,3,50,42999,19,18,0.1935483870967742,True,True
0,3,51,132577,2,2,1.0,False,False
0,3,52,9946,5,5,1.0,False,False
0,3,53,131371,9,9,1.0,False,False
0,3,54,133641,15,14,0.38095238095238093,True,True
0,3,55,44968,14,14,0.3333333333333333,True,True
