rung,test_graph,entry_rung,rel_to_entry,role,auc_interleaved,auc_sequential,delta_sequential_minus_interleaved
5,ukr_rus_twitter,1,4,incumbent,0.9336371248243933,0.8005225042145593,-0.13311462060983403
5,covid19_twitter,2,3,incumbent,0.9761545111590038,0.8729386037994893,-0.10321590735951447
5,midterm,3,2,incumbent,0.9067991943805875,0.840789900989783,-0.06600929339080452
5,covid_political,4,1,incumbent,0.9067995949712645,0.833804611047254,-0.07299498392401049
5,election2020,5,0,newcomer,0.9253379241379309,0.9358254298850575,0.010487505747126535
5,ukr_rus_suspended,6,-1,heldout,0.809074135632184,0.6781827057471265,-0.13089142988505753
5,twibot20,7,-2,heldout,0.9173226020114942,0.8473532961685825,-0.06996930584291172
5,cp_hk_twitter,8,-3,heldout,0.7124168926724138,0.6556294356321839,-0.056787457040229916
6,ukr_rus_twitter,1,5,incumbent,0.9331358480204344,0.853111346727331,-0.08002450129310335
6,covid19_twitter,2,4,incumbent,0.9754197576149425,0.9276444670178798,-0.04777529059706265
6,midterm,3,3,incumbent,0.9089622940613028,0.8529169279214557,-0.05604536613984712
6,covid_political,4,2,incumbent,0.9065252294061301,0.8330897542943807,-0.07343547511174942
6,election2020,5,1,incumbent,0.9222346390804598,0.8458496068965516,-0.07638503218390813
6,ukr_rus_suspended,6,0,newcomer,0.948558816091954,0.9571204919540229,0.008561675862068907
6,twibot20,7,-1,heldout,0.9182446615421457,0.8530550420019157,-0.06518961954022995
6,cp_hk_twitter,8,-2,heldout,0.7137720829022989,0.6621390869252873,-0.05163299597701154
7,ukr_rus_twitter,1,6,incumbent,0.9328238347381866,0.8947465427681992,-0.03807729196998744
7,covid19_twitter,2,5,incumbent,0.9757576965197956,0.9619826038952746,-0.013775092624521035
7,midterm,3,4,incumbent,0.9057646379948916,0.8841230996008941,-0.021641538393997517
7,covid_political,4,3,incumbent,0.9055715784482758,0.8576097351692209,-0.04796184327905495
7,election2020,5,2,incumbent,0.9201477379310343,0.8415881563218391,-0.07855958160919518
7,ukr_rus_suspended,6,1,incumbent,0.9446788735632182,0.8899935885057472,-0.054685285057471056
7,twibot20,7,0,newcomer,0.9340944227809704,0.9391387248722861,0.005044302091315678
7,cp_hk_twitter,8,-1,heldout,0.716914198275862,0.7114932199712645,-0.005420978304597535
8,ukr_rus_twitter,1,7,incumbent,0.9324729616698594,0.8357270276819923,-0.09674593398786713
8,covid19_twitter,2,6,incumbent,0.9749378347860793,0.9276296940453385,-0.047308140740740856
8,midterm,3,5,incumbent,0.9078855820561941,0.8570249955779057,-0.050860586478288394
8,covid_political,4,4,incumbent,0.9031215206577268,0.8296171325670499,-0.07350438809067683
8,election2020,5,3,incumbent,0.9131006781609194,0.8151624712643677,-0.09793820689655175
8,ukr_rus_suspended,6,2,incumbent,0.9429612045977012,0.7856810229885057,-0.15728018160919544
8,twibot20,7,1,incumbent,0.9333026728448277,0.8952350497924648,-0.03806762305236289
8,cp_hk_twitter,8,0,newcomer,0.8710099974137931,0.8847957130747125,0.013785715660919351
