family,model_id,target,label_seed,label_budget_per_class,final_roc_auc,updates_to_95pct
SAMGPT,samgpt_all9_s40,election2020,2,100,0.9823829090685549,10
SAMGPT,samgpt_all9_s40,twibot20,0,1,0.3703832142153853,0
SAMGPT,samgpt_all9_s40,twibot20,0,10,0.5773382206442794,1
SAMGPT,samgpt_all9_s40,twibot20,0,100,0.7050259762072999,10
SAMGPT,samgpt_all9_s40,twibot20,1,1,0.7125755829443177,1
SAMGPT,samgpt_all9_s40,twibot20,1,10,0.669628687926421,1
SAMGPT,samgpt_all9_s40,twibot20,1,100,0.7144209941039512,1
SAMGPT,samgpt_all9_s40,twibot20,2,1,0.4106130327004831,0
SAMGPT,samgpt_all9_s40,twibot20,2,10,0.5336713329240463,0
SAMGPT,samgpt_all9_s40,twibot20,2,100,0.670649492059447,0
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,0,1,0.5392485348498205,1
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,0,10,0.5582662890112354,1
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,0,100,0.5178134420671586,1
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,1,1,0.4738686318880838,0
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,1,10,0.5692920079712299,1
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,1,100,0.5061189305905401,0
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,2,1,0.4364843907466744,0
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,2,10,0.4965613523719142,0
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,2,100,0.5349020587799099,1
SAMGPT,samgpt_all9_s41,covid_political,0,1,0.6439020674866417,0
SAMGPT,samgpt_all9_s41,covid_political,0,10,0.7552848074324225,10
SAMGPT,samgpt_all9_s41,covid_political,0,100,0.8551306394215833,10
SAMGPT,samgpt_all9_s41,covid_political,1,1,0.6978932727664748,1
SAMGPT,samgpt_all9_s41,covid_political,1,10,0.7338004040182627,10
SAMGPT,samgpt_all9_s41,covid_political,1,100,0.839862374143875,1
SAMGPT,samgpt_all9_s41,covid_political,2,1,0.7174298358321076,1
SAMGPT,samgpt_all9_s41,covid_political,2,10,0.7720774430312829,10
SAMGPT,samgpt_all9_s41,covid_political,2,100,0.851920891662804,10
SAMGPT,samgpt_all9_s41,election2020,0,1,0.4507870663106308,0
SAMGPT,samgpt_all9_s41,election2020,0,10,0.9814100679035448,10
SAMGPT,samgpt_all9_s41,election2020,0,100,0.9818646130939236,10
SAMGPT,samgpt_all9_s41,election2020,1,1,0.5910531674760385,1
SAMGPT,samgpt_all9_s41,election2020,1,10,0.9263328611674844,10
SAMGPT,samgpt_all9_s41,election2020,1,100,0.9825961973343292,10
SAMGPT,samgpt_all9_s41,election2020,2,1,0.5725579090879269,0
SAMGPT,samgpt_all9_s41,election2020,2,10,0.9746242416740089,10
SAMGPT,samgpt_all9_s41,election2020,2,100,0.9826340942616608,10
SAMGPT,samgpt_all9_s41,twibot20,0,1,0.3982851938514288,0
SAMGPT,samgpt_all9_s41,twibot20,0,10,0.5886007309247182,1
SAMGPT,samgpt_all9_s41,twibot20,0,100,0.7158262287296275,10
SAMGPT,samgpt_all9_s41,twibot20,1,1,0.7079084809276142,10
SAMGPT,samgpt_all9_s41,twibot20,1,10,0.6925652880260399,1
SAMGPT,samgpt_all9_s41,twibot20,1,100,0.7080920084791902,1
SAMGPT,samgpt_all9_s41,twibot20,2,1,0.4199461507720464,10
SAMGPT,samgpt_all9_s41,twibot20,2,10,0.5460574517253762,1
SAMGPT,samgpt_all9_s41,twibot20,2,100,0.6741419453486082,10
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,0,1,0.5487648722567062,1
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,0,10,0.5424755439574638,1
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,0,100,0.5199006934115931,1
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,1,1,0.4600687006002604,0
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,1,10,0.5569828395776477,1
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,1,100,0.5214155576613112,1
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,2,1,0.4420916619407215,0
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,2,10,0.4952606830906176,10
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,2,100,0.5411797303194987,1
VISION,vision_all9_s0,covid_political,0,1,0.7619873049237537,1
VISION,vision_all9_s0,covid_political,0,10,0.8202084263652849,1
VISION,vision_all9_s0,covid_political,0,100,0.8262173037201147,1
VISION,vision_all9_s0,covid_political,1,1,0.7295013465644475,1
VISION,vision_all9_s0,covid_political,1,10,0.7769948143487264,1
VISION,vision_all9_s0,covid_political,1,100,0.849663062599345,1
VISION,vision_all9_s0,covid_political,2,1,0.7189651443730851,1
VISION,vision_all9_s0,covid_political,2,10,0.7626645286034992,1
VISION,vision_all9_s0,covid_political,2,100,0.8101365657403865,1
VISION,vision_all9_s0,election2020,0,1,0.7835649654877244,1
VISION,vision_all9_s0,election2020,0,10,0.84228088262985,1
VISION,vision_all9_s0,election2020,0,100,0.8735351848795345,1
VISION,vision_all9_s0,election2020,1,1,0.5962600599996746,10
VISION,vision_all9_s0,election2020,1,10,0.7877362266018961,1
VISION,vision_all9_s0,election2020,1,100,0.8768186731390581,1
VISION,vision_all9_s0,election2020,2,1,0.8356521732673026,1
VISION,vision_all9_s0,election2020,2,10,0.8813642299757641,1
VISION,vision_all9_s0,election2020,2,100,0.8998704013874649,1
VISION,vision_all9_s0,twibot20,0,1,0.5445733038723951,1
VISION,vision_all9_s0,twibot20,0,10,0.5186083181781325,1
VISION,vision_all9_s0,twibot20,0,100,0.6130247367628492,1
VISION,vision_all9_s0,twibot20,1,1,0.540353256147992,1
VISION,vision_all9_s0,twibot20,1,10,0.5148298949368115,10
VISION,vision_all9_s0,twibot20,1,100,0.6252834360411913,1
VISION,vision_all9_s0,twibot20,2,1,0.5335703384725874,0
VISION,vision_all9_s0,twibot20,2,10,0.5687956827948893,0
VISION,vision_all9_s0,twibot20,2,100,0.5760937083714627,0
VISION,vision_all9_s0,ukr_rus_suspended,0,1,0.4895027583269782,0
VISION,vision_all9_s0,ukr_rus_suspended,0,10,0.5189600009466896,1
VISION,vision_all9_s0,ukr_rus_suspended,0,100,0.5228756914146695,1
VISION,vision_all9_s0,ukr_rus_suspended,1,1,0.4879444505399025,0
VISION,vision_all9_s0,ukr_rus_suspended,1,10,0.5196577826187005,1
VISION,vision_all9_s0,ukr_rus_suspended,1,100,0.5268461766921659,10
VISION,vision_all9_s0,ukr_rus_suspended,2,1,0.5360684100334184,1
VISION,vision_all9_s0,ukr_rus_suspended,2,10,0.5485052400430692,1
VISION,vision_all9_s0,ukr_rus_suspended,2,100,0.5226076984906602,1
VISION,vision_all9_s1,covid_political,0,1,0.8073901918526789,1
VISION,vision_all9_s1,covid_political,0,10,0.8275293029581361,1
VISION,vision_all9_s1,covid_political,0,100,0.8312157004989285,1
VISION,vision_all9_s1,covid_political,1,1,0.7289961443318764,1
VISION,vision_all9_s1,covid_political,1,10,0.8099172033298726,1
