arm,dataset,task,target,condition,metric,intact,retained
B0,ukr_rus_twitter,reg,followers_count,rewired_edge,0.036781961761142665,0.017765454082026,2.0704205809383955
B0,ukr_rus_twitter,reg,statuses_count,both,0.00041286431172812306,0.028892660926170818,0.014289591145070089
B0,ukr_rus_twitter,reg,statuses_count,random_feat,-0.016330144186488742,0.028892660926170818,-0.5652004233260837
B0,ukr_rus_twitter,reg,statuses_count,rewired_edge,0.05782956330446882,0.028892660926170818,2.0015312349471803
B0,covid19_twitter,slp,,both,0.5444965,0.7234956249999999,0.7525912820827356
B0,covid19_twitter,slp,,random_feat,0.6404685,0.7234956249999999,0.8852417041222608
B0,covid19_twitter,slp,,rewired_edge,0.659554,0.7234956249999999,0.9116212693062243
B0,midterm,slp,,both,0.5492567500000001,0.665149,0.8257649789746359
B0,midterm,slp,,random_feat,0.605143875,0.665149,0.9097869424745433
B0,midterm,slp,,rewired_edge,0.626004,0.665149,0.941148524616289
B0,twibot20,slp,,both,0.5157195,0.6975834999999999,0.7392942923678671
B0,twibot20,slp,,random_feat,0.58947375,0.6975834999999999,0.845022495514874
B0,twibot20,slp,,rewired_edge,0.6631965,0.6975834999999999,0.9507055427773163
B0,ukr_rus_twitter,slp,,both,0.5367244999999999,0.8005036249999999,0.6704835346623196
B0,ukr_rus_twitter,slp,,random_feat,0.64817925,0.8005036249999999,0.8097143220307091
B0,ukr_rus_twitter,slp,,rewired_edge,0.74286075,0.8005036249999999,0.9279917377013752
B1,election2020,pl,,both,0.5101359999999999,0.985076,0.5178646114614507
B1,election2020,pl,,random_feat,0.543236,0.985076,0.5514660797745555
B1,election2020,pl,,rewired_edge,0.9861239999999999,0.985076,1.0010638773048983
B1,twibot20,pl,,both,0.5011556666666667,0.5784468055555556,0.8663815961181487
B1,twibot20,pl,,random_feat,0.5613231249999999,0.5784468055555556,0.9703971386978105
B1,twibot20,pl,,rewired_edge,0.5310464444444445,0.5784468055555556,0.9180557993304388
B1,covid19_twitter,reg,account_age_days,both,0.00013791769829656238,-0.040349274626977655,-0.0034180961013943524
B1,covid19_twitter,reg,account_age_days,random_feat,-0.023118726090805498,-0.040349274626977655,0.5729650979982733
B1,covid19_twitter,reg,account_age_days,rewired_edge,-0.03634947923798822,-0.040349274626977655,0.900870699015859
B1,covid19_twitter,reg,followers_count,both,-0.02106477646323177,-0.05880801636696452,0.35819566386641355
B1,covid19_twitter,reg,followers_count,random_feat,-0.026345344898268903,-0.05880801636696452,0.44798900772086636
B1,covid19_twitter,reg,followers_count,rewired_edge,-0.03041786044125019,-0.05880801636696452,0.5172400349544432
B1,covid19_twitter,reg,statuses_count,both,-0.05065448977979586,-0.07350577919276184,0.6891225470443532
B1,covid19_twitter,reg,statuses_count,random_feat,-0.0792631565066395,-0.07350577919276184,1.0783255055194978
B1,covid19_twitter,reg,statuses_count,rewired_edge,-0.04068582722887099,-0.07350577919276184,0.5535051485159598
B1,midterm,reg,account_age_days,both,-0.005075358467685062,-0.2154439718544602,0.02355767220590252
B1,midterm,reg,account_age_days,random_feat,-0.010671477146153534,-0.2154439718544602,0.04953249354947133
B1,midterm,reg,account_age_days,rewired_edge,-0.2207497056011503,-0.2154439718544602,1.0246269770326843
B1,midterm,reg,followers_count,both,-0.03956510653639962,-0.1574611049165107,0.2512690772580181
B1,midterm,reg,followers_count,random_feat,-0.04046933453752053,-0.1574611049165107,0.25701162556288587
B1,midterm,reg,followers_count,rewired_edge,-0.1161901759652404,-0.1574611049165107,0.7378976289214213
B1,midterm,reg,statuses_count,both,-0.02985889938220305,-0.12699308607469273,0.23512224409320306
B1,midterm,reg,statuses_count,random_feat,-0.0509283020398432,-0.12699308607469273,0.4010320846119845
B1,midterm,reg,statuses_count,rewired_edge,-0.10634563733462984,-0.12699308607469273,0.8374128121595628
B1,twibot20,reg,account_age_days,both,-0.02845250130765807,-0.10658651138936003,0.2669427954511169
B1,twibot20,reg,account_age_days,random_feat,0.00790269997630741,-0.10658651138936003,-0.07414352785634278
B1,twibot20,reg,account_age_days,rewired_edge,-0.1260515052215607,-0.10658651138936003,1.1826215491854795
B1,twibot20,reg,followers_count,both,-0.057030960612437474,-0.0377002553508119,1.512747329739486
B1,twibot20,reg,followers_count,random_feat,0.06598887292823392,-0.0377002553508119,-1.7503561266147447
B1,twibot20,reg,followers_count,rewired_edge,-0.06539525503987782,-0.0377002553508119,1.734610400681795
B1,twibot20,reg,statuses_count,both,-0.08862879782491165,-0.14018131278227952,0.6322440278652841
B1,twibot20,reg,statuses_count,random_feat,0.005013884015225886,-0.14018131278227952,-0.0357671355454712
B1,twibot20,reg,statuses_count,rewired_edge,-0.15497361588061553,-0.14018131278227952,1.105522646383762
B1,ukr_rus_twitter,reg,account_age_days,both,-0.03913627584798996,-0.09086614091419729,0.43070251970913354
B1,ukr_rus_twitter,reg,account_age_days,random_feat,-0.023291772431241396,-0.09086614091419729,0.2563306001212845
B1,ukr_rus_twitter,reg,account_age_days,rewired_edge,-0.09462347046158381,-0.09086614091419729,1.0413501609024476
B1,ukr_rus_twitter,reg,followers_count,both,-0.04478786552393515,-0.11226111272338711,0.3989615320693734
B1,ukr_rus_twitter,reg,followers_count,random_feat,-0.026170554508606093,-0.11226111272338711,0.23312217270721955
B1,ukr_rus_twitter,reg,followers_count,rewired_edge,-0.08008945511941183,-0.11226111272338711,0.7134211765453753
B1,ukr_rus_twitter,reg,statuses_count,both,-0.049689390324421566,-0.1067860262005417,0.46531734621443854
B1,ukr_rus_twitter,reg,statuses_count,random_feat,-0.049492122766677055,-0.1067860262005417,0.46347002999935577
B1,ukr_rus_twitter,reg,statuses_count,rewired_edge,-0.07453731735538381,-0.1067860262005417,0.6980062842249083
B1,covid19_twitter,slp,,both,0.54417625,0.350221625,1.553805393941622
B1,covid19_twitter,slp,,random_feat,0.443998,0.350221625,1.2677629486757136
B1,covid19_twitter,slp,,rewired_edge,0.478936375,0.350221625,1.3675237073096216
B1,midterm,slp,,both,0.53972675,0.39324725000000005,1.3724870294706446
B1,midterm,slp,,random_feat,0.495225625,0.39324725000000005,1.2593238096388466
B1,midterm,slp,,rewired_edge,0.45359799999999995,0.39324725000000005,1.1534676974854876
B1,twibot20,slp,,both,0.508714375,0.37384125,1.3607764659464412
B1,twibot20,slp,,random_feat,0.456627,0.37384125,1.2214462689711207
B1,twibot20,slp,,rewired_edge,0.43382124999999994,0.37384125,1.1604424337870685
B1,ukr_rus_twitter,slp,,both,0.5327893749999999,0.319638,1.666852423679287
B1,ukr_rus_twitter,slp,,random_feat,0.388024125,0.319638,1.213948670058003
B1,ukr_rus_twitter,slp,,rewired_edge,0.48997149999999995,0.319638,1.532895024997028
E1,election2020,pl,,both,0.47068999999999994,0.931886,0.5050939707217406
E1,election2020,pl,,random_feat,0.49272799999999994,0.931886,0.5287427861347846
E1,election2020,pl,,rewired_edge,0.9179359999999999,0.931886,0.985030357790545
E1,twibot20,pl,,both,0.4909016666666667,0.6163292638888889,0.7964925494032129
E1,twibot20,pl,,random_feat,0.546840263888889,0.6163292638888889,0.8872534470267709
E1,twibot20,pl,,rewired_edge,0.5796610972222223,0.6163292638888889,0.9405055563396433
E1,covid19_twitter,reg,account_age_days,both,0.0067677230223595975,0.08630443985737274,0.07841685820038899
E1,covid19_twitter,reg,account_age_days,random_feat,0.010981403446063145,0.08630443985737274,0.12724030726821334
E1,covid19_twitter,reg,account_age_days,rewired_edge,0.0861817486305233,0.08630443985737274,0.9985783903232303
E1,covid19_twitter,reg,followers_count,both,-0.014088123596484986,0.16757846262674497,-0.08406881991669833
E1,covid19_twitter,reg,followers_count,random_feat,0.031263230292067276,0.16757846262674497,0.18655876060697174
E1,covid19_twitter,reg,followers_count,rewired_edge,0.14961440222680011,0.16757846262674497,0.8928020933098245
E1,covid19_twitter,reg,statuses_count,both,-0.019452438070303193,0.09157625173163458,-0.21241793262415698
E1,covid19_twitter,reg,statuses_count,random_feat,0.012765883052942203,0.09157625173163458,0.13940167687090746
E1,covid19_twitter,reg,statuses_count,rewired_edge,0.09036285774029153,0.09157625173163458,0.9867499054787815
E1,midterm,reg,account_age_days,both,-0.022086795066047982,0.18653055773545743,-0.1184084545405802
E1,midterm,reg,account_age_days,random_feat,-0.01240459522941895,0.18653055773545743,-0.0665016787598495
E1,midterm,reg,account_age_days,rewired_edge,0.18293869578831942,0.18653055773545743,0.9807438417021619
E1,midterm,reg,followers_count,both,-0.03615053242015587,0.2336890434020282,-0.1546950250378838
E1,midterm,reg,followers_count,random_feat,-0.004417689406355138,0.2336890434020282,-0.018904135778223637
E1,midterm,reg,followers_count,rewired_edge,0.2267031138441535,0.2336890434020282,0.9701058746436118
E1,midterm,reg,statuses_count,both,-0.02529692923436504,0.13872618607416634,-0.1823515080335352
E1,midterm,reg,statuses_count,random_feat,-0.01387463611626509,0.13872618607416634,-0.10001454310037312
E1,midterm,reg,statuses_count,rewired_edge,0.1330610843601185,0.13872618607416634,0.9591634292388089
E1,twibot20,reg,account_age_days,both,-0.0012063247652478056,0.1699321191442456,-0.007098862600682487
E1,twibot20,reg,account_age_days,random_feat,0.033563324169314124,0.1699321191442456,0.19751018429202397
E1,twibot20,reg,account_age_days,rewired_edge,0.1567975706480023,0.1699321191442456,0.9227070870275316
E1,twibot20,reg,followers_count,both,-0.0036942711714464437,0.10232467828540573,-0.036103423273340964
E1,twibot20,reg,followers_count,random_feat,0.09895362656945972,0.10232467828540573,0.9670553401932678
E1,twibot20,reg,followers_count,rewired_edge,0.08615961948509444,0.10232467828540573,0.8420218947063441
E1,twibot20,reg,statuses_count,both,-0.019465536807726322,0.15375015761812708,-0.12660498765844092
E1,twibot20,reg,statuses_count,random_feat,0.04898988998635554,0.15375015761812708,0.3186331041561134
E1,twibot20,reg,statuses_count,rewired_edge,0.13628590891185008,0.15375015761812708,0.8864115069744946
E1,ukr_rus_twitter,reg,account_age_days,both,-0.018269063095628313,0.08272365612641369,-0.2208444833205939
E1,ukr_rus_twitter,reg,account_age_days,random_feat,-0.010886235971934867,0.08272365612641369,-0.13159761647018026
E1,ukr_rus_twitter,reg,account_age_days,rewired_edge,0.0769308498517137,0.08272365612641369,0.9299740056719961
E1,ukr_rus_twitter,reg,followers_count,both,-0.014055570101122105,0.1648277988154254,-0.08527426928064222
E1,ukr_rus_twitter,reg,followers_count,random_feat,0.009706664226012062,0.1648277988154254,0.05888972792072295
E1,ukr_rus_twitter,reg,followers_count,rewired_edge,0.1571203370933271,0.1648277988154254,0.9532393092822338
E1,ukr_rus_twitter,reg,statuses_count,both,-0.019873500288396757,0.0996266090693108,-0.19947984252450718
E1,ukr_rus_twitter,reg,statuses_count,random_feat,-0.009567449703363354,0.0996266090693108,-0.09603307582924181
E1,ukr_rus_twitter,reg,statuses_count,rewired_edge,0.09364246983854184,0.0996266090693108,0.9399343279203073
E1,covid19_twitter,slp,,both,0.48370875,0.7751067500000001,0.6240543641246834
E1,covid19_twitter,slp,,random_feat,0.5506810000000001,0.7751067500000001,0.710458269135187
E1,covid19_twitter,slp,,rewired_edge,0.7333655,0.7751067500000001,0.946147740295127
E1,midterm,slp,,both,0.4914755,0.7141967499999999,0.6881514092580232
E1,midterm,slp,,random_feat,0.5240265,0.7141967499999999,0.7337284858829167
E1,midterm,slp,,rewired_edge,0.6846895,0.7141967499999999,0.9586847041799056
E1,twibot20,slp,,both,0.5061915,0.715209,0.7077532581385302
E1,twibot20,slp,,random_feat,0.5836757499999999,0.715209,0.8160911705529432
E1,twibot20,slp,,rewired_edge,0.6182354999999999,0.715209,0.8644123605827108
E1,ukr_rus_twitter,slp,,both,0.48407687499999996,0.8288072500000001,0.5840644794070031
E1,ukr_rus_twitter,slp,,random_feat,0.5761835,0.8288072500000001,0.6951960181332871
E1,ukr_rus_twitter,slp,,rewired_edge,0.7503192500000001,0.8288072500000001,0.905300056195213
