predictor,kind,mean_target_spearman_roc_auc_ovr_macro,seed_0_rho,seed_1_rho,seed_2_rho,graph_permutation_p_two_sided,targets_expected_direction,targets_with_correlation,priority_score,evaluable_targets,top1_hits,top1_rate,mean_regret,mean_selected_rank
neighbor_mean_mmd2,pairwise_distance,-0.5105820105820107,-0.4867724867724868,-0.49735449735449744,-0.5873015873015874,0.0365,8,9,0.4919457671957673,9,3,0.3333333333333333,0.029688280001250972,3.3333333333333335
raw_center_skew_l1,pairwise_distance,-0.5000000000000001,-0.46031746031746035,-0.5264550264550265,-0.5423280423280423,0.0162,8,9,0.4919000000000001,9,3,0.3333333333333333,0.026429422488360776,3.111111111111111
neighbor_mean_proxy_a_distance,pairwise_distance,-0.4920634920634921,-0.4867724867724868,-0.46825396825396826,-0.5026455026455028,0.0271,8,9,0.47872857142857145,9,4,0.4444444444444444,0.03358286848571668,3.3333333333333335
neighbor_mean_skew_l1,pairwise_distance,-0.45767195767195773,-0.4391534391534392,-0.44179894179894186,-0.5317460317460319,0.0688,7,9,0.42618412698412705,9,3,0.3333333333333333,0.03230360981858807,3.3333333333333335
indegree_ks,pairwise_distance,-0.4338624338624339,-0.39682539682539686,-0.4417989417989418,-0.373015873015873,0.0379,8,9,0.41741904761904763,9,3,0.3333333333333333,0.04303786082692022,3.3333333333333335
neighbor_mean_centroid_cosdist,pairwise_distance,-0.3756613756613757,-0.3703703703703704,-0.3703703703703704,-0.3862433862433863,0.0034,7,9,0.37438412698412704,9,4,0.4444444444444444,0.03932659233210188,3.5555555555555554
center_plus_neighbor_mean_centroid_cosdist,pairwise_distance,-0.3544973544973545,-0.35978835978835977,-0.35185185185185186,-0.34391534391534395,0.0004,6,9,0.35435555555555553,9,4,0.4444444444444444,0.03115210986330239,3.2222222222222223
raw_center_centroid_cosdist,pairwise_distance,-0.3015873015873016,-0.31746031746031744,-0.3148148148148148,-0.29100529100529104,0.0019,6,9,0.30101428571428573,9,4,0.4444444444444444,0.020591494188556388,2.888888888888889
center_plus_neighbor_mean_skew_wasserstein,pairwise_distance,-0.2724867724867725,-0.3015873015873016,-0.261904761904762,-0.3730158730158731,0.2469,7,9,0.20520978835978837,9,4,0.4444444444444444,0.04319921930377254,3.3333333333333335
local_structure_proxy_a_distance,pairwise_distance,-0.2540794773017195,-0.26073295653457096,-0.2302699534921957,-0.25152930894204445,0.3448,8,9,0.1664728735280866,9,3,0.3333333333333333,0.04947844709219351,3.5555555555555554
neighbor_mean_skew_wasserstein,pairwise_distance,-0.20370370370370375,-0.23544973544973546,-0.1851851851851852,-0.2804232804232805,0.3223,7,9,0.13805000000000003,9,4,0.4444444444444444,0.043042832955546735,3.2222222222222223
outdegree_ks,pairwise_distance,-0.17460317460317462,-0.21164021164021166,-0.1798941798941799,-0.16931216931216933,0.4488,6,9,0.09624126984126985,9,2,0.2222222222222222,0.05446267760830165,4.333333333333333
local_structure_centroid_cosdist,pairwise_distance,-0.14550264550264552,-0.15343915343915343,-0.18783068783068785,-0.14814814814814817,0.4599,5,9,0.07858597883597886,9,3,0.3333333333333333,0.06619964669033945,4.222222222222222
raw_center_skew_wasserstein,pairwise_distance,-0.16137566137566134,-0.14550264550264547,-0.17724867724867727,-0.2619047619047619,0.5304,6,9,0.07578201058201056,9,3,0.3333333333333333,0.04174316083182165,3.5555555555555554
local_structure_mmd2,pairwise_distance,-0.1322751322751323,-0.1507936507936508,-0.11375661375661379,-0.09788359788359789,0.5814,6,9,0.055370370370370375,9,3,0.3333333333333333,0.056757003477453036,4.0
local_structure_projected_frechet,pairwise_distance,-0.08730158730158731,-0.10052910052910054,-0.06084656084656088,-0.09259259259259263,0.7026,5,9,0.025963492063492067,9,2,0.2222222222222222,0.058043268189728665,3.888888888888889
user_jaccard,pairwise_similarity,-0.05105312288608169,-0.030031248756518646,-0.012012499502607457,-0.09609999602085965,0.887,3,6,0.00384600192408482,8,3,0.375,0.02825979898715844,3.0
user_source_containment,pairwise_similarity,-0.01848929489577215,-0.01548617002012028,0.02055132848770208,-0.07287769252234873,0.952,3,6,0.0005916574366647094,8,1,0.125,0.05956383187652087,3.875
user_target_containment,pairwise_similarity,-0.01259376176608278,0.02972677804707918,0.03892990676185988,-0.06965313440346818,0.9701,3,6,0.00025103565120391705,8,3,0.375,0.022468452184136373,2.875
