case,state,group,left,right,cosine,conflict_fraction,norm_left,norm_right,norm_ratio
1,rank0_best,all,train_B,val_B,-0.6804289822876086,1.0,0.26949231224383335,0.1645169497059979,0.620870965175575
1,rank0_best,decoder_bias,train_A,train_B,1.0,0.0,0.005823901708936275,0.006895234808325712,1.3303742392670836
1,rank0_best,decoder_bias,train_A,val_A,-1.0,1.0,0.005823901708936275,0.0128279943019151,2.390438088118922
1,rank0_best,decoder_bias,train_A,val_B,-1.0,1.0,0.005823901708936275,0.0016143210232257,0.3008213419453828
1,rank0_best,decoder_bias,train_B,val_A,-1.0,1.0,0.006895234808325712,0.0128279943019151,1.8955215392262645
1,rank0_best,decoder_bias,train_B,val_B,-1.0,1.0,0.006895234808325712,0.0016143210232257,0.23853926020946786
1,rank0_best,first_layer,train_A,train_B,0.6449680143424708,0.0,0.3843575523447579,0.26461005650311215,0.7194638502496147
1,rank0_best,first_layer,train_A,val_A,-0.1829043152492023,0.875,0.3843575523447579,0.5150789682587276,1.3815900941253088
1,rank0_best,first_layer,train_A,val_B,-0.502413111053318,1.0,0.3843575523447579,0.1620476605269473,0.434658482207243
1,rank0_best,first_layer,train_B,val_A,-0.44071449483071595,1.0,0.26461005650311215,0.5150789682587276,1.9797708626173245
1,rank0_best,first_layer,train_B,val_B,-0.6767348583215727,1.0,0.26461005650311215,0.1620476605269473,0.6228505849328432
1,rank0_best,second_layer,train_A,train_B,0.7501661784884199,0.0,0.06545747652520294,0.05055840676608021,0.830411027620162
1,rank0_best,second_layer,train_A,val_A,-0.36711984519802143,1.0,0.06545747652520294,0.0990221097925826,1.5968787565635596
1,rank0_best,second_layer,train_A,val_B,-0.605840022271603,1.0,0.06545747652520294,0.0283509510588811,0.4572012409060146
1,rank0_best,second_layer,train_B,val_A,-0.553296702121806,1.0,0.05055840676608021,0.0990221097925826,1.993235184882909
1,rank0_best,second_layer,train_B,val_B,-0.7939899974873467,1.0,0.05055840676608021,0.0283509510588811,0.5706817729275261
1,rank0_final,all,train_A,train_B,0.47652389512363547,0.0,0.4102728462943161,0.18587127633248468,0.47792099645038777
1,rank0_final,all,train_A,val_A,0.8560225242654383,0.0,0.4102728462943161,1.0831343127792965,2.7320047949358237
1,rank0_final,all,train_A,val_B,0.5193270185606137,0.0,0.4102728462943161,0.6515892094744256,1.6435125575929403
1,rank0_final,all,train_B,val_A,0.58671652723493,0.0,0.18587127633248468,1.0831343127792965,5.958121614998885
1,rank0_final,all,train_B,val_B,0.7164778680470885,0.0,0.18587127633248468,0.6515892094744256,3.5842717816850036
1,rank0_final,decoder_bias,train_A,train_B,0.5,0.25,0.0076493361848406,0.001156406171503433,0.16954841979117746
1,rank0_final,decoder_bias,train_A,val_A,1.0,0.0,0.0076493361848406,0.0283560827374458,3.8571438342553575
1,rank0_final,decoder_bias,train_A,val_B,1.0,0.0,0.0076493361848406,0.012360356748104,1.681320874310595
1,rank0_final,decoder_bias,train_B,val_A,0.5,0.25,0.001156406171503433,0.0283560827374458,118.8932963475788
1,rank0_final,decoder_bias,train_B,val_B,0.5,0.25,0.001156406171503433,0.012360356748104,51.82533749182086
1,rank0_final,first_layer,train_A,train_B,0.4720946244556934,0.0,0.40274710576901046,0.1836133545504678,0.4807039741427315
1,rank0_final,first_layer,train_A,val_A,0.8530057053445778,0.0,0.40274710576901046,1.061158150309663,2.7259233425732545
1,rank0_final,first_layer,train_A,val_B,0.5162651995116856,0.0,0.40274710576901046,0.6399003752968986,1.6437883169762975
1,rank0_final,first_layer,train_B,val_A,0.5828118932429123,0.0,0.1836133545504678,1.061158150309663,5.906822486572064
1,rank0_final,first_layer,train_B,val_B,0.7123541895517163,0.0,0.1836133545504678,0.6399003752968986,3.561936479370793
1,rank0_final,second_layer,train_A,train_B,0.636030607267114,0.0,0.07782292057332262,0.02872338600117951,0.3962455709050351
1,rank0_final,second_layer,train_A,val_A,0.9342555201174179,0.0,0.07782292057332262,0.2152190793657478,2.883524726231309
1,rank0_final,second_layer,train_A,val_B,0.5985966123205089,0.0,0.07782292057332262,0.122242501526493,1.637816111781537
1,rank0_final,second_layer,train_B,val_A,0.7351038989484566,0.0,0.02872338600117951,0.2152190793657478,7.878748029611576
1,rank0_final,second_layer,train_B,val_B,0.8755119843185928,0.0,0.02872338600117951,0.122242501526493,4.475058024014238
1,rank1_best,all,train_A,train_B,0.7091024391508123,0.0,0.7417474717743702,0.405384965224556,0.5570814190071636
1,rank1_best,all,train_A,val_A,0.2011719728637589,0.0,0.7417474717743702,0.1507563134482522,0.20559429412804386
1,rank1_best,all,train_A,val_B,0.38259614837847283,0.0,0.7417474717743702,0.0930200150780336,0.12685627488704046
1,rank1_best,all,train_A_with_rank,val_A,0.23765503180412048,0.0,0.7802848652198039,0.1507563134482522,0.19518553366049549
1,rank1_best,all,train_A_with_rank,val_B,0.39506489032103476,0.0,0.7802848652198039,0.0930200150780336,0.12043383702365151
1,rank1_best,all,train_B,val_A,-0.11139156823244134,1.0,0.405384965224556,0.1507563134482522,0.37463051322017366
1,rank1_best,all,train_B,val_B,0.5786790682019312,0.0,0.405384965224556,0.0930200150780336,0.23115540033680781
1,rank1_best,decoder_bias,train_A,train_B,1.0,0.0,0.016846240381710176,0.010168903158046276,0.6149759520392999
1,rank1_best,decoder_bias,train_A,val_A,-1.0,1.0,0.016846240381710176,0.0013618166558444,0.08165687853984811
1,rank1_best,decoder_bias,train_A,val_B,1.0,0.0,0.016846240381710176,0.0025882653426378,0.15519685987510923
