group,k,model,task,dataset,target,split,shots,roc_auc,accuracy,f1,spearman,rmse,mae,r2,mse,run
single,1,NM,regression,twibot20,followers_count,test,10,,,,0.14131139583535793,8.317230026133531,7.75342321395874,-6.533519744873047,69.17631530761719,eval_NM_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_13
single,1,NM,regression,twibot20,statuses_count,test,10,,,,0.06259030962196613,8.449133870354977,8.105243682861328,-11.486600875854492,71.38786315917969,eval_NM_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_14
single,1,NM,regression,ukr_rus_twitter,account_age_days,test,10,,,,-0.009068103198981063,7.44086258471682,7.313297748565674,-29.154306411743164,55.36643600463867,eval_NM_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_03_29
single,1,NM,regression,ukr_rus_twitter,followers_count,test,10,,,,-0.04662857613757539,5.407601248277833,4.908641815185547,-4.749887943267822,29.242151260375977,eval_NM_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_03_16
single,1,NM,regression,ukr_rus_twitter,statuses_count,test,10,,,,-0.01775893181251618,8.146453235450554,7.745946407318115,-9.51509952545166,66.36470031738281,eval_NM_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_03_16
single,1,CL,regression,covid19_twitter,account_age_days,test,10,,,,-0.08855457975115638,7.505862932603892,7.415299415588379,-44.67955780029297,56.33797836303711,eval_CL_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_21_19
single,1,CL,regression,covid19_twitter,followers_count,test,10,,,,-0.16854985671258446,5.59294011737066,5.1996870040893555,-6.770088195800781,31.28097915649414,eval_CL_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_21_19
single,1,CL,regression,covid19_twitter,statuses_count,test,10,,,,-0.21571955538082513,8.245818494488159,7.9295806884765625,-13.193229675292969,67.99352264404297,eval_CL_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_21_19
single,1,CL,regression,midterm,account_age_days,test,10,,,,-0.04165124113608132,7.531098803510178,7.4124250411987305,-32.61121368408203,56.71744918823242,eval_CL_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_30
single,1,CL,regression,midterm,followers_count,test,10,,,,-0.20877041472191676,6.433892285404345,6.0500006675720215,-8.122678756713867,41.39496994018555,eval_CL_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_28
single,1,CL,regression,midterm,statuses_count,test,10,,,,-0.21899986018861883,9.680657708389042,9.473175048828125,-24.27098846435547,93.71513366699219,eval_CL_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_30
single,1,CL,regression,twibot20,account_age_days,test,10,,,,-0.07570683045231326,7.846535237566642,7.753562927246094,-46.80099868774414,61.568115234375,eval_CL_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_27
single,1,CL,regression,twibot20,followers_count,test,10,,,,-0.06590134818175727,8.385390483428324,7.81448221206665,-6.657500743865967,70.31477355957031,eval_CL_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_27
single,1,CL,regression,twibot20,statuses_count,test,10,,,,-0.058168810679460156,8.52563604851499,8.169377326965332,-11.71374225616455,72.68647003173828,eval_CL_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_27
single,1,CL,regression,ukr_rus_twitter,account_age_days,test,10,,,,-0.06336176264052061,7.44838424673183,7.31660795211792,-29.215299606323242,55.47842788696289,eval_CL_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_05_21
single,1,CL,regression,ukr_rus_twitter,followers_count,test,10,,,,-0.14127255679812548,5.4154840009662735,4.904922962188721,-4.766663074493408,29.32746696472168,eval_CL_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_05_21
single,1,CL,regression,ukr_rus_twitter,statuses_count,test,10,,,,-0.187293041033842,8.166681510237096,7.75007963180542,-9.567384719848633,66.69468688964844,eval_CL_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_05_21
single,1,FP,regression,covid19_twitter,account_age_days,test,10,,,,0.05878702053040341,7.2312213128921305,7.1456217765808105,-41.39786148071289,52.29056167602539,eval_FP_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_25_06
single,1,FP,regression,covid19_twitter,followers_count,test,10,,,,0.24030445977479323,5.3252127734733445,4.939977645874023,-6.044003009796143,28.357891082763672,eval_FP_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_23_32
single,1,FP,regression,covid19_twitter,statuses_count,test,10,,,,0.23057342407236334,7.961909930105177,7.658311367034912,-12.232691764831543,63.39200973510742,eval_FP_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_24_47
single,1,FP,regression,midterm,account_age_days,test,10,,,,0.047919034449585216,7.243621124622016,7.127015113830566,-30.09417152404785,52.47004699707031,eval_FP_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_47
single,1,FP,regression,midterm,followers_count,test,10,,,,0.2846324259358063,6.144469787717079,5.770872592926025,-7.320389747619629,37.75450897216797,eval_FP_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_30
single,1,FP,regression,midterm,statuses_count,test,10,,,,0.2095701970505021,9.379758313934962,9.182087898254395,-22.724430084228516,87.97986602783203,eval_FP_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_46
single,1,FP,regression,twibot20,account_age_days,test,10,,,,0.05774587082405555,7.546795641242951,7.461183071136475,-43.21873474121094,56.954124450683594,eval_FP_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_42
single,1,FP,regression,twibot20,followers_count,test,10,,,,0.10440084203332334,8.106635834652009,7.5231146812438965,-6.156847953796387,65.71754455566406,eval_FP_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_42
single,1,FP,regression,twibot20,statuses_count,test,10,,,,0.15155473732822844,8.228838512460927,7.876864433288574,-10.843958854675293,67.71378326416016,eval_FP_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_42
single,1,FP,regression,ukr_rus_twitter,account_age_days,test,10,,,,0.07353584856886206,7.199485008047695,7.071628093719482,-27.229658126831055,51.832584381103516,eval_FP_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_07_26
single,1,FP,regression,ukr_rus_twitter,followers_count,test,10,,,,0.2751051922219134,5.1718866169502276,4.665875434875488,-4.259543418884277,26.748411178588867,eval_FP_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_05_30
single,1,FP,regression,ukr_rus_twitter,statuses_count,test,10,,,,0.2533736249539818,7.907792856809727,7.502818584442139,-8.908019065856934,62.53318786621094,eval_FP_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_07_26
pair,2,NMCL,regression,covid19_twitter,account_age_days,test,10,,,,-0.055664879307070377,7.4105281786768,7.3228068351745605,-43.52653884887695,54.91592788696289,eval_NMCL_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_09_35
pair,2,NMCL,regression,covid19_twitter,followers_count,test,10,,,,-0.15347411562157032,5.507114490621871,5.114455699920654,-6.533448696136475,30.328310012817383,eval_NMCL_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_09_31
pair,2,NMCL,regression,covid19_twitter,statuses_count,test,10,,,,-0.10961113009252611,8.143943417785382,7.83650016784668,-12.844687461853027,66.32381439208984,eval_NMCL_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_09_32
pair,2,NMCL,regression,midterm,account_age_days,test,10,,,,-0.04274309625310604,7.4100157101525115,7.292150974273682,-31.539119720458984,54.90833282470703,eval_NMCL_to_midterm_reg_10shot_account_age_days_14_07_2026_10_57_33
pair,2,NMCL,regression,midterm,followers_count,test,10,,,,-0.1221607551242954,6.3151964528265445,5.9330220222473145,-7.789183616638184,39.88170623779297,eval_NMCL_to_midterm_reg_10shot_followers_count_14_07_2026_10_57_33
pair,2,NMCL,regression,midterm,statuses_count,test,10,,,,-0.083515005599507,9.554456731422105,9.353433609008789,-23.616397857666016,91.28764343261719,eval_NMCL_to_midterm_reg_10shot_statuses_count_14_07_2026_10_57_33
pair,2,NMCL,regression,twibot20,account_age_days,test,10,,,,-0.15216006520482012,7.757697681756695,7.668428421020508,-45.724735260009766,60.1818733215332,eval_NMCL_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_31_07
pair,2,NMCL,regression,twibot20,followers_count,test,10,,,,-0.3729549320331401,8.329335538046903,7.732110500335693,-6.555464744567871,69.3778305053711,eval_NMCL_to_twibot20_reg_10shot_followers_count_14_07_2026_11_28_35
pair,2,NMCL,regression,twibot20,statuses_count,test,10,,,,-0.2763357988184781,8.448246194893425,8.08558464050293,-11.483977317810059,71.37286376953125,eval_NMCL_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_28_51
pair,2,NMCL,regression,ukr_rus_twitter,account_age_days,test,10,,,,-0.06075579378871471,7.35523796023352,7.224306106567383,-28.464305877685547,54.099525451660156,eval_NMCL_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_10_59_06
pair,2,NMCL,regression,ukr_rus_twitter,followers_count,test,10,,,,-0.14863308535279204,5.332002632707088,4.81769323348999,-4.590244293212891,28.430252075195312,eval_NMCL_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_10_59_05
pair,2,NMCL,regression,ukr_rus_twitter,statuses_count,test,10,,,,-0.1495679760323161,8.069026227813163,7.656391143798828,-9.316171646118164,65.10918426513672,eval_NMCL_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_10_59_06
pair,2,NMFP,regression,covid19_twitter,account_age_days,test,10,,,,-0.05312402040192574,7.3207450095681645,7.23353385925293,-42.45414352416992,53.59330749511719,eval_NMFP_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_13_53
pair,2,NMFP,regression,covid19_twitter,followers_count,test,10,,,,0.010695318655212756,5.434455984169167,5.049939155578613,-6.335973739624023,29.53331184387207,eval_NMFP_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_11_38
pair,2,NMFP,regression,covid19_twitter,statuses_count,test,10,,,,-0.006036991820194829,8.05258728529562,7.747943878173828,-12.535819053649902,64.84416198730469,eval_NMFP_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_13_48
pair,2,NMFP,regression,midterm,account_age_days,test,10,,,,-0.2143089431703839,7.342338004216645,7.218226432800293,-30.94745635986328,53.90992736816406,eval_NMFP_to_midterm_reg_10shot_account_age_days_14_07_2026_10_57_53
pair,2,NMFP,regression,midterm,followers_count,test,10,,,,-0.1475420195533067,6.259995059660404,5.877204895019531,-7.636201858520508,39.187538146972656,eval_NMFP_to_midterm_reg_10shot_followers_count_14_07_2026_10_57_33
pair,2,NMFP,regression,midterm,statuses_count,test,10,,,,-0.09617662432873644,9.469058192308061,9.265989303588867,-23.17831802368164,89.6630630493164,eval_NMFP_to_midterm_reg_10shot_statuses_count_14_07_2026_10_57_52
pair,2,NMFP,regression,twibot20,account_age_days,test,10,,,,-0.13446853957382238,7.618618905971333,7.527365684509277,-44.06440353393555,58.04335403442383,eval_NMFP_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_31_59
pair,2,NMFP,regression,twibot20,followers_count,test,10,,,,-0.20601311383946813,8.193674336541621,7.597738742828369,-6.311354637145996,67.13629913330078,eval_NMFP_to_twibot20_reg_10shot_followers_count_14_07_2026_11_31_59
pair,2,NMFP,regression,twibot20,statuses_count,test,10,,,,-0.22202579551461177,8.311981873390618,7.946187496185303,-11.084508895874023,69.08904266357422,eval_NMFP_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_31_59
pair,2,NMFP,regression,ukr_rus_twitter,account_age_days,test,10,,,,-0.0519060590125298,7.303662298545258,7.173795700073242,-28.052541732788086,53.343482971191406,eval_NMFP_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_01_10
pair,2,NMFP,regression,ukr_rus_twitter,followers_count,test,10,,,,-0.014483744496084248,5.295514587526325,4.789467811584473,-4.513995170593262,28.0424747467041,eval_NMFP_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_10_59_22
pair,2,NMFP,regression,ukr_rus_twitter,statuses_count,test,10,,,,-0.044041023642964104,8.013901077105507,7.606076240539551,-9.175698280334473,64.22261047363281,eval_NMFP_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_01_09
pair,2,CLFP,regression,covid19_twitter,account_age_days,test,10,,,,0.12018204061008955,7.401137249137217,7.317537784576416,-43.413761138916016,54.776832580566406,eval_CLFP_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_17_41
pair,2,CLFP,regression,covid19_twitter,followers_count,test,10,,,,0.030108325013749684,5.4754924953291875,5.093768119812012,-6.4471821784973145,29.98101806640625,eval_CLFP_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_13_53
pair,2,CLFP,regression,covid19_twitter,statuses_count,test,10,,,,0.06602756234465669,8.12450982595931,7.826818466186523,-12.778691291809082,66.00765991210938,eval_CLFP_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_16_36
pair,2,CLFP,regression,midterm,account_age_days,test,10,,,,0.23453618257546138,7.388115551601003,7.277579307556152,-31.347064971923828,54.584251403808594,eval_CLFP_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_10
pair,2,CLFP,regression,midterm,followers_count,test,10,,,,0.14477365653704058,6.274551691705533,5.9093732833862305,-7.676412582397461,39.369998931884766,eval_CLFP_to_midterm_reg_10shot_followers_count_14_07_2026_10_57_53
pair,2,CLFP,regression,midterm,statuses_count,test,10,,,,0.10059449193199393,9.529641337735587,9.335895538330078,-23.488693237304688,90.8140640258789,eval_CLFP_to_midterm_reg_10shot_statuses_count_14_07_2026_10_57_53
pair,2,CLFP,regression,twibot20,account_age_days,test,10,,,,0.06561563945140227,7.695601993285678,7.60941743850708,-44.97972106933594,59.2222900390625,eval_CLFP_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_13
pair,2,CLFP,regression,twibot20,followers_count,test,10,,,,-0.032799658211016575,8.25097604237556,7.664813041687012,-6.413975238800049,68.07860565185547,eval_CLFP_to_twibot20_reg_10shot_followers_count_14_07_2026_11_31_59
pair,2,CLFP,regression,twibot20,statuses_count,test,10,,,,0.12164186247678999,8.36745876296396,8.024564743041992,-11.246358871459961,70.01436614990234,eval_CLFP_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_12
pair,2,CLFP,regression,ukr_rus_twitter,account_age_days,test,10,,,,0.16964496648641836,7.360325065566111,7.237201690673828,-28.505077362060547,54.17438507080078,eval_CLFP_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_03_15
pair,2,CLFP,regression,ukr_rus_twitter,followers_count,test,10,,,,0.1460616216553086,5.307143439212379,4.81353759765625,-4.538239002227783,28.165771484375,eval_CLFP_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_01_10
pair,2,CLFP,regression,ukr_rus_twitter,statuses_count,test,10,,,,0.15109230019407335,8.061253177726783,7.668050765991211,-9.296304702758789,64.98380279541016,eval_CLFP_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_01_26
triple,3,MIX,regression,covid19_twitter,account_age_days,test,10,,,,0.07518935821119166,7.222926925447974,7.136369705200195,-41.30065155029297,52.17067337036133,eval_MIX_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_28_35
triple,3,MIX,regression,covid19_twitter,followers_count,test,10,,,,0.16076912156275106,5.331860795981971,4.950477123260498,-6.061601638793945,28.428739547729492,eval_MIX_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_25_26
triple,3,MIX,regression,covid19_twitter,statuses_count,test,10,,,,0.1202911651276057,7.949625200757551,7.647272109985352,-12.191888809204102,63.19654083251953,eval_MIX_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_27_43
triple,3,MIX,regression,midterm,account_age_days,test,10,,,,0.15309690538421655,7.1957750534174405,7.080020904541016,-29.684755325317383,51.779178619384766,eval_MIX_to_midterm_reg_10shot_account_age_days_14_07_2026_10_59_03
triple,3,MIX,regression,midterm,followers_count,test,10,,,,0.23438543072675194,6.106245014731364,5.737428188323975,-7.217188835144043,37.28622817993164,eval_MIX_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_48
triple,3,MIX,regression,midterm,statuses_count,test,10,,,,0.1452252921984064,9.319176655039437,9.122258186340332,-22.418960571289062,86.84705352783203,eval_MIX_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_48
triple,3,MIX,regression,twibot20,account_age_days,test,10,,,,-0.03517148886556088,7.464907882949912,7.375756740570068,-42.26433181762695,55.724849700927734,eval_MIX_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_56
triple,3,MIX,regression,twibot20,followers_count,test,10,,,,-0.10529991835627972,8.047293109586699,7.443381309509277,-6.0524516105651855,64.75892639160156,eval_MIX_to_twibot20_reg_10shot_followers_count_14_07_2026_11_32_41
triple,3,MIX,regression,twibot20,statuses_count,test,10,,,,0.02228723148751905,8.151193973633603,7.793371200561523,-10.621502876281738,66.44196319580078,eval_MIX_to_twibot20_reg_10shot_statuses_count_14_07_2026_11_32_56
triple,3,MIX,regression,ukr_rus_twitter,account_age_days,test,10,,,,0.07703031457886479,7.1966152606427976,7.0680694580078125,-27.207157135009766,51.7912712097168,eval_MIX_to_ukr_rus_twitter_reg_10shot_account_age_days_14_07_2026_11_09_31
triple,3,MIX,regression,ukr_rus_twitter,followers_count,test,10,,,,0.1789145789058676,5.184436858890582,4.684032440185547,-4.28510046005249,26.878385543823242,eval_MIX_to_ukr_rus_twitter_reg_10shot_followers_count_14_07_2026_11_07_26
triple,3,MIX,regression,ukr_rus_twitter,statuses_count,test,10,,,,0.14012093196939746,7.902268202416312,7.4989519119262695,-8.894180297851562,62.44584274291992,eval_MIX_to_ukr_rus_twitter_reg_10shot_statuses_count_14_07_2026_11_07_32
single,1,NM,static_link_prediction,covid19_twitter,,test,0,0.405654125,0.4995,0.0,,,,,,eval_NM_to_covid19_twitter_slp_0shot_14_07_2026_11_44_52
single,1,NM,static_link_prediction,midterm,,test,0,0.48701,0.5,0.0,,,,,,eval_NM_to_midterm_slp_0shot_14_07_2026_11_34_47
single,1,NM,static_link_prediction,twibot20,,test,0,0.49065475,0.5,0.0,,,,,,eval_NM_to_twibot20_slp_0shot_14_07_2026_11_51_19
single,1,NM,static_link_prediction,ukr_rus_twitter,,test,0,0.48371125000000004,0.49975,0.0,,,,,,eval_NM_to_ukr_rus_twitter_slp_0shot_14_07_2026_11_35_24
single,1,CL,static_link_prediction,covid19_twitter,,test,0,0.366347875,0.49975,0.6661104622059069,,,,,,eval_CL_to_covid19_twitter_slp_0shot_14_07_2026_11_44_52
single,1,CL,static_link_prediction,midterm,,test,0,0.416752125,0.498,0.664886515353805,,,,,,eval_CL_to_midterm_slp_0shot_14_07_2026_11_35_05
single,1,CL,static_link_prediction,twibot20,,test,0,0.25922449999999997,0.5,0.6666666666666666,,,,,,eval_CL_to_twibot20_slp_0shot_14_07_2026_11_51_19
single,1,CL,static_link_prediction,ukr_rus_twitter,,test,0,0.2875115,0.4995,0.6662220740246749,,,,,,eval_CL_to_ukr_rus_twitter_slp_0shot_14_07_2026_11_39_45
single,1,FP,static_link_prediction,covid19_twitter,,test,0,0.44868187500000006,0.52425,0.6356500095730423,,,,,,eval_FP_to_covid19_twitter_slp_0shot_14_07_2026_11_47_45
single,1,FP,static_link_prediction,midterm,,test,0,0.433355,0.5465,0.6625744047619048,,,,,,eval_FP_to_midterm_slp_0shot_14_07_2026_11_35_05
single,1,FP,static_link_prediction,twibot20,,test,0,0.381107125,0.5135,0.6497480201583873,,,,,,eval_FP_to_twibot20_slp_0shot_14_07_2026_11_51_19
single,1,FP,static_link_prediction,ukr_rus_twitter,,test,0,0.53384625,0.55925,0.6713886300093197,,,,,,eval_FP_to_ukr_rus_twitter_slp_0shot_14_07_2026_11_40_08
pair,2,NMCL,static_link_prediction,covid19_twitter,,test,0,0.31950575,0.4725,0.13453650533223954,,,,,,eval_NMCL_to_covid19_twitter_slp_0shot_14_07_2026_11_40_10
pair,2,NMCL,static_link_prediction,midterm,,test,0,0.37611775000000003,0.4745,0.18841698841698842,,,,,,eval_NMCL_to_midterm_slp_0shot_14_07_2026_11_34_47
pair,2,NMCL,static_link_prediction,twibot20,,test,0,0.31517249999999997,0.48675,0.10777922642329422,,,,,,eval_NMCL_to_twibot20_slp_0shot_14_07_2026_11_48_17
pair,2,NMCL,static_link_prediction,ukr_rus_twitter,,test,0,0.20974299999999999,0.44525,0.10052695581678152,,,,,,eval_NMCL_to_ukr_rus_twitter_slp_0shot_14_07_2026_11_35_05
pair,2,NMFP,static_link_prediction,covid19_twitter,,test,0,0.39514099999999996,0.49975,0.004972650422675286,,,,,,eval_NMFP_to_covid19_twitter_slp_0shot_14_07_2026_11_44_41
pair,2,NMFP,static_link_prediction,midterm,,test,0,0.44468975,0.49825,0.0029806259314456036,,,,,,eval_NMFP_to_midterm_slp_0shot_14_07_2026_11_34_47
pair,2,NMFP,static_link_prediction,twibot20,,test,0,0.47058125,0.4995,0.0,,,,,,eval_NMFP_to_twibot20_slp_0shot_14_07_2026_11_48_17
pair,2,NMFP,static_link_prediction,ukr_rus_twitter,,test,0,0.38663262500000006,0.49925,0.0,,,,,,eval_NMFP_to_ukr_rus_twitter_slp_0shot_14_07_2026_11_35_23
pair,2,CLFP,static_link_prediction,covid19_twitter,,test,0,0.22779125,0.283,0.14080287597363692,,,,,,eval_CLFP_to_covid19_twitter_slp_0shot_14_07_2026_11_44_49
pair,2,CLFP,static_link_prediction,midterm,,test,0,0.309713625,0.36525,0.1988008835594825,,,,,,eval_CLFP_to_midterm_slp_0shot_14_07_2026_11_34_47
pair,2,CLFP,static_link_prediction,twibot20,,test,0,0.20163525,0.25075,0.179578428688749,,,,,,eval_CLFP_to_twibot20_slp_0shot_14_07_2026_11_50_54
pair,2,CLFP,static_link_prediction,ukr_rus_twitter,,test,0,0.168152375,0.2305,0.12006861063464837,,,,,,eval_CLFP_to_ukr_rus_twitter_slp_0shot_14_07_2026_11_35_24
triple,3,MIX,static_link_prediction,covid19_twitter,,test,0,0.75508,0.6765,0.5790500975927131,,,,,,eval_MIX_to_covid19_twitter_slp_0shot_14_07_2026_11_48_17
triple,3,MIX,static_link_prediction,midterm,,test,0,0.676129875,0.64225,0.5343312723722746,,,,,,eval_MIX_to_midterm_slp_0shot_14_07_2026_11_35_05
triple,3,MIX,static_link_prediction,twibot20,,test,0,0.74460025,0.66475,0.566159818828858,,,,,,eval_MIX_to_twibot20_slp_0shot_14_07_2026_11_51_19
triple,3,MIX,static_link_prediction,ukr_rus_twitter,,test,0,0.8612627499999999,0.779,0.7390791027154664,,,,,,eval_MIX_to_ukr_rus_twitter_slp_0shot_14_07_2026_11_40_10
