variant,order,rung,task,dataset,role,control_value,variant_value,delta_vs_matched40k,control_model,variant_model
split,A,1,classification,covid_political,heldout,0.9259742222222223,0.9269187777777778,0.0009445555555555041,matched40k__nm_ladder_h2m_ordA_r1,split__nm_ladder_tts_h2m_r1
split,A,1,classification,election2020,heldout,0.986394,0.98307,-0.0033239999999999936,matched40k__nm_ladder_h2m_ordA_r1,split__nm_ladder_tts_h2m_r1
split,A,1,classification,twibot20,heldout,0.622469125,0.6117374305555555,-0.01073169444444444,matched40k__nm_ladder_h2m_ordA_r1,split__nm_ladder_tts_h2m_r1
split,A,1,classification,ukr_rus_suspended,heldout,0.480718,0.501468,0.020750000000000046,matched40k__nm_ladder_h2m_ordA_r1,split__nm_ladder_tts_h2m_r1
split,A,2,classification,covid_political,heldout,0.9308580555555556,0.9357610000000001,0.004902944444444501,matched40k__nm_ladder_h2m_ordA_r2,split__nm_ladder_tts_h2m_r2
split,A,2,classification,election2020,heldout,0.984216,0.984172,-4.399999999993298e-05,matched40k__nm_ladder_h2m_ordA_r2,split__nm_ladder_tts_h2m_r2
split,A,2,classification,twibot20,heldout,0.5967944444444445,0.5810244027777778,-0.015770041666666734,matched40k__nm_ladder_h2m_ordA_r2,split__nm_ladder_tts_h2m_r2
split,A,2,classification,ukr_rus_suspended,heldout,0.47898599999999997,0.50396,0.024973999999999996,matched40k__nm_ladder_h2m_ordA_r2,split__nm_ladder_tts_h2m_r2
split,A,3,classification,covid_political,heldout,0.9286403749999999,0.9322020694444443,0.00356169444444443,matched40k__nm_ladder_h2m_ordA_r3,split__nm_ladder_tts_h2m_r3
split,A,3,classification,election2020,heldout,0.985774,0.9839399999999998,-0.0018340000000002243,matched40k__nm_ladder_h2m_ordA_r3,split__nm_ladder_tts_h2m_r3
split,A,3,classification,twibot20,heldout,0.5907462916666667,0.5898943055555556,-0.0008519861111111471,matched40k__nm_ladder_h2m_ordA_r3,split__nm_ladder_tts_h2m_r3
split,A,3,classification,ukr_rus_suspended,heldout,0.502724,0.508576,0.005852000000000079,matched40k__nm_ladder_h2m_ordA_r3,split__nm_ladder_tts_h2m_r3
split,A,4,classification,covid_political,newcomer,0.9109949305555556,0.9116570833333333,0.0006621527777777025,matched40k__nm_ladder_h2m_ordA_r4,split__nm_ladder_tts_h2m_r4
split,A,4,classification,election2020,heldout,0.983584,0.980612,-0.0029719999999999747,matched40k__nm_ladder_h2m_ordA_r4,split__nm_ladder_tts_h2m_r4
split,A,4,classification,twibot20,heldout,0.6206157361111111,0.5930264444444444,-0.027589291666666682,matched40k__nm_ladder_h2m_ordA_r4,split__nm_ladder_tts_h2m_r4
split,A,4,classification,ukr_rus_suspended,heldout,0.48990999999999996,0.482588,-0.00732199999999994,matched40k__nm_ladder_h2m_ordA_r4,split__nm_ladder_tts_h2m_r4
split,A,5,classification,covid_political,incumbent,0.9109009166666666,0.9122428194444444,0.0013419027777777925,matched40k__nm_ladder_h2m_ordA_r5,split__nm_ladder_tts_h2m_r5
split,A,5,classification,election2020,newcomer,0.9851540000000001,0.9820479999999999,-0.003106000000000164,matched40k__nm_ladder_h2m_ordA_r5,split__nm_ladder_tts_h2m_r5
split,A,5,classification,twibot20,heldout,0.5952293611111111,0.585168125,-0.010061236111111094,matched40k__nm_ladder_h2m_ordA_r5,split__nm_ladder_tts_h2m_r5
split,A,5,classification,ukr_rus_suspended,heldout,0.483668,0.494548,0.01088,matched40k__nm_ladder_h2m_ordA_r5,split__nm_ladder_tts_h2m_r5
split,A,6,classification,covid_political,incumbent,0.8821471388888888,0.9189898055555554,0.03684266666666658,matched40k__nm_ladder_h2m_ordA_r6,split__nm_ladder_tts_h2m_r6
split,A,6,classification,election2020,incumbent,0.98081,0.9840519999999999,0.003241999999999967,matched40k__nm_ladder_h2m_ordA_r6,split__nm_ladder_tts_h2m_r6
split,A,6,classification,twibot20,heldout,0.6031777777777778,0.6030469583333333,-0.00013081944444448546,matched40k__nm_ladder_h2m_ordA_r6,split__nm_ladder_tts_h2m_r6
split,A,6,classification,ukr_rus_suspended,newcomer,0.48310600000000004,0.493444,0.010337999999999958,matched40k__nm_ladder_h2m_ordA_r6,split__nm_ladder_tts_h2m_r6
split,A,7,classification,covid_political,incumbent,0.9289335555555557,0.9074854583333334,-0.021448097222222295,matched40k__nm_ladder_h2m_ordA_r7,split__nm_ladder_tts_h2m_r7
split,A,7,classification,election2020,incumbent,0.9830399999999999,0.977352,-0.005687999999999915,matched40k__nm_ladder_h2m_ordA_r7,split__nm_ladder_tts_h2m_r7
split,A,7,classification,twibot20,newcomer,0.6257938333333334,0.5957650555555556,-0.030028777777777793,matched40k__nm_ladder_h2m_ordA_r7,split__nm_ladder_tts_h2m_r7
split,A,7,classification,ukr_rus_suspended,incumbent,0.48111200000000004,0.484336,0.003223999999999949,matched40k__nm_ladder_h2m_ordA_r7,split__nm_ladder_tts_h2m_r7
split,A,8,classification,covid_political,incumbent,0.9147064166666666,0.8948375416666667,-0.019868874999999897,matched40k__nm_ladder_h2m_ordA_r8,split__nm_ladder_tts_h2m_r8
split,A,8,classification,election2020,incumbent,0.9761920000000001,0.9799880000000001,0.0037960000000000216,matched40k__nm_ladder_h2m_ordA_r8,split__nm_ladder_tts_h2m_r8
split,A,8,classification,twibot20,incumbent,0.5938041111111111,0.5926391944444445,-0.0011649166666666266,matched40k__nm_ladder_h2m_ordA_r8,split__nm_ladder_tts_h2m_r8
split,A,8,classification,ukr_rus_suspended,incumbent,0.49102599999999996,0.5051599999999999,0.01413399999999998,matched40k__nm_ladder_h2m_ordA_r8,split__nm_ladder_tts_h2m_r8
fixed10k,A,1,static_lp,covid19_twitter,heldout,0.8777173469387755,0.8591387755102041,-0.018578571428571333,matched40k__nm_ladder_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r1
fixed10k,A,1,static_lp,cp_hk_twitter,heldout,0.5700869897959183,0.5557650510204082,-0.014321938775510135,matched40k__nm_ladder_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r1
fixed10k,A,1,static_lp,midterm,heldout,0.709722193877551,0.7045030612244898,-0.005219132653061176,matched40k__nm_ladder_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r1
fixed10k,A,1,static_lp,twibot20,heldout,0.7956642857142857,0.7663461734693877,-0.029318112244897998,matched40k__nm_ladder_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r1
fixed10k,A,1,static_lp,ukr_rus_twitter,newcomer,0.7700862244897959,0.7651795918367347,-0.004906632653061238,matched40k__nm_ladder_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r1
fixed10k,A,2,static_lp,covid19_twitter,newcomer,0.8798551020408163,0.9002556122448979,0.020400510204081623,matched40k__nm_ladder_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,2,static_lp,cp_hk_twitter,heldout,0.5617992346938776,0.5661872448979591,0.004388010204081527,matched40k__nm_ladder_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,2,static_lp,midterm,heldout,0.7108482142857143,0.7150086734693878,0.0041604591836734706,matched40k__nm_ladder_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,2,static_lp,twibot20,heldout,0.8174142857142858,0.8348545918367347,0.017440306122448956,matched40k__nm_ladder_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,2,static_lp,ukr_rus_twitter,incumbent,0.7669479591836734,0.7777663265306123,0.010818367346938862,matched40k__nm_ladder_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,3,static_lp,covid19_twitter,incumbent,0.8810892857142857,0.8852497448979592,0.0041604591836734706,matched40k__nm_ladder_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,3,static_lp,cp_hk_twitter,heldout,0.5607147959183674,0.5569122448979592,-0.0038025510204081625,matched40k__nm_ladder_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,3,static_lp,midterm,newcomer,0.7105086734693877,0.728195918367347,0.017687244897959253,matched40k__nm_ladder_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,3,static_lp,twibot20,heldout,0.815968112244898,0.8274112244897959,0.011443112244897913,matched40k__nm_ladder_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,3,static_lp,ukr_rus_twitter,incumbent,0.7545926020408164,0.7715872448979592,0.016994642857142805,matched40k__nm_ladder_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,4,static_lp,covid19_twitter,incumbent,0.8635744897959183,0.8692066326530612,0.005632142857142863,matched40k__nm_ladder_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,4,static_lp,cp_hk_twitter,heldout,0.5659785714285714,0.5694489795918367,0.0034704081632652706,matched40k__nm_ladder_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,4,static_lp,midterm,incumbent,0.7270285714285715,0.7154341836734693,-0.011594387755102131,matched40k__nm_ladder_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,4,static_lp,twibot20,heldout,0.7985979591836735,0.8206392857142857,0.022041326530612193,matched40k__nm_ladder_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,4,static_lp,ukr_rus_twitter,incumbent,0.747455612244898,0.7572510204081633,0.009795408163265296,matched40k__nm_ladder_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,5,static_lp,covid19_twitter,incumbent,0.8800505102040816,0.8691239795918367,-0.010926530612244911,matched40k__nm_ladder_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,5,static_lp,cp_hk_twitter,heldout,0.5566436224489796,0.5678209183673469,0.011177295918367358,matched40k__nm_ladder_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,5,static_lp,midterm,incumbent,0.7289959183673469,0.7317497448979592,0.002753826530612291,matched40k__nm_ladder_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,5,static_lp,twibot20,heldout,0.8248301020408163,0.8183801020408163,-0.006449999999999956,matched40k__nm_ladder_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,5,static_lp,ukr_rus_twitter,incumbent,0.7617158163265306,0.7389153061224489,-0.022800510204081692,matched40k__nm_ladder_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,6,static_lp,covid19_twitter,incumbent,0.8442448979591837,0.8609270408163265,0.016682142857142868,matched40k__nm_ladder_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,6,static_lp,cp_hk_twitter,heldout,0.5436918367346939,0.5475316326530613,0.0038397959183673613,matched40k__nm_ladder_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,6,static_lp,midterm,incumbent,0.7044964285714286,0.7059877551020408,0.0014913265306122359,matched40k__nm_ladder_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,6,static_lp,twibot20,heldout,0.7942908163265306,0.8039627551020408,0.009671938775510203,matched40k__nm_ladder_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,6,static_lp,ukr_rus_twitter,incumbent,0.7191510204081633,0.7427413265306122,0.023590306122448945,matched40k__nm_ladder_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,7,static_lp,covid19_twitter,incumbent,0.8669346938775511,0.8553239795918367,-0.011610714285714363,matched40k__nm_ladder_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,7,static_lp,cp_hk_twitter,heldout,0.5585357142857142,0.5549857142857143,-0.003549999999999942,matched40k__nm_ladder_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,7,static_lp,midterm,incumbent,0.7062377551020408,0.6997127551020408,-0.006525000000000003,matched40k__nm_ladder_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,7,static_lp,twibot20,newcomer,0.8212255102040816,0.8073255102040816,-0.013900000000000023,matched40k__nm_ladder_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,7,static_lp,ukr_rus_twitter,incumbent,0.729068112244898,0.7257734693877551,-0.003294642857142871,matched40k__nm_ladder_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,8,static_lp,covid19_twitter,incumbent,0.8551438775510204,0.842634693877551,-0.012509183673469426,matched40k__nm_ladder_h2m_ordA_r8,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
fixed10k,A,8,static_lp,cp_hk_twitter,newcomer,0.5587581632653061,0.5583525510204081,-0.0004056122448979904,matched40k__nm_ladder_h2m_ordA_r8,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
fixed10k,A,8,static_lp,midterm,incumbent,0.7064035714285715,0.6940454081632653,-0.012358163265306144,matched40k__nm_ladder_h2m_ordA_r8,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
fixed10k,A,8,static_lp,twibot20,incumbent,0.8129150510204082,0.8015423469387755,-0.011372704081632712,matched40k__nm_ladder_h2m_ordA_r8,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
fixed10k,A,8,static_lp,ukr_rus_twitter,incumbent,0.7350484693877551,0.7068801020408163,-0.02816836734693884,matched40k__nm_ladder_h2m_ordA_r8,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
sequential,A,1,static_lp,covid19_twitter,heldout,0.8777173469387755,0.874644387755102,-0.0030729591836734516,matched40k__nm_ladder_h2m_ordA_r1,sequential__nm_ladder_seq_h2m_r1
sequential,A,1,static_lp,cp_hk_twitter,heldout,0.5700869897959183,0.5711117346938775,0.0010247448979592289,matched40k__nm_ladder_h2m_ordA_r1,sequential__nm_ladder_seq_h2m_r1
sequential,A,1,static_lp,midterm,heldout,0.709722193877551,0.7077545918367347,-0.001967602040816252,matched40k__nm_ladder_h2m_ordA_r1,sequential__nm_ladder_seq_h2m_r1
sequential,A,1,static_lp,twibot20,heldout,0.7956642857142857,0.8013627551020408,0.00569846938775509,matched40k__nm_ladder_h2m_ordA_r1,sequential__nm_ladder_seq_h2m_r1
sequential,A,1,static_lp,ukr_rus_twitter,newcomer,0.7700862244897959,0.7719535714285715,0.0018673469387755492,matched40k__nm_ladder_h2m_ordA_r1,sequential__nm_ladder_seq_h2m_r1
sequential,A,2,static_lp,covid19_twitter,newcomer,0.8798551020408163,0.8876505102040816,0.007795408163265294,matched40k__nm_ladder_h2m_ordA_r2,sequential__nm_ladder_seq_h2m_r2
sequential,A,2,static_lp,cp_hk_twitter,heldout,0.5617992346938776,0.552375,-0.009424234693877653,matched40k__nm_ladder_h2m_ordA_r2,sequential__nm_ladder_seq_h2m_r2
