seed,target,stream,model,n,accuracy,auc,u1_accuracy,raw_accuracy,u1_agreement_rate,accuracy_when_healthy,accuracy_when_unhealthy,error_rate_ratio_unhealthy_to_healthy
1,covid_political,original,ss_covid_political,3072,0.82421875,0.8948782461660879,0.8997395833333334,0.7389322916666666,0.876953125,0.912769116555308,0.1931216931216931,9.249915569064507
1,covid_political,original,ss_cp_hk,3072,0.6305338541666666,0.7372945149739583,0.7936197916666666,0.7389322916666666,0.7600911458333334,0.7790149892933619,0.1601085481682496,3.800671589199878
1,covid_political,original,ss_election2020,3072,0.8860677083333334,0.9369351422345196,0.9046223958333334,0.7389322916666666,0.9456380208333334,0.9180722891566264,0.3293413173652694,8.185980979218037
1,covid_political,original,ss_facebook_page_reference,3072,0.6103515625,0.6881982308846931,0.8284505208333334,0.7389322916666666,0.6458333333333334,0.8397177419354839,0.1920955882352941,5.040510543840178
1,covid_political,original,ss_midterm,3072,0.7701822916666666,0.887857507776331,0.88671875,0.7389322916666666,0.84375,0.8892746913580247,0.1270833333333333,7.883623693379794
1,covid_political,original,ss_twibot20,3072,0.7799479166666666,0.9172699539749708,0.8961588541666666,0.7389322916666666,0.8629557291666666,0.8917389664277631,0.0760095011876484,8.53483906742698
1,covid_political,original,ss_ukr_rus,3072,0.8759765625,0.9311088279441552,0.9049479166666666,0.7389322916666666,0.9462890625,0.912624699002408,0.2303030303030303,8.809090909090905
1,covid_political,original,ss_ukr_rus_suspended,3072,0.6949869791666666,0.7260612205222801,0.7242838541666666,0.7389322916666666,0.76953125,0.772419627749577,0.4364406779661017,2.476308991241888
1,covid_political,fresh,ss_covid,3072,0.875,0.9409996315285012,0.921875,0.73828125,0.9381510416666666,0.92470506592644,0.1210526315789473,11.673393160320154
1,covid_political,fresh,ss_covid_political,3072,0.8245442708333334,0.910426104510272,0.9049479166666666,0.73828125,0.8740234375,0.91731843575419,0.1808785529715762,9.906941825546474
1,covid_political,fresh,ss_cp_hk,3072,0.6243489583333334,0.7720992476851851,0.818359375,0.73828125,0.732421875,0.8022222222222222,0.1374695863746958,4.36110883293693
1,covid_political,fresh,ss_election2020,3072,0.8919270833333334,0.9409784387659144,0.9176432291666666,0.73828125,0.9469401041666666,0.927466483327604,0.2576687116564417,10.234320937400046
1,covid_political,fresh,ss_facebook_page_reference,3072,0.6018880208333334,0.7002927992078993,0.8274739583333334,0.73828125,0.6396484375,0.8356234096692112,0.1869918699186991,4.946009212414106
1,covid_political,fresh,ss_midterm,3072,0.7750651041666666,0.910175464771412,0.9065755208333334,0.73828125,0.8346354166666666,0.9083463338533542,0.1023622047244094,9.793801306751552
1,covid_political,fresh,ss_twibot20,3072,0.7952473958333334,0.9388193201135706,0.9091796875,0.73828125,0.869140625,0.9052434456928838,0.0646766169154228,9.870804082355017
1,covid_political,fresh,ss_ukr_rus,3072,0.8873697916666666,0.944185045030382,0.9287109375,0.73828125,0.9443359375,0.932092381937263,0.1286549707602339,12.831329593018069
1,covid_political,fresh,ss_ukr_rus_suspended,3072,0.6936848958333334,0.7427718551070601,0.7220052083333334,0.73828125,0.7620442708333334,0.7727466894489534,0.4404924760601915,2.46204344650957
1,election2020,original,ss_covid,256,0.98046875,0.98675537109375,0.984375,0.91015625,0.99609375,0.984313725490196,0.0,63.74999999999977
1,election2020,original,ss_covid_political,256,0.97265625,0.97552490234375,0.97265625,0.91015625,0.9921875,0.9763779527559056,0.5,21.166666666666703
