order,rung,added,n_sources,model_key,covid19_twitter__account_age_days,covid19_twitter__followers_count,covid19_twitter__statuses_count,midterm__account_age_days,midterm__followers_count,midterm__statuses_count,twibot20__account_age_days,twibot20__followers_count,twibot20__statuses_count,ukr_rus_twitter__account_age_days,ukr_rus_twitter__followers_count,ukr_rus_twitter__statuses_count
B,3,twibot20,3,nm_ladder_ordB_r3,0.06776223400374795,0.006613042911218587,0.03527922994968344,-0.04544742094989897,-0.14489500322985138,-0.07807533669006843,-0.017126673958311467,-0.33131866210126104,-0.2910402852551491,0.029372178324868676,-0.0022391604843103974,-0.0177657757908435
B,4,midterm,4,nm_ladder_ordB_r4,0.09664362647843021,-0.05820817163029389,-0.04074270510049844,0.201693439884628,-0.04042930013442962,-0.019472908712684832,0.13845142417613485,-0.06629481749396146,-0.02773804616617539,0.07222120063932316,-0.07254599972196195,-0.06234620238312543
B,5,ukr_rus_suspended,5,nm_ladder_ordB_r5,0.04950467791047093,-0.05837568506846548,-0.09815515810361947,0.010400350388077868,-0.07748345898838853,-0.08621642120444604,-0.05730127629454138,-0.26631660433170135,-0.24706494260475925,-0.009322187817353663,-0.05312318216773035,-0.1078817142341749
B,6,cp_hk,6,nm_ladder_ordB_r6,-0.13988309943479046,-0.07751623226544874,-0.035359214922991905,-0.23076143650402475,-0.11323669470655431,-0.061821047817905206,-0.07822831850064971,-0.1196306920204435,-0.09632612861365625,-0.16123534833358158,-0.06552748176143705,-0.04239702364085554
B,7,covid_political,7,nm_ladder_ordB_r7,-0.11511213071674453,-0.19231599416214845,-0.06740087231918666,-0.049909900275592785,-0.17995491139935751,-0.05357742485344111,-0.13660740248533915,-0.30297423288565134,-0.24054385191652378,-0.09559974446253727,-0.17741831511467562,-0.09933362559906202
B,8,election2020,8,merged_ukr_rus_covid_midterm_all8_nm_wb,-0.025634901299686406,0.05537962373285712,0.09794626048509815,-0.06930094765629968,0.06901048350232876,0.059632345620064024,-0.046391932850378716,-0.029637697086609092,0.035822841303738244,-0.04799408926383409,0.010143940241991065,0.03098870038787967
C,1,election2020,1,nm_ss_election2020,0.002012186584035161,-0.020559813580538006,0.022751685286784732,0.005280929752029701,-0.09283918731039772,-0.004810418700041122,0.05884637464215532,-0.10794037723164146,-0.07428091673404294,0.033326591464162426,-0.022962558057398528,-0.0016413821133797822
C,2,covid_political,2,nm_ladder_ordC_r2,-0.03647781121430325,0.016473260298490996,0.10332540575963253,-0.11234311788352579,-0.07917098021404233,-0.013427334208254503,-0.0615054369714717,-0.15642711510345944,-0.10502186154868869,-0.023730922805002712,0.005986989014048809,0.09461573118422867
C,3,cp_hk,3,nm_ladder_ordC_r3,-0.04330987387633551,-0.09435971720939855,-0.1253626097249013,-0.03777052962165148,-0.09969188994840379,-0.04877254197119191,0.03925857890022265,0.11179190948093688,0.03883183167678006,-0.04677755720255862,-0.16249964378699178,-0.16246345348543856
C,4,ukr_rus_suspended,4,nm_ladder_ordC_r4,0.014790106941079097,0.062089070543188477,0.05769973667838372,-0.045038303523307975,0.045943325662326014,0.012788225040410165,0.10117051030426448,0.21840632402154925,0.14018459829298513,-0.038433852106594654,0.022354830975809,0.02862601778165881
C,5,midterm,5,nm_ladder_ordC_r5,-0.09982298484366699,-0.038580174665717115,-0.0035981695184186696,-0.25116834118661135,-0.16927676987397236,-0.10066556779207157,-0.1634603561379119,-0.1586155710781655,-0.1953091091604029,-0.13081850064785872,-0.07663005508845742,-0.036492672209455304
C,6,twibot20,6,nm_ladder_ordC_r6,-0.02172088124556517,0.012897138202320893,-0.005475514819022068,0.12027412663709777,0.1321764964030058,0.04599442510039104,0.03691569484443757,0.1867919383087431,0.21321044147971788,-0.0070783738101903755,0.04037332147669392,0.030044944079593544
C,7,ukr_rus,7,nm_ladder_ordC_r7,-0.03366400619118951,0.044600958155424246,0.06598796965625701,-0.14670003920791652,-0.05564419540046867,0.001054729685765764,0.031327421395992684,0.07487890361818018,0.016872727164022498,-0.05097629459754294,0.054099962170527115,0.07108283284594202
C,8,covid,8,merged_ukr_rus_covid_midterm_all8_nm_wb,-0.025634901299686406,0.05537962373285712,0.09794626048509815,-0.06930094765629968,0.06901048350232876,0.059632345620064024,-0.046391932850378716,-0.029637697086609092,0.035822841303738244,-0.04799408926383409,0.010143940241991065,0.03098870038787967
