model,pair_model_id,sources,target,baseline_source,added_source,pair_auc,singleton_auc,impact_pp,target_in_pair
GraphSAGE / GraphMAE,pair_ukr_rus_twitter__ukr_rus_suspended,"ukr_rus_suspended,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,ukr_rus_suspended,0.5209770421736295,0.5183264491693791,0.2650593004250412,True
GraphSAGE / GraphMAE,pair_covid_political__election2020,"covid_political,election2020",ukr_rus_suspended,election2020,covid_political,0.5104164662694588,0.5185701246650387,-0.815365839557991,False
GraphSAGE / GraphMAE,pair_ukr_rus_twitter__election2020,"election2020,ukr_rus_twitter",ukr_rus_suspended,election2020,ukr_rus_twitter,0.5261935031658287,0.5185701246650387,0.7623378500789979,False
GraphSAGE / GraphMAE,pair_election2020__ukr_rus_suspended,"election2020,ukr_rus_suspended",ukr_rus_suspended,election2020,ukr_rus_suspended,0.5182288116270435,0.5185701246650387,-0.03413130379952278,True
SAMGPT / GraphCL,pair_covid19_twitter__twibot20,"covid19_twitter,twibot20",ukr_rus_suspended,twibot20,covid19_twitter,0.5132378472222222,0.5185818142361112,-0.5343967013888951,False
GraphSAGE / GraphMAE,pair_ukr_rus_twitter__twibot20,"twibot20,ukr_rus_twitter",ukr_rus_suspended,twibot20,ukr_rus_twitter,0.5209363280045862,0.5189146597200478,0.20216682845384248,False
GraphSAGE / GraphMAE,pair_election2020__twibot20,"election2020,twibot20",ukr_rus_suspended,twibot20,election2020,0.5236809207485031,0.5189146597200478,0.4766261028455343,False
GraphSAGE / GraphMAE,pair_ukr_rus_suspended__twibot20,"twibot20,ukr_rus_suspended",ukr_rus_suspended,twibot20,ukr_rus_suspended,0.5172282614216188,0.5189146597200478,-0.16863982984289816,True
GraphSAGE / GraphMAE,pair_covid_political__twibot20,"covid_political,twibot20",ukr_rus_suspended,twibot20,covid_political,0.5180453246449699,0.5189146597200478,-0.0869335075077915,False
GraphSAGE / GraphMAE,pair_ukr_rus_twitter__cp_hk_twitter,"cp_hk_twitter,ukr_rus_twitter",ukr_rus_suspended,cp_hk_twitter,ukr_rus_twitter,0.5205924340060984,0.5193565915993814,0.1235842406717036,False
GraphSAGE / GraphMAE,pair_ukr_rus_suspended__cp_hk_twitter,"cp_hk_twitter,ukr_rus_suspended",ukr_rus_suspended,cp_hk_twitter,ukr_rus_suspended,0.5196424197794709,0.5193565915993814,0.028582818008948685,True
GraphSAGE / GraphMAE,pair_twibot20__cp_hk_twitter,"cp_hk_twitter,twibot20",ukr_rus_suspended,cp_hk_twitter,twibot20,0.5172822961787791,0.5193565915993814,-0.20742954206023345,False
GraphSAGE / GraphMAE,pair_covid_political__cp_hk_twitter,"covid_political,cp_hk_twitter",ukr_rus_suspended,cp_hk_twitter,covid_political,0.5137017605820542,0.5193565915993814,-0.5654831017327222,False
GraphSAGE / GraphMAE,pair_election2020__cp_hk_twitter,"cp_hk_twitter,election2020",ukr_rus_suspended,cp_hk_twitter,election2020,0.5227926545534849,0.5193565915993814,0.34360629541034804,False
SAMGPT / GraphCL,pair_covid19_twitter__election2020,"covid19_twitter,election2020",ukr_rus_suspended,election2020,covid19_twitter,0.5212673611111112,0.5193956163194444,0.18717447916667407,False
SAMGPT / GraphCL,pair_election2020__twibot20,"election2020,twibot20",ukr_rus_suspended,election2020,twibot20,0.5179850260416667,0.5193956163194444,-0.1410590277777679,False
GraphSAGE / GraphMAE,pair_ukr_rus_twitter__covid19_twitter,"covid19_twitter,ukr_rus_twitter",ukr_rus_suspended,covid19_twitter,ukr_rus_twitter,0.5193378284671439,0.5201824448919206,-0.0844616424776623,False
GraphSAGE / GraphMAE,pair_covid19_twitter__ukr_rus_suspended,"covid19_twitter,ukr_rus_suspended",ukr_rus_suspended,covid19_twitter,ukr_rus_suspended,0.5201907277798447,0.5201824448919206,0.0008282887924093707,True
GraphSAGE / GraphMAE,pair_covid19_twitter__covid_political,"covid19_twitter,covid_political",ukr_rus_suspended,covid19_twitter,covid_political,0.5227299764750151,0.5201824448919206,0.2547531583094509,False
GraphSAGE / GraphMAE,pair_covid19_twitter__election2020,"covid19_twitter,election2020",ukr_rus_suspended,covid19_twitter,election2020,0.5252347902656216,0.5201824448919206,0.5052345373701028,False
GraphSAGE / GraphMAE,pair_covid19_twitter__cp_hk_twitter,"covid19_twitter,cp_hk_twitter",ukr_rus_suspended,covid19_twitter,cp_hk_twitter,0.5187914648761586,0.5201824448919206,-0.1390980015761989,False
GraphSAGE / GraphMAE,pair_covid19_twitter__twibot20,"covid19_twitter,twibot20",ukr_rus_suspended,covid19_twitter,twibot20,0.5207209735621893,0.5201824448919206,0.0538528670268712,False
SAMGPT / GraphCL,pair_covid19_twitter__cp_hk_twitter,"covid19_twitter,cp_hk_twitter",ukr_rus_suspended,cp_hk_twitter,covid19_twitter,0.5167914496527778,0.5203450520833333,-0.3553602430555469,False
SAMGPT / GraphCL,pair_twibot20__cp_hk_twitter,"cp_hk_twitter,twibot20",ukr_rus_suspended,cp_hk_twitter,twibot20,0.5195855034722222,0.5203450520833333,-0.07595486111110494,False
SAMGPT / GraphCL,pair_election2020__cp_hk_twitter,"cp_hk_twitter,election2020",ukr_rus_suspended,cp_hk_twitter,election2020,0.5214301215277778,0.5203450520833333,0.10850694444445308,False
SAMGPT / GraphCL,pair_covid19_twitter__covid_political,"covid19_twitter,covid_political",ukr_rus_suspended,covid_political,covid19_twitter,0.5137532552083334,0.5207248263888888,-0.6971571180555469,False
SAMGPT / GraphCL,pair_covid_political__election2020,"covid_political,election2020",ukr_rus_suspended,covid_political,election2020,0.5177951388888888,0.5207248263888888,-0.29296875,False
SAMGPT / GraphCL,pair_covid_political__twibot20,"covid_political,twibot20",ukr_rus_suspended,covid_political,twibot20,0.5205349392361112,0.5207248263888888,-0.01898871527776791,False
SAMGPT / GraphCL,pair_covid_political__cp_hk_twitter,"covid_political,cp_hk_twitter",ukr_rus_suspended,covid_political,cp_hk_twitter,0.5211317274305556,0.5207248263888888,0.04069010416667407,False
PRODIGY / NM,nmpair_midterm__election2020,"election2020,midterm",ukr_rus_suspended,midterm,election2020,0.5079345703125,0.520751953125,-1.28173828125,False
PRODIGY / NM,nmpair_midterm__cp_hk,"cp_hk_twitter,midterm",ukr_rus_suspended,midterm,cp_hk_twitter,0.49151611328125,0.520751953125,-2.923583984375,False
PRODIGY / NM,nmpair_covid__midterm,"covid19_twitter,midterm",ukr_rus_suspended,midterm,covid19_twitter,0.4808349609375,0.520751953125,-3.99169921875,False
PRODIGY / NM,nmpair_midterm__twibot20,"midterm,twibot20",ukr_rus_suspended,midterm,twibot20,0.5225830078125,0.520751953125,0.18310546875,False
PRODIGY / NM,nmpair_ukr_rus__midterm,"midterm,ukr_rus_twitter",ukr_rus_suspended,midterm,ukr_rus_twitter,0.48809814453125,0.520751953125,-3.265380859375,False
PRODIGY / NM,nmpair_midterm__facebook_page_reference,"facebook_page_reference,midterm",ukr_rus_suspended,midterm,facebook_page_reference,0.52044677734375,0.520751953125,-0.030517578125,False
PRODIGY / NM,nmpair_midterm__ukr_rus_suspended,"midterm,ukr_rus_suspended",ukr_rus_suspended,midterm,ukr_rus_suspended,0.51690673828125,0.520751953125,-0.384521484375,True
GraphSAGE / LP,pair_election2020__ukr_rus_suspended,"election2020,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,election2020,0.5220539180102123,0.5215077989990242,0.054611901118806205,True
GraphSAGE / LP,pair_ukr_rus_suspended__cp_hk_twitter,"cp_hk_twitter,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,cp_hk_twitter,0.5157875454604491,0.5215077989990242,-0.5720253538575082,True
GraphSAGE / LP,pair_ukr_rus_suspended__facebook_page_reference,"facebook_page_reference,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,facebook_page_reference,0.5132107260902616,0.5215077989990242,-0.8297072908762582,True
SAMGPT / GraphCL,pair_midterm__cp_hk_twitter,"cp_hk_twitter,midterm",ukr_rus_suspended,midterm,cp_hk_twitter,0.5243055555555556,0.5218641493055556,0.244140625,False
SAMGPT / GraphCL,pair_midterm__election2020,"election2020,midterm",ukr_rus_suspended,midterm,election2020,0.5226779513888888,0.5218641493055556,0.08138020833332593,False
SAMGPT / GraphCL,pair_midterm__twibot20,"midterm,twibot20",ukr_rus_suspended,midterm,twibot20,0.5206434461805556,0.5218641493055556,-0.1220703125,False
SAMGPT / GraphCL,pair_midterm__covid_political,"covid_political,midterm",ukr_rus_suspended,midterm,covid_political,0.5182562934027777,0.5218641493055556,-0.3607855902777901,False
SAMGPT / GraphCL,pair_covid19_twitter__midterm,"covid19_twitter,midterm",ukr_rus_suspended,midterm,covid19_twitter,0.5172254774305556,0.5218641493055556,-0.4638671875,False
GraphSAGE / GraphMAE,pair_twibot20__facebook_page_reference,"facebook_page_reference,twibot20",ukr_rus_suspended,facebook_page_reference,twibot20,0.520115852249432,0.5225787914042204,-0.2462939154788346,False
GraphSAGE / GraphMAE,pair_covid19_twitter__facebook_page_reference,"covid19_twitter,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,covid19_twitter,0.5213210880690439,0.5225787914042204,-0.12577033351764966,False
GraphSAGE / GraphMAE,pair_ukr_rus_suspended__facebook_page_reference,"facebook_page_reference,ukr_rus_suspended",ukr_rus_suspended,facebook_page_reference,ukr_rus_suspended,0.519732743742237,0.5225787914042204,-0.2846047661983375,True
GraphSAGE / GraphMAE,pair_election2020__facebook_page_reference,"election2020,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,election2020,0.5234877187994293,0.5225787914042204,0.09089273952089805,False
GraphSAGE / GraphMAE,pair_covid_political__facebook_page_reference,"covid_political,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,covid_political,0.5196443538907626,0.5225787914042204,-0.2934437513457788,False
GraphSAGE / GraphMAE,pair_ukr_rus_twitter__facebook_page_reference,"facebook_page_reference,ukr_rus_twitter",ukr_rus_suspended,facebook_page_reference,ukr_rus_twitter,0.5234078931026459,0.5225787914042204,0.08291016984255384,False
GraphSAGE / GraphMAE,pair_cp_hk_twitter__facebook_page_reference,"cp_hk_twitter,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,cp_hk_twitter,0.523265109347888,0.5225787914042204,0.06863179436675804,False
GraphSAGE / LP,pair_covid_political__facebook_page_reference,"covid_political,facebook_page_reference",ukr_rus_suspended,covid_political,facebook_page_reference,0.5255432111826692,0.5232361092638722,0.23071019187970165,False
GraphSAGE / LP,pair_covid_political__election2020,"covid_political,election2020",ukr_rus_suspended,covid_political,election2020,0.5153965042006188,0.5232361092638722,-0.783960506325343,False
GraphSAGE / LP,pair_covid_political__ukr_rus_suspended,"covid_political,ukr_rus_suspended",ukr_rus_suspended,covid_political,ukr_rus_suspended,0.5207158991750267,0.5232361092638722,-0.2520210088845509,True
GraphSAGE / LP,pair_covid_political__cp_hk_twitter,"covid_political,cp_hk_twitter",ukr_rus_suspended,covid_political,cp_hk_twitter,0.5238877502977028,0.5232361092638722,0.06516410338306411,False
PRODIGY / NM,nmpair_covid_political__election2020,"covid_political,election2020",ukr_rus_suspended,covid_political,election2020,0.49139404296875,0.52362060546875,-3.22265625,False
PRODIGY / NM,nmpair_ukr_rus__covid_political,"covid_political,ukr_rus_twitter",ukr_rus_suspended,covid_political,ukr_rus_twitter,0.49163818359375,0.52362060546875,-3.1982421875,False
PRODIGY / NM,nmpair_covid_political__twibot20,"covid_political,twibot20",ukr_rus_suspended,covid_political,twibot20,0.5089111328125,0.52362060546875,-1.470947265625,False
PRODIGY / NM,nmpair_covid_political__ukr_rus_suspended,"covid_political,ukr_rus_suspended",ukr_rus_suspended,covid_political,ukr_rus_suspended,0.521484375,0.52362060546875,-0.213623046875,True
PRODIGY / NM,nmpair_covid__covid_political,"covid19_twitter,covid_political",ukr_rus_suspended,covid_political,covid19_twitter,0.5089111328125,0.52362060546875,-1.470947265625,False
PRODIGY / NM,nmpair_covid_political__facebook_page_reference,"covid_political,facebook_page_reference",ukr_rus_suspended,covid_political,facebook_page_reference,0.489166259765625,0.52362060546875,-3.4454345703125,False
PRODIGY / NM,nmpair_covid_political__cp_hk,"covid_political,cp_hk_twitter",ukr_rus_suspended,covid_political,cp_hk_twitter,0.46826171875,0.52362060546875,-5.535888671875,False
PRODIGY / NM,nmpair_midterm__covid_political,"covid_political,midterm",ukr_rus_suspended,covid_political,midterm,0.5277099609375,0.52362060546875,0.408935546875,False
GraphSAGE / GraphMAE,pair_midterm__covid_political,"covid_political,midterm",ukr_rus_suspended,midterm,covid_political,0.523932538007633,0.5238564460145443,0.007609199308866721,False
GraphSAGE / GraphMAE,pair_midterm__cp_hk_twitter,"cp_hk_twitter,midterm",ukr_rus_suspended,midterm,cp_hk_twitter,0.5239997723502737,0.5238564460145443,0.014332633572944342,False
GraphSAGE / GraphMAE,pair_midterm__ukr_rus_suspended,"midterm,ukr_rus_suspended",ukr_rus_suspended,midterm,ukr_rus_suspended,0.5229050055015201,0.5238564460145443,-0.09514405130242043,True
GraphSAGE / GraphMAE,pair_midterm__facebook_page_reference,"facebook_page_reference,midterm",ukr_rus_suspended,midterm,facebook_page_reference,0.5234074084484687,0.5238564460145443,-0.04490375660756163,False
GraphSAGE / GraphMAE,pair_midterm__election2020,"election2020,midterm",ukr_rus_suspended,midterm,election2020,0.5244245752765943,0.5238564460145443,0.05681292620499656,False
GraphSAGE / GraphMAE,pair_ukr_rus_twitter__midterm,"midterm,ukr_rus_twitter",ukr_rus_suspended,midterm,ukr_rus_twitter,0.5210404308207736,0.5238564460145443,-0.2816015193770727,False
GraphSAGE / GraphMAE,pair_midterm__twibot20,"midterm,twibot20",ukr_rus_suspended,midterm,twibot20,0.5248263394296422,0.5238564460145443,0.09698934150979,False
GraphSAGE / GraphMAE,pair_covid19_twitter__midterm,"covid19_twitter,midterm",ukr_rus_suspended,midterm,covid19_twitter,0.5201208172193168,0.5238564460145443,-0.3735628795227486,False
SAMGPT / GraphCL,pair_ukr_rus_twitter__midterm,"midterm,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,midterm,0.5219997829861112,0.524631076388889,-0.263129340277779,False
SAMGPT / GraphCL,pair_ukr_rus_twitter__covid19_twitter,"covid19_twitter,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,covid19_twitter,0.5179578993055556,0.524631076388889,-0.667317708333337,False
SAMGPT / GraphCL,pair_ukr_rus_twitter__covid_political,"covid_political,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,covid_political,0.5146484375,0.524631076388889,-0.9982638888888951,False
SAMGPT / GraphCL,pair_ukr_rus_twitter__twibot20,"twibot20,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,twibot20,0.5198567708333334,0.524631076388889,-0.477430555555558,False
SAMGPT / GraphCL,pair_ukr_rus_twitter__election2020,"election2020,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,election2020,0.5265842013888888,0.524631076388889,0.1953124999999889,False
SAMGPT / GraphCL,pair_ukr_rus_twitter__cp_hk_twitter,"cp_hk_twitter,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,cp_hk_twitter,0.5208875868055556,0.524631076388889,-0.37434895833333703,False
GraphSAGE / LP,pair_midterm__ukr_rus_suspended,"midterm,ukr_rus_suspended",ukr_rus_suspended,midterm,ukr_rus_suspended,0.5193862604160534,0.5268917546727102,-0.7505494256656808,True
GraphSAGE / LP,pair_midterm__election2020,"election2020,midterm",ukr_rus_suspended,midterm,election2020,0.5263768221601994,0.5268917546727102,-0.051493251251077954,False
GraphSAGE / LP,pair_midterm__facebook_page_reference,"facebook_page_reference,midterm",ukr_rus_suspended,midterm,facebook_page_reference,0.521853777074837,0.5268917546727102,-0.5037977597873167,False
GraphSAGE / LP,pair_midterm__covid_political,"covid_political,midterm",ukr_rus_suspended,midterm,covid_political,0.5232270334225,0.5268917546727102,-0.36647212502102233,False
GraphSAGE / LP,pair_midterm__cp_hk_twitter,"cp_hk_twitter,midterm",ukr_rus_suspended,midterm,cp_hk_twitter,0.5284389368632663,0.5268917546727102,0.15471821905560512,False
SAMGPT / GraphCL,pair_ukr_rus_twitter__ukr_rus_suspended,"ukr_rus_suspended,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_suspended,ukr_rus_twitter,0.52734375,0.5291341145833334,-0.17903645833333703,True
SAMGPT / GraphCL,pair_ukr_rus_suspended__cp_hk_twitter,"cp_hk_twitter,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,cp_hk_twitter,0.5322808159722222,0.5291341145833334,0.31467013888888395,True
SAMGPT / GraphCL,pair_midterm__ukr_rus_suspended,"midterm,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,midterm,0.5305989583333334,0.5291341145833334,0.146484375,True
SAMGPT / GraphCL,pair_ukr_rus_suspended__twibot20,"twibot20,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,twibot20,0.5255533854166667,0.5291341145833334,-0.35807291666666297,True
SAMGPT / GraphCL,pair_election2020__ukr_rus_suspended,"election2020,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,election2020,0.5286458333333333,0.5291341145833334,-0.0488281250000111,True
SAMGPT / GraphCL,pair_covid_political__ukr_rus_suspended,"covid_political,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,covid_political,0.5311414930555556,0.5291341145833334,0.200737847222221,True
SAMGPT / GraphCL,pair_covid19_twitter__ukr_rus_suspended,"covid19_twitter,ukr_rus_suspended",ukr_rus_suspended,ukr_rus_suspended,covid19_twitter,0.5294325086805556,0.5291341145833334,0.02983940972222099,True
SAMGPT / GraphCL,pair_ukr_rus_twitter__facebook_page_reference,"facebook_page_reference,ukr_rus_twitter",ukr_rus_suspended,facebook_page_reference,ukr_rus_twitter,0.5206976996527778,0.53076171875,-1.006401909722221,False
SAMGPT / GraphCL,pair_midterm__facebook_page_reference,"facebook_page_reference,midterm",ukr_rus_suspended,facebook_page_reference,midterm,0.5250651041666667,0.53076171875,-0.5696614583333259,False
SAMGPT / GraphCL,pair_ukr_rus_suspended__facebook_page_reference,"facebook_page_reference,ukr_rus_suspended",ukr_rus_suspended,facebook_page_reference,ukr_rus_suspended,0.5283203125,0.53076171875,-0.244140625,True
SAMGPT / GraphCL,pair_election2020__facebook_page_reference,"election2020,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,election2020,0.5213216145833333,0.53076171875,-0.9440104166666741,False
SAMGPT / GraphCL,pair_twibot20__facebook_page_reference,"facebook_page_reference,twibot20",ukr_rus_suspended,facebook_page_reference,twibot20,0.5192328559027777,0.53076171875,-1.152886284722232,False
SAMGPT / GraphCL,pair_covid19_twitter__facebook_page_reference,"covid19_twitter,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,covid19_twitter,0.5269639756944444,0.53076171875,-0.379774305555558,False
SAMGPT / GraphCL,pair_covid_political__facebook_page_reference,"covid_political,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,covid_political,0.5278591579861112,0.53076171875,-0.29025607638888395,False
SAMGPT / GraphCL,pair_cp_hk_twitter__facebook_page_reference,"cp_hk_twitter,facebook_page_reference",ukr_rus_suspended,facebook_page_reference,cp_hk_twitter,0.5248752170138888,0.53076171875,-0.588650173611116,False
GraphSAGE / LP,pair_covid_political__twibot20,"covid_political,twibot20",ukr_rus_suspended,twibot20,covid_political,0.5237634632119295,0.53236778756013,-0.8604324348200576,False
GraphSAGE / LP,pair_election2020__twibot20,"election2020,twibot20",ukr_rus_suspended,twibot20,election2020,0.5301433594054925,0.53236778756013,-0.22244281546375255,False
GraphSAGE / LP,pair_ukr_rus_suspended__twibot20,"twibot20,ukr_rus_suspended",ukr_rus_suspended,twibot20,ukr_rus_suspended,0.5235676603498008,0.53236778756013,-0.8800127210329189,True
GraphSAGE / LP,pair_twibot20__cp_hk_twitter,"cp_hk_twitter,twibot20",ukr_rus_suspended,twibot20,cp_hk_twitter,0.5298024660149387,0.53236778756013,-0.25653215451912903,False
GraphSAGE / LP,pair_midterm__twibot20,"midterm,twibot20",ukr_rus_suspended,twibot20,midterm,0.5308203511353111,0.53236778756013,-0.15474364248189154,False
GraphSAGE / LP,pair_twibot20__facebook_page_reference,"facebook_page_reference,twibot20",ukr_rus_suspended,twibot20,facebook_page_reference,0.5296466294225787,0.53236778756013,-0.27211581375513605,False
GraphSAGE / LP,pair_covid19_twitter__midterm,"covid19_twitter,midterm",ukr_rus_suspended,covid19_twitter,midterm,0.5287483109978921,0.532385876167032,-0.36375651691399336,False
GraphSAGE / LP,pair_covid19_twitter__covid_political,"covid19_twitter,covid_political",ukr_rus_suspended,covid19_twitter,covid_political,0.5233948692284409,0.532385876167032,-0.8991006938591117,False
GraphSAGE / LP,pair_covid19_twitter__ukr_rus_suspended,"covid19_twitter,ukr_rus_suspended",ukr_rus_suspended,covid19_twitter,ukr_rus_suspended,0.5152131330721333,0.532385876167032,-1.717274309489869,True
GraphSAGE / LP,pair_covid19_twitter__twibot20,"covid19_twitter,twibot20",ukr_rus_suspended,covid19_twitter,twibot20,0.5344898693677033,0.532385876167032,0.2103993200671228,False
GraphSAGE / LP,pair_covid19_twitter__cp_hk_twitter,"covid19_twitter,cp_hk_twitter",ukr_rus_suspended,covid19_twitter,cp_hk_twitter,0.5291584018057754,0.532385876167032,-0.3227474361256588,False
GraphSAGE / LP,pair_covid19_twitter__facebook_page_reference,"covid19_twitter,facebook_page_reference",ukr_rus_suspended,covid19_twitter,facebook_page_reference,0.5367652377014346,0.532385876167032,0.4379361534402548,False
GraphSAGE / LP,pair_covid19_twitter__election2020,"covid19_twitter,election2020",ukr_rus_suspended,covid19_twitter,election2020,0.528469863335001,0.532385876167032,-0.3916012832031024,False
PRODIGY / NM,nmpair_covid_political__facebook_page_reference,"covid_political,facebook_page_reference",twibot20,covid_political,facebook_page_reference,0.540183597140842,0.5382698906792535,0.19137064615885047,False
PRODIGY / NM,nmpair_midterm__covid_political,"covid_political,midterm",twibot20,midterm,covid_political,0.5681056976318359,0.5385085211859809,2.9597176445855022,False
PRODIGY / NM,nmpair_midterm__facebook_page_reference,"facebook_page_reference,midterm",twibot20,midterm,facebook_page_reference,0.5887777540418837,0.5385085211859809,5.026923285590279,False
GraphSAGE / LP,pair_ukr_rus_twitter__twibot20,"twibot20,ukr_rus_twitter",ukr_rus_suspended,ukr_rus_twitter,twibot20,0.5433493966435881,0.544663940967283,-0.13145443236949328,False
