model,pair_model_id,target,baseline_source,added_source,singleton_value,pair_value,impact,metric
PRODIGY / NM,nmpair_ukr_rus__covid,covid_political,covid19_twitter,ukr_rus_twitter,0.8347613955366201,0.8355497908318179,0.0007883952951978,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,ukr_rus_suspended,covid19_twitter,ukr_rus_twitter,0.8194536350239282,0.8378966660335145,0.0184430310095863,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,midterm,covid19_twitter,ukr_rus_twitter,0.846854570679281,0.8489950395178522,0.0021404688385711,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,election2020,covid19_twitter,ukr_rus_twitter,0.8370253521820594,0.836862613551918,-0.0001627386301413,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__covid,cp_hk_twitter,covid19_twitter,ukr_rus_twitter,0.7119141652666288,0.7076464278944609,-0.0042677373721679,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,ukr_rus_twitter,covid19_twitter,twibot20,0.8920421153649517,0.88660879272154,-0.0054333226434116,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,facebook_page_reference,covid19_twitter,twibot20,0.8340093752433513,0.8451789461333177,0.0111695708899663,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,covid_political,covid19_twitter,twibot20,0.8347613955366201,0.8349873396171922,0.000225944080572,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,ukr_rus_suspended,covid19_twitter,twibot20,0.8194536350239282,0.8164383690932702,-0.003015265930658,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,midterm,covid19_twitter,twibot20,0.846854570679281,0.8537440508261493,0.0068894801468682,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,election2020,covid19_twitter,twibot20,0.8370253521820594,0.8404344639558903,0.0034091117738308,macro ROC-AUC
PRODIGY / NM,nmpair_covid__twibot20,cp_hk_twitter,covid19_twitter,twibot20,0.7119141652666288,0.7222671216931836,0.0103529564265548,macro ROC-AUC
PRODIGY / NM,nmpair_covid__midterm,ukr_rus_twitter,covid19_twitter,midterm,0.8920421153649517,0.8883188288787315,-0.0037232864862202,macro ROC-AUC
PRODIGY / NM,nmpair_covid__midterm,facebook_page_reference,covid19_twitter,midterm,0.8340093752433513,0.8397671854358981,0.0057578101925468,macro ROC-AUC
PRODIGY / NM,nmpair_covid__midterm,twibot20,covid19_twitter,midterm,0.904076775463148,0.9006330095488451,-0.0034437659143029,macro ROC-AUC
PRODIGY / NM,nmpair_covid__midterm,covid_political,covid19_twitter,midterm,0.8347613955366201,0.8413338309046865,0.0065724353680663,macro ROC-AUC
PRODIGY / NM,nmpair_covid__midterm,ukr_rus_suspended,covid19_twitter,midterm,0.8194536350239282,0.8126213579342284,-0.0068322770896998,macro ROC-AUC
PRODIGY / NM,nmpair_covid__midterm,election2020,covid19_twitter,midterm,0.8370253521820594,0.8341837785709864,-0.002841573611073,macro ROC-AUC
PRODIGY / NM,nmpair_covid__midterm,cp_hk_twitter,covid19_twitter,midterm,0.7119141652666288,0.7126178196106835,0.0007036543440547,macro ROC-AUC
PRODIGY / NM,nmpair_covid__ukr_rus_suspended,ukr_rus_twitter,covid19_twitter,ukr_rus_suspended,0.8920421153649517,0.8848729691286198,-0.0071691462363319,macro ROC-AUC
PRODIGY / NM,nmpair_covid__ukr_rus_suspended,facebook_page_reference,covid19_twitter,ukr_rus_suspended,0.8340093752433513,0.8432043109817066,0.0091949357383552,macro ROC-AUC
PRODIGY / NM,nmpair_covid__ukr_rus_suspended,twibot20,covid19_twitter,ukr_rus_suspended,0.904076775463148,0.8989060655407521,-0.0051707099223958,macro ROC-AUC
PRODIGY / NM,nmpair_covid__ukr_rus_suspended,covid_political,covid19_twitter,ukr_rus_suspended,0.8347613955366201,0.8316758580591487,-0.0030855374774714,macro ROC-AUC
PRODIGY / NM,nmpair_covid__ukr_rus_suspended,midterm,covid19_twitter,ukr_rus_suspended,0.846854570679281,0.8462541230793656,-0.0006004475999153,macro ROC-AUC
PRODIGY / NM,nmpair_covid__ukr_rus_suspended,election2020,covid19_twitter,ukr_rus_suspended,0.8370253521820594,0.832211951277722,-0.0048134009043374,macro ROC-AUC
PRODIGY / NM,nmpair_covid__ukr_rus_suspended,cp_hk_twitter,covid19_twitter,ukr_rus_suspended,0.7119141652666288,0.7122800026816883,0.0003658374150595,macro ROC-AUC
PRODIGY / NM,nmpair_covid__covid_political,ukr_rus_twitter,covid19_twitter,covid_political,0.8920421153649517,0.8862072053996994,-0.0058349099652522,macro ROC-AUC
PRODIGY / NM,nmpair_covid__covid_political,facebook_page_reference,covid19_twitter,covid_political,0.8340093752433513,0.8381271740485882,0.0041177988052368,macro ROC-AUC
