arm,step,task,dataset,target,metric,value,shots,model
covid,1000,regression,midterm,followers_count,spearman,-0.1883349950399694,10,sat_covid_s001000
covid,1000,regression,twibot20,account_age_days,spearman,-0.2763607135235321,10,sat_covid_s001000
covid,1000,regression,twibot20,followers_count,spearman,-0.3616654358515594,10,sat_covid_s001000
covid,1000,regression,ukr_rus_twitter,account_age_days,spearman,-0.1826632338494777,10,sat_covid_s001000
covid,1000,regression,ukr_rus_twitter,followers_count,spearman,-0.1035960222796724,10,sat_covid_s001000
covid,2000,regression,covid19_twitter,account_age_days,spearman,-0.1943667718203603,10,sat_covid_s002000
covid,2000,regression,covid19_twitter,followers_count,spearman,-0.0289162192576705,10,sat_covid_s002000
covid,2000,regression,midterm,account_age_days,spearman,-0.2858880019460302,10,sat_covid_s002000
covid,2000,regression,midterm,followers_count,spearman,-0.1387628936112736,10,sat_covid_s002000
covid,2000,regression,twibot20,account_age_days,spearman,-0.2547132983903299,10,sat_covid_s002000
covid,2000,regression,twibot20,followers_count,spearman,-0.2985106240802506,10,sat_covid_s002000
covid,2000,regression,ukr_rus_twitter,account_age_days,spearman,-0.1706412143199518,10,sat_covid_s002000
covid,2000,regression,ukr_rus_twitter,followers_count,spearman,-0.0620094839793524,10,sat_covid_s002000
covid,10000,regression,covid19_twitter,account_age_days,spearman,-0.0837886155381982,10,sat_covid_s010000
covid,10000,regression,covid19_twitter,followers_count,spearman,-0.0785624828712911,10,sat_covid_s010000
covid,10000,regression,midterm,account_age_days,spearman,-0.1204642544209543,10,sat_covid_s010000
covid,10000,regression,midterm,followers_count,spearman,-0.1551566261649822,10,sat_covid_s010000
covid,10000,regression,twibot20,account_age_days,spearman,-0.094610697152226,10,sat_covid_s010000
covid,10000,regression,twibot20,followers_count,spearman,-0.3821064956502526,10,sat_covid_s010000
covid,10000,regression,ukr_rus_twitter,account_age_days,spearman,-0.0744261972002131,10,sat_covid_s010000
covid,10000,regression,ukr_rus_twitter,followers_count,spearman,-0.0631017706515636,10,sat_covid_s010000
covid,40000,regression,covid19_twitter,account_age_days,spearman,-0.0893925978856738,10,sat_covid_s040000
covid,40000,regression,covid19_twitter,followers_count,spearman,-0.1327092018549084,10,sat_covid_s040000
covid,40000,regression,midterm,account_age_days,spearman,-0.0358654219378657,10,sat_covid_s040000
covid,40000,regression,midterm,followers_count,spearman,-0.0441963346056106,10,sat_covid_s040000
covid,40000,regression,twibot20,account_age_days,spearman,-0.0261687769899989,10,sat_covid_s040000
covid,40000,regression,twibot20,followers_count,spearman,-0.1720239480362351,10,sat_covid_s040000
covid,40000,regression,ukr_rus_twitter,account_age_days,spearman,-0.0867609810766314,10,sat_covid_s040000
covid,40000,regression,ukr_rus_twitter,followers_count,spearman,-0.1425015880050358,10,sat_covid_s040000
ukr,100,regression,covid19_twitter,account_age_days,spearman,-0.0105719284620933,10,sat_ukr_s000100
ukr,100,regression,covid19_twitter,followers_count,spearman,-0.1017959725912848,10,sat_ukr_s000100
ukr,100,regression,midterm,account_age_days,spearman,-0.0016985024708772,10,sat_ukr_s000100
ukr,100,regression,midterm,followers_count,spearman,-0.1187559157312384,10,sat_ukr_s000100
ukr,100,regression,twibot20,account_age_days,spearman,-0.0468981428393671,10,sat_ukr_s000100
ukr,100,regression,twibot20,followers_count,spearman,-0.1515128736821948,10,sat_ukr_s000100
ukr,100,regression,ukr_rus_twitter,account_age_days,spearman,-0.0052433017305099,10,sat_ukr_s000100
ukr,100,regression,ukr_rus_twitter,followers_count,spearman,-0.0943177996010159,10,sat_ukr_s000100
ukr,500,regression,covid19_twitter,account_age_days,spearman,0.0677586781147597,10,sat_ukr_s000500
ukr,500,regression,covid19_twitter,followers_count,spearman,-0.0544685117692333,10,sat_ukr_s000500
