task,training_seed,dataset,roc_auc_challenger,roc_auc_reference,challenger,reference,delta
nm,2,cp_hk,0.7406958441624697,0.7144652261131111,mix_p100,mix_p000,0.026230618049358556
nm,2,election2020,0.8476623795498376,0.8446451206316894,mix_p100,mix_p000,0.0030172589181481912
nm,2,facebook_page_reference,0.8592704193345431,0.8653354167938232,mix_p100,mix_p000,-0.00606499745928013
nm,2,midterm,0.867481961743585,0.8577681503076663,mix_p100,mix_p000,0.009713811435918762
nm,2,twibot20,0.9014005426702827,0.9051896061020336,mix_p100,mix_p000,-0.0037890634317508942
nm,2,ukr_rus,0.901286317562235,0.9009854138582601,mix_p100,mix_p000,0.0003009037039748419
nm,2,ukr_rus_suspended,0.8943060444689347,0.8896042759391084,mix_p100,mix_p000,0.004701768529826289
classification,0,covid_political,0.9305270159686052,0.9049662837275751,mix_p100,mix_p000,0.02556073224103006
classification,0,election2020,0.986328125,0.9901123046875,mix_p100,mix_p000,-0.0037841796875
classification,0,facebook_page_reference,0.7686691284179688,0.7807769775390625,mix_p100,mix_p000,-0.01210784912109375
classification,0,twibot20,0.6494216918945312,0.6078959570990669,mix_p100,mix_p000,0.0415257347954644
classification,0,ukr_rus_suspended,0.50457763671875,0.5252685546875,mix_p100,mix_p000,-0.02069091796875
classification,1,covid_political,0.8775990804036459,0.9374937834563078,mix_p100,mix_p000,-0.05989470305266198
classification,1,election2020,0.9937744140625,0.98797607421875,mix_p100,mix_p000,0.00579833984375
classification,1,facebook_page_reference,0.7469291687011719,0.780792236328125,mix_p100,mix_p000,-0.033863067626953125
classification,1,twibot20,0.6611974504258897,0.6245155334472656,mix_p100,mix_p000,0.03668191697862411
classification,1,ukr_rus_suspended,0.52685546875,0.50872802734375,mix_p100,mix_p000,0.01812744140625
classification,2,covid_political,0.8932755081741899,0.9357590851960358,mix_p100,mix_p000,-0.04248357702184591
classification,2,election2020,0.99029541015625,0.99041748046875,mix_p100,mix_p000,-0.0001220703125
classification,2,facebook_page_reference,0.7547454833984375,0.7879409790039062,mix_p100,mix_p000,-0.03319549560546875
classification,2,twibot20,0.6405425601535373,0.647330813937717,mix_p100,mix_p000,-0.0067882537841796875
classification,2,ukr_rus_suspended,0.515625,0.4464111328125,mix_p100,mix_p000,0.0692138671875
nm,0,covid,0.9571892147776725,0.9485170513734048,wide_p000,mix_p000,0.008672163404267685
nm,0,covid_political,0.8482080993981198,0.8248021745133673,wide_p000,mix_p000,0.02340592488475246
nm,0,cp_hk,0.7160525754950512,0.7077394496435405,wide_p000,mix_p000,0.008313125851510672
nm,0,election2020,0.8419721492405594,0.8427322028697223,wide_p000,mix_p000,-0.0007600536291628712
nm,0,facebook_page_reference,0.8739201260709213,0.8540772468194195,wide_p000,mix_p000,0.019842879251501744
nm,0,midterm,0.8537334251677854,0.8463518907283913,wide_p000,mix_p000,0.007381534439394044
nm,0,twibot20,0.9043601660892882,0.8997305820728171,wide_p000,mix_p000,0.004629584016471067
nm,0,ukr_rus,0.9084827510789892,0.8945761265425847,wide_p000,mix_p000,0.013906624536404566
nm,0,ukr_rus_suspended,0.8868790507316591,0.8791836179535965,wide_p000,mix_p000,0.007695432778062616
nm,1,covid,0.9557266625864753,0.9537043470075762,wide_p000,mix_p000,0.002022315578899092
nm,1,covid_political,0.8494584317865043,0.8560132313048701,wide_p000,mix_p000,-0.006554799518365795
nm,1,cp_hk,0.717546676356217,0.7146759880000148,wide_p000,mix_p000,0.0028706883562023
nm,1,election2020,0.8444153699381598,0.8452364785917875,wide_p000,mix_p000,-0.0008211086536277223
nm,1,facebook_page_reference,0.8688405937161938,0.8591737379972965,wide_p000,mix_p000,0.00966685571889736
nm,1,midterm,0.8630887763253573,0.8568117215715605,wide_p000,mix_p000,0.006277054753796807
nm,1,twibot20,0.9049683244749046,0.9005168688708338,wide_p000,mix_p000,0.0044514556040707864
nm,1,ukr_rus,0.8974671055530679,0.8954299085441677,wide_p000,mix_p000,0.002037197008900149
nm,1,ukr_rus_suspended,0.8909107042455126,0.8901001012188264,wide_p000,mix_p000,0.0008106030266861186
nm,2,covid,0.9562635303913865,0.9565401789785801,wide_p000,mix_p000,-0.000276648587193673
nm,2,covid_political,0.8423210818192055,0.8476910907646705,wide_p000,mix_p000,-0.005370008945465021
nm,2,cp_hk,0.7145386358787273,0.7144652261131111,wide_p000,mix_p000,7.340976561620582e-05
nm,2,election2020,0.8422250844966405,0.8446451206316894,wide_p000,mix_p000,-0.0024200361350489308
nm,2,facebook_page_reference,0.8744881320273739,0.8653354167938232,wide_p000,mix_p000,0.009152715233550657
nm,2,midterm,0.8607741029783228,0.8577681503076663,wide_p000,mix_p000,0.0030059526706565087
nm,2,twibot20,0.9032540518662026,0.9051896061020336,wide_p000,mix_p000,-0.0019355542358310274
nm,2,ukr_rus,0.9033450735026392,0.9009854138582601,wide_p000,mix_p000,0.0023596596443790085
nm,2,ukr_rus_suspended,0.8917450771934685,0.8896042759391084,wide_p000,mix_p000,0.002140801254360114
