task,arm,cross_graph_prob,emb_dim,checkpoint_step,training_seed,roc_auc
nm,mix_p010,0.1,256,8000,2,0.8601306130755145
nm,mix_p010,0.1,256,10000,0,0.8637885910188863
nm,mix_p010,0.1,256,10000,1,0.8603942087479174
nm,mix_p010,0.1,256,10000,2,0.8639352825105114
nm,mix_p025,0.25,256,2000,0,0.8510388896992075
nm,mix_p025,0.25,256,2000,1,0.8504880409131105
nm,mix_p025,0.25,256,2000,2,0.8534062985563948
nm,mix_p025,0.25,256,4000,0,0.8590035304408116
nm,mix_p025,0.25,256,4000,1,0.8578965822551138
nm,mix_p025,0.25,256,4000,2,0.8593058150694592
nm,mix_p025,0.25,256,6000,0,0.863366729591998
nm,mix_p025,0.25,256,6000,1,0.8610859445380677
nm,mix_p025,0.25,256,6000,2,0.85843098417857
nm,mix_p025,0.25,256,8000,0,0.8602819626815474
nm,mix_p025,0.25,256,8000,1,0.8595645269823866
nm,mix_p025,0.25,256,8000,2,0.8628651734208391
nm,mix_p025,0.25,256,10000,0,0.8612362719586982
nm,mix_p025,0.25,256,10000,1,0.8642916627009405
nm,mix_p025,0.25,256,10000,2,0.8597198882474449
nm,mix_p050,0.5,256,2000,0,0.8561454478960536
nm,mix_p050,0.5,256,2000,1,0.8567769480086531
nm,mix_p050,0.5,256,2000,2,0.8542129980193244
nm,mix_p050,0.5,256,4000,0,0.8647448947298725
nm,mix_p050,0.5,256,4000,1,0.862481906755065
nm,mix_p050,0.5,256,4000,2,0.8570478995184332
nm,mix_p050,0.5,256,6000,0,0.8660003281644477
nm,mix_p050,0.5,256,6000,1,0.8663490907138031
nm,mix_p050,0.5,256,6000,2,0.863741438705498
nm,mix_p050,0.5,256,8000,0,0.8680513761813918
nm,mix_p050,0.5,256,8000,1,0.8624501631786692
nm,mix_p050,0.5,256,8000,2,0.8652661746489134
nm,mix_p050,0.5,256,10000,0,0.8695840993146786
nm,mix_p050,0.5,256,10000,1,0.8664386072682543
nm,mix_p050,0.5,256,10000,2,0.8628297739254256
nm,mix_p100,1.0,256,2000,0,0.8589115976982798
nm,mix_p100,1.0,256,2000,1,0.8579928637312138
nm,mix_p100,1.0,256,2000,2,0.8579584837416578
nm,mix_p100,1.0,256,4000,0,0.865526808328251
nm,mix_p100,1.0,256,4000,1,0.8604531686272505
nm,mix_p100,1.0,256,4000,2,0.8661200094801561
nm,mix_p100,1.0,256,6000,0,0.8679726368470515
nm,mix_p100,1.0,256,6000,1,0.8672094652783673
nm,mix_p100,1.0,256,6000,2,0.8670704508954385
nm,mix_p100,1.0,256,8000,0,0.8694121074859209
nm,mix_p100,1.0,256,8000,1,0.8650419888520758
nm,mix_p100,1.0,256,8000,2,0.8668016670459685
nm,mix_p100,1.0,256,10000,0,0.8700576658906607
nm,mix_p100,1.0,256,10000,1,0.8687926950887093
nm,mix_p100,1.0,256,10000,2,0.8677841487363228
nm,wide_p000,0.0,512,2000,0,0.850264818595287
nm,wide_p000,0.0,512,2000,1,0.8544264140256977
nm,wide_p000,0.0,512,2000,2,0.8509928537815772
nm,wide_p000,0.0,512,4000,0,0.85196684707018
nm,wide_p000,0.0,512,4000,1,0.8568920961589497
nm,wide_p000,0.0,512,4000,2,0.8628433076662427
nm,wide_p000,0.0,512,6000,0,0.8591185468519024
nm,wide_p000,0.0,512,6000,1,0.8612609011612329
nm,wide_p000,0.0,512,6000,2,0.8616525721580437
nm,wide_p000,0.0,512,8000,0,0.8629408715785235
nm,wide_p000,0.0,512,8000,1,0.8651039767691611
nm,wide_p000,0.0,512,8000,2,0.8622116727086014
nm,wide_p000,0.0,512,10000,0,0.8656441731166717
nm,wide_p000,0.0,512,10000,1,0.865824738331377
nm,wide_p000,0.0,512,10000,2,0.8654394189059963
