architecture,model_id,n_sources,sources,covid_political,election2020,ukr_rus_suspended,twibot20,mean_roc_auc
prodigy,ordC_r2,2,"twibot20,midterm",0.704167401349103,0.92266845703125,0.494384765625,0.6745855543348523,0.6989515445850514
prodigy,ordC_r3,3,"twibot20,midterm,covid",0.6516333685980903,0.79388427734375,0.49761962890625,0.605561786227756,0.6371747652689616
prodigy,ordC_r4,4,"twibot20,midterm,covid,covid_political",0.699066162109375,0.649169921875,0.4835205078125,0.6741176181369359,0.6264685524834528
prodigy,ordC_r5,5,"twibot20,midterm,covid,covid_political,cp_hk",0.6263913755063658,0.5560302734375,0.47698974609375,0.5912560356987847,0.5626668576841002
prodigy,ordC_r6,6,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference",0.6256092212818286,0.6224365234375,0.49072265625,0.6348188188340929,0.5933968049508553
prodigy,ordC_r7,7,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus",0.525462962962963,0.5091552734375,0.50006103515625,0.6130360497368708,0.5369288303233959
prodigy,ordC_r8,8,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus,election2020",0.5588831018518519,0.5616455078125,0.5,0.5899437798394097,0.5526180973759404
vision,ss_ukr_rus,1,ukr_rus,0.7212442468713831,0.8287353515625,0.47589111328125,0.6177618238661025,0.6609081338953089
vision,ss_covid,1,covid,0.881331549750434,0.97210693359375,0.51641845703125,0.5980686611599393,0.7419814003838433
vision,ss_midterm,1,midterm,0.92133218270761,0.980224609375,0.48199462890625,0.5545262230767144,0.7345194110163936
vision,ss_covid_political,1,covid_political,0.9302421852394387,0.98876953125,0.55078125,0.5691871643066406,0.7597450326990198
vision,ss_election2020,1,election2020,0.9275529649522569,0.99188232421875,0.53961181640625,0.5107354058159722,0.7424456278483074
vision,ss_ukr_rus_suspended,1,ukr_rus_suspended,0.8425620750144676,0.93243408203125,0.444671630859375,0.5786857604980469,0.6995883871007849
vision,ss_twibot20,1,twibot20,0.9245040328414353,0.98699951171875,0.5050048828125,0.5790814293755425,0.7488974641870569
vision,ss_cp_hk,1,cp_hk,0.617923312717014,0.61810302734375,0.50604248046875,0.62907960679796,0.5927871068318684
vision,ss_facebook_page_reference,1,facebook_page_reference,0.8242662217881944,0.95849609375,0.522705078125,0.5963018205430772,0.725442303551568
vision,ordA_r2,2,"ukr_rus,covid",0.8295177883572049,0.911376953125,0.531005859375,0.611697726779514,0.7208995819091797
vision,ordA_r3,3,"ukr_rus,covid,midterm",0.9001868919089988,0.980224609375,0.476806640625,0.5982449849446615,0.7388657817134151
vision,ordA_r4,4,"ukr_rus,covid,midterm,covid_political",0.9228283917462383,0.98736572265625,0.51678466796875,0.606842041015625,0.7584552058467158
vision,ordA_r5,5,"ukr_rus,covid,midterm,covid_political,election2020",0.9270499900535302,0.9862060546875,0.48828125,0.5983977847629123,0.7499837698759856
vision,ordA_r6,6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0.9265001085069444,0.98870849609375,0.49609375,0.6037303076850044,0.7537581655714247
vision,ordA_r7,7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0.9280836317274306,0.98858642578125,0.4881591796875,0.5929489135742188,0.7494445376925998
vision,ordA_r8,8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0.9266637166341146,0.986572265625,0.4974365234375,0.6033840179443359,0.7535141309102377
vision,all9,9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0.9225085223162616,0.98687744140625,0.4830322265625,0.5987654791937935,0.7477959173697013
vision,ordB_r2,2,"ukr_rus_suspended,election2020",0.9210507428204573,0.991455078125,0.50286865234375,0.5479534996880425,0.7408319932443125
vision,ordB_r3,3,"ukr_rus_suspended,election2020,ukr_rus",0.9235885054976851,0.99200439453125,0.50067138671875,0.5909239451090496,0.7517970579641837
vision,ordB_r4,4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0.9183612399631077,0.99200439453125,0.50750732421875,0.5968479580349393,0.7536802291870117
vision,ordB_r5,5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0.9190244321469907,0.98944091796875,0.51177978515625,0.6120041741265192,0.7580623273496274
vision,ordB_r6,6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0.9228662561487269,0.99139404296875,0.49951171875,0.6123335096571181,0.7565263818811487
vision,ordB_r7,7,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid",0.9218057703088831,0.98699951171875,0.494171142578125,0.6009578704833984,0.7509835737722892
vision,ordB_r8,8,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid,midterm",0.9186118797019677,0.98785400390625,0.521270751953125,0.6091175079345703,0.7592135358739782
vision,ordC_r2,2,"twibot20,midterm",0.9197393346715856,0.9859619140625,0.513214111328125,0.5473783281114366,0.7415734220434118
vision,ordC_r3,3,"twibot20,midterm,covid",0.9171639901620371,0.98541259765625,0.4664306640625,0.5911568535698785,0.7400410263626664
vision,ordC_r4,4,"twibot20,midterm,covid,covid_political",0.9278191460503472,0.98638916015625,0.4976806640625,0.5993834601508248,0.7528181076049805
vision,ordC_r5,5,"twibot20,midterm,covid,covid_political,cp_hk",0.9271935356987848,0.9859619140625,0.509765625,0.6094684600830078,0.7580973837110732
vision,ordC_r6,6,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference",0.9244709721317997,0.98529052734375,0.50811767578125,0.604567633734809,0.7556117022479022
vision,ordC_r7,7,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus",0.9164304380063657,0.9859619140625,0.5247802734375,0.6145687103271484,0.7604353339583785
vision,ordC_r8,8,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus,election2020",0.9230112146448206,0.98626708984375,0.49432373046875,0.6060449812147353,0.752411754043014
gilt,ss_ukr_rus,1,ukr_rus,0.6868986906828703,0.78533935546875,0.49017333984375,0.5419194963243272,0.6260827205799244
gilt,ss_covid,1,covid,0.7496442441587094,0.868896484375,0.46923828125,0.5466206868489584,0.6585999241581669
gilt,ss_midterm,1,midterm,0.7216952288592302,0.7728271484375,0.482421875,0.562385982937283,0.6348325588085033
gilt,ss_covid_political,1,covid_political,0.8988573992693865,0.98046875,0.49664306640625,0.5345206790500218,0.7276224736814145
gilt,ss_election2020,1,election2020,0.905025906032986,0.9862060546875,0.49652099609375,0.5112467871771919,0.724749935997857
gilt,ss_ukr_rus_suspended,1,ukr_rus_suspended,0.6698427553530093,0.7613525390625,0.49993896484375,0.5372375912136502,0.6170929626182273
gilt,ss_twibot20,1,twibot20,0.8295124195240162,0.93499755859375,0.47772216796875,0.5160800086127387,0.6895780386748137
gilt,ss_cp_hk,1,cp_hk,0.6212316442418981,0.66265869140625,0.50091552734375,0.5297103457980686,0.5786290521974917
gilt,ss_facebook_page_reference,1,facebook_page_reference,0.6698735555013021,0.70361328125,0.489013671875,0.5472609202067057,0.602440357208252
gilt,ordA_r2,2,"ukr_rus,covid",0.7241663049768519,0.83642578125,0.4881591796875,0.5449500613742404,0.6484253318221481
gilt,ordA_r3,3,"ukr_rus,covid,midterm",0.7230032461660878,0.8094482421875,0.48590087890625,0.5548027886284722,0.6432887889720775
gilt,ordA_r4,4,"ukr_rus,covid,midterm,covid_political",0.8205275358977142,0.94720458984375,0.488037109375,0.5522047678629557,0.7019935007448549
gilt,ordA_r5,5,"ukr_rus,covid,midterm,covid_political,election2020",0.8380443431712963,0.97344970703125,0.49212646484375,0.5488098992241753,0.7131076035676179
gilt,ordA_r6,6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0.8423812301070602,0.97613525390625,0.49078369140625,0.5480278862847222,0.7143320154260706
gilt,ordA_r7,7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0.8381234628182872,0.96697998046875,0.47601318359375,0.5458577473958334,0.7067435935691552
gilt,ordA_r8,8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0.831091704191985,0.9658203125,0.48773193359375,0.545337888929579,0.7074954598038286
gilt,all9,9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0.8385659677010996,0.9678955078125,0.490234375,0.5461529625786675,0.7107122032730668
gilt,ordB_r2,2,"ukr_rus_suspended,election2020",0.8588997169777199,0.9832763671875,0.49725341796875,0.5310635036892362,0.7176232514558015
gilt,ordB_r3,3,"ukr_rus_suspended,election2020,ukr_rus",0.8362531308774594,0.97808837890625,0.484375,0.5401407877604167,0.7097143243860315
gilt,ordB_r4,4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0.7991016529224537,0.959228515625,0.49725341796875,0.5431048075358073,0.6996720985130027
gilt,ordB_r5,5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0.7717711837203416,0.927490234375,0.49432373046875,0.5423643324110243,0.6839873702437789
gilt,ordB_r6,6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0.8280128196433738,0.96435546875,0.49945068359375,0.5423967573377821,0.7085539323312264
gilt,ordB_r7,7,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid",0.8343228940610532,0.96875,0.49365234375,0.5440485212537978,0.7101934397662126
gilt,ordB_r8,8,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid,midterm",0.8025190565321181,0.949951171875,0.48577880859375,0.5472662183973525,0.696378813849555
gilt,ordC_r2,2,"twibot20,midterm",0.7857502124927663,0.8865966796875,0.48028564453125,0.5464113023546007,0.6747609597665292
gilt,ordC_r3,3,"twibot20,midterm,covid",0.7846250180844907,0.88665771484375,0.474822998046875,0.5496995713975694,0.6739513255931713
gilt,ordC_r4,4,"twibot20,midterm,covid,covid_political",0.8363963939525464,0.950439453125,0.482177734375,0.548405753241645,0.7043548336735478
gilt,ordC_r5,5,"twibot20,midterm,covid,covid_political,cp_hk",0.8091976024486401,0.93328857421875,0.48455810546875,0.5454012552897135,0.6931113843564634
gilt,ordC_r6,6,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference",0.8249946876808449,0.94122314453125,0.49114990234375,0.5495355394151475,0.7017258184927482
gilt,ordC_r7,7,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus",0.8092397054036458,0.93475341796875,0.481689453125,0.5438641442192925,0.692386680179172
gilt,ordC_r8,8,"twibot20,midterm,covid,covid_political,cp_hk,facebook_page_reference,ukr_rus,election2020",0.8289941858362267,0.96044921875,0.484375,0.5462364620632596,0.7050137166623716
