architecture,model_id,sources,seed,checkpoint_step,task,dataset,n_way,n_shot,n_query,episodes,queries,episode_fingerprint,roc_auc,accuracy,f1
prodigy,ss_facebook_page_reference,facebook_page_reference,0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6629920535617404,0.6028645833333334,0.6882984159427695
prodigy,ordA_r2,"ukr_rus,covid",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6410143816912616,0.5872395833333334,0.44773519163763065
prodigy,ordA_r2,"ukr_rus,covid",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.52294921875,0.5078125,0.6358381502890174
prodigy,ordA_r2,"ukr_rus,covid",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.51837158203125,0.515625,0.504
prodigy,ordA_r2,"ukr_rus,covid",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6369732750786675,0.57421875,0.6797257590597453
prodigy,ordA_r3,"ukr_rus,covid,midterm",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6550162986472802,0.6383463541666666,0.4650938854116514
prodigy,ordA_r3,"ukr_rus,covid,midterm",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5455322265625,0.55859375,0.6195286195286195
prodigy,ordA_r3,"ukr_rus,covid,midterm",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.51116943359375,0.54296875,0.5224489795918368
prodigy,ordA_r3,"ukr_rus,covid,midterm",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6963975694444444,0.6569010416666666,0.7180310326377742
prodigy,ordA_r4,"ukr_rus,covid,midterm,covid_political",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5695687753182871,0.7027994791666666,0.20539599651871193
prodigy,ordA_r4,"ukr_rus,covid,midterm,covid_political",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5338134765625,0.50390625,0.3681592039800995
prodigy,ordA_r4,"ukr_rus,covid,midterm,covid_political",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49542236328125,0.48828125,0.4425531914893617
prodigy,ordA_r4,"ukr_rus,covid,midterm,covid_political",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6228266821967231,0.5338541666666666,0.676164631388512
prodigy,ordA_r5,"ukr_rus,covid,midterm,covid_political,election2020",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6578747784649883,0.6279296875,0.46812470916705445
prodigy,ordA_r5,"ukr_rus,covid,midterm,covid_political,election2020",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.511474609375,0.53125,0.6341463414634146
prodigy,ordA_r5,"ukr_rus,covid,midterm,covid_political,election2020",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.47662353515625,0.484375,0.4
prodigy,ordA_r5,"ukr_rus,covid,midterm,covid_political,election2020",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6713782416449653,0.6380208333333334,0.7051961823966065
prodigy,ordA_r6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6169184932002316,0.654296875,0.39590443686006827
prodigy,ordA_r6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5147705078125,0.49609375,0.5095057034220533
prodigy,ordA_r6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.476806640625,0.46484375,0.4017467248908297
prodigy,ordA_r6,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6840858459472656,0.6494140625,0.7194581922375619
prodigy,ordA_r7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6184805410879629,0.6611328125,0.4006908462867012
prodigy,ordA_r7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.6102294921875,0.54296875,0.6377708978328174
prodigy,ordA_r7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.490478515625,0.5,0.47107438016528924
prodigy,ordA_r7,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6417744954427084,0.5891927083333334,0.6857569721115537
prodigy,ordA_r8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6496514214409722,0.6770833333333334,0.44642857142857145
prodigy,ordA_r8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.52056884765625,0.515625,0.5407407407407407
prodigy,ordA_r8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.48126220703125,0.4765625,0.4369747899159664
prodigy,ordA_r8,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.675248040093316,0.6399739583333334,0.7092534174553102
prodigy,all9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.557586669921875,0.6809895833333334,0.25076452599388377
prodigy,all9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.54034423828125,0.5390625,0.549618320610687
prodigy,all9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4935302734375,0.48828125,0.5056603773584906
prodigy,all9,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk,facebook_page_reference",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6513676113552518,0.625,0.7032457496136012
prodigy,ordB_r2,"ukr_rus_suspended,election2020",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6016967208297165,0.6673177083333334,0.35398230088495575
prodigy,ordB_r2,"ukr_rus_suspended,election2020",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.514404296875,0.51171875,0.5318352059925093
prodigy,ordB_r2,"ukr_rus_suspended,election2020",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.489013671875,0.4921875,0.4583333333333333
prodigy,ordB_r2,"ukr_rus_suspended,election2020",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.7039142184787327,0.6634114583333334,0.7238247863247863
prodigy,ordB_r3,"ukr_rus_suspended,election2020,ukr_rus",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5553447582103588,0.6145833333333334,0.32342857142857145
prodigy,ordB_r3,"ukr_rus_suspended,election2020,ukr_rus",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.541015625,0.54296875,0.5517241379310345
prodigy,ordB_r3,"ukr_rus_suspended,election2020,ukr_rus",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.497802734375,0.515625,0.4608695652173913
prodigy,ordB_r3,"ukr_rus_suspended,election2020,ukr_rus",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.657215330335829,0.6080729166666666,0.700199203187251
prodigy,ordB_r4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5848931206597222,0.6119791666666666,0.37591623036649213
prodigy,ordB_r4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5108642578125,0.5078125,0.5
