mixture_size	donor_codes	donors	heldout_targets	prefix
3	cov,cp,hk	covid,covid_political,cp_hk	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_cov-cp-hk
3	cov,elec,susp	covid,election2020,ukr_rus_suspended	covid_political,twibot20	mixdiv2k_k3_cov-elec-susp
3	cov,elec,bot	covid,election2020,twibot20	covid_political,ukr_rus_suspended	mixdiv2k_k3_cov-elec-bot
3	cov,elec,hk	covid,election2020,cp_hk	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k3_cov-elec-hk
3	cov,susp,bot	covid,ukr_rus_suspended,twibot20	covid_political,election2020	mixdiv2k_k3_cov-susp-bot
3	cov,susp,hk	covid,ukr_rus_suspended,cp_hk	covid_political,election2020,twibot20	mixdiv2k_k3_cov-susp-hk
3	cov,bot,hk	covid,twibot20,cp_hk	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k3_cov-bot-hk
3	mid,cp,elec	midterm,covid_political,election2020	ukr_rus_suspended,twibot20	mixdiv2k_k3_mid-cp-elec
3	mid,cp,susp	midterm,covid_political,ukr_rus_suspended	election2020,twibot20	mixdiv2k_k3_mid-cp-susp
3	mid,cp,bot	midterm,covid_political,twibot20	election2020,ukr_rus_suspended	mixdiv2k_k3_mid-cp-bot
3	mid,cp,hk	midterm,covid_political,cp_hk	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k3_mid-cp-hk
3	mid,elec,susp	midterm,election2020,ukr_rus_suspended	covid_political,twibot20	mixdiv2k_k3_mid-elec-susp
3	mid,elec,bot	midterm,election2020,twibot20	covid_political,ukr_rus_suspended	mixdiv2k_k3_mid-elec-bot
3	mid,elec,hk	midterm,election2020,cp_hk	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k3_mid-elec-hk
3	mid,susp,bot	midterm,ukr_rus_suspended,twibot20	covid_political,election2020	mixdiv2k_k3_mid-susp-bot
3	mid,susp,hk	midterm,ukr_rus_suspended,cp_hk	covid_political,election2020,twibot20	mixdiv2k_k3_mid-susp-hk
3	mid,bot,hk	midterm,twibot20,cp_hk	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k3_mid-bot-hk
3	cp,elec,susp	covid_political,election2020,ukr_rus_suspended	twibot20	mixdiv2k_k3_cp-elec-susp
3	cp,elec,bot	covid_political,election2020,twibot20	ukr_rus_suspended	mixdiv2k_k3_cp-elec-bot
3	cp,elec,hk	covid_political,election2020,cp_hk	ukr_rus_suspended,twibot20	mixdiv2k_k3_cp-elec-hk
3	cp,susp,bot	covid_political,ukr_rus_suspended,twibot20	election2020	mixdiv2k_k3_cp-susp-bot
3	cp,susp,hk	covid_political,ukr_rus_suspended,cp_hk	election2020,twibot20	mixdiv2k_k3_cp-susp-hk
3	cp,bot,hk	covid_political,twibot20,cp_hk	election2020,ukr_rus_suspended	mixdiv2k_k3_cp-bot-hk
3	elec,susp,bot	election2020,ukr_rus_suspended,twibot20	covid_political	mixdiv2k_k3_elec-susp-bot
3	elec,susp,hk	election2020,ukr_rus_suspended,cp_hk	covid_political,twibot20	mixdiv2k_k3_elec-susp-hk
3	elec,bot,hk	election2020,twibot20,cp_hk	covid_political,ukr_rus_suspended	mixdiv2k_k3_elec-bot-hk
3	susp,bot,hk	ukr_rus_suspended,twibot20,cp_hk	covid_political,election2020	mixdiv2k_k3_susp-bot-hk
4	ukr,cov,mid,cp	ukr_rus,covid,midterm,covid_political	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-cov-mid-cp
4	ukr,cov,mid,elec	ukr_rus,covid,midterm,election2020	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-cov-mid-elec
4	ukr,cov,mid,susp	ukr_rus,covid,midterm,ukr_rus_suspended	covid_political,election2020,twibot20	mixdiv2k_k4_ukr-cov-mid-susp
4	ukr,cov,mid,bot	ukr_rus,covid,midterm,twibot20	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k4_ukr-cov-mid-bot
4	ukr,cov,mid,hk	ukr_rus,covid,midterm,cp_hk	covid_political,election2020,ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-cov-mid-hk
4	ukr,cov,cp,elec	ukr_rus,covid,covid_political,election2020	ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-cov-cp-elec
4	ukr,cov,cp,susp	ukr_rus,covid,covid_political,ukr_rus_suspended	election2020,twibot20	mixdiv2k_k4_ukr-cov-cp-susp
4	ukr,cov,cp,bot	ukr_rus,covid,covid_political,twibot20	election2020,ukr_rus_suspended	mixdiv2k_k4_ukr-cov-cp-bot
4	ukr,cov,cp,hk	ukr_rus,covid,covid_political,cp_hk	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-cov-cp-hk
4	ukr,cov,elec,susp	ukr_rus,covid,election2020,ukr_rus_suspended	covid_political,twibot20	mixdiv2k_k4_ukr-cov-elec-susp
4	ukr,cov,elec,bot	ukr_rus,covid,election2020,twibot20	covid_political,ukr_rus_suspended	mixdiv2k_k4_ukr-cov-elec-bot
4	ukr,cov,elec,hk	ukr_rus,covid,election2020,cp_hk	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-cov-elec-hk
4	ukr,cov,susp,bot	ukr_rus,covid,ukr_rus_suspended,twibot20	covid_political,election2020	mixdiv2k_k4_ukr-cov-susp-bot
4	ukr,cov,susp,hk	ukr_rus,covid,ukr_rus_suspended,cp_hk	covid_political,election2020,twibot20	mixdiv2k_k4_ukr-cov-susp-hk
4	ukr,cov,bot,hk	ukr_rus,covid,twibot20,cp_hk	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k4_ukr-cov-bot-hk
4	ukr,mid,cp,elec	ukr_rus,midterm,covid_political,election2020	ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-mid-cp-elec
4	ukr,mid,cp,susp	ukr_rus,midterm,covid_political,ukr_rus_suspended	election2020,twibot20	mixdiv2k_k4_ukr-mid-cp-susp
4	ukr,mid,cp,bot	ukr_rus,midterm,covid_political,twibot20	election2020,ukr_rus_suspended	mixdiv2k_k4_ukr-mid-cp-bot
4	ukr,mid,cp,hk	ukr_rus,midterm,covid_political,cp_hk	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-mid-cp-hk
4	ukr,mid,elec,susp	ukr_rus,midterm,election2020,ukr_rus_suspended	covid_political,twibot20	mixdiv2k_k4_ukr-mid-elec-susp
4	ukr,mid,elec,bot	ukr_rus,midterm,election2020,twibot20	covid_political,ukr_rus_suspended	mixdiv2k_k4_ukr-mid-elec-bot
4	ukr,mid,elec,hk	ukr_rus,midterm,election2020,cp_hk	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-mid-elec-hk
4	ukr,mid,susp,bot	ukr_rus,midterm,ukr_rus_suspended,twibot20	covid_political,election2020	mixdiv2k_k4_ukr-mid-susp-bot
4	ukr,mid,susp,hk	ukr_rus,midterm,ukr_rus_suspended,cp_hk	covid_political,election2020,twibot20	mixdiv2k_k4_ukr-mid-susp-hk
4	ukr,mid,bot,hk	ukr_rus,midterm,twibot20,cp_hk	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k4_ukr-mid-bot-hk
4	ukr,cp,elec,susp	ukr_rus,covid_political,election2020,ukr_rus_suspended	twibot20	mixdiv2k_k4_ukr-cp-elec-susp
4	ukr,cp,elec,bot	ukr_rus,covid_political,election2020,twibot20	ukr_rus_suspended	mixdiv2k_k4_ukr-cp-elec-bot
4	ukr,cp,elec,hk	ukr_rus,covid_political,election2020,cp_hk	ukr_rus_suspended,twibot20	mixdiv2k_k4_ukr-cp-elec-hk
4	ukr,cp,susp,bot	ukr_rus,covid_political,ukr_rus_suspended,twibot20	election2020	mixdiv2k_k4_ukr-cp-susp-bot
4	ukr,cp,susp,hk	ukr_rus,covid_political,ukr_rus_suspended,cp_hk	election2020,twibot20	mixdiv2k_k4_ukr-cp-susp-hk
4	ukr,cp,bot,hk	ukr_rus,covid_political,twibot20,cp_hk	election2020,ukr_rus_suspended	mixdiv2k_k4_ukr-cp-bot-hk
4	ukr,elec,susp,bot	ukr_rus,election2020,ukr_rus_suspended,twibot20	covid_political	mixdiv2k_k4_ukr-elec-susp-bot
4	ukr,elec,susp,hk	ukr_rus,election2020,ukr_rus_suspended,cp_hk	covid_political,twibot20	mixdiv2k_k4_ukr-elec-susp-hk
4	ukr,elec,bot,hk	ukr_rus,election2020,twibot20,cp_hk	covid_political,ukr_rus_suspended	mixdiv2k_k4_ukr-elec-bot-hk
4	ukr,susp,bot,hk	ukr_rus,ukr_rus_suspended,twibot20,cp_hk	covid_political,election2020	mixdiv2k_k4_ukr-susp-bot-hk
4	cov,mid,cp,elec	covid,midterm,covid_political,election2020	ukr_rus_suspended,twibot20	mixdiv2k_k4_cov-mid-cp-elec
4	cov,mid,cp,susp	covid,midterm,covid_political,ukr_rus_suspended	election2020,twibot20	mixdiv2k_k4_cov-mid-cp-susp
4	cov,mid,cp,bot	covid,midterm,covid_political,twibot20	election2020,ukr_rus_suspended	mixdiv2k_k4_cov-mid-cp-bot
4	cov,mid,cp,hk	covid,midterm,covid_political,cp_hk	election2020,ukr_rus_suspended,twibot20	mixdiv2k_k4_cov-mid-cp-hk
4	cov,mid,elec,susp	covid,midterm,election2020,ukr_rus_suspended	covid_political,twibot20	mixdiv2k_k4_cov-mid-elec-susp
4	cov,mid,elec,bot	covid,midterm,election2020,twibot20	covid_political,ukr_rus_suspended	mixdiv2k_k4_cov-mid-elec-bot
4	cov,mid,elec,hk	covid,midterm,election2020,cp_hk	covid_political,ukr_rus_suspended,twibot20	mixdiv2k_k4_cov-mid-elec-hk
4	cov,mid,susp,bot	covid,midterm,ukr_rus_suspended,twibot20	covid_political,election2020	mixdiv2k_k4_cov-mid-susp-bot
4	cov,mid,susp,hk	covid,midterm,ukr_rus_suspended,cp_hk	covid_political,election2020,twibot20	mixdiv2k_k4_cov-mid-susp-hk
4	cov,mid,bot,hk	covid,midterm,twibot20,cp_hk	covid_political,election2020,ukr_rus_suspended	mixdiv2k_k4_cov-mid-bot-hk
4	cov,cp,elec,susp	covid,covid_political,election2020,ukr_rus_suspended	twibot20	mixdiv2k_k4_cov-cp-elec-susp
4	cov,cp,elec,bot	covid,covid_political,election2020,twibot20	ukr_rus_suspended	mixdiv2k_k4_cov-cp-elec-bot
4	cov,cp,elec,hk	covid,covid_political,election2020,cp_hk	ukr_rus_suspended,twibot20	mixdiv2k_k4_cov-cp-elec-hk
4	cov,cp,susp,bot	covid,covid_political,ukr_rus_suspended,twibot20	election2020	mixdiv2k_k4_cov-cp-susp-bot
4	cov,cp,susp,hk	covid,covid_political,ukr_rus_suspended,cp_hk	election2020,twibot20	mixdiv2k_k4_cov-cp-susp-hk
4	cov,cp,bot,hk	covid,covid_political,twibot20,cp_hk	election2020,ukr_rus_suspended	mixdiv2k_k4_cov-cp-bot-hk
4	cov,elec,susp,bot	covid,election2020,ukr_rus_suspended,twibot20	covid_political	mixdiv2k_k4_cov-elec-susp-bot
4	cov,elec,susp,hk	covid,election2020,ukr_rus_suspended,cp_hk	covid_political,twibot20	mixdiv2k_k4_cov-elec-susp-hk
4	cov,elec,bot,hk	covid,election2020,twibot20,cp_hk	covid_political,ukr_rus_suspended	mixdiv2k_k4_cov-elec-bot-hk
4	cov,susp,bot,hk	covid,ukr_rus_suspended,twibot20,cp_hk	covid_political,election2020	mixdiv2k_k4_cov-susp-bot-hk
4	mid,cp,elec,susp	midterm,covid_political,election2020,ukr_rus_suspended	twibot20	mixdiv2k_k4_mid-cp-elec-susp
4	mid,cp,elec,bot	midterm,covid_political,election2020,twibot20	ukr_rus_suspended	mixdiv2k_k4_mid-cp-elec-bot
4	mid,cp,elec,hk	midterm,covid_political,election2020,cp_hk	ukr_rus_suspended,twibot20	mixdiv2k_k4_mid-cp-elec-hk
4	mid,cp,susp,bot	midterm,covid_political,ukr_rus_suspended,twibot20	election2020	mixdiv2k_k4_mid-cp-susp-bot
4	mid,cp,susp,hk	midterm,covid_political,ukr_rus_suspended,cp_hk	election2020,twibot20	mixdiv2k_k4_mid-cp-susp-hk
4	mid,cp,bot,hk	midterm,covid_political,twibot20,cp_hk	election2020,ukr_rus_suspended	mixdiv2k_k4_mid-cp-bot-hk
4	mid,elec,susp,bot	midterm,election2020,ukr_rus_suspended,twibot20	covid_political	mixdiv2k_k4_mid-elec-susp-bot
4	mid,elec,susp,hk	midterm,election2020,ukr_rus_suspended,cp_hk	covid_political,twibot20	mixdiv2k_k4_mid-elec-susp-hk
4	mid,elec,bot,hk	midterm,election2020,twibot20,cp_hk	covid_political,ukr_rus_suspended	mixdiv2k_k4_mid-elec-bot-hk
4	mid,susp,bot,hk	midterm,ukr_rus_suspended,twibot20,cp_hk	covid_political,election2020	mixdiv2k_k4_mid-susp-bot-hk
4	cp,elec,susp,bot	covid_political,election2020,ukr_rus_suspended,twibot20		mixdiv2k_k4_cp-elec-susp-bot
4	cp,elec,susp,hk	covid_political,election2020,ukr_rus_suspended,cp_hk	twibot20	mixdiv2k_k4_cp-elec-susp-hk
4	cp,elec,bot,hk	covid_political,election2020,twibot20,cp_hk	ukr_rus_suspended	mixdiv2k_k4_cp-elec-bot-hk
4	cp,susp,bot,hk	covid_political,ukr_rus_suspended,twibot20,cp_hk	election2020	mixdiv2k_k4_cp-susp-bot-hk
4	elec,susp,bot,hk	election2020,ukr_rus_suspended,twibot20,cp_hk	covid_political	mixdiv2k_k4_elec-susp-bot-hk
