order,rung,added,source_count,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference,target_mean,execution_source
B,8,midterm,8,0.5977364742177522,0.7184736683908046,0.7132344705779056,0.7562382830140485,0.6824648091954024,0.6848750344827585,0.7483103662037036,0.6189463988505749,0.897641197270115,0.713102300244785,Tucker-H100
B,9,twibot20,9,0.5957656085249041,0.7099463188378033,0.710176085312899,0.7530411579821198,0.675993783908046,0.6810326781609195,0.7363578302522348,0.6079071540229887,0.888357485632184,0.7065086780704556,Tucker-H100
C,1,twibot20,1,0.5946286987867178,0.7045780706098341,0.7059804756226054,0.7511661549010218,0.6743609448275861,0.6774289908045977,0.7274558624840358,0.6029127449712645,0.8826025017241379,0.7023460494146446,CARC-V100
C,2,midterm,2,0.5950528764846743,0.7076805647349935,0.7085514285121329,0.7505269166507025,0.6719119103448276,0.6747117425287356,0.7281214832535122,0.6050267860632185,0.8776717485632184,0.702139495237335,CARC-V100
C,3,covid19_twitter,3,0.5953539901819923,0.7071194422413795,0.7095989792145596,0.7504800327426564,0.6735005149425288,0.6775113172413794,0.7347773479406129,0.6097366798850575,0.8857126849137932,0.7048656654782177,Tucker-H100
C,4,covid_political,4,0.5933403434546616,0.6985706167624521,0.7063857030332056,0.7487979635376758,0.6711446,0.6746002620689654,0.7268576665229886,0.6047202252873564,0.8763568031609194,0.7000860204253584,Tucker-H100
C,5,cp_hk_twitter,5,0.5939242762771392,0.6994772376117495,0.7074683748403576,0.7496684977490421,0.6723130919540229,0.674862979310345,0.7289216460727966,0.6056440708333334,0.8781344314655173,0.7011571784571449,Tucker-H100
C,6,facebook_page_reference,6,0.5952304296296295,0.7034283818167305,0.7079475405491695,0.7518648123882501,0.6755704459770117,0.6781881816091955,0.7331380560504469,0.6099944745689656,0.8817834625000001,0.7041273094543777,Tucker-H100
C,7,ukr_rus_twitter,7,0.5950158515166029,0.7027094364782887,0.7077569547892719,0.7525308229565774,0.6763623540229883,0.6767081747126437,0.732526391347382,0.611853735775862,0.8793265997126436,0.7038655912569179,Tucker-H100
C,8,election2020,8,0.5969243597062579,0.7043904498243931,0.7092426068486589,0.7532466298052362,0.6795152551724136,0.6768787816091953,0.7379745541187738,0.620043848132184,0.8824549285919538,0.7067412682010075,Tucker-H100
C,9,ukr_rus_suspended,9,0.5960608714240102,0.7117537047573436,0.7110535406449555,0.7534333281130269,0.6766842896551725,0.6818384896551722,0.7373964019316729,0.6097050265804599,0.8886702229885056,0.7073995417500354,Tucker-H100
