case,state,action,validation_source,update_scale,bce_delta,auc_delta_pp,bce_harmed,auc_harmed
0,rank0_best,B_task,A,0.1,-8.901245892046705e-05,-0.0031431019306207373,0,8
0,rank0_best,B_task,A,0.25,-0.000170513289049225,-0.0080532491207152,0,8
0,rank0_best,B_task,A,0.5,-0.0001699174288659625,-0.016637301445013238,0,8
0,rank0_best,B_task,A,1.0,0.00034060934558507165,-0.03534782528877978,8,8
0,rank0_best,B_task,B,0.1,0.000187606271356325,-0.00305966734885915,8,8
0,rank0_best,B_task,B,0.25,0.000519509613513925,-0.008130529522888626,8,8
0,rank0_best,B_task,B,0.5,0.0012047118507325376,-0.017689982056612274,8,8
0,rank0_best,B_task,B,1.0,0.00305293612182135,-0.04118125438690161,8,8
0,rank0_best,momentum_only,A,0.1,-2.8377771377569028e-05,-0.0018503904342659,0,1
0,rank0_best,momentum_only,A,0.25,-5.8476254343978185e-05,-0.0047014713287496,0,1
0,rank0_best,momentum_only,A,0.5,-7.62809067964415e-05,-0.0095918178558362,0,1
0,rank0_best,momentum_only,A,1.0,1.0126829147333316e-05,-0.0199420928955196,1,1
0,rank0_best,momentum_only,B,0.1,5.6518614292150327e-05,-0.0013743162155188,1,1
0,rank0_best,momentum_only,B,0.25,0.0001470282673835,-0.0035330772399699,1,1
0,rank0_best,momentum_only,B,0.5,0.0003129415214061,-0.007492589950564,1,1
0,rank0_best,momentum_only,B,1.0,0.0007018364965915,-0.0164409637451123,1,1
1,initial,A_task,A,0.1,0.0007171609438955,-0.02645267248154166,8,8
1,initial,A_task,A,0.25,0.0020269807428120626,-0.06858149468898922,8,8
1,initial,A_task,A,0.5,0.00481119584292165,-0.1456878453493154,8,8
1,initial,A_task,A,1.0,0.012499396037310286,-0.32857168614864596,8,8
1,initial,A_task,B,0.1,0.004682997241616125,-0.13575539588928648,8,8
1,initial,A_task,B,0.25,0.011902764998376199,-0.34322651922703284,8,8
1,initial,A_task,B,0.5,0.024410483241081124,-0.697993350028997,8,8
1,initial,A_task,B,1.0,0.05082960166037069,-1.4391763508319917,8,8
1,initial,B_task,A,0.1,-0.0006936421617865375,0.031378573179235925,0,0
1,initial,B_task,A,0.25,-0.0013956045731901999,0.0743417739868107,0,0
1,initial,B_task,A,0.5,-0.0016045058146119126,0.1358891785144783,0,0
1,initial,B_task,A,1.0,0.0019831279292702,0.2227836906909891,8,0
1,initial,B_task,B,0.1,-0.009185943193733725,0.2754259467124903,0,0
1,initial,B_task,B,0.25,-0.02187959346920256,0.6685286194086038,0,0
1,initial,B_task,B,0.5,-0.039866691455245074,1.273078325390814,0,0
1,initial,B_task,B,1.0,-0.06211943589150909,2.3109143167734087,0,0
1,initial,momentum_only,A,0.1,0.000283396244049,-0.0093171834945726,1,1
1,initial,momentum_only,A,0.25,0.000762840360403,-0.0244199752807761,1,1
1,initial,momentum_only,A,0.5,0.001704628765583,-0.0532506465911852,1,1
1,initial,momentum_only,A,1.0,0.0041145794093608,-0.1243777036666893,1,1
1,initial,momentum_only,B,0.1,0.0029351830482481,-0.0789010524749778,1,1
1,initial,momentum_only,B,0.25,0.0074358195066451,-0.19973275661469,1,1
1,initial,momentum_only,B,0.5,0.0151838138699531,-0.4069417715072632,1,1
1,initial,momentum_only,B,1.0,0.0315165579318999,-0.8423702955246082,1,1
1,rank0_best,A_task,A,0.1,-0.000437149871140625,0.012799826264385462,0,0
1,rank0_best,A_task,A,0.25,-0.0010174733586608626,0.029910400509837412,0,0
1,rank0_best,A_task,A,0.5,-0.001778389513492525,0.052916991710660846,0,0
1,rank0_best,A_task,A,1.0,-0.0024780480191110873,0.07854116857052142,0,0
1,rank0_best,A_task,B,0.1,1.016496680676833e-05,-0.0003563880920306806,6,6
1,rank0_best,A_task,B,0.25,4.4953450560563625e-05,-0.001200509071344575,6,6
1,rank0_best,A_task,B,0.5,0.00015560733154412325,-0.0032840102910894125,6,6
1,rank0_best,A_task,B,1.0,0.0005736283026635521,-0.010348775982843525,7,6
1,rank0_best,B_task,A,0.1,-0.0003693168051540125,0.0103800475597437,0,0
1,rank0_best,B_task,A,0.25,-0.0008851313963531875,0.025061437487605635,0,0
1,rank0_best,B_task,A,0.5,-0.0016396864317357249,0.04689424037933595,0,0
1,rank0_best,B_task,A,1.0,-0.0027321031317114127,0.08112248480320046,0,0
1,rank0_best,B_task,B,0.1,3.0363909900178038e-06,7.616877556597496e-05,5,4
1,rank0_best,B_task,B,0.25,1.6577821224925127e-05,1.0359287268287486e-05,5,4
1,rank0_best,B_task,B,0.5,6.30205497145389e-05,-0.0004161655902751374,6,4
1,rank0_best,B_task,B,1.0,0.0002455543261021086,-0.0027091711759477627,6,4
1,rank0_best,momentum_only,A,0.1,-0.0005451507866381,0.0142149925231871,0,0
1,rank0_best,momentum_only,A,0.25,-0.0012804009020328,0.0348541259765688,0,0
1,rank0_best,momentum_only,A,0.5,-0.0022808395326137,0.0672099351882948,0,0
1,rank0_best,momentum_only,A,1.0,-0.0033951662480831,0.1251593589782773,0,0
1,rank0_best,momentum_only,B,0.1,-8.118450641633745e-05,0.0048940896987925,0,0
1,rank0_best,momentum_only,B,0.25,-0.0001812927424907,0.0119135618209864,0,0
1,rank0_best,momentum_only,B,0.5,-0.0002887647598982,0.023239183425916,0,0
1,rank0_best,momentum_only,B,1.0,-0.0002693153917789,0.0440119504928726,0,0
