index,source,target,accuracy_mean,accuracy_sample_std
51,midterm,twibot20,0.22049696180555553,0.00994712964063099
52,midterm,ukr_rus_suspended,0.12336697048611112,0.006427209436246705
53,midterm,ukr_rus_twitter,0.21655273437499997,0.012059690210803506
54,twibot20,covid19_twitter,0.4823350694444444,0.005217539809622391
55,twibot20,covid_political,0.14337565104166664,0.005118989764591043
56,twibot20,cp_hk_twitter,0.1084038628472222,0.002320710903053073
57,twibot20,election2020,0.14838867187499996,0.0013535561774929415
58,twibot20,facebook_page_reference,0.24938151041666665,0.0011722140351582515
59,twibot20,midterm,0.20888129340277772,0.0007206323518647998
60,twibot20,twibot20,0.33267686631944443,0.00034539483598947167
61,twibot20,ukr_rus_suspended,0.15379774305555552,0.0044097060689688595
62,twibot20,ukr_rus_twitter,0.3147352430555555,0.0038009465345625187
63,ukr_rus_suspended,covid19_twitter,0.2955132378472222,0.010341376431928416
64,ukr_rus_suspended,covid_political,0.10739474826388888,0.002598276895406691
65,ukr_rus_suspended,cp_hk_twitter,0.1008680555555555,0.002438275625896496
66,ukr_rus_suspended,election2020,0.10435112847222221,0.008642659862424764
67,ukr_rus_suspended,facebook_page_reference,0.17558593749999996,0.0032684869145334704
68,ukr_rus_suspended,midterm,0.13374565972222216,0.0013820586207948312
69,ukr_rus_suspended,twibot20,0.1571614583333333,0.005955785958180963
70,ukr_rus_suspended,ukr_rus_suspended,0.366943359375,0.0008152656110916823
71,ukr_rus_suspended,ukr_rus_twitter,0.2270290798611111,0.005112888211523339
72,ukr_rus_twitter,covid19_twitter,0.5557020399305556,0.002117783436900534
73,ukr_rus_twitter,covid_political,0.1404893663194444,0.0025644624082633216
74,ukr_rus_twitter,cp_hk_twitter,0.1154459635416666,0.0014460051655235185
75,ukr_rus_twitter,election2020,0.14588758680555555,0.0020557055146558792
76,ukr_rus_twitter,facebook_page_reference,0.3110405815972222,0.007051609531139993
77,ukr_rus_twitter,midterm,0.214453125,0.002291340660257379
78,ukr_rus_twitter,twibot20,0.30022786458333334,0.0014386584640330474
79,ukr_rus_twitter,ukr_rus_suspended,0.20124240451388883,0.0033663219346751227
80,ukr_rus_twitter,ukr_rus_twitter,0.44064127604166664,0.0020458019702213866
