metric,scope,order,rung,cells,signed_mean_residual,mae,median_absolute_error,rmse,max_absolute_error,pearson_r,fraction_within_0_001
loss,order_rung,C,9,9,0.00023315745491143684,0.00035892421682445205,0.00010170908717545645,0.0006461866478297343,0.0016051528218668,0.5643745966071143,0.7777777777777778
accuracy,overall,all,all,243,0.000484937012440866,0.000982393943723818,6.67572021484375e-06,0.0036604524652842146,0.03153979778289795,0.9715732177097698,0.8888888888888888
accuracy,order,A,all,81,0.0005470919020381947,0.0018674701820185072,1.2755393982044616e-05,0.005633800010579123,0.03153979778289795,0.9741997335968743,0.8271604938271605
accuracy,order,B,all,81,0.00010412269168426752,0.0002016520794526852,6.67572021484375e-06,0.0007024953184673815,0.003936648368835671,0.6045468519177705,0.9382716049382716
accuracy,order,C,all,81,0.0008035964436001357,0.0008780595697002619,9.953975677601257e-06,0.002821973515138993,0.013880372047424205,0.9519378990218383,0.9012345679012346
accuracy,order_rung,A,1,9,0.001895209153493233,0.006289276811811721,0.00306379795074474,0.011166716894138624,0.03153979778289795,0.9975191869116293,0.2222222222222222
accuracy,order_rung,A,2,9,-0.001806603537665473,0.005513124995761422,0.00015002489089954718,0.00997415281981099,0.023072123527526855,0.7210805683227447,0.6666666666666666
accuracy,order_rung,A,3,9,0.0028713279300265964,0.0030113193723890395,1.6629695892222962e-05,0.006932877721831549,0.019880056381225586,0.7632060526592598,0.7777777777777778
accuracy,order_rung,A,4,9,0.0009365412924025041,0.0009506079885694715,1.2755393982044616e-05,0.0025890115347963587,0.0077460408210755505,0.9996607595353001,0.8888888888888888
accuracy,order_rung,A,5,9,0.000935004817114936,0.0009505550066629552,1.2755393982044616e-05,0.0025844456904156312,0.007732212543487549,0.9996618191230414,0.8888888888888888
accuracy,order_rung,A,6,9,6.51213857862561e-05,6.51213857862561e-05,6.67572021484375e-06,0.00017392270500921422,0.0005199909210203968,0.9972505946499213,1.0
accuracy,order_rung,A,7,9,8.457236819797092e-06,8.457236819797092e-06,6.67572021484375e-06,1.3130906099935786e-05,2.9981136322021484e-05,0.8736971669020077,1.0
accuracy,order_rung,A,8,9,8.828110165041517e-06,8.828110165041517e-06,6.67572021484375e-06,1.3996321909458944e-05,3.3318996429221315e-05,0.8734674817766628,1.0
accuracy,order_rung,A,9,9,9.940730200861144e-06,9.940730200861144e-06,6.67572021484375e-06,1.676845559648456e-05,4.333257675159796e-05,-0.25896464984934436,1.0
accuracy,order_rung,B,1,9,-1.4768706428050195e-06,1.4768706428050195e-06,0.0,3.499570479810948e-06,9.953975677601257e-06,0.9999992429745971,1.0
accuracy,order_rung,B,2,9,0.00045959817038638336,0.00045959817038638336,6.67572021484375e-06,0.0010507348340241657,0.0030466914176939808,-0.16641157944571167,0.8888888888888888
accuracy,order_rung,B,3,9,0.0003935694694518426,0.0003935694694518426,1.9073486328013978e-05,0.0010207051516338734,0.0030466914176939808,-0.1477309824509933,0.8888888888888888
accuracy,order_rung,B,4,9,-0.0004119873046875617,0.0004628234439425875,6.67572021484375e-06,0.0013132675526113392,0.003936648368835671,0.9988771424942611,0.8888888888888888
accuracy,order_rung,B,5,9,0.000176899962955014,0.000176899962955014,6.67572021484375e-06,0.0005036029358613352,0.001510024070739635,-0.13260607241790542,0.8888888888888888
accuracy,order_rung,B,6,9,0.0001747541957431246,0.0001747541957431246,6.67572021484375e-06,0.000501352150111183,0.0015033483505247913,0.9995223793353082,0.8888888888888888
accuracy,order_rung,B,7,9,6.808837254840889e-05,6.808837254840889e-05,6.67572021484375e-06,0.00018177068038348066,0.0005433559417723499,-0.1427259018003815,1.0
accuracy,order_rung,B,8,9,6.771749920313979e-05,6.771749920313979e-05,6.67572021484375e-06,0.00018066207598393098,0.000540018081664928,0.9965301908768327,1.0
accuracy,order_rung,B,9,9,9.940730200861144e-06,9.940730200861144e-06,6.67572021484375e-06,1.676845559648456e-05,4.333257675159796e-05,-0.25896464984934436,1.0
accuracy,order_rung,C,1,9,-1.039769914390476e-06,1.7815166049780136e-06,0.0,3.1926063873651586e-06,6.377696991077819e-06,0.9999999516940774,1.0
accuracy,order_rung,C,2,9,0.0017732050683763416,0.0018035769462585078,3.999471664417609e-05,0.0032096840051378103,0.006679594516753928,0.9976896814088342,0.6666666666666666
accuracy,order_rung,C,3,9,0.002759443389044892,0.00300016668107777,0.00017333030700694696,0.0055274193038151375,0.013880372047424205,0.936084985958038,0.6666666666666666
accuracy,order_rung,C,4,9,0.001196066538492814,0.0014530950122409398,9.667873382557257e-05,0.003908045557720251,0.011695086956024059,0.9984761526823466,0.8888888888888888
accuracy,order_rung,C,5,9,0.0013063483768039526,0.0013589329189724146,6.330013275135382e-05,0.003922356110871902,0.011764287948608398,0.9999525285085679,0.8888888888888888
accuracy,order_rung,C,6,9,6.362464692859998e-05,0.00010212924745345298,6.675720214732728e-06,0.0002474525263442309,0.0007331371307371937,0.9999676785540075,1.0
accuracy,order_rung,C,7,9,7.132026884293374e-05,8.982419967651367e-05,6.675720214732728e-06,0.00023847446266863753,0.0007123947143554688,0.9999874035680322,1.0
accuracy,order_rung,C,8,9,5.3458743625217015e-05,8.30888748169192e-05,1.2755393982044616e-05,0.0002031830962422742,0.0006017088890075684,0.9999747955259122,1.0
accuracy,order_rung,C,9,9,9.940730200861144e-06,9.940730200861144e-06,6.67572021484375e-06,1.676845559648456e-05,4.333257675159796e-05,-0.25896464984934436,1.0
probability_margin,overall,all,all,243,0.00033687564080636646,0.0034535671948405606,0.00039654970169078485,0.009216526990454397,0.07676094770431519,0.9492567693299057,0.6172839506172839
probability_margin,order,A,all,81,0.0001715679227570039,0.005230022801293292,0.0004756450653076172,0.011634573480281277,0.05607330799102783,0.9724467135565986,0.5802469135802469
probability_margin,order,B,all,81,-0.0008061439902694055,0.0024056397838357244,0.00034189224243175165,0.00895032289184562,0.07676094770431519,0.6588293421592764,0.5925925925925926
probability_margin,order,C,all,81,0.0016452029899315008,0.0027250389993926654,0.000575721263885387,0.0062738767409762685,0.029242753982543945,0.9557731306553949,0.6790123456790124
probability_margin,order_rung,A,1,9,0.002240048514472089,0.013070119751824323,0.009034216403961182,0.02077568559997455,0.05607330799102783,0.9964499592249698,0.2222222222222222
probability_margin,order_rung,A,2,9,-0.004391292730967228,0.012257397174835205,0.004292428493499756,0.017717726953600757,0.03358769416809082,0.770893432317314,0.3333333333333333
probability_margin,order_rung,A,3,9,0.0048478576872084365,0.00888152917226158,0.0013134479522703968,0.01588269193763087,0.04042220115661643,0.6724959362530226,0.3333333333333333
probability_margin,order_rung,A,4,9,0.0008434454600016523,0.004490441746181961,0.0005843639373780407,0.008865608786057484,0.022713541984558216,0.85223205647659,0.5555555555555556
probability_margin,order_rung,A,5,9,0.002666274706522636,0.0030180215835571658,0.0003108978271484375,0.007863718886556917,0.023535430431365967,0.9910399533778054,0.7777777777777778
probability_margin,order_rung,A,6,9,-0.0032317108578152126,0.0033669869105021405,0.00027322769165050165,0.008734627835969896,0.0261080861091616,0.9976196814727306,0.6666666666666666
probability_margin,order_rung,A,7,9,-0.00030545393625896415,0.0005140701929728313,0.0002789497375488281,0.0007166975058038043,0.001533210277557373,0.6862437161400439,0.7777777777777778
probability_margin,order_rung,A,8,9,-0.0002806782722472651,0.0005273222923278809,0.00025272369384754523,0.0007958637299159268,0.0018170475959777832,0.7284440067242112,0.7777777777777778
probability_margin,order_rung,A,9,9,-0.0008443792661031088,0.0009443163871765384,0.000335991382598988,0.0016077826896137041,0.0037899017333983265,0.7956395387191998,0.7777777777777778
probability_margin,order_rung,B,1,9,-4.17232513428968e-06,5.073017544204244e-06,1.7285346985973504e-06,1.0616173075915529e-05,3.1173229217418275e-05,0.9999999730167798,1.0
probability_margin,order_rung,B,2,9,0.0026299821005927437,0.002732051743401446,0.0008828043937684216,0.0041981864390803324,0.009976208209991455,0.9281475973434099,0.5555555555555556
probability_margin,order_rung,B,3,9,0.002382682429419599,0.0027917292382982537,0.0005944967269898571,0.004896171627755183,0.012734174728393444,0.8570444953407558,0.6666666666666666
probability_margin,order_rung,B,4,9,-0.00894662406709459,0.010393758614857966,0.0018434524536133923,0.025690978550978606,0.07676094770431519,0.9640438033237769,0.1111111111111111
probability_margin,order_rung,B,5,9,-2.3709403143988715e-05,0.0013743241628011067,0.001181483268738015,0.0021780426257306433,0.005880117416381836,0.9838554095084285,0.4444444444444444
probability_margin,order_rung,B,6,9,-0.00039226479000511707,0.000982615682813844,0.00034189224243175165,0.001334106916107604,0.0022372007369996227,0.9838194619022697,0.5555555555555556
probability_margin,order_rung,B,7,9,-0.0013673769103156196,0.001480042934417774,0.00034511089324962274,0.002509785707018054,0.0067108869552612305,0.981228750636608,0.5555555555555556
probability_margin,order_rung,B,8,9,-0.001192920737796335,0.001308699448903451,0.0002716779708864525,0.0023482224594918743,0.0062770843505860485,0.9794859857696504,0.6666666666666666
probability_margin,order_rung,B,9,9,-0.00034089220894705104,0.0005824632114834749,0.0001754164695739746,0.00100691472402345,0.0024623870849609375,0.7347519761575483,0.7777777777777778
probability_margin,order_rung,C,1,9,-1.3179249233669705e-06,1.8477439880864526e-06,1.1920928966180355e-07,3.111200056447009e-06,7.331371307484069e-06,0.9999999922177194,1.0
probability_margin,order_rung,C,2,9,0.003719760311974432,0.004183828830719006,0.0016228556632995605,0.006926252713616749,0.014175772666931152,0.9968657019784313,0.4444444444444444
probability_margin,order_rung,C,3,9,0.005426340632968528,0.00684491793314611,0.0009987950325012207,0.011668502886900576,0.029242753982543945,0.9239936174697214,0.5555555555555556
probability_margin,order_rung,C,4,9,0.001551085048251756,0.003604107432895187,0.0006859898567199707,0.007622289577844922,0.02218061685562145,0.9803621782046652,0.5555555555555556
probability_margin,order_rung,C,5,9,0.0017234020762973608,0.0035421252250671634,0.0006903409957885742,0.0077245945318895745,0.022677481174468994,0.9848811536488344,0.5555555555555556
probability_margin,order_rung,C,6,9,0.0005596677462260792,0.0020068155394660225,0.000904381275177002,0.0038091723891317294,0.010984599590301625,0.9951406240019782,0.6666666666666666
probability_margin,order_rung,C,7,9,0.0011838078498840703,0.0017862121264139688,0.0003139376640319824,0.0041770146106574245,0.012429893016815186,0.9982980759904537,0.7777777777777778
probability_margin,order_rung,C,8,9,0.0011469721794128912,0.0019039246771070445,0.00039285421371437756,0.0043494446773900165,0.012888371944427601,0.9970673999438349,0.7777777777777778
probability_margin,order_rung,C,9,9,-0.0005028910107082421,0.0006515714857313984,0.00013458728790294305,0.0012178854028781752,0.002968728542327992,0.7417230102675878,0.7777777777777778
