order,rung,added,source_count,sources,target,roc_auc,accuracy,f1,execution_source
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",ukr_rus_twitter,0.5962419393199234,0.0860944444444444,0.0860798863462201,CARC-V100
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",covid19_twitter,0.7118645055874839,0.1681388888888889,0.1680969274856282,CARC-V100
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",midterm,0.7105598288633459,0.1288111111111111,0.1287811129628194,CARC-V100
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",covid_political,0.7531138860791825,0.1701277777777777,0.1701242782705984,CARC-V100
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",election2020,0.6768632252873563,0.1420666666666666,0.1421085767111264,CARC-V100
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",ukr_rus_suspended,0.681738567816092,0.1578,0.1577978732432106,CARC-V100
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",twibot20,0.7378647791666668,0.2532666666666666,0.2532755089102448,CARC-V100
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",cp_hk_twitter,0.6108045053160921,0.09235,0.092313000664477,CARC-V100
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",facebook_page_reference,0.889002822126437,0.5378166666666667,0.5378485872573523,CARC-V100
B,1,ukr_rus_suspended,1,ukr_rus_suspended,ukr_rus_twitter,0.606684469811622,0.0950388888888889,0.0950359354093709,CARC-V100
B,1,ukr_rus_suspended,1,ukr_rus_suspended,covid19_twitter,0.7635911657088121,0.1948833333333333,0.1948432909032112,CARC-V100
B,1,ukr_rus_suspended,1,ukr_rus_suspended,midterm,0.7283161649584929,0.1444111111111111,0.1443687884265121,CARC-V100
B,1,ukr_rus_suspended,1,ukr_rus_suspended,covid_political,0.7873168939974458,0.1895222222222222,0.1895242619016365,CARC-V100
B,1,ukr_rus_suspended,1,ukr_rus_suspended,election2020,0.7200673264367816,0.1564666666666666,0.156484587999563,CARC-V100
B,1,ukr_rus_suspended,1,ukr_rus_suspended,ukr_rus_suspended,0.6954320114942529,0.1836666666666666,0.1836361242629782,CARC-V100
B,1,ukr_rus_suspended,1,ukr_rus_suspended,twibot20,0.7997964896551725,0.3056944444444444,0.305701089522908,CARC-V100
B,1,ukr_rus_suspended,1,ukr_rus_suspended,cp_hk_twitter,0.6402755137931034,0.0974,0.0974071446181316,CARC-V100
B,1,ukr_rus_suspended,1,ukr_rus_suspended,facebook_page_reference,0.8879230512931033,0.5511833333333334,0.5512114072793824,CARC-V100
B,2,election2020,2,"ukr_rus_suspended,election2020",ukr_rus_twitter,0.6051902136015328,0.0928,0.0927921982111046,CARC-V100
B,2,election2020,2,"ukr_rus_suspended,election2020",covid19_twitter,0.7458056361749682,0.1874888888888889,0.1874390392496848,CARC-V100
B,2,election2020,2,"ukr_rus_suspended,election2020",midterm,0.7224727219827585,0.1380388888888888,0.1379942688062375,CARC-V100
B,2,election2020,2,"ukr_rus_suspended,election2020",covid_political,0.7698041786238825,0.1810833333333333,0.1810775523578191,CARC-V100
B,2,election2020,2,"ukr_rus_suspended,election2020",election2020,0.7043239448275863,0.1523333333333333,0.1523111265207233,CARC-V100
B,2,election2020,2,"ukr_rus_suspended,election2020",ukr_rus_suspended,0.6903827471264369,0.1720666666666666,0.1720010568702807,CARC-V100
B,2,election2020,2,"ukr_rus_suspended,election2020",twibot20,0.7824508430395913,0.2905444444444444,0.2905549610402806,CARC-V100
B,2,election2020,2,"ukr_rus_suspended,election2020",cp_hk_twitter,0.637484640948276,0.0961833333333333,0.0961841244424838,CARC-V100
B,2,election2020,2,"ukr_rus_suspended,election2020",facebook_page_reference,0.901841584051724,0.5521833333333334,0.5521972756167002,CARC-V100
B,3,ukr_rus_twitter,3,"ukr_rus_suspended,election2020,ukr_rus_twitter",ukr_rus_twitter,0.6018682028735631,0.0899666666666666,0.0899562367022596,CARC-V100
B,3,ukr_rus_twitter,3,"ukr_rus_suspended,election2020,ukr_rus_twitter",covid19_twitter,0.7291948815293743,0.1793888888888888,0.1793381270872139,CARC-V100
B,3,ukr_rus_twitter,3,"ukr_rus_suspended,election2020,ukr_rus_twitter",midterm,0.7184079666347382,0.1355222222222222,0.1354878906049411,CARC-V100
B,3,ukr_rus_twitter,3,"ukr_rus_suspended,election2020,ukr_rus_twitter",covid_political,0.7616170185823755,0.1777777777777777,0.1777762021020846,CARC-V100
B,3,ukr_rus_twitter,3,"ukr_rus_suspended,election2020,ukr_rus_twitter",election2020,0.6917600988505745,0.1490666666666666,0.1490981055923375,CARC-V100
B,3,ukr_rus_twitter,3,"ukr_rus_suspended,election2020,ukr_rus_twitter",ukr_rus_suspended,0.6879588436781608,0.1667333333333333,0.1667400210974367,CARC-V100
B,3,ukr_rus_twitter,3,"ukr_rus_suspended,election2020,ukr_rus_twitter",twibot20,0.7632402189814814,0.2771888888888889,0.2772042453612785,CARC-V100
