rung,dataset,added_dataset,entry_rung,fixed_total_steps,matched40k_total_steps,fixed_expected_steps_per_source,matched40k_expected_steps_per_source,fixed_exposure_h2_auc,matched40k_h2_auc,auc_difference,is_entry_cell,fixed_entry_delta,matched40k_h2_entry_delta,comparison_scope
3,midterm,midterm,3,30000,40000,10000,13333.333333333334,0.9113194200989784,0.9127096802362706,-0.0013902601372922652,True,0.025749071583652694,0.028576581609195406,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
3,twibot20,midterm,7,30000,40000,10000,13333.333333333334,0.9162598501756066,0.9171295515644956,-0.0008697013888889771,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
3,ukr_rus_suspended,midterm,6,30000,40000,10000,13333.333333333334,0.8209096988505746,0.7938895264367817,0.027020172413792953,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
3,ukr_rus_twitter,midterm,1,30000,40000,10000,13333.333333333334,0.9367393613186462,0.9389399155172412,-0.002200554198594995,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
4,covid19_twitter,covid_political,2,40000,40000,10000,10000.0,0.9769993130906768,0.976840920019157,0.000158393071519769,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
4,covid_political,covid_political,4,40000,40000,10000,10000.0,0.9088761788793104,0.9083534875798212,0.0005226912994892308,True,0.0632693930715198,0.05793707985312879,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
4,cp_hk_twitter,covid_political,8,40000,40000,10000,10000.0,0.7187991191091954,0.7153107176724138,0.0034884014367815297,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
4,election2020,covid_political,5,40000,40000,10000,10000.0,0.8256297701149425,0.8199114735632183,0.005718296551724289,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
4,midterm,covid_political,3,40000,40000,10000,10000.0,0.910622228320562,0.9108899937579824,-0.0002677654374203531,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
4,twibot20,covid_political,7,40000,40000,10000,10000.0,0.9170381497605364,0.9163527072477652,0.0006854425127712505,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
4,ukr_rus_suspended,covid_political,6,40000,40000,10000,10000.0,0.8069271034482759,0.8166782873563216,-0.009751183908045746,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
4,ukr_rus_twitter,covid_political,1,40000,40000,10000,10000.0,0.9362348061462326,0.9360493834131544,0.0001854227330781999,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
5,covid19_twitter,election2020,2,50000,40000,10000,8000.0,0.9770921417784164,0.9761545111590038,0.0009376306194126549,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
5,covid_political,election2020,4,50000,40000,10000,8000.0,0.9090303801404854,0.9067995949712644,0.002230785169221039,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
5,cp_hk_twitter,election2020,8,50000,40000,10000,8000.0,0.7113948649425288,0.7124168926724138,-0.0010220277298850222,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
5,election2020,election2020,5,50000,40000,10000,8000.0,0.9289840413793102,0.9253379241379308,0.0036461172413794207,True,0.10335427126436769,0.10542645057471256,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
5,midterm,election2020,3,50000,40000,10000,8000.0,0.9097328298371647,0.9067991943805876,0.0029336354565770995,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
5,twibot20,election2020,7,50000,40000,10000,8000.0,0.9181982753831418,0.9173226020114942,0.0008756733716476228,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
5,ukr_rus_suspended,election2020,6,50000,40000,10000,8000.0,0.8014711678160918,0.809074135632184,-0.007602967816092154,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
5,ukr_rus_twitter,election2020,1,50000,40000,10000,8000.0,0.9362404856481482,0.9336371248243932,0.0026033608237550077,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
6,covid19_twitter,ukr_rus_suspended,2,60000,40000,10000,6666.666666666667,0.9768127319604089,0.9754197576149424,0.00139297434546648,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
6,covid_political,ukr_rus_suspended,4,60000,40000,10000,6666.666666666667,0.9081136507183908,0.90652522940613,0.0015884213122607793,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
6,cp_hk_twitter,ukr_rus_suspended,8,60000,40000,10000,6666.666666666667,0.7006717695402299,0.7137720829022989,-0.01310031336206896,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
6,election2020,ukr_rus_suspended,5,60000,40000,10000,6666.666666666667,0.9270115103448276,0.9222346390804598,0.004776871264367877,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
6,midterm,ukr_rus_suspended,3,60000,40000,10000,6666.666666666667,0.9103135649106004,0.9089622940613028,0.0013512708492976477,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
6,twibot20,ukr_rus_suspended,7,60000,40000,10000,6666.666666666667,0.916074172190294,0.9182446615421456,-0.002170489351851601,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
6,ukr_rus_suspended,ukr_rus_suspended,6,60000,40000,10000,6666.666666666667,0.9492033425287356,0.948558816091954,0.0006445264367815895,True,0.14773217471264377,0.13948468045977003,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
6,ukr_rus_twitter,ukr_rus_suspended,1,60000,40000,10000,6666.666666666667,0.9360529416507024,0.9331358480204344,0.0029170936302680417,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
7,covid19_twitter,twibot20,2,70000,40000,10000,5714.285714285715,0.977192558764368,0.9757576965197956,0.0014348622445723436,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
7,covid_political,twibot20,4,70000,40000,10000,5714.285714285715,0.907809734578544,0.9055715784482758,0.0022381561302681208,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
7,cp_hk_twitter,twibot20,8,70000,40000,10000,5714.285714285715,0.7190426535919541,0.716914198275862,0.0021284553160920705,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
7,election2020,twibot20,5,70000,40000,10000,5714.285714285715,0.9233922643678164,0.9201477379310344,0.0032445264367819693,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
7,midterm,twibot20,3,70000,40000,10000,5714.285714285715,0.909977806529374,0.9057646379948916,0.004213168534482392,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
7,twibot20,twibot20,7,70000,40000,10000,5714.285714285715,0.936083129661558,0.9340944227809704,0.0019887068805876096,True,0.020008957471264077,0.015849761238824867,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
7,ukr_rus_suspended,twibot20,6,70000,40000,10000,5714.285714285715,0.948188712643678,0.9446788735632182,0.0035098390804597646,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
7,ukr_rus_twitter,twibot20,1,70000,40000,10000,5714.285714285715,0.9373450070881226,0.9328238347381866,0.004521172349935987,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
8,covid19_twitter,cp_hk_twitter,2,80000,40000,10000,5000.0,0.9766509277777778,0.9749378347860792,0.0017130929916986393,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
8,covid_political,cp_hk_twitter,4,80000,40000,10000,5000.0,0.9090427650223496,0.9031215206577268,0.005921244364622824,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
8,cp_hk_twitter,cp_hk_twitter,8,80000,40000,10000,5000.0,0.8784721379310345,0.8710099974137931,0.007462140517241367,True,0.15942948433908044,0.15409579913793114,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
8,election2020,cp_hk_twitter,5,80000,40000,10000,5000.0,0.919308004597701,0.9131006781609194,0.006207326436781568,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
8,midterm,cp_hk_twitter,3,80000,40000,10000,5000.0,0.9088692462164752,0.907885582056194,0.0009836641602812835,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
8,twibot20,cp_hk_twitter,7,80000,40000,10000,5000.0,0.9359342233716476,0.9333026728448276,0.002631550526819959,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
8,ukr_rus_suspended,cp_hk_twitter,6,80000,40000,10000,5000.0,0.9499892091954024,0.9429612045977012,0.007028004597701254,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
8,ukr_rus_twitter,cp_hk_twitter,1,80000,40000,10000,5000.0,0.9356909881385695,0.9324729616698594,0.0032180264687101667,False,,,controlled Order A: same fair-two-hop sampler and source sets; fixed 10k/source vs fixed 40k total
