pair,source,single_step,joint_step,joint_source_updates,exposure_ratio,single_auc,selected_auc,best_logged_auc,best_logged_step,selected_delta,best_delta,matched_single_auc
covid_political + twibot20,twibot20,48000,30000,15000,0.3125,97.78375587463378,97.34651379585266,97.34651379585266,30000,-0.4372420787811304,-0.4372420787811304,
covid_political + ukr_rus_suspended,covid_political,14000,12000,6000,0.42857142857142855,97.34412062168121,98.47156174182892,98.47156174182892,12000,1.1274411201477097,1.1274411201477097,96.86944868564605
covid_political + ukr_rus_suspended,ukr_rus_suspended,14000,12000,6000,0.42857142857142855,95.97534322738647,96.3065728187561,96.37351326942442,18000,0.3312295913696195,0.3981700420379486,95.58935384750367
cp_hk_twitter + facebook_page_reference,cp_hk_twitter,16000,12000,6000,0.375,99.65864565372465,99.56602485179901,99.56602485179901,12000,-0.09262080192563582,-0.09262080192563582,99.50096127986909
cp_hk_twitter + facebook_page_reference,facebook_page_reference,6000,12000,6000,1.0,95.38453330993651,95.77949442863465,95.77949442863465,12000,0.3949611186981339,0.3949611186981339,95.38453330993651
midterm + covid_political,midterm,18000,18000,9000,0.5,98.40387372970581,98.30563428401948,98.31802148818969,22000,-0.09823944568633225,-0.08585224151611559,
midterm + covid_political,covid_political,14000,18000,9000,0.6428571428571429,97.34412062168121,98.64810824394226,98.71509997844696,12000,1.3039876222610491,1.3709793567657558,
midterm + cp_hk_twitter,midterm,18000,30000,15000,0.8333333333333334,98.40387372970581,98.55807518959044,98.55807518959044,30000,0.15420145988463974,0.15420145988463974,
midterm + cp_hk_twitter,cp_hk_twitter,16000,30000,15000,0.9375,99.65864565372465,99.73172876834869,99.73172876834869,30000,0.0730831146240396,0.0730831146240396,
midterm + facebook_page_reference,midterm,18000,14000,7000,0.3888888888888889,98.40387372970581,98.22523729801178,98.22523729801178,14000,-0.17863643169402366,-0.17863643169402366,
midterm + facebook_page_reference,facebook_page_reference,6000,14000,7000,1.1666666666666667,95.38453330993651,95.72130663394928,95.72130663394928,14000,0.3367733240127735,0.3367733240127735,
midterm + twibot20,midterm,18000,42000,21000,1.1666666666666667,98.40387372970581,98.48976273536681,98.50881979465484,38000,0.08588900566101065,0.1049460649490408,
midterm + twibot20,twibot20,48000,42000,21000,0.4375,97.78375587463378,97.5271117925644,97.60576775074006,48000,-0.2566440820693905,-0.1779881238937242,
midterm + ukr_rus_suspended,midterm,18000,18000,9000,0.5,98.40387372970581,98.1738517999649,98.1738517999649,18000,-0.23002192974090896,-0.23002192974090896,
midterm + ukr_rus_suspended,ukr_rus_suspended,14000,18000,9000,0.6428571428571429,95.97534322738647,96.664244389534,96.70816245079041,14000,0.6889011621475261,0.7328192234039355,
twibot20 + cp_hk_twitter,twibot20,48000,52000,26000,0.5416666666666666,97.78375587463378,97.59367320537568,97.64860811233521,54000,-0.19008266925810702,-0.13514776229857084,97.61320497989655
twibot20 + cp_hk_twitter,cp_hk_twitter,16000,52000,26000,1.625,99.65864565372465,99.72240624427793,99.73444287776947,48000,0.06376059055328565,0.0757972240448157,
twibot20 + facebook_page_reference,twibot20,48000,12000,6000,0.125,97.78375587463378,96.6424971818924,96.79853255748749,18000,-1.141258692741387,-0.9852233171462887,96.63188161849976
twibot20 + facebook_page_reference,facebook_page_reference,6000,12000,6000,1.0,95.38453330993651,95.92281477451326,95.92752535343169,16000,0.5382814645767398,0.5429920434951829,95.38453330993651
ukr_rus_suspended + cp_hk_twitter,ukr_rus_suspended,14000,18000,9000,0.6428571428571429,95.97534322738647,96.85621948242188,96.85621948242188,18000,0.880876255035401,0.880876255035401,
ukr_rus_suspended + cp_hk_twitter,cp_hk_twitter,16000,18000,9000,0.5625,99.65864565372465,99.65539610385895,99.65539610385895,18000,-0.0032495498657025834,-0.0032495498657025834,
ukr_rus_suspended + facebook_page_reference,ukr_rus_suspended,14000,14000,7000,0.5,95.97534322738647,96.5243658065796,96.5243658065796,14000,0.5490225791931147,0.5490225791931147,
ukr_rus_suspended + facebook_page_reference,facebook_page_reference,6000,14000,7000,1.1666666666666667,95.38453330993651,95.52462131977082,95.60460791587828,10000,0.14008800983430492,0.22007460594176687,
ukr_rus_suspended + twibot20,ukr_rus_suspended,14000,28000,14000,1.0,95.97534322738647,96.83824446201324,96.84213163852692,32000,0.8629012346267562,0.86678841114044,95.97534322738647
ukr_rus_suspended + twibot20,twibot20,48000,28000,14000,0.2916666666666667,97.78375587463378,97.1247368812561,97.20308468341827,32000,-0.6590189933776802,-0.5806711912155094,97.40739996433258
ukr_rus_twitter + covid19_twitter,ukr_rus_twitter,44000,48000,24000,0.5454545454545454,98.97437653541566,98.86823782920837,98.91879398822785,54000,-0.10613870620728161,-0.05558254718780464,98.80939791202545
ukr_rus_twitter + covid19_twitter,covid19_twitter,42000,48000,24000,0.5714285714285714,98.22105708122254,98.1148222208023,98.17056939601898,54000,-0.10623486042024011,-0.05048768520357072,98.10797615051268
ukr_rus_twitter + covid_political,ukr_rus_twitter,44000,34000,17000,0.38636363636363635,98.97437653541566,98.63834469318391,98.66824147701261,40000,-0.3360318422317432,-0.30613505840303423,
ukr_rus_twitter + covid_political,covid_political,14000,34000,17000,1.2142857142857142,97.34412062168121,98.62134022712708,98.77827918529509,16000,1.2772196054458673,1.4341585636138854,
ukr_rus_twitter + cp_hk_twitter,ukr_rus_twitter,44000,36000,18000,0.4090909090909091,98.97437653541566,98.82131378650665,98.8270274400711,34000,-0.1530627489090053,-0.1473490953445511,98.72720656394958
ukr_rus_twitter + cp_hk_twitter,cp_hk_twitter,16000,36000,18000,1.125,99.65864565372465,99.75205099582672,99.77282948493959,30000,0.09340534210207085,0.11418383121494236,99.62256643772125
ukr_rus_twitter + facebook_page_reference,ukr_rus_twitter,44000,16000,8000,0.18181818181818182,98.97437653541566,98.22041552066804,98.38441617488861,22000,-0.7539610147476172,-0.589960360527042,98.40510437488555
ukr_rus_twitter + facebook_page_reference,facebook_page_reference,6000,16000,8000,1.3333333333333333,95.38453330993651,95.87763042449951,95.95436587333678,10000,0.4930971145630014,0.5698325634002743,95.25617737770081
ukr_rus_twitter + midterm,ukr_rus_twitter,44000,44000,22000,0.5,98.97437653541566,98.76099534034729,98.80178954601288,50000,-0.21338119506836284,-0.17258698940276762,98.8124584197998
ukr_rus_twitter + midterm,midterm,18000,44000,22000,1.2222222222222223,98.40387372970581,98.57665662765504,98.61982786655426,46000,0.17278289794923074,0.21595413684845077,98.30965428352356
ukr_rus_twitter + twibot20,ukr_rus_twitter,44000,38000,19000,0.4318181818181818,98.97437653541566,98.7658645629883,98.79356172084809,40000,-0.20851197242736097,-0.18081481456756476,
ukr_rus_twitter + twibot20,twibot20,48000,38000,19000,0.3958333333333333,97.78375587463378,97.63784234523773,97.7019181728363,40000,-0.14591352939604674,-0.08183770179748251,
ukr_rus_twitter + ukr_rus_suspended,ukr_rus_twitter,44000,32000,16000,0.36363636363636365,98.97437653541566,98.46219856739044,98.50465223789216,36000,-0.512177968025207,-0.4697242975234994,98.70072185993195
ukr_rus_twitter + ukr_rus_suspended,ukr_rus_suspended,14000,32000,16000,1.1428571428571428,95.97534322738647,97.11088125705717,97.13886406421662,36000,1.1355380296707018,1.1635208368301342,
