stream,model,decoder,full_model_outcome,n,conditional_accuracy
original,ss_facebook_page_reference,S0_pool/prototype,c_only,125,0.488
original,ss_facebook_page_reference,S0_pool/prototype,both_wrong,226,0.46017699115044247
original,ss_facebook_page_reference,S0_pool/ridge,both_correct,1568,0.9394132653061225
original,ss_facebook_page_reference,S0_pool/ridge,b_only,1153,0.9002601908065915
original,ss_facebook_page_reference,S0_pool/ridge,c_only,125,0.512
original,ss_facebook_page_reference,S0_pool/ridge,both_wrong,226,0.4911504424778761
original,ss_facebook_page_reference,U1_pre_meta/prototype,both_correct,1568,0.7895408163265306
original,ss_facebook_page_reference,U1_pre_meta/prototype,b_only,1153,0.6695576756287944
original,ss_facebook_page_reference,U1_pre_meta/prototype,c_only,125,0.488
original,ss_facebook_page_reference,U1_pre_meta/prototype,both_wrong,226,0.45132743362831856
original,ss_facebook_page_reference,U1_pre_meta/ridge,both_correct,1568,0.8667091836734694
original,ss_facebook_page_reference,U1_pre_meta/ridge,b_only,1153,0.751084128360798
original,ss_facebook_page_reference,U1_pre_meta/ridge,c_only,125,0.512
original,ss_facebook_page_reference,U1_pre_meta/ridge,both_wrong,226,0.4646017699115044
original,ss_facebook_page_reference,M2_post_meta/prototype,both_correct,1568,0.8641581632653061
original,ss_facebook_page_reference,M2_post_meta/prototype,b_only,1153,0.608846487424111
original,ss_facebook_page_reference,M2_post_meta/prototype,c_only,125,0.568
original,ss_facebook_page_reference,M2_post_meta/prototype,both_wrong,226,0.35398230088495575
original,ss_facebook_page_reference,M2_post_meta/ridge,both_correct,1568,0.9196428571428571
original,ss_facebook_page_reference,M2_post_meta/ridge,b_only,1153,0.6730268863833477
original,ss_facebook_page_reference,M2_post_meta/ridge,c_only,125,0.56
original,ss_facebook_page_reference,M2_post_meta/ridge,both_wrong,226,0.35398230088495575
original,ss_facebook_page_reference,final_input/prototype,both_correct,1568,0.8641581632653061
original,ss_facebook_page_reference,final_input/prototype,b_only,1153,0.608846487424111
original,ss_facebook_page_reference,final_input/prototype,c_only,125,0.568
original,ss_facebook_page_reference,final_input/prototype,both_wrong,226,0.35398230088495575
original,ss_facebook_page_reference,final_input/ridge,both_correct,1568,0.9196428571428571
original,ss_facebook_page_reference,final_input/ridge,b_only,1153,0.6730268863833477
original,ss_facebook_page_reference,final_input/ridge,c_only,125,0.56
original,ss_facebook_page_reference,final_input/ridge,both_wrong,226,0.35398230088495575
fresh,ss_ukr_rus,full_model,both_correct,1609,1.0
fresh,ss_ukr_rus,full_model,b_only,1142,1.0
fresh,ss_ukr_rus,full_model,c_only,124,0.0
fresh,ss_ukr_rus,full_model,both_wrong,197,0.0
fresh,ss_ukr_rus,raw_center/prototype,both_correct,1609,0.8228713486637663
fresh,ss_ukr_rus,raw_center/prototype,b_only,1142,0.7591943957968477
fresh,ss_ukr_rus,raw_center/prototype,c_only,124,0.4435483870967742
fresh,ss_ukr_rus,raw_center/prototype,both_wrong,197,0.34517766497461927
fresh,ss_ukr_rus,raw_center/ridge,both_correct,1609,0.8141702921068987
fresh,ss_ukr_rus,raw_center/ridge,b_only,1142,0.7425569176882661
fresh,ss_ukr_rus,raw_center/ridge,c_only,124,0.4274193548387097
fresh,ss_ukr_rus,raw_center/ridge,both_wrong,197,0.3604060913705584
fresh,ss_ukr_rus,raw_context/prototype,both_correct,1609,0.8396519577377253
fresh,ss_ukr_rus,raw_context/prototype,b_only,1142,0.8590192644483362
fresh,ss_ukr_rus,raw_context/prototype,c_only,124,0.43548387096774194
fresh,ss_ukr_rus,raw_context/prototype,both_wrong,197,0.49238578680203043
fresh,ss_ukr_rus,raw_context/ridge,both_correct,1609,0.7507768800497203
fresh,ss_ukr_rus,raw_context/ridge,b_only,1142,0.6716287215411558
fresh,ss_ukr_rus,raw_context/ridge,c_only,124,0.3870967741935484
fresh,ss_ukr_rus,raw_context/ridge,both_wrong,197,0.39086294416243655
fresh,ss_ukr_rus,raw_joint/prototype,both_correct,1609,0.7911746426351771
fresh,ss_ukr_rus,raw_joint/prototype,b_only,1142,0.6217162872154116
fresh,ss_ukr_rus,raw_joint/prototype,c_only,124,0.5564516129032258
fresh,ss_ukr_rus,raw_joint/prototype,both_wrong,197,0.38578680203045684
fresh,ss_ukr_rus,raw_joint/ridge,both_correct,1609,0.8315724052206339
fresh,ss_ukr_rus,raw_joint/ridge,b_only,1142,0.6961471103327496
fresh,ss_ukr_rus,raw_joint/ridge,c_only,124,0.532258064516129
fresh,ss_ukr_rus,raw_joint/ridge,both_wrong,197,0.350253807106599
fresh,ss_ukr_rus,S0_conv_center/prototype,both_correct,1609,0.8527035425730267
fresh,ss_ukr_rus,S0_conv_center/prototype,b_only,1142,0.7819614711033275
fresh,ss_ukr_rus,S0_conv_center/prototype,c_only,124,0.4435483870967742
fresh,ss_ukr_rus,S0_conv_center/prototype,both_wrong,197,0.29441624365482233
fresh,ss_ukr_rus,S0_conv_center/ridge,both_correct,1609,0.8495960223741454
fresh,ss_ukr_rus,S0_conv_center/ridge,b_only,1142,0.7810858143607706
fresh,ss_ukr_rus,S0_conv_center/ridge,c_only,124,0.45161290322580644
fresh,ss_ukr_rus,S0_conv_center/ridge,both_wrong,197,0.26903553299492383
fresh,ss_ukr_rus,S0_pool/prototype,both_correct,1609,0.966438781852082
fresh,ss_ukr_rus,S0_pool/prototype,b_only,1142,0.9019264448336253
fresh,ss_ukr_rus,S0_pool/prototype,c_only,124,0.5645161290322581
fresh,ss_ukr_rus,S0_pool/prototype,both_wrong,197,0.36548223350253806
