target,pair,model,schedule,queries,u1_agreement,accuracy,roc_auc,weights_sha256,episode_fingerprint
facebook_page_reference,cov_cphk,cov_cphk_interleaved,interleaved,1024,0.8427734375,0.677734375,0.7319374084472656,c75cb4b5e72293115c2cc8671b3093bd7f807bbbca168ed52d508ecebcb7f304,4fd9916241b1f156c0ab0e6dde2a76fd200a53611b2bbd6a5446c5f019e75aa5
facebook_page_reference,cov_cphk,cov_then_cphk,sequential,1024,0.8447265625,0.6201171875,0.67266845703125,09eabdcda91083d2c9db97450ca29b6061d1d29e40e3b91c5f1e3dc61a5add84,4fd9916241b1f156c0ab0e6dde2a76fd200a53611b2bbd6a5446c5f019e75aa5
facebook_page_reference,cov_cphk,cphk_then_cov,sequential,1024,0.849609375,0.6240234375,0.6947212219238281,f08ab19694b91195b4218bb93cf6474026eb3f2a6c0316c654268c4e932f41f5,4fd9916241b1f156c0ab0e6dde2a76fd200a53611b2bbd6a5446c5f019e75aa5
twibot20,cov_covpol,cov_covpol_interleaved,interleaved,3072,0.7171223759651184,0.564453125,0.5763123830159504,968678cf8a47ecd93b215d89fcd09b15569e47179467b3a09a91adfa5159deff,4e5d4a4c73f9d09878ac1c8af923b1317ad461532349220c1580a04092fe9257
twibot20,cov_covpol,cov_then_covpol,sequential,3072,0.6962890625,0.529296875,0.5312071906195747,696d9697662094565fef755cf0cbfe9d341f8ee4854a254248cdd4b89cadee1c,4e5d4a4c73f9d09878ac1c8af923b1317ad461532349220c1580a04092fe9257
twibot20,cov_covpol,covpol_then_cov,sequential,3072,0.8235676884651184,0.5651041666666666,0.6016527811686199,de816b70d1cf81c15972b2103276214d091227f73ddc2b593be5935ceca7514e,4e5d4a4c73f9d09878ac1c8af923b1317ad461532349220c1580a04092fe9257
twibot20,cov_cphk,cov_cphk_interleaved,interleaved,3072,0.7848307490348816,0.599609375,0.6365865071614583,c75cb4b5e72293115c2cc8671b3093bd7f807bbbca168ed52d508ecebcb7f304,4e5d4a4c73f9d09878ac1c8af923b1317ad461532349220c1580a04092fe9257
twibot20,cov_cphk,cov_then_cphk,sequential,3072,0.8177083134651184,0.6119791666666666,0.661725362141927,09eabdcda91083d2c9db97450ca29b6061d1d29e40e3b91c5f1e3dc61a5add84,4e5d4a4c73f9d09878ac1c8af923b1317ad461532349220c1580a04092fe9257
twibot20,cov_cphk,cphk_then_cov,sequential,3072,0.7854817509651184,0.5813802083333334,0.615563710530599,f08ab19694b91195b4218bb93cf6474026eb3f2a6c0316c654268c4e932f41f5,4e5d4a4c73f9d09878ac1c8af923b1317ad461532349220c1580a04092fe9257
ukr_rus_suspended,cov_covpol,cov_covpol_interleaved,interleaved,256,0.77734375,0.46484375,0.470947265625,968678cf8a47ecd93b215d89fcd09b15569e47179467b3a09a91adfa5159deff,c0c3bb52670b001b5378469c2279dc91ac5fc74c88e8b959dab427aa91a1f9a6
ukr_rus_suspended,cov_covpol,cov_then_covpol,sequential,256,0.66796875,0.48828125,0.4732666015625,696d9697662094565fef755cf0cbfe9d341f8ee4854a254248cdd4b89cadee1c,c0c3bb52670b001b5378469c2279dc91ac5fc74c88e8b959dab427aa91a1f9a6
ukr_rus_suspended,cov_covpol,covpol_then_cov,sequential,256,0.84375,0.49609375,0.50726318359375,de816b70d1cf81c15972b2103276214d091227f73ddc2b593be5935ceca7514e,c0c3bb52670b001b5378469c2279dc91ac5fc74c88e8b959dab427aa91a1f9a6
ukr_rus_suspended,cov_cphk,cov_cphk_interleaved,interleaved,256,0.7890625,0.53125,0.5552978515625,c75cb4b5e72293115c2cc8671b3093bd7f807bbbca168ed52d508ecebcb7f304,c0c3bb52670b001b5378469c2279dc91ac5fc74c88e8b959dab427aa91a1f9a6
ukr_rus_suspended,cov_cphk,cov_then_cphk,sequential,256,0.8203125,0.48828125,0.48895263671875,09eabdcda91083d2c9db97450ca29b6061d1d29e40e3b91c5f1e3dc61a5add84,c0c3bb52670b001b5378469c2279dc91ac5fc74c88e8b959dab427aa91a1f9a6
ukr_rus_suspended,cov_cphk,cphk_then_cov,sequential,256,0.83984375,0.5390625,0.54339599609375,f08ab19694b91195b4218bb93cf6474026eb3f2a6c0316c654268c4e932f41f5,c0c3bb52670b001b5378469c2279dc91ac5fc74c88e8b959dab427aa91a1f9a6
