base_source,added_source,pair_model_id,base_all_target_mean_auc,heldout_mean_delta_auc,all_target_mean_delta_auc,delta_to_ukr_rus,delta_to_facebook_page_reference,delta_to_covid,delta_to_twibot20,delta_to_covid_political,delta_to_ukr_rus_suspended,delta_to_midterm,delta_to_election2020,delta_to_cp_hk
twibot20,facebook_page_reference,nmpair_twibot20__facebook_page_reference,83.93997396545849,-0.6753201398551877,-0.06288207049265852,0.8542072498935349,4.698837707782621,-1.1373362047918723,-0.5375353632302349,-0.22168556849161414,-0.2489381823046366,-2.393703858057672,-0.23986179253149276,-1.3399226227025607
twibot20,midterm,nmpair_midterm__twibot20,83.93997396545849,-1.060689321683934,-0.806528768320194,-0.7479921291614233,-3.8499766656722056,-1.642130339282677,-0.48837256157535647,-0.010792222516287087,-0.4952669828787504,0.6544388984811467,-0.15392118486865503,-0.5247457274075384
midterm,covid,nmpair_covid__midterm,80.80647291808292,4.354438290415928,4.246911909692901,9.030386538341094,8.994317315090683,7.838733977284928,4.2764485567465815,2.2616024675040425,4.748407163839241,-0.09759482296031186,0.27025936663835903,0.8996466247514934
midterm,ukr_rus,nmpair_ukr_rus__midterm,80.80647291808292,4.169312451273354,4.566843741089298,11.319148883052232,10.45052506457802,6.5868188594949695,3.5517818763338482,1.0630929058995764,5.137018992983034,0.597257627837966,0.6109580911438983,1.7849913684801377
midterm,twibot20,nmpair_midterm__twibot20,80.80647291808292,2.395255291598968,2.3269722790553655,5.022150785073453,1.9725773937400826,4.070285202442925,5.033241058218074,1.041962415322506,2.8165526499693505,-0.8572775879125638,0.8050164820133876,1.0382421126310715
midterm,facebook_page_reference,nmpair_midterm__facebook_page_reference,80.80647291808292,1.675213131019834,2.3178104681378042,5.537051729772258,10.532620569755313,3.0597723078453654,1.0489387895869284,0.4450347231722551,1.8411738982145764,-1.3988182736539123,0.13228653491229592,-0.33776606636484185
midterm,ukr_rus_suspended,nmpair_midterm__ukr_rus_suspended,80.80647291808292,1.3215777106668738,2.7207614254981873,3.099464465831858,4.248081980080453,1.8862233901845826,-0.6339767061430801,1.5145226867719686,15.48635263552608,-0.2505437807105104,-0.2842623748998574,-0.5790094671578094
midterm,cp_hk,nmpair_midterm__cp_hk,80.80647291808292,0.04543291132634218,1.0176033322077318,1.5890956062009853,-2.6576917335904837,0.5057442873373841,0.8921980035716204,0.020339269747682298,-0.4061777153234303,-0.6085623132771611,0.37452266134063716,9.448961923862353
midterm,covid_political,nmpair_midterm__covid_political,80.80647291808292,-0.08634745389565847,0.3552942958066913,1.170182474728254,-0.9259448654350022,1.475804235743372,0.9613520660619712,4.205026201818185,-2.4488889897006705,-0.40294536228835387,-1.1304929886741366,0.29355589000660265
midterm,election2020,nmpair_midterm__election2020,80.80647291808292,-0.11697820841971415,0.43548315877659627,-0.0653150711936612,0.40161776816710626,-0.9462899586249907,-0.1266895765545617,-0.2391522506187571,0.5028603405788146,-0.301172842924613,5.039368730851979,-0.3458787106919492
