architecture	pretraining_objective	model_id	n_sources	sources	target	auc	average_precision	hits_at_50	orientation	n_test_pairs	holdout_leakage_edges	endpoint_sensitivity	endpoint_permutation_auc	checkpoint_step	seed	protocol
graphsage	graphmae	ss_ukr_rus_suspended	1	ukr_rus_suspended	ukr_rus_suspended	0.6163079081632653				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_suspended	1	ukr_rus_suspended	ukr_rus_twitter	0.5728701530612245				2800	0			2000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_twitter	1	ukr_rus_twitter	covid19_twitter	0.7912977040816327				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_twitter	1	ukr_rus_twitter	covid_political	0.5875165816326531				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_twitter	1	ukr_rus_twitter	cp_hk_twitter	0.5490466836734694				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_twitter	1	ukr_rus_twitter	election2020	0.6794553571428571				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_twitter	1	ukr_rus_twitter	facebook_page_reference	0.677105612244898				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_twitter	1	ukr_rus_twitter	midterm	0.6491795918367347				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_twitter	1	ukr_rus_twitter	twibot20	0.7530132653061224				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_twitter	1	ukr_rus_twitter	ukr_rus_suspended	0.6348344387755102				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	ss_ukr_rus_twitter	1	ukr_rus_twitter	ukr_rus_twitter	0.6964239795918368				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__covid_political	2	covid19_twitter,covid_political	covid19_twitter	0.7950576530612244				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__covid_political	2	covid19_twitter,covid_political	covid_political	0.7044260204081633				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__covid_political	2	covid19_twitter,covid_political	cp_hk_twitter	0.5560053571428571				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__covid_political	2	covid19_twitter,covid_political	election2020	0.7534668367346938				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__covid_political	2	covid19_twitter,covid_political	facebook_page_reference	0.6911477040816326				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
