arm,source,target,accuracy,f1,roc_auc,run_dir
MT,facebook_page_reference,ukr_rus_suspended,0.4835,0.4860696517412935,0.4726415,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_facebook_page_reference_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_20_55
MT,twibot20,covid_political,0.5418125,0.5719623985519939,0.5485501640625,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_twibot20_to_covid_political_pl_3shot_31_08_2026_17_17_57
MT,twibot20,election2020,0.5645,0.6326444538169549,0.563982625,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_twibot20_to_election2020_pl_3shot_31_08_2026_17_19_02
MT,twibot20,facebook_page_reference,0.026379166666666665,0.01805006674260166,0.47580712084231325,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_twibot20_to_facebook_page_reference_pl_3shot_31_08_2026_17_22_22
MT,twibot20,twibot20,0.7640625,0.7607377516743076,0.8327758446180555,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_twibot20_to_twibot20_pl_3shot_31_08_2026_17_19_50
MT,twibot20,ukr_rus_suspended,0.4825,0.4065366972477064,0.47534837499999993,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_twibot20_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_20_58
MT,ukr_rus_suspended,covid_political,0.565,0.6057401812688822,0.6019116953125001,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_ukr_rus_suspended_to_covid_political_pl_3shot_31_08_2026_17_17_57
MT,ukr_rus_suspended,election2020,0.47525,0.5294776955839497,0.497174375,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_ukr_rus_suspended_to_election2020_pl_3shot_31_08_2026_17_19_01
MT,ukr_rus_suspended,facebook_page_reference,0.03381666666666667,0.0195954821743154,0.5178471085039511,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_ukr_rus_suspended_to_facebook_page_reference_pl_3shot_31_08_2026_17_22_21
MT,ukr_rus_suspended,twibot20,0.36022916666666666,0.3501428420272987,0.30753714756944445,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_ukr_rus_suspended_to_twibot20_pl_3shot_31_08_2026_17_19_50
MT,ukr_rus_suspended,ukr_rus_suspended,0.5895,0.5937654626422563,0.6233975,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_MT_ukr_rus_suspended_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_21_02
NM_MT,covid_political,covid_political,0.9150625,0.915124388466743,0.9528777994791667,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_covid_political_to_covid_political_pl_3shot_31_08_2026_17_17_57
NM_MT,covid_political,election2020,0.9765,0.97675568743818,0.986288,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_covid_political_to_election2020_pl_3shot_31_08_2026_17_19_02
NM_MT,covid_political,facebook_page_reference,0.048625,0.03618261866873508,0.5391768969917385,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_covid_political_to_facebook_page_reference_pl_3shot_31_08_2026_17_22_21
NM_MT,covid_political,twibot20,0.5769166666666666,0.6033748681692122,0.6104314105902777,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_covid_political_to_twibot20_pl_3shot_31_08_2026_17_19_50
NM_MT,covid_political,ukr_rus_suspended,0.51225,0.4941664506092818,0.512285875,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_covid_political_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_21_03
NM_MT,election2020,covid_political,0.8774583333333333,0.875492146818509,0.9171464939236111,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_election2020_to_covid_political_pl_3shot_31_08_2026_17_18_29
NM_MT,election2020,election2020,0.97975,0.9799455310720475,0.987984375,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_election2020_to_election2020_pl_3shot_31_08_2026_17_19_02
NM_MT,election2020,facebook_page_reference,0.047716666666666664,0.03529801849690557,0.5492714821928879,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_election2020_to_facebook_page_reference_pl_3shot_31_08_2026_17_24_47
NM_MT,election2020,twibot20,0.6172083333333334,0.653229154871098,0.6527028506944443,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_election2020_to_twibot20_pl_3shot_31_08_2026_17_20_21
NM_MT,election2020,ukr_rus_suspended,0.5115,0.47585836909871243,0.513710125,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_election2020_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_21_03
NM_MT,facebook_page_reference,covid_political,0.4135625,0.4016071086924173,0.38523492274305554,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_facebook_page_reference_to_covid_political_pl_3shot_31_08_2026_17_18_29
NM_MT,facebook_page_reference,election2020,0.4685,0.4393459915611814,0.45495675,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_facebook_page_reference_to_election2020_pl_3shot_31_08_2026_17_19_01
NM_MT,facebook_page_reference,facebook_page_reference,0.22994166666666666,0.1821571159185124,0.8519941981591235,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_facebook_page_reference_to_facebook_page_reference_pl_3shot_31_08_2026_17_24_47
NM_MT,facebook_page_reference,twibot20,0.5886458333333333,0.6342096000296411,0.6214725954861111,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_facebook_page_reference_to_twibot20_pl_3shot_31_08_2026_17_20_24
NM_MT,facebook_page_reference,ukr_rus_suspended,0.48475,0.4749044585987261,0.486145375,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_facebook_page_reference_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_21_02
NM_MT,twibot20,covid_political,0.7066875,0.7096335100129931,0.7632300173611111,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_twibot20_to_covid_political_pl_3shot_31_08_2026_17_18_29
NM_MT,twibot20,election2020,0.82975,0.8340238849622228,0.8999617500000001,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_twibot20_to_election2020_pl_3shot_31_08_2026_17_19_22
NM_MT,twibot20,facebook_page_reference,0.0530375,0.050258002411417355,0.5650192856860632,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_twibot20_to_facebook_page_reference_pl_3shot_31_08_2026_17_24_50
NM_MT,twibot20,twibot20,0.7497083333333333,0.7652690398968387,0.8124706796875,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_twibot20_to_twibot20_pl_3shot_31_08_2026_17_20_26
NM_MT,twibot20,ukr_rus_suspended,0.496,0.48254620123203285,0.48848825,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_twibot20_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_21_13
NM_MT,ukr_rus_suspended,covid_political,0.6942916666666666,0.6928969067849818,0.7463892326388889,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_ukr_rus_suspended_to_covid_political_pl_3shot_31_08_2026_17_18_29
NM_MT,ukr_rus_suspended,election2020,0.535,0.4490521327014218,0.553658125,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_ukr_rus_suspended_to_election2020_pl_3shot_31_08_2026_17_19_25
NM_MT,ukr_rus_suspended,facebook_page_reference,0.030870833333333333,0.02112743438913027,0.5206019551454742,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_ukr_rus_suspended_to_facebook_page_reference_pl_3shot_31_08_2026_17_24_50
NM_MT,ukr_rus_suspended,twibot20,0.5743125,0.6319505736981466,0.5992661076388889,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_ukr_rus_suspended_to_twibot20_pl_3shot_31_08_2026_17_20_26
NM_MT,ukr_rus_suspended,ukr_rus_suspended,0.58875,0.5467070818407275,0.6155349999999999,/dataMeR1/phil/gfm/prodigy-mtfast/log/eval_NM_MT_ukr_rus_suspended_to_ukr_rus_suspended_pl_3shot_31_08_2026_17_21_15
