source,objective,update,accuracy,loss
election2020,MT,209,0.1396,2.5817
election2020,NM,209,1.0,0.0192
election2020,MT,211,0.1323,2.6238
election2020,NM,211,0.9844,0.0693
election2020,MT,213,0.15,2.6027
election2020,NM,213,0.9844,0.0971
election2020,MT,215,0.1479,2.5088
election2020,NM,215,0.9844,0.0469
election2020,MT,217,0.149,2.5437
election2020,NM,217,0.9844,0.0771
election2020,MT,219,0.1656,2.5618
election2020,NM,219,0.9844,0.0888
election2020,MT,221,0.1448,2.5317
election2020,NM,221,0.9688,0.1503
election2020,MT,223,0.151,2.6564
election2020,NM,223,1.0,0.0234
election2020,MT,225,0.149,2.6014
election2020,NM,225,1.0,0.0217
election2020,MT,227,0.149,2.5798
election2020,NM,227,1.0,0.0123
election2020,MT,229,0.1437,2.5646
election2020,NM,229,1.0,0.0073
election2020,MT,231,0.1469,2.596
election2020,NM,231,0.9844,0.1076
election2020,MT,233,0.151,2.5298
election2020,NM,233,0.9531,0.1962
election2020,MT,235,0.1604,2.5541
election2020,NM,235,0.9375,0.2784
election2020,MT,237,0.1531,2.5718
election2020,NM,237,0.9844,0.065
election2020,MT,239,0.1417,2.5564
election2020,NM,239,1.0,0.0318
election2020,MT,241,0.1479,2.5619
election2020,NM,241,0.9688,0.1068
election2020,MT,243,0.1656,2.5216
election2020,NM,243,0.9844,0.0891
election2020,MT,245,0.1573,2.5638
election2020,NM,245,0.9844,0.0758
election2020,MT,247,0.15,2.5471
election2020,NM,247,0.9688,0.1208
election2020,MT,249,0.1573,2.552
election2020,NM,249,1.0,0.019
election2020,MT,251,0.1479,2.5217
election2020,NM,251,0.9688,0.116
election2020,MT,253,0.1542,2.5242
election2020,NM,253,0.9688,0.1275
election2020,MT,255,0.1583,2.5185
election2020,NM,255,0.9688,0.0673
election2020,MT,257,0.1365,2.5312
election2020,NM,257,0.9844,0.0887
election2020,MT,259,0.149,2.5658
election2020,NM,259,0.9531,0.1728
election2020,MT,261,0.1729,2.4897
election2020,NM,261,0.9688,0.0646
election2020,MT,263,0.1802,2.5528
election2020,NM,263,0.9688,0.1546
election2020,MT,265,0.1688,2.5105
election2020,NM,265,0.9688,0.1102
election2020,MT,267,0.1469,2.5253
election2020,NM,267,1.0,0.0304
election2020,MT,269,0.1573,2.4919
election2020,NM,269,0.9844,0.1053
election2020,MT,271,0.1542,2.5352
election2020,NM,271,1.0,0.0144
election2020,MT,273,0.1646,2.4837
election2020,NM,273,0.9844,0.0845
election2020,MT,275,0.1708,2.4691
election2020,NM,275,0.9531,0.246
election2020,MT,277,0.1635,2.4817
election2020,NM,277,0.9844,0.0632
election2020,MT,279,0.176,2.4039
election2020,NM,279,0.9688,0.161
election2020,MT,281,0.1615,2.5197
election2020,NM,281,0.9688,0.1398
election2020,MT,283,0.1781,2.4504
election2020,NM,283,1.0,0.0222
election2020,MT,285,0.1823,2.3955
election2020,NM,285,0.9219,0.3258
election2020,MT,287,0.1469,2.4924
election2020,NM,287,0.9844,0.0896
election2020,MT,289,0.1833,2.4104
election2020,NM,289,0.9688,0.15
election2020,MT,291,0.175,2.4774
election2020,NM,291,0.9688,0.125
election2020,MT,293,0.1667,2.4856
election2020,NM,293,0.9688,0.1466
election2020,MT,295,0.1698,2.4771
election2020,NM,295,0.9844,0.0788
election2020,MT,297,0.1823,2.4302
election2020,NM,297,0.9844,0.0772
election2020,MT,299,0.1719,2.4276
election2020,NM,299,1.0,0.0298
election2020,MT,301,0.1917,2.3891
election2020,NM,301,0.9688,0.1056
election2020,MT,303,0.1917,2.4671
election2020,NM,303,1.0,0.0137
election2020,MT,305,0.1656,2.5033
election2020,NM,305,0.9844,0.0813
election2020,MT,307,0.1688,2.3867
election2020,NM,307,0.9688,0.1557
election2020,MT,309,0.1917,2.4017
election2020,NM,309,0.9688,0.1013
election2020,MT,311,0.1667,2.4405
election2020,NM,311,0.9688,0.0581
election2020,MT,313,0.1812,2.4665
election2020,NM,313,0.9844,0.082
election2020,MT,315,0.1656,2.4635
election2020,NM,315,0.9688,0.1613
election2020,MT,317,0.1958,2.3874
election2020,NM,317,0.9844,0.0867
election2020,MT,319,0.1729,2.4159
election2020,NM,319,0.9688,0.1511
election2020,MT,321,0.1844,2.3972
election2020,NM,321,0.9844,0.0759
election2020,MT,323,0.1688,2.3715
election2020,NM,323,0.9375,0.2925
election2020,MT,325,0.1844,2.3789
election2020,NM,325,0.9844,0.0821
election2020,MT,327,0.1906,2.434
election2020,NM,327,0.9844,0.0768
election2020,MT,329,0.176,2.4178
election2020,NM,329,0.9844,0.0651
election2020,MT,331,0.174,2.4192
election2020,NM,331,1.0,0.0314
election2020,MT,333,0.1719,2.3978
election2020,NM,333,1.0,0.0232
election2020,MT,335,0.1875,2.408
election2020,NM,335,0.9688,0.1149
election2020,MT,337,0.1927,2.39
election2020,NM,337,1.0,0.0109
election2020,MT,339,0.1938,2.4098
election2020,NM,339,0.9688,0.1544
election2020,MT,341,0.1885,2.4191
election2020,NM,341,1.0,0.0064
election2020,MT,343,0.1667,2.4079
election2020,NM,343,0.9844,0.1024
election2020,MT,345,0.1885,2.4165
election2020,NM,345,1.0,0.007
election2020,MT,347,0.1865,2.3367
election2020,NM,347,0.9688,0.1375
election2020,MT,349,0.1771,2.3855
election2020,NM,349,0.9844,0.0919
election2020,MT,351,0.1792,2.4388
election2020,NM,351,0.9844,0.0629
election2020,MT,353,0.1833,2.3331
election2020,NM,353,0.9688,0.1385
election2020,MT,355,0.2135,2.4177
election2020,NM,355,0.9375,0.2494
election2020,MT,357,0.1969,2.3881
election2020,NM,357,0.9688,0.0955
election2020,MT,359,0.175,2.4095
election2020,NM,359,0.9844,0.1148
election2020,MT,361,0.2125,2.3495
election2020,NM,361,0.9375,0.2092
election2020,MT,363,0.201,2.4122
election2020,NM,363,0.9844,0.059
election2020,MT,365,0.1833,2.4102
election2020,NM,365,0.9844,0.0898
election2020,MT,367,0.2271,2.3332
election2020,NM,367,0.9688,0.1024
election2020,MT,369,0.1833,2.398
election2020,NM,369,0.9531,0.1538
election2020,MT,371,0.1865,2.3275
election2020,NM,371,0.9844,0.0577
election2020,MT,373,0.2042,2.3399
election2020,NM,373,0.9844,0.0669
election2020,MT,375,0.2021,2.3468
election2020,NM,375,0.9688,0.1371
election2020,MT,377,0.2146,2.3428
election2020,NM,377,1.0,0.0218
election2020,MT,379,0.2198,2.3207
election2020,NM,379,1.0,0.0186
election2020,MT,381,0.2073,2.3649
election2020,NM,381,1.0,0.0086
election2020,MT,383,0.2135,2.3025
election2020,NM,383,1.0,0.0102
election2020,MT,385,0.2125,2.261
election2020,NM,385,0.9688,0.1506
election2020,MT,387,0.2281,2.2688
election2020,NM,387,0.9688,0.059
election2020,MT,389,0.2,2.3303
election2020,NM,389,0.9688,0.173
election2020,MT,391,0.2021,2.2796
election2020,NM,391,0.9688,0.0608
election2020,MT,393,0.2146,2.311
election2020,NM,393,1.0,0.018
election2020,MT,395,0.199,2.3669
election2020,NM,395,0.9531,0.1536
election2020,MT,397,0.2281,2.2563
election2020,NM,397,0.9688,0.0974
election2020,MT,399,0.2302,2.257
election2020,NM,399,0.9844,0.081
election2020,MT,401,0.2177,2.2903
election2020,NM,401,0.9688,0.1182
election2020,MT,403,0.2083,2.3258
election2020,NM,403,0.9844,0.0627
election2020,MT,405,0.2062,2.2782
election2020,NM,405,1.0,0.0178
election2020,MT,407,0.2427,2.2496
election2020,NM,407,0.9688,0.0511
election2020,MT,409,0.25,2.2101
election2020,NM,409,1.0,0.0105
election2020,MT,411,0.2104,2.2901
election2020,NM,411,0.9688,0.0721
election2020,MT,413,0.2427,2.1652
election2020,NM,413,0.9844,0.024
election2020,MT,415,0.2323,2.1692
election2020,NM,415,0.9219,0.2738
election2020,MT,417,0.2135,2.3194
election2020,NM,417,0.9844,0.1082
election2020,MT,419,0.25,2.208
election2020,NM,419,0.9844,0.0737
election2020,MT,421,0.2135,2.3297
election2020,NM,421,0.9531,0.2105
election2020,MT,423,0.2062,2.2519
election2020,NM,423,0.9844,0.0629
election2020,MT,425,0.2052,2.2304
election2020,NM,425,0.9844,0.0753
election2020,MT,427,0.2375,2.2277
election2020,NM,427,0.9844,0.0565
election2020,MT,429,0.2344,2.252
election2020,NM,429,1.0,0.0119
election2020,MT,431,0.2354,2.2618
election2020,NM,431,1.0,0.0115
election2020,MT,433,0.2229,2.2107
election2020,NM,433,0.9844,0.0384
election2020,MT,435,0.2167,2.2508
election2020,NM,435,0.9844,0.0434
election2020,MT,437,0.2271,2.2302
election2020,NM,437,0.9219,0.27
election2020,MT,439,0.2375,2.2003
election2020,NM,439,1.0,0.0236
election2020,MT,441,0.226,2.2714
election2020,NM,441,0.9375,0.1972
election2020,MT,443,0.2219,2.3012
election2020,NM,443,0.9844,0.0808
election2020,MT,445,0.226,2.2664
election2020,NM,445,0.9688,0.1781
election2020,MT,447,0.2365,2.2425
election2020,NM,447,0.9688,0.1775
election2020,MT,449,0.2062,2.2842
election2020,NM,449,0.9688,0.1122
election2020,MT,451,0.2344,2.2141
election2020,NM,451,1.0,0.0391
election2020,MT,453,0.2,2.3594
election2020,NM,453,0.9844,0.1035
election2020,MT,455,0.2292,2.1909
election2020,NM,455,1.0,0.0192
election2020,MT,457,0.2219,2.1975
election2020,NM,457,0.9844,0.0899
election2020,MT,459,0.2458,2.2632
election2020,NM,459,0.9844,0.0919
election2020,MT,461,0.2469,2.2129
election2020,NM,461,1.0,0.0109
election2020,MT,463,0.2479,2.2297
election2020,NM,463,0.9531,0.2085
election2020,MT,465,0.2417,2.1867
election2020,NM,465,0.9531,0.222
election2020,MT,467,0.2479,2.1984
