threshold,alpha,iterations,excluded,target,run_dir,val_accuracy,val_roc_auc,test_accuracy,test_roc_auc
0.9,0.25,1,ukr_rus_suspended,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_ukr_rus_suspended_to_covid_political_pl_3shot_01_09_2026_01_25_10,0.8989791666666667,0.9522804270833333,0.8932291666666666,0.946949845486111
0.9,0.25,1,ukr_rus_suspended,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_ukr_rus_suspended_to_election2020_pl_3shot_01_09_2026_01_25_11,0.978,0.990260375,0.97725,0.9896035000000001
0.9,0.25,1,ukr_rus_suspended,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_ukr_rus_suspended_to_facebook_page_reference_pl_3shot_01_09_2026_01_25_56,0.14816666666666667,0.7524120597252154,0.14567916666666667,0.7482683283405173
0.9,0.25,1,ukr_rus_suspended,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_ukr_rus_suspended_to_twibot20_pl_3shot_01_09_2026_01_26_02,0.7304166666666667,0.8089268359375,0.7302916666666667,0.8124402005208333
0.9,0.25,1,ukr_rus_suspended,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A025_I1_EXCL_ukr_rus_suspended_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_28_23,0.51375,0.515901875,0.502,0.49859175
0.9,0.5,1,covid_political,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_covid_political_to_covid_political_pl_3shot_01_09_2026_01_28_59,0.8668333333333333,0.9263351484375,0.863625,0.9181358949652778
0.9,0.5,1,covid_political,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_covid_political_to_election2020_pl_3shot_01_09_2026_01_28_59,0.97,0.990648375,0.971,0.987539375
0.9,0.5,1,covid_political,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_covid_political_to_facebook_page_reference_pl_3shot_01_09_2026_01_29_49,0.12528333333333333,0.7364742653556033,0.12486666666666667,0.7353989644845546
0.9,0.5,1,covid_political,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_covid_political_to_twibot20_pl_3shot_01_09_2026_01_29_49,0.7407708333333334,0.8136932725694446,0.7272291666666667,0.8098089366319445
0.9,0.5,1,covid_political,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_covid_political_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_32_16,0.56025,0.5812701250000001,0.55225,0.56200075
0.9,0.5,1,election2020,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_election2020_to_covid_political_pl_3shot_01_09_2026_01_28_59,0.88975,0.9481557647569444,0.8854166666666666,0.9421394565972221
0.9,0.5,1,election2020,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_election2020_to_election2020_pl_3shot_01_09_2026_01_28_59,0.931,0.9694840000000001,0.93,0.970061625
0.9,0.5,1,election2020,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_election2020_to_facebook_page_reference_pl_3shot_01_09_2026_01_29_37,0.11627916666666667,0.7279336673581179,0.1144875,0.7250178156339799
0.9,0.5,1,election2020,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_election2020_to_twibot20_pl_3shot_01_09_2026_01_29_37,0.728625,0.8019551961805556,0.7244166666666667,0.7941127387152777
0.9,0.5,1,election2020,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_election2020_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_32_04,0.54175,0.5629962500000001,0.5415,0.5593245
0.9,0.5,1,facebook_page_reference,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_facebook_page_reference_to_covid_political_pl_3shot_01_09_2026_01_28_57,0.9077916666666667,0.9571868541666666,0.9050625,0.9541285078124999
0.9,0.5,1,facebook_page_reference,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_facebook_page_reference_to_election2020_pl_3shot_01_09_2026_01_28_57,0.97425,0.9893158750000001,0.976,0.987661
0.9,0.5,1,facebook_page_reference,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_facebook_page_reference_to_facebook_page_reference_pl_3shot_01_09_2026_01_29_44,0.053429166666666666,0.552888369782687,0.05155,0.554305013981681
0.9,0.5,1,facebook_page_reference,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_facebook_page_reference_to_twibot20_pl_3shot_01_09_2026_01_29_44,0.7312708333333333,0.8037469887152777,0.7238125,0.8000656987847222
0.9,0.5,1,facebook_page_reference,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_facebook_page_reference_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_32_13,0.56825,0.5829707500000001,0.554,0.5733336250000001
