physical_result_id	seed	model_id	target	accuracy_logged	f1_macro_logged	roc_auc_ovr_macro_logged	printed_decimal_places	source_log
prodigy|seed=0|model=ordB_r4|target=midterm|checkpoint=2500	0	ordB_r4	midterm	0.2051	0.2050	0.8425	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker1.log
prodigy|seed=0|model=ordB_r4|target=twibot20|checkpoint=2500	0	ordB_r4	twibot20	0.2786	0.2785	0.8925	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker1.log
prodigy|seed=0|model=ordB_r4|target=ukr_rus|checkpoint=2500	0	ordB_r4	ukr_rus	0.3889	0.3889	0.9091	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker1.log
prodigy|seed=0|model=ordB_r4|target=ukr_rus_suspended|checkpoint=2500	0	ordB_r4	ukr_rus_suspended	0.3338	0.3338	0.9157	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker1.log
prodigy|seed=0|model=ordB_r5|target=covid|checkpoint=2500	0	ordB_r5	covid	0.5040	0.5039	0.9494	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker4.log
prodigy|seed=0|model=ordB_r5|target=covid_political|checkpoint=2500	0	ordB_r5	covid_political	0.1256	0.1256	0.8132	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker4.log
prodigy|seed=0|model=ordB_r5|target=cp_hk|checkpoint=2500	0	ordB_r5	cp_hk	0.1537	0.1537	0.7701	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker4.log
prodigy|seed=0|model=ordB_r5|target=election2020|checkpoint=2500	0	ordB_r5	election2020	0.1941	0.1940	0.8665	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker4.log
prodigy|seed=0|model=ordB_r5|target=facebook_page_reference|checkpoint=2500	0	ordB_r5	facebook_page_reference	0.3331	0.3332	0.8769	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker4.log
prodigy|seed=0|model=ordB_r5|target=midterm|checkpoint=2500	0	ordB_r5	midterm	0.2028	0.2027	0.8441	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker4.log
prodigy|seed=0|model=ordB_r5|target=twibot20|checkpoint=2500	0	ordB_r5	twibot20	0.2845	0.2844	0.8952	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker4.log
prodigy|seed=0|model=ordB_r5|target=ukr_rus|checkpoint=2500	0	ordB_r5	ukr_rus	0.3925	0.3925	0.9076	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker4.log
prodigy|seed=0|model=ordB_r5|target=ukr_rus_suspended|checkpoint=2500	0	ordB_r5	ukr_rus_suspended	0.3200	0.3200	0.9115	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/recovery/worker4.log
prodigy|seed=0|model=ordB_r6|target=covid|checkpoint=2500	0	ordB_r6	covid	0.4983	0.4983	0.9474	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker7.log
prodigy|seed=0|model=ordB_r6|target=covid_political|checkpoint=2500	0	ordB_r6	covid_political	0.1687	0.1687	0.8589	4	/dataMeR1/phil/gfm/prodigy-final-core-cache/log/final_core_cached_test/queue/production_bs32_worker7.log
