state,trial,action,source,gradient_cosine,conflict,update_norm,matched_scale,train_bce_delta,bce_before,bce_delta,auc_before,auc_delta_pp
best,5,mixed_norm_matched,facebook_page_reference,0.43419764484294326,False,0.05200865643309202,1.0,-0.0016560107469558716,0.16715295016765594,0.0030513927340507507,0.9632002804279327,-0.05190663337706347
best,6,mixed,ukr_rus_twitter,0.17492965393923918,False,0.04874562717004115,1.0,-0.0006013363599777222,0.0863202128559351,-0.0002661794424057007,0.9874890720844269,-0.018056106567387875
best,6,mixed,facebook_page_reference,0.17492965393923918,False,0.04874562717004115,1.0,-0.0019949674606323242,0.16715295016765594,0.0022569067776202767,0.9632002804279327,-0.02385282516477183
best,6,corrected,ukr_rus_twitter,0.17492965393923918,False,0.04874562717004115,1.0,-0.0006013363599777222,0.0863202128559351,-0.0002661794424057007,0.9874890720844269,-0.018056106567387875
best,6,corrected,facebook_page_reference,0.17492965393923918,False,0.04874562717004115,1.0,-0.0019949674606323242,0.16715295016765594,0.0022569067776202767,0.9632002804279327,-0.02385282516477183
best,6,mixed_norm_matched,ukr_rus_twitter,0.17492965393923918,False,0.04874562717004115,1.0,-0.0006013363599777222,0.0863202128559351,-0.0002661794424057007,0.9874890720844269,-0.018056106567387875
best,6,mixed_norm_matched,facebook_page_reference,0.17492965393923918,False,0.04874562717004115,1.0,-0.0019949674606323242,0.16715295016765594,0.0022569067776202767,0.9632002804279327,-0.02385282516477183
best,7,mixed,ukr_rus_twitter,0.5310459264613049,False,0.055380645627951135,1.0,-0.002082839608192444,0.0863202128559351,0.0013385958969592965,0.9874890720844269,-0.05504627227782555
best,7,mixed,facebook_page_reference,0.5310459264613049,False,0.055380645627951135,1.0,-0.001677587628364563,0.16715295016765594,0.004378356039524106,0.9632002804279327,-0.07544531822204492
best,7,corrected,ukr_rus_twitter,0.5310459264613049,False,0.055380645627951135,1.0,-0.002082839608192444,0.0863202128559351,0.0013385958969592965,0.9874890720844269,-0.05504627227782555
best,7,corrected,facebook_page_reference,0.5310459264613049,False,0.055380645627951135,1.0,-0.001677587628364563,0.16715295016765594,0.004378356039524106,0.9632002804279327,-0.07544531822204492
best,7,mixed_norm_matched,ukr_rus_twitter,0.5310459264613049,False,0.055380645627951135,1.0,-0.002082839608192444,0.0863202128559351,0.0013385958969592965,0.9874890720844269,-0.05504627227782555
