order,rung,n_sources,test_graph,test_canonical,auc,entry_rung,rel_to_entry,in_training,added,sources,status,provenance
A,2,2,cp_hk_twitter,hongkong,0.726,8,-6,0,covid,ukr_rus covid,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
A,3,3,ukr_rus_twitter,ukraine,0.941,1,2,1,midterm,ukr_rus covid midterm,reuse,order-A ladder rung 3 (nm_ladder_full.csv)
A,3,3,covid19_twitter,covid,0.978,2,1,1,midterm,ukr_rus covid midterm,reuse,order-A ladder rung 3 (nm_ladder_full.csv)
A,3,3,midterm,midterm,0.915,3,0,1,midterm,ukr_rus covid midterm,reuse,order-A ladder rung 3 (nm_ladder_full.csv)
A,3,3,covid_political,covid-political,0.83,4,-1,0,midterm,ukr_rus covid midterm,reuse,order-A ladder rung 3 (nm_ladder_full.csv)
A,3,3,election2020,election2020-political,0.815,5,-2,0,midterm,ukr_rus covid midterm,reuse,order-A ladder rung 3 (nm_ladder_full.csv)
A,3,3,ukr_rus_suspended,ukraine-suspended,0.777,6,-3,0,midterm,ukr_rus covid midterm,reuse,order-A ladder rung 3 (nm_ladder_full.csv)
A,3,3,twibot20,twibot20,0.927,7,-4,0,midterm,ukr_rus covid midterm,reuse,order-A ladder rung 3 (nm_ladder_full.csv)
A,3,3,cp_hk_twitter,hongkong,0.72,8,-5,0,midterm,ukr_rus covid midterm,reuse,order-A ladder rung 3 (nm_ladder_full.csv)
A,4,4,ukr_rus_twitter,ukraine,0.9344,1,3,1,covid_political,ukr_rus covid midterm covid_political,reuse,order-A ladder rung 4 (nm_ladder_full.csv)
A,4,4,covid19_twitter,covid,0.9753,2,2,1,covid_political,ukr_rus covid midterm covid_political,reuse,order-A ladder rung 4 (nm_ladder_full.csv)
A,4,4,midterm,midterm,0.9093,3,1,1,covid_political,ukr_rus covid midterm covid_political,reuse,order-A ladder rung 4 (nm_ladder_full.csv)
A,4,4,covid_political,covid-political,0.9113,4,0,1,covid_political,ukr_rus covid midterm covid_political,reuse,order-A ladder rung 4 (nm_ladder_full.csv)
A,4,4,election2020,election2020-political,0.8297,5,-1,0,covid_political,ukr_rus covid midterm covid_political,reuse,order-A ladder rung 4 (nm_ladder_full.csv)
A,4,4,ukr_rus_suspended,ukraine-suspended,0.7768,6,-2,0,covid_political,ukr_rus covid midterm covid_political,reuse,order-A ladder rung 4 (nm_ladder_full.csv)
A,4,4,twibot20,twibot20,0.9234,7,-3,0,covid_political,ukr_rus covid midterm covid_political,reuse,order-A ladder rung 4 (nm_ladder_full.csv)
A,4,4,cp_hk_twitter,hongkong,0.7235,8,-4,0,covid_political,ukr_rus covid midterm covid_political,reuse,order-A ladder rung 4 (nm_ladder_full.csv)
A,5,5,ukr_rus_twitter,ukraine,0.9346,1,4,1,election2020,ukr_rus covid midterm covid_political election2020,reuse,order-A ladder rung 5 (nm_ladder_full.csv)
A,5,5,covid19_twitter,covid,0.9754,2,3,1,election2020,ukr_rus covid midterm covid_political election2020,reuse,order-A ladder rung 5 (nm_ladder_full.csv)
A,5,5,midterm,midterm,0.9086,3,2,1,election2020,ukr_rus covid midterm covid_political election2020,reuse,order-A ladder rung 5 (nm_ladder_full.csv)
A,5,5,covid_political,covid-political,0.9102,4,1,1,election2020,ukr_rus covid midterm covid_political election2020,reuse,order-A ladder rung 5 (nm_ladder_full.csv)
A,5,5,election2020,election2020-political,0.9259,5,0,1,election2020,ukr_rus covid midterm covid_political election2020,reuse,order-A ladder rung 5 (nm_ladder_full.csv)
A,5,5,ukr_rus_suspended,ukraine-suspended,0.7693,6,-1,0,election2020,ukr_rus covid midterm covid_political election2020,reuse,order-A ladder rung 5 (nm_ladder_full.csv)
A,5,5,twibot20,twibot20,0.9254,7,-2,0,election2020,ukr_rus covid midterm covid_political election2020,reuse,order-A ladder rung 5 (nm_ladder_full.csv)
A,5,5,cp_hk_twitter,hongkong,0.7261,8,-3,0,election2020,ukr_rus covid midterm covid_political election2020,reuse,order-A ladder rung 5 (nm_ladder_full.csv)
A,6,6,ukr_rus_twitter,ukraine,0.9325,1,5,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,reuse,order-A ladder rung 6 (nm_ladder_full.csv)
A,6,6,covid19_twitter,covid,0.9744,2,4,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,reuse,order-A ladder rung 6 (nm_ladder_full.csv)
A,6,6,midterm,midterm,0.9073,3,3,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,reuse,order-A ladder rung 6 (nm_ladder_full.csv)
A,6,6,covid_political,covid-political,0.9106,4,2,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,reuse,order-A ladder rung 6 (nm_ladder_full.csv)
A,6,6,election2020,election2020-political,0.9241,5,1,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,reuse,order-A ladder rung 6 (nm_ladder_full.csv)
A,6,6,ukr_rus_suspended,ukraine-suspended,0.934,6,0,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,reuse,order-A ladder rung 6 (nm_ladder_full.csv)
A,6,6,twibot20,twibot20,0.9242,7,-1,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,reuse,order-A ladder rung 6 (nm_ladder_full.csv)
A,6,6,cp_hk_twitter,hongkong,0.7239,8,-2,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,reuse,order-A ladder rung 6 (nm_ladder_full.csv)
A,7,7,ukr_rus_twitter,ukraine,0.9321,1,6,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,reuse,order-A ladder rung 7 (nm_ladder_full.csv)
A,7,7,covid19_twitter,covid,0.9748,2,5,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,reuse,order-A ladder rung 7 (nm_ladder_full.csv)
A,7,7,midterm,midterm,0.9033,3,4,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,reuse,order-A ladder rung 7 (nm_ladder_full.csv)
A,7,7,covid_political,covid-political,0.9076,4,3,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,reuse,order-A ladder rung 7 (nm_ladder_full.csv)
A,7,7,election2020,election2020-political,0.9198,5,2,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,reuse,order-A ladder rung 7 (nm_ladder_full.csv)
A,7,7,ukr_rus_suspended,ukraine-suspended,0.9256,6,1,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,reuse,order-A ladder rung 7 (nm_ladder_full.csv)
A,7,7,twibot20,twibot20,0.9377,7,0,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,reuse,order-A ladder rung 7 (nm_ladder_full.csv)
A,7,7,cp_hk_twitter,hongkong,0.7267,8,-1,0,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,reuse,order-A ladder rung 7 (nm_ladder_full.csv)
A,8,8,ukr_rus_twitter,ukraine,0.934,1,7,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
A,8,8,covid19_twitter,covid,0.975,2,6,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
A,8,8,midterm,midterm,0.908,3,5,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
A,8,8,covid_political,covid-political,0.906,4,4,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
A,8,8,election2020,election2020-political,0.92,5,3,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
A,8,8,ukr_rus_suspended,ukraine-suspended,0.931,6,2,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
A,8,8,twibot20,twibot20,0.937,7,1,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
A,8,8,cp_hk_twitter,hongkong,0.867,8,0,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
B,1,1,ukr_rus_twitter,ukraine,0.9264,2,-1,0,covid,covid,reuse,single-source matrix (nm_single_source_matrix.csv)
B,1,1,covid19_twitter,covid,0.9805,1,0,1,covid,covid,reuse,single-source matrix (nm_single_source_matrix.csv)
B,1,1,midterm,midterm,0.8842,4,-3,0,covid,covid,reuse,single-source matrix (nm_single_source_matrix.csv)
B,1,1,covid_political,covid-political,0.8498,7,-6,0,covid,covid,reuse,single-source matrix (nm_single_source_matrix.csv)
B,1,1,election2020,election2020-political,0.8345,8,-7,0,covid,covid,reuse,single-source matrix (nm_single_source_matrix.csv)
B,1,1,ukr_rus_suspended,ukraine-suspended,0.7861,5,-4,0,covid,covid,reuse,single-source matrix (nm_single_source_matrix.csv)
B,1,1,twibot20,twibot20,0.9258,3,-2,0,covid,covid,reuse,single-source matrix (nm_single_source_matrix.csv)
B,1,1,cp_hk_twitter,hongkong,0.7196,6,-5,0,covid,covid,reuse,single-source matrix (nm_single_source_matrix.csv)
B,2,2,ukr_rus_twitter,ukraine,0.945,2,0,1,ukr_rus,covid ukr_rus,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
B,2,2,covid19_twitter,covid,0.98,1,1,1,ukr_rus,covid ukr_rus,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
B,2,2,midterm,midterm,0.885,4,-2,0,ukr_rus,covid ukr_rus,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
B,2,2,covid_political,covid-political,0.843,7,-5,0,ukr_rus,covid ukr_rus,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
B,2,2,election2020,election2020-political,0.828,8,-6,0,ukr_rus,covid ukr_rus,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
B,2,2,ukr_rus_suspended,ukraine-suspended,0.775,5,-3,0,ukr_rus,covid ukr_rus,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
B,2,2,twibot20,twibot20,0.925,3,-1,0,ukr_rus,covid ukr_rus,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
B,2,2,cp_hk_twitter,hongkong,0.726,6,-4,0,ukr_rus,covid ukr_rus,reuse,order-A ladder rung 2 (nm_ladder_full.csv)
B,3,3,ukr_rus_twitter,ukraine,0.9374042240261814,2,1,1,twibot20,covid ukr_rus twibot20,new,nm_ladder_ordB_r3
B,3,3,covid19_twitter,covid,0.9766477793103447,1,2,1,twibot20,covid ukr_rus twibot20,new,nm_ladder_ordB_r3
B,3,3,midterm,midterm,0.8828455995530013,4,-1,0,twibot20,covid ukr_rus twibot20,new,nm_ladder_ordB_r3
B,3,3,covid_political,covid-political,0.8481246410600255,7,-4,0,twibot20,covid ukr_rus twibot20,new,nm_ladder_ordB_r3
B,3,3,election2020,election2020-political,0.8262687172413794,8,-5,0,twibot20,covid ukr_rus twibot20,new,nm_ladder_ordB_r3
B,3,3,ukr_rus_suspended,ukraine-suspended,0.7623589471264366,5,-2,0,twibot20,covid ukr_rus twibot20,new,nm_ladder_ordB_r3
B,3,3,twibot20,twibot20,0.940626939096424,3,0,1,twibot20,covid ukr_rus twibot20,new,nm_ladder_ordB_r3
B,3,3,cp_hk_twitter,hongkong,0.7316832084770114,6,-3,0,twibot20,covid ukr_rus twibot20,new,nm_ladder_ordB_r3
B,4,4,ukr_rus_twitter,ukraine,0.9378017811143038,2,2,1,midterm,covid ukr_rus twibot20 midterm,new,nm_ladder_ordB_r4
B,4,4,covid19_twitter,covid,0.9767758714878672,1,3,1,midterm,covid ukr_rus twibot20 midterm,new,nm_ladder_ordB_r4
B,4,4,midterm,midterm,0.912982757183908,4,0,1,midterm,covid ukr_rus twibot20 midterm,new,nm_ladder_ordB_r4
B,4,4,covid_political,covid-political,0.8419349837324395,7,-3,0,midterm,covid ukr_rus twibot20 midterm,new,nm_ladder_ordB_r4
B,4,4,election2020,election2020-political,0.8226825218390805,8,-4,0,midterm,covid ukr_rus twibot20 midterm,new,nm_ladder_ordB_r4
B,4,4,ukr_rus_suspended,ukraine-suspended,0.7756944183908047,5,-1,0,midterm,covid ukr_rus twibot20 midterm,new,nm_ladder_ordB_r4
B,4,4,twibot20,twibot20,0.9403036309546615,3,1,1,midterm,covid ukr_rus twibot20 midterm,new,nm_ladder_ordB_r4
B,4,4,cp_hk_twitter,hongkong,0.720369180172414,6,-2,0,midterm,covid ukr_rus twibot20 midterm,new,nm_ladder_ordB_r4
B,5,5,ukr_rus_twitter,ukraine,0.9368854688218391,2,3,1,ukr_rus_suspended,covid ukr_rus twibot20 midterm ukr_rus_suspended,new,nm_ladder_ordB_r5
B,5,5,covid19_twitter,covid,0.9758706065772669,1,4,1,ukr_rus_suspended,covid ukr_rus twibot20 midterm ukr_rus_suspended,new,nm_ladder_ordB_r5
B,5,5,midterm,midterm,0.910825294875479,4,1,1,ukr_rus_suspended,covid ukr_rus twibot20 midterm ukr_rus_suspended,new,nm_ladder_ordB_r5
B,5,5,covid_political,covid-political,0.8518825089559386,7,-2,0,ukr_rus_suspended,covid ukr_rus twibot20 midterm ukr_rus_suspended,new,nm_ladder_ordB_r5
B,5,5,election2020,election2020-political,0.8316414873563218,8,-3,0,ukr_rus_suspended,covid ukr_rus twibot20 midterm ukr_rus_suspended,new,nm_ladder_ordB_r5
B,5,5,ukr_rus_suspended,ukraine-suspended,0.9429354735632182,5,0,1,ukr_rus_suspended,covid ukr_rus twibot20 midterm ukr_rus_suspended,new,nm_ladder_ordB_r5
B,5,5,twibot20,twibot20,0.9391024623722861,3,2,1,ukr_rus_suspended,covid ukr_rus twibot20 midterm ukr_rus_suspended,new,nm_ladder_ordB_r5
B,5,5,cp_hk_twitter,hongkong,0.7183858511494251,6,-1,0,ukr_rus_suspended,covid ukr_rus twibot20 midterm ukr_rus_suspended,new,nm_ladder_ordB_r5
B,6,6,ukr_rus_twitter,ukraine,0.9357241479565772,2,4,1,cp_hk,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,new,nm_ladder_ordB_r6
B,6,6,covid19_twitter,covid,0.9755057551245211,1,5,1,cp_hk,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,new,nm_ladder_ordB_r6
B,6,6,midterm,midterm,0.9095899810185184,4,2,1,cp_hk,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,new,nm_ladder_ordB_r6
B,6,6,covid_political,covid-political,0.8455864786079182,7,-1,0,cp_hk,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,new,nm_ladder_ordB_r6
B,6,6,election2020,election2020-political,0.827781832183908,8,-2,0,cp_hk,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,new,nm_ladder_ordB_r6
B,6,6,ukr_rus_suspended,ukraine-suspended,0.9383324758620691,5,1,1,cp_hk,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,new,nm_ladder_ordB_r6
B,6,6,twibot20,twibot20,0.9381731583333334,3,3,1,cp_hk,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,new,nm_ladder_ordB_r6
B,6,6,cp_hk_twitter,hongkong,0.8703703616379311,6,0,1,cp_hk,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk,new,nm_ladder_ordB_r6
B,7,7,ukr_rus_twitter,ukraine,0.9324600312739465,2,5,1,covid_political,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political,new,nm_ladder_ordB_r7
B,7,7,covid19_twitter,covid,0.9743727322796935,1,6,1,covid_political,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political,new,nm_ladder_ordB_r7
B,7,7,midterm,midterm,0.9053425773148146,4,3,1,covid_political,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political,new,nm_ladder_ordB_r7
B,7,7,covid_political,covid-political,0.9081583631545338,7,0,1,covid_political,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political,new,nm_ladder_ordB_r7
B,7,7,election2020,election2020-political,0.8400826022988507,8,-1,0,covid_political,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political,new,nm_ladder_ordB_r7
B,7,7,ukr_rus_suspended,ukraine-suspended,0.9339022344827586,5,2,1,covid_political,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political,new,nm_ladder_ordB_r7
B,7,7,twibot20,twibot20,0.9368092478128992,3,4,1,covid_political,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political,new,nm_ladder_ordB_r7
B,7,7,cp_hk_twitter,hongkong,0.8655103360632184,6,1,1,covid_political,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political,new,nm_ladder_ordB_r7
B,8,8,ukr_rus_twitter,ukraine,0.934,2,6,1,election2020,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political election2020,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
B,8,8,covid19_twitter,covid,0.975,1,7,1,election2020,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political election2020,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
B,8,8,midterm,midterm,0.908,4,4,1,election2020,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political election2020,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
B,8,8,covid_political,covid-political,0.906,7,1,1,election2020,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political election2020,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
B,8,8,election2020,election2020-political,0.92,8,0,1,election2020,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political election2020,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
B,8,8,ukr_rus_suspended,ukraine-suspended,0.931,5,3,1,election2020,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political election2020,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
B,8,8,twibot20,twibot20,0.937,3,5,1,election2020,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political election2020,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
B,8,8,cp_hk_twitter,hongkong,0.867,6,2,1,election2020,covid ukr_rus twibot20 midterm ukr_rus_suspended cp_hk covid_political election2020,reuse,order-A ladder rung 8 (nm_ladder_full.csv)
C,1,1,ukr_rus_twitter,ukraine,0.6018,7,-6,0,election2020,election2020,reuse,single-source matrix (nm_single_source_matrix.csv)
C,1,1,covid19_twitter,covid,0.6551,8,-7,0,election2020,election2020,reuse,single-source matrix (nm_single_source_matrix.csv)
C,1,1,midterm,midterm,0.6804,5,-4,0,election2020,election2020,reuse,single-source matrix (nm_single_source_matrix.csv)
C,1,1,covid_political,covid-political,0.7872,2,-1,0,election2020,election2020,reuse,single-source matrix (nm_single_source_matrix.csv)
C,1,1,election2020,election2020-political,0.9519,1,0,1,election2020,election2020,reuse,single-source matrix (nm_single_source_matrix.csv)
C,1,1,ukr_rus_suspended,ukraine-suspended,0.5627,4,-3,0,election2020,election2020,reuse,single-source matrix (nm_single_source_matrix.csv)
C,1,1,twibot20,twibot20,0.7096,6,-5,0,election2020,election2020,reuse,single-source matrix (nm_single_source_matrix.csv)
C,1,1,cp_hk_twitter,hongkong,0.5475,3,-2,0,election2020,election2020,reuse,single-source matrix (nm_single_source_matrix.csv)
C,2,2,ukr_rus_twitter,ukraine,0.6479949551245211,7,-5,0,covid_political,election2020 covid_political,new,nm_ladder_ordC_r2
C,2,2,covid19_twitter,covid,0.7322287988825033,8,-6,0,covid_political,election2020 covid_political,new,nm_ladder_ordC_r2
C,2,2,midterm,midterm,0.7521999042943807,5,-3,0,covid_political,election2020 covid_political,new,nm_ladder_ordC_r2
C,2,2,covid_political,covid-political,0.9126674958812262,2,0,1,covid_political,election2020 covid_political,new,nm_ladder_ordC_r2
C,2,2,election2020,election2020-political,0.9399837586206897,1,1,1,covid_political,election2020 covid_political,new,nm_ladder_ordC_r2
C,2,2,ukr_rus_suspended,ukraine-suspended,0.579886075862069,4,-2,0,covid_political,election2020 covid_political,new,nm_ladder_ordC_r2
C,2,2,twibot20,twibot20,0.7747346551564493,6,-4,0,covid_political,election2020 covid_political,new,nm_ladder_ordC_r2
C,2,2,cp_hk_twitter,hongkong,0.5653788771551724,3,-1,0,covid_political,election2020 covid_political,new,nm_ladder_ordC_r2
C,3,3,ukr_rus_twitter,ukraine,0.7467859874361431,7,-4,0,cp_hk,election2020 covid_political cp_hk,new,nm_ladder_ordC_r3
C,3,3,covid19_twitter,covid,0.832790019476373,8,-5,0,cp_hk,election2020 covid_political cp_hk,new,nm_ladder_ordC_r3
C,3,3,midterm,midterm,0.8069119819604087,5,-2,0,cp_hk,election2020 covid_political cp_hk,new,nm_ladder_ordC_r3
C,3,3,covid_political,covid-political,0.9121630072956576,2,1,1,cp_hk,election2020 covid_political cp_hk,new,nm_ladder_ordC_r3
C,3,3,election2020,election2020-political,0.9359273793103448,1,2,1,cp_hk,election2020 covid_political cp_hk,new,nm_ladder_ordC_r3
C,3,3,ukr_rus_suspended,ukraine-suspended,0.6518217747126436,4,-1,0,cp_hk,election2020 covid_political cp_hk,new,nm_ladder_ordC_r3
C,3,3,twibot20,twibot20,0.8181850680555556,6,-3,0,cp_hk,election2020 covid_political cp_hk,new,nm_ladder_ordC_r3
C,3,3,cp_hk_twitter,hongkong,0.8879583830459771,3,0,1,cp_hk,election2020 covid_political cp_hk,new,nm_ladder_ordC_r3
C,4,4,ukr_rus_twitter,ukraine,0.8250104927522349,7,-3,0,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,new,nm_ladder_ordC_r4
C,4,4,covid19_twitter,covid,0.8927544834610472,8,-4,0,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,new,nm_ladder_ordC_r4
C,4,4,midterm,midterm,0.8213368669859517,5,-1,0,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,new,nm_ladder_ordC_r4
C,4,4,covid_political,covid-political,0.9119613505427842,2,2,1,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,new,nm_ladder_ordC_r4
C,4,4,election2020,election2020-political,0.9290459954022989,1,3,1,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,new,nm_ladder_ordC_r4
C,4,4,ukr_rus_suspended,ukraine-suspended,0.948886659770115,4,0,1,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,new,nm_ladder_ordC_r4
C,4,4,twibot20,twibot20,0.8540511916028097,6,-2,0,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,new,nm_ladder_ordC_r4
C,4,4,cp_hk_twitter,hongkong,0.8803228070402299,3,1,1,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,new,nm_ladder_ordC_r4
C,5,5,ukr_rus_twitter,ukraine,0.8651577229885058,7,-2,0,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,new,nm_ladder_ordC_r5
C,5,5,covid19_twitter,covid,0.9308379506226054,8,-3,0,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,new,nm_ladder_ordC_r5
C,5,5,midterm,midterm,0.9090407906609194,5,0,1,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,new,nm_ladder_ordC_r5
C,5,5,covid_political,covid-political,0.9102062763888887,2,3,1,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,new,nm_ladder_ordC_r5
C,5,5,election2020,election2020-political,0.9256953310344829,1,4,1,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,new,nm_ladder_ordC_r5
C,5,5,ukr_rus_suspended,ukraine-suspended,0.9460343586206896,4,1,1,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,new,nm_ladder_ordC_r5
C,5,5,twibot20,twibot20,0.8906968706577267,6,-1,0,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,new,nm_ladder_ordC_r5
C,5,5,cp_hk_twitter,hongkong,0.8775573316091952,3,2,1,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,new,nm_ladder_ordC_r5
C,6,6,ukr_rus_twitter,ukraine,0.8894939903256703,7,-1,0,twibot20,election2020 covid_political cp_hk ukr_rus_suspended midterm twibot20,new,nm_ladder_ordC_r6
C,6,6,covid19_twitter,covid,0.9559441030970623,8,-2,0,twibot20,election2020 covid_political cp_hk ukr_rus_suspended midterm twibot20,new,nm_ladder_ordC_r6
C,6,6,midterm,midterm,0.9093757811621969,5,1,1,twibot20,election2020 covid_political cp_hk ukr_rus_suspended midterm twibot20,new,nm_ladder_ordC_r6
C,6,6,covid_political,covid-political,0.9098169683429117,2,4,1,twibot20,election2020 covid_political cp_hk ukr_rus_suspended midterm twibot20,new,nm_ladder_ordC_r6
