architecture,seed,checkpoint_step,task,dataset,pair,baseline_source,added_source,pair_auc,singleton_auc,impact_pp
vision,0,100,classification,election2020,"twibot20,midterm",midterm,twibot20,0.9859619140625,0.980224609375,0.57373046875
vision,0,100,classification,ukr_rus_suspended,"twibot20,midterm",twibot20,midterm,0.513214111328125,0.5050048828125,0.8209228515625
vision,0,100,classification,ukr_rus_suspended,"twibot20,midterm",midterm,twibot20,0.513214111328125,0.48199462890625,3.1219482421875
vision,0,100,classification,twibot20,"twibot20,midterm",twibot20,midterm,0.5473783281114366,0.5790814293755425,-3.1703101264105915
vision,0,100,classification,twibot20,"twibot20,midterm",midterm,twibot20,0.5473783281114366,0.5545262230767144,-0.714789496527779
gilt,0,100,classification,covid_political,"ukr_rus,covid",ukr_rus,covid,0.7241663049768519,0.6868986906828703,3.726761429398151
gilt,0,100,classification,covid_political,"ukr_rus,covid",covid,ukr_rus,0.7241663049768519,0.7496442441587094,-2.547793918185759
gilt,0,100,classification,election2020,"ukr_rus,covid",ukr_rus,covid,0.83642578125,0.78533935546875,5.108642578125
gilt,0,100,classification,election2020,"ukr_rus,covid",covid,ukr_rus,0.83642578125,0.868896484375,-3.2470703125
gilt,0,100,classification,ukr_rus_suspended,"ukr_rus,covid",ukr_rus,covid,0.4881591796875,0.49017333984375,-0.201416015625
gilt,0,100,classification,ukr_rus_suspended,"ukr_rus,covid",covid,ukr_rus,0.4881591796875,0.46923828125,1.89208984375
gilt,0,100,classification,twibot20,"ukr_rus,covid",ukr_rus,covid,0.5449500613742404,0.5419194963243272,0.303056504991317
gilt,0,100,classification,twibot20,"ukr_rus,covid",covid,ukr_rus,0.5449500613742404,0.5466206868489584,-0.16706254747179683
gilt,0,100,classification,covid_political,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.8588997169777199,0.6698427553530093,18.905696162471063
gilt,0,100,classification,covid_political,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.8588997169777199,0.905025906032986,-4.612618905526611
gilt,0,100,classification,election2020,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.9832763671875,0.7613525390625,22.1923828125
gilt,0,100,classification,election2020,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.9832763671875,0.9862060546875,-0.29296875
gilt,0,100,classification,ukr_rus_suspended,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.49725341796875,0.49993896484375,-0.2685546875
gilt,0,100,classification,ukr_rus_suspended,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.49725341796875,0.49652099609375,0.0732421875
gilt,0,100,classification,twibot20,"ukr_rus_suspended,election2020",ukr_rus_suspended,election2020,0.5310635036892362,0.5372375912136502,-0.6174087524414062
gilt,0,100,classification,twibot20,"ukr_rus_suspended,election2020",election2020,ukr_rus_suspended,0.5310635036892362,0.5112467871771919,1.9816716512044308
gilt,0,100,classification,covid_political,"twibot20,midterm",twibot20,midterm,0.7857502124927663,0.8295124195240162,-4.376220703124989
gilt,0,100,classification,covid_political,"twibot20,midterm",midterm,twibot20,0.7857502124927663,0.7216952288592302,6.405498363353612
gilt,0,100,classification,election2020,"twibot20,midterm",twibot20,midterm,0.8865966796875,0.93499755859375,-4.840087890625
gilt,0,100,classification,election2020,"twibot20,midterm",midterm,twibot20,0.8865966796875,0.7728271484375,11.376953125
gilt,0,100,classification,ukr_rus_suspended,"twibot20,midterm",twibot20,midterm,0.48028564453125,0.47772216796875,0.25634765625
gilt,0,100,classification,ukr_rus_suspended,"twibot20,midterm",midterm,twibot20,0.48028564453125,0.482421875,-0.213623046875
gilt,0,100,classification,twibot20,"twibot20,midterm",twibot20,midterm,0.5464113023546007,0.5160800086127387,3.033129374186194
gilt,0,100,classification,twibot20,"twibot20,midterm",midterm,twibot20,0.5464113023546007,0.562385982937283,-1.5974680582682366
