order,rung,test_graph,entry_rung,rel_to_entry,in_training,auc_h1,auc_h2,delta_h2_minus_h1,model_prefix_h2m
A,3,election2020,5,-2,0,0.815,0.8256378528735632,0.010637852873563225,nm_ladder_h2m_ordA_r3
A,3,ukr_rus_suspended,6,-3,0,0.777,0.7938895264367817,0.016889526436781654,nm_ladder_h2m_ordA_r3
A,3,twibot20,7,-4,0,0.927,0.9171295515644957,-0.009870448435504331,nm_ladder_h2m_ordA_r3
A,3,cp_hk_twitter,8,-5,0,0.72,0.7122497915229887,-0.0077502084770112445,nm_ladder_h2m_ordA_r3
A,4,ukr_rus_twitter,1,3,1,0.9344,0.9360493834131545,0.0016493834131544594,nm_ladder_h2m_ordA_r4
A,4,covid19_twitter,2,2,1,0.9753,0.976840920019157,0.001540920019157066,nm_ladder_h2m_ordA_r4
A,4,midterm,3,1,1,0.9093,0.9108899937579823,0.0015899937579822998,nm_ladder_h2m_ordA_r4
A,4,covid_political,4,0,1,0.9113,0.9083534875798212,-0.0029465124201788484,nm_ladder_h2m_ordA_r4
A,4,election2020,5,-1,0,0.8297,0.8199114735632183,-0.009788526436781742,nm_ladder_h2m_ordA_r4
A,4,ukr_rus_suspended,6,-2,0,0.7768,0.8166782873563216,0.039878287356321596,nm_ladder_h2m_ordA_r4
A,4,twibot20,7,-3,0,0.9234,0.9163527072477652,-0.007047292752234813,nm_ladder_h2m_ordA_r4
A,4,cp_hk_twitter,8,-4,0,0.7235,0.7153107176724138,-0.0081892823275862,nm_ladder_h2m_ordA_r4
A,5,ukr_rus_twitter,1,4,1,0.9346,0.9336371248243933,-0.00096287517560667,nm_ladder_h2m_ordA_r5
A,5,covid19_twitter,2,3,1,0.9754,0.9761545111590038,0.0007545111590037124,nm_ladder_h2m_ordA_r5
A,5,midterm,3,2,1,0.9086,0.9067991943805875,-0.0018008056194124267,nm_ladder_h2m_ordA_r5
A,5,covid_political,4,1,1,0.9102,0.9067995949712645,-0.003400405028735509,nm_ladder_h2m_ordA_r5
A,5,election2020,5,0,1,0.9259,0.9253379241379309,-0.0005620758620690225,nm_ladder_h2m_ordA_r5
A,5,ukr_rus_suspended,6,-1,0,0.7693,0.809074135632184,0.039774135632184016,nm_ladder_h2m_ordA_r5
A,5,twibot20,7,-2,0,0.9254,0.9173226020114942,-0.008077397988505819,nm_ladder_h2m_ordA_r5
A,5,cp_hk_twitter,8,-3,0,0.7261,0.7124168926724138,-0.013683107327586153,nm_ladder_h2m_ordA_r5
A,6,ukr_rus_twitter,1,5,1,0.9325,0.9331358480204344,0.0006358480204343708,nm_ladder_h2m_ordA_r6
A,6,covid19_twitter,2,4,1,0.9744,0.9754197576149425,0.0010197576149424403,nm_ladder_h2m_ordA_r6
A,6,midterm,3,3,1,0.9073,0.9089622940613028,0.0016622940613028048,nm_ladder_h2m_ordA_r6
A,6,covid_political,4,2,1,0.9106,0.9065252294061301,-0.0040747705938698475,nm_ladder_h2m_ordA_r6
A,6,election2020,5,1,1,0.9241,0.9222346390804598,-0.0018653609195402598,nm_ladder_h2m_ordA_r6
A,6,ukr_rus_suspended,6,0,1,0.934,0.948558816091954,0.014558816091953974,nm_ladder_h2m_ordA_r6
A,6,twibot20,7,-1,0,0.9242,0.9182446615421457,-0.005955338457854342,nm_ladder_h2m_ordA_r6
A,6,cp_hk_twitter,8,-2,0,0.7239,0.7137720829022989,-0.010127917097701111,nm_ladder_h2m_ordA_r6
A,7,ukr_rus_twitter,1,6,1,0.9321,0.9328238347381866,0.0007238347381866017,nm_ladder_h2m_ordA_r7
A,7,covid19_twitter,2,5,1,0.9748,0.9757576965197956,0.0009576965197956033,nm_ladder_h2m_ordA_r7
A,7,midterm,3,4,1,0.9033,0.9057646379948916,0.0024646379948916053,nm_ladder_h2m_ordA_r7
A,7,covid_political,4,3,1,0.9076,0.9055715784482758,-0.0020284215517241133,nm_ladder_h2m_ordA_r7
A,7,election2020,5,2,1,0.9198,0.9201477379310343,0.00034773793103437534,nm_ladder_h2m_ordA_r7
A,7,ukr_rus_suspended,6,1,1,0.9256,0.9446788735632182,0.019078873563218246,nm_ladder_h2m_ordA_r7
A,7,twibot20,7,0,1,0.9377,0.9340944227809704,-0.003605577219029543,nm_ladder_h2m_ordA_r7
A,7,cp_hk_twitter,8,-1,0,0.7267,0.716914198275862,-0.00978580172413801,nm_ladder_h2m_ordA_r7
A,8,ukr_rus_twitter,1,7,1,0.934,0.9324729616698594,-0.0015270383301406731,nm_ladder_h2m_ordA_r8
A,8,covid19_twitter,2,6,1,0.975,0.9749378347860793,-6.216521392066188e-05,nm_ladder_h2m_ordA_r8
A,8,midterm,3,5,1,0.908,0.9078855820561941,-0.0001144179438059556,nm_ladder_h2m_ordA_r8
A,8,covid_political,4,4,1,0.906,0.9031215206577268,-0.0028784793422732546,nm_ladder_h2m_ordA_r8
A,8,election2020,5,3,1,0.92,0.9131006781609194,-0.006899321839080597,nm_ladder_h2m_ordA_r8
A,8,ukr_rus_suspended,6,2,1,0.931,0.9429612045977012,0.011961204597701114,nm_ladder_h2m_ordA_r8
A,8,twibot20,7,1,1,0.937,0.9333026728448277,-0.0036973271551723474,nm_ladder_h2m_ordA_r8
A,8,cp_hk_twitter,8,0,1,0.867,0.8710099974137931,0.004009997413793154,nm_ladder_h2m_ordA_r8
