accuracy	architecture	baseline	checkpoint_step	dataset	episode_fingerprint	episodes	eval_episode_seed_offset	f1	model_id	n_query	n_shot	n_way	queries	roc_auc	seed	sources	task	training_seed	result_file	aux_loss	checkpoint	evaluation_seed	loss	score	score_std
0.98046875	gilt	pretrained	900	election2020	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	128	0	0.980544747081712	ss_covid_political	1	10	2	256	0.9832763671875	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step900.jsonl						
0.5504557291666666	gilt	pretrained	900	twibot20	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	128	0	0.551477752517051	ss_covid_political	12	10	2	3072	0.5841473473442925	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step900.jsonl						
0.583984375	gilt	pretrained	900	facebook_page_reference	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	128	0	0.5765407554671969	ss_covid_political	4	10	2	1024	0.6226730346679688	0	['covid_political']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_covid_political_s0_o0_step900.jsonl						
0.890625	gilt	pretrained	100	covid_political	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	128	0	0.8850889192886456	ss_election2020	12	10	2	3072	0.9522019343174837	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step100.jsonl						
0.515625	gilt	pretrained	100	ukr_rus_suspended	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	128	0	0.504	ss_election2020	1	10	2	256	0.50286865234375	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step100.jsonl						
0.984375	gilt	pretrained	100	election2020	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	128	0	0.9844961240310077	ss_election2020	1	10	2	256	0.98944091796875	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step100.jsonl						
0.5094401041666666	gilt	pretrained	100	twibot20	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	128	0	0.5232521354001898	ss_election2020	12	10	2	3072	0.5062965816921658	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step100.jsonl						
0.5703125	gilt	pretrained	100	facebook_page_reference	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	128	0	0.5872420262664165	ss_election2020	4	10	2	1024	0.5977401733398438	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step100.jsonl						
0.7509765625	gilt	pretrained	20	covid_political	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	128	0	0.7333565702335308	ss_election2020	12	10	2	3072	0.8295790514639916	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step20.jsonl						
0.4921875	gilt	pretrained	20	ukr_rus_suspended	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	128	0	0.5	ss_election2020	1	10	2	256	0.49560546875	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step20.jsonl						
0.671875	gilt	pretrained	20	election2020	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	128	0	0.664	ss_election2020	1	10	2	256	0.74896240234375	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step20.jsonl						
0.5009765625	gilt	pretrained	20	twibot20	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	128	0	0.510380070265091	ss_election2020	12	10	2	3072	0.5049656762017144	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step20.jsonl						
0.5673828125	gilt	pretrained	20	facebook_page_reference	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	128	0	0.5618199802176064	ss_election2020	4	10	2	1024	0.5829677581787109	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step20.jsonl						
0.9091796875	gilt	pretrained	300	covid_political	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	128	0	0.9053274516457415	ss_election2020	12	10	2	3072	0.9539384702172199	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step300.jsonl						
0.50390625	gilt	pretrained	300	ukr_rus_suspended	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	128	0	0.5207547169811321	ss_election2020	1	10	2	256	0.50628662109375	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step300.jsonl						
