arm,step,task,dataset,target,metric,value,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path
all8,40000,classification,ukr_rus_suspended,,roc_auc,0.501126,sat_h2m_all8_s040000,sat_h2m_all8_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s040000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_02/data/metrics_test_step0.json
covid,0,classification,covid_political,,roc_auc,0.434448,sat_h2m_covid_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_covid_political_pl_10shot_01_08_2026_13_29_54/data/metrics_test_step0.json
covid,0,classification,election2020,,roc_auc,0.476256,sat_h2m_covid_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_election2020_pl_10shot_01_08_2026_13_32_49/data/metrics_test_step0.json
covid,0,classification,twibot20,,roc_auc,0.5117863055555556,sat_h2m_covid_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_twibot20_pl_10shot_01_08_2026_13_37_36/data/metrics_test_step0.json
covid,0,classification,ukr_rus_suspended,,roc_auc,0.5101600000000001,sat_h2m_covid_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_19/data/metrics_test_step0.json
covid,100,classification,covid_political,,roc_auc,0.634395875,sat_h2m_covid_s000100,sat_h2m_covid_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000100_to_covid_political_pl_10shot_01_08_2026_13_31_29/data/metrics_test_step0.json
covid,100,classification,election2020,,roc_auc,0.5856520000000001,sat_h2m_covid_s000100,sat_h2m_covid_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000100_to_election2020_pl_10shot_01_08_2026_13_34_34/data/metrics_test_step0.json
covid,100,classification,twibot20,,roc_auc,0.6809054166666666,sat_h2m_covid_s000100,sat_h2m_covid_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000100_to_twibot20_pl_10shot_01_08_2026_13_39_34/data/metrics_test_step0.json
covid,100,classification,ukr_rus_suspended,,roc_auc,0.49489000000000005,sat_h2m_covid_s000100,sat_h2m_covid_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000100_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_53/data/metrics_test_step0.json
covid,500,classification,covid_political,,roc_auc,0.9247145555555556,sat_h2m_covid_s000500,sat_h2m_covid_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000500_to_covid_political_pl_10shot_01_08_2026_13_31_29/data/metrics_test_step0.json
covid,500,classification,election2020,,roc_auc,0.9851560000000001,sat_h2m_covid_s000500,sat_h2m_covid_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000500_to_election2020_pl_10shot_01_08_2026_13_34_46/data/metrics_test_step0.json
covid,500,classification,twibot20,,roc_auc,0.6160567916666666,sat_h2m_covid_s000500,sat_h2m_covid_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000500_to_twibot20_pl_10shot_01_08_2026_13_39_35/data/metrics_test_step0.json
covid,500,classification,ukr_rus_suspended,,roc_auc,0.495016,sat_h2m_covid_s000500,sat_h2m_covid_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000500_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_06/data/metrics_test_step0.json
covid,1000,classification,covid_political,,roc_auc,0.9294211527777778,sat_h2m_covid_s001000,sat_h2m_covid_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s001000_to_covid_political_pl_10shot_01_08_2026_13_32_26/data/metrics_test_step0.json
covid,1000,classification,election2020,,roc_auc,0.9857640000000001,sat_h2m_covid_s001000,sat_h2m_covid_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s001000_to_election2020_pl_10shot_01_08_2026_13_34_56/data/metrics_test_step0.json
