rung,test_graph,entry_rung,rel_to_entry,role,auc_interleaved,auc_sequential,delta_sequential_minus_interleaved,auc_unconfined
3,cp_hk_twitter,8,-5,heldout,0.7122497915229887,0.6796700880747125,-0.03257970344827621,0.7161698208333332
4,ukr_rus_twitter,1,3,incumbent,0.9360493834131545,0.7893373862068968,-0.14671199720625772,0.9314333993614304
4,covid19_twitter,2,2,incumbent,0.976840920019157,0.8936416198435503,-0.08319930017560673,0.9780839590996169
4,midterm,3,1,incumbent,0.9108899937579823,0.823311726516603,-0.08757826724137929,0.8697253121487868
4,covid_political,4,0,newcomer,0.9083534875798212,0.9108331575031927,0.0024796699233715636,0.8519414425606642
4,election2020,5,-1,heldout,0.8199114735632183,0.7856101333333333,-0.03430134022988496,0.8313993862068966
4,ukr_rus_suspended,6,-2,heldout,0.8166782873563216,0.6301557977011495,-0.18652248965517215,0.7972193632183909
4,twibot20,7,-3,heldout,0.9163527072477652,0.8286133932311621,-0.08773931401660306,0.9158583759578545
4,cp_hk_twitter,8,-4,heldout,0.7153107176724138,0.630811494827586,-0.0844992228448278,0.7207121048850575
5,ukr_rus_twitter,1,4,incumbent,0.9336371248243933,0.8005225042145593,-0.13311462060983403,0.9330045388569602
5,covid19_twitter,2,3,incumbent,0.9761545111590038,0.8729386037994893,-0.10321590735951447,0.9786618339080458
5,midterm,3,2,incumbent,0.9067991943805875,0.840789900989783,-0.06600929339080452,0.8745320912675607
5,covid_political,4,1,incumbent,0.9067995949712645,0.833804611047254,-0.07299498392401049,0.8556821154693485
5,election2020,5,0,newcomer,0.9253379241379309,0.9358254298850575,0.010487505747126535,0.8308186781609196
5,ukr_rus_suspended,6,-1,heldout,0.809074135632184,0.6781827057471265,-0.13089142988505753,0.8028448045977011
5,twibot20,7,-2,heldout,0.9173226020114942,0.8473532961685825,-0.06996930584291172,0.9156408462803319
5,cp_hk_twitter,8,-3,heldout,0.7124168926724138,0.6556294356321839,-0.056787457040229916,0.7082303221264367
6,ukr_rus_twitter,1,5,incumbent,0.9331358480204344,0.853111346727331,-0.08002450129310335,0.933604370673691
6,covid19_twitter,2,4,incumbent,0.9754197576149425,0.9276444670178798,-0.04777529059706265,0.9781334654853129
6,midterm,3,3,incumbent,0.9089622940613028,0.8529169279214557,-0.05604536613984712,0.8703739697158366
6,covid_political,4,2,incumbent,0.9065252294061301,0.8330897542943807,-0.07343547511174942,0.8569757580779055
6,election2020,5,1,incumbent,0.9222346390804598,0.8458496068965516,-0.07638503218390813,0.8334498620689654
6,ukr_rus_suspended,6,0,newcomer,0.948558816091954,0.9571204919540229,0.008561675862068907,0.7996001954022988
6,twibot20,7,-1,heldout,0.9182446615421457,0.8530550420019157,-0.06518961954022995,0.9169079167784162
6,cp_hk_twitter,8,-2,heldout,0.7137720829022989,0.6621390869252873,-0.05163299597701154,0.7122305505747126
7,ukr_rus_twitter,1,6,incumbent,0.9328238347381866,0.8947465427681992,-0.03807729196998744,0.9335750463920818
7,covid19_twitter,2,5,incumbent,0.9757576965197956,0.9619826038952746,-0.013775092624521035,0.9784979280012772
7,midterm,3,4,incumbent,0.9057646379948916,0.8841230996008941,-0.021641538393997517,0.8739127647030652
7,covid_political,4,3,incumbent,0.9055715784482758,0.8576097351692209,-0.04796184327905495,0.8543060147988507
7,election2020,5,2,incumbent,0.9201477379310343,0.8415881563218391,-0.07855958160919518,0.8332715954022988
7,ukr_rus_suspended,6,1,incumbent,0.9446788735632182,0.8899935885057472,-0.054685285057471056,0.7933334114942527
7,twibot20,7,0,newcomer,0.9340944227809704,0.9391387248722861,0.005044302091315678,0.9172666076468711
7,cp_hk_twitter,8,-1,heldout,0.716914198275862,0.7114932199712645,-0.005420978304597535,0.7184843997126437
8,ukr_rus_twitter,1,7,incumbent,0.9324729616698594,0.8357270276819923,-0.09674593398786713,0.933801594284802
8,covid19_twitter,2,6,incumbent,0.9749378347860793,0.9276296940453385,-0.047308140740740856,0.978170514687101
8,midterm,3,5,incumbent,0.9078855820561941,0.8570249955779057,-0.050860586478288394,0.8748989146232439
8,covid_political,4,4,incumbent,0.9031215206577268,0.8296171325670499,-0.07350438809067683,0.8525855878991061
8,election2020,5,3,incumbent,0.9131006781609194,0.8151624712643677,-0.09793820689655175,0.8322051655172413
8,ukr_rus_suspended,6,2,incumbent,0.9429612045977012,0.7856810229885057,-0.15728018160919544,0.7979386344827586
8,twibot20,7,1,incumbent,0.9333026728448277,0.8952350497924648,-0.03806762305236289,0.917592317289272
8,cp_hk_twitter,8,0,newcomer,0.8710099974137931,0.8847957130747125,0.013785715660919351,0.7195996790229884
