schedule,rung,n_sources,test_graph,test_canonical,auc,entry_rung,rel_to_entry,in_training,is_newcomer,added,sources,block_steps,model_prefix,eval_run
sequential,6,6,ukr_rus_suspended,ukraine-suspended,0.9571204919540229,6,0,1,1,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,6667 6667 6667 6667 6666 6666,nm_ladder_seq_h2m_r6,eval_nm_ladder_seq_h2m_r6_to_ukr_rus_suspended_nm_3shot_30way_02_08_2026_03_24_38
sequential,6,6,twibot20,twibot20,0.8530550420019157,7,-1,0,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,6667 6667 6667 6667 6666 6666,nm_ladder_seq_h2m_r6,eval_nm_ladder_seq_h2m_r6_to_twibot20_nm_3shot_30way_02_08_2026_03_27_09
sequential,6,6,cp_hk_twitter,hongkong,0.6621390869252873,8,-2,0,0,ukr_rus_suspended,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended,6667 6667 6667 6667 6666 6666,nm_ladder_seq_h2m_r6,eval_nm_ladder_seq_h2m_r6_to_cp_hk_twitter_nm_3shot_30way_02_08_2026_03_30_06
sequential,7,7,ukr_rus_twitter,ukraine,0.8947465427681992,1,6,1,0,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,5715 5715 5714 5714 5714 5714 5714,nm_ladder_seq_h2m_r7,eval_nm_ladder_seq_h2m_r7_to_ukr_rus_twitter_nm_3shot_30way_02_08_2026_03_04_41
sequential,7,7,covid19_twitter,covid,0.9619826038952746,2,5,1,0,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,5715 5715 5714 5714 5714 5714 5714,nm_ladder_seq_h2m_r7,eval_nm_ladder_seq_h2m_r7_to_covid19_twitter_nm_3shot_30way_02_08_2026_03_11_46
sequential,7,7,midterm,midterm,0.8841230996008941,3,4,1,0,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,5715 5715 5714 5714 5714 5714 5714,nm_ladder_seq_h2m_r7,eval_nm_ladder_seq_h2m_r7_to_midterm_nm_3shot_30way_02_08_2026_03_17_41
sequential,7,7,covid_political,covid-political,0.8576097351692209,4,3,1,0,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,5715 5715 5714 5714 5714 5714 5714,nm_ladder_seq_h2m_r7,eval_nm_ladder_seq_h2m_r7_to_covid_political_nm_3shot_30way_02_08_2026_03_21_07
sequential,7,7,election2020,election2020-political,0.8415881563218391,5,2,1,0,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,5715 5715 5714 5714 5714 5714 5714,nm_ladder_seq_h2m_r7,eval_nm_ladder_seq_h2m_r7_to_election2020_nm_3shot_30way_02_08_2026_03_23_27
sequential,7,7,ukr_rus_suspended,ukraine-suspended,0.8899935885057472,6,1,1,0,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,5715 5715 5714 5714 5714 5714 5714,nm_ladder_seq_h2m_r7,eval_nm_ladder_seq_h2m_r7_to_ukr_rus_suspended_nm_3shot_30way_02_08_2026_03_24_39
sequential,7,7,twibot20,twibot20,0.9391387248722861,7,0,1,1,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,5715 5715 5714 5714 5714 5714 5714,nm_ladder_seq_h2m_r7,eval_nm_ladder_seq_h2m_r7_to_twibot20_nm_3shot_30way_02_08_2026_03_27_09
sequential,7,7,cp_hk_twitter,hongkong,0.7114932199712645,8,-1,0,0,twibot20,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20,5715 5715 5714 5714 5714 5714 5714,nm_ladder_seq_h2m_r7,eval_nm_ladder_seq_h2m_r7_to_cp_hk_twitter_nm_3shot_30way_02_08_2026_03_30_06
sequential,8,8,ukr_rus_twitter,ukraine,0.8357270276819923,1,7,1,0,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,5000 5000 5000 5000 5000 5000 5000 5000,nm_ladder_seq_h2m_r8,eval_nm_ladder_seq_h2m_r8_to_ukr_rus_twitter_nm_3shot_30way_02_08_2026_03_04_43
sequential,8,8,covid19_twitter,covid,0.9276296940453385,2,6,1,0,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,5000 5000 5000 5000 5000 5000 5000 5000,nm_ladder_seq_h2m_r8,eval_nm_ladder_seq_h2m_r8_to_covid19_twitter_nm_3shot_30way_02_08_2026_03_11_46
sequential,8,8,midterm,midterm,0.8570249955779057,3,5,1,0,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,5000 5000 5000 5000 5000 5000 5000 5000,nm_ladder_seq_h2m_r8,eval_nm_ladder_seq_h2m_r8_to_midterm_nm_3shot_30way_02_08_2026_03_17_41
sequential,8,8,covid_political,covid-political,0.8296171325670499,4,4,1,0,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,5000 5000 5000 5000 5000 5000 5000 5000,nm_ladder_seq_h2m_r8,eval_nm_ladder_seq_h2m_r8_to_covid_political_nm_3shot_30way_02_08_2026_03_21_14
sequential,8,8,election2020,election2020-political,0.8151624712643677,5,3,1,0,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,5000 5000 5000 5000 5000 5000 5000 5000,nm_ladder_seq_h2m_r8,eval_nm_ladder_seq_h2m_r8_to_election2020_nm_3shot_30way_02_08_2026_03_23_36
sequential,8,8,ukr_rus_suspended,ukraine-suspended,0.7856810229885057,6,2,1,0,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,5000 5000 5000 5000 5000 5000 5000 5000,nm_ladder_seq_h2m_r8,eval_nm_ladder_seq_h2m_r8_to_ukr_rus_suspended_nm_3shot_30way_02_08_2026_03_24_48
sequential,8,8,twibot20,twibot20,0.8952350497924648,7,1,1,0,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,5000 5000 5000 5000 5000 5000 5000 5000,nm_ladder_seq_h2m_r8,eval_nm_ladder_seq_h2m_r8_to_twibot20_nm_3shot_30way_02_08_2026_03_27_18
sequential,8,8,cp_hk_twitter,hongkong,0.8847957130747125,8,0,1,1,cp_hk,ukr_rus covid midterm covid_political election2020 ukr_rus_suspended twibot20 cp_hk,5000 5000 5000 5000 5000 5000 5000 5000,nm_ladder_seq_h2m_r8,eval_nm_ladder_seq_h2m_r8_to_cp_hk_twitter_nm_3shot_30way_02_08_2026_03_30_07
