arm,step,task,dataset,target,metric,value_h2,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path,value_h1,delta_h2_minus_h1
all8,40000,classification,twibot20,,roc_auc,0.5869661805555556,sat_h2m_all8_s040000,sat_h2m_all8_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s040000_to_twibot20_pl_10shot_01_08_2026_13_38_30/data/metrics_test_step0.json,0.6258280555555555,-0.038861874999999935
all8,40000,classification,ukr_rus_suspended,,roc_auc,0.501126,sat_h2m_all8_s040000,sat_h2m_all8_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_all8_s040000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_02/data/metrics_test_step0.json,0.507736,-0.006610000000000005
covid,0,classification,covid_political,,roc_auc,0.434448,sat_h2m_covid_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_covid_political_pl_10shot_01_08_2026_13_29_54/data/metrics_test_step0.json,0.4291496805555556,0.0052983194444444215
covid,0,classification,election2020,,roc_auc,0.476256,sat_h2m_covid_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_election2020_pl_10shot_01_08_2026_13_32_49/data/metrics_test_step0.json,0.402656,0.0736
covid,0,classification,twibot20,,roc_auc,0.5117863055555556,sat_h2m_covid_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_twibot20_pl_10shot_01_08_2026_13_37_36/data/metrics_test_step0.json,0.5494334444444444,-0.03764713888888882
covid,0,classification,ukr_rus_suspended,,roc_auc,0.5101600000000001,sat_h2m_covid_s000000,sat_h2m_shared_s000000,True,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_shared_s000000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_35_19/data/metrics_test_step0.json,0.518576,-0.008415999999999979
covid,100,classification,covid_political,,roc_auc,0.634395875,sat_h2m_covid_s000100,sat_h2m_covid_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000100_to_covid_political_pl_10shot_01_08_2026_13_31_29/data/metrics_test_step0.json,0.5939162916666667,0.04047958333333335
covid,100,classification,election2020,,roc_auc,0.5856520000000001,sat_h2m_covid_s000100,sat_h2m_covid_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000100_to_election2020_pl_10shot_01_08_2026_13_34_34/data/metrics_test_step0.json,0.515344,0.07030800000000004
covid,100,classification,twibot20,,roc_auc,0.6809054166666666,sat_h2m_covid_s000100,sat_h2m_covid_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000100_to_twibot20_pl_10shot_01_08_2026_13_39_34/data/metrics_test_step0.json,0.6834379305555556,-0.0025325138888889764
covid,100,classification,ukr_rus_suspended,,roc_auc,0.49489000000000005,sat_h2m_covid_s000100,sat_h2m_covid_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000100_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_53/data/metrics_test_step0.json,0.495872,-0.0009819999999999274
