stream,model,decoder,full_model_outcome,n,conditional_accuracy
fresh,ss_twibot20,raw_joint/ridge,b_only,22,0.7727272727272727
fresh,ss_twibot20,raw_joint/ridge,c_only,3,0.0
fresh,ss_twibot20,raw_joint/ridge,both_wrong,4,0.25
fresh,ss_twibot20,S0_conv_center/prototype,both_correct,227,0.8590308370044053
fresh,ss_twibot20,S0_conv_center/prototype,b_only,22,0.8181818181818182
fresh,ss_twibot20,S0_conv_center/prototype,c_only,3,0.0
fresh,ss_twibot20,S0_conv_center/prototype,both_wrong,4,0.25
fresh,ss_twibot20,S0_conv_center/ridge,both_correct,227,0.8854625550660793
fresh,ss_twibot20,S0_conv_center/ridge,b_only,22,0.7727272727272727
fresh,ss_twibot20,S0_conv_center/ridge,c_only,3,0.0
fresh,ss_twibot20,S0_conv_center/ridge,both_wrong,4,0.25
fresh,ss_twibot20,S0_pool/prototype,both_correct,227,1.0
fresh,ss_twibot20,S0_pool/prototype,b_only,22,1.0
fresh,ss_twibot20,S0_pool/prototype,c_only,3,0.0
fresh,ss_twibot20,S0_pool/prototype,both_wrong,4,0.25
fresh,ss_twibot20,S0_pool/ridge,both_correct,227,1.0
fresh,ss_twibot20,S0_pool/ridge,b_only,22,1.0
fresh,ss_twibot20,S0_pool/ridge,c_only,3,0.0
fresh,ss_twibot20,S0_pool/ridge,both_wrong,4,0.25
fresh,ss_twibot20,U1_pre_meta/prototype,both_correct,227,1.0
fresh,ss_twibot20,U1_pre_meta/prototype,b_only,22,1.0
fresh,ss_twibot20,U1_pre_meta/prototype,c_only,3,0.0
fresh,ss_twibot20,U1_pre_meta/prototype,both_wrong,4,0.25
fresh,ss_twibot20,U1_pre_meta/ridge,both_correct,227,1.0
fresh,ss_twibot20,U1_pre_meta/ridge,b_only,22,1.0
fresh,ss_twibot20,U1_pre_meta/ridge,c_only,3,0.0
fresh,ss_twibot20,U1_pre_meta/ridge,both_wrong,4,0.25
fresh,ss_twibot20,M2_post_meta/prototype,both_correct,227,0.8237885462555066
fresh,ss_twibot20,M2_post_meta/prototype,b_only,22,0.7272727272727273
fresh,ss_twibot20,M2_post_meta/prototype,c_only,3,0.6666666666666666
fresh,ss_twibot20,M2_post_meta/prototype,both_wrong,4,0.25
fresh,ss_twibot20,M2_post_meta/ridge,both_correct,227,0.8502202643171806
fresh,ss_twibot20,M2_post_meta/ridge,b_only,22,0.7727272727272727
fresh,ss_twibot20,M2_post_meta/ridge,c_only,3,0.3333333333333333
fresh,ss_twibot20,M2_post_meta/ridge,both_wrong,4,0.25
fresh,ss_twibot20,final_input/prototype,both_correct,227,0.8237885462555066
fresh,ss_twibot20,final_input/prototype,b_only,22,0.7272727272727273
fresh,ss_twibot20,final_input/prototype,c_only,3,0.6666666666666666
fresh,ss_twibot20,final_input/prototype,both_wrong,4,0.25
fresh,ss_twibot20,final_input/ridge,both_correct,227,0.8502202643171806
fresh,ss_twibot20,final_input/ridge,b_only,22,0.7727272727272727
fresh,ss_twibot20,final_input/ridge,c_only,3,0.3333333333333333
fresh,ss_twibot20,final_input/ridge,both_wrong,4,0.25
fresh,ss_cp_hk,full_model,both_correct,227,1.0
fresh,ss_cp_hk,full_model,b_only,22,0.0
fresh,ss_cp_hk,full_model,c_only,3,1.0
fresh,ss_cp_hk,full_model,both_wrong,4,0.0
fresh,ss_cp_hk,raw_center/prototype,both_correct,227,0.7577092511013216
fresh,ss_cp_hk,raw_center/prototype,b_only,22,0.6818181818181818
fresh,ss_cp_hk,raw_center/prototype,c_only,3,0.3333333333333333
fresh,ss_cp_hk,raw_center/prototype,both_wrong,4,0.5
fresh,ss_cp_hk,raw_center/ridge,both_correct,227,0.7841409691629956
fresh,ss_cp_hk,raw_center/ridge,b_only,22,0.6818181818181818
fresh,ss_cp_hk,raw_center/ridge,c_only,3,0.3333333333333333
fresh,ss_cp_hk,raw_center/ridge,both_wrong,4,0.5
fresh,ss_cp_hk,raw_context/prototype,both_correct,227,1.0
fresh,ss_cp_hk,raw_context/prototype,b_only,22,1.0
fresh,ss_cp_hk,raw_context/prototype,c_only,3,0.0
fresh,ss_cp_hk,raw_context/prototype,both_wrong,4,0.25
fresh,ss_cp_hk,raw_context/ridge,both_correct,227,1.0
fresh,ss_cp_hk,raw_context/ridge,b_only,22,1.0
fresh,ss_cp_hk,raw_context/ridge,c_only,3,0.0
fresh,ss_cp_hk,raw_context/ridge,both_wrong,4,0.25
fresh,ss_cp_hk,raw_joint/prototype,both_correct,227,0.9118942731277533
fresh,ss_cp_hk,raw_joint/prototype,b_only,22,0.8181818181818182
fresh,ss_cp_hk,raw_joint/prototype,c_only,3,0.0
fresh,ss_cp_hk,raw_joint/prototype,both_wrong,4,0.25
fresh,ss_cp_hk,raw_joint/ridge,both_correct,227,0.9118942731277533
fresh,ss_cp_hk,raw_joint/ridge,b_only,22,0.7727272727272727
fresh,ss_cp_hk,raw_joint/ridge,c_only,3,0.0
fresh,ss_cp_hk,raw_joint/ridge,both_wrong,4,0.25
fresh,ss_cp_hk,S0_conv_center/prototype,both_correct,227,0.7136563876651982
fresh,ss_cp_hk,S0_conv_center/prototype,b_only,22,0.5909090909090909
fresh,ss_cp_hk,S0_conv_center/prototype,c_only,3,0.0
fresh,ss_cp_hk,S0_conv_center/prototype,both_wrong,4,0.25
fresh,ss_cp_hk,S0_conv_center/ridge,both_correct,227,0.7180616740088106
fresh,ss_cp_hk,S0_conv_center/ridge,b_only,22,0.5909090909090909
fresh,ss_cp_hk,S0_conv_center/ridge,c_only,3,0.0
fresh,ss_cp_hk,S0_conv_center/ridge,both_wrong,4,0.25
fresh,ss_cp_hk,S0_pool/prototype,both_correct,227,1.0
fresh,ss_cp_hk,S0_pool/prototype,b_only,22,0.9545454545454546
fresh,ss_cp_hk,S0_pool/prototype,c_only,3,0.0
fresh,ss_cp_hk,S0_pool/prototype,both_wrong,4,0.25
fresh,ss_cp_hk,S0_pool/ridge,both_correct,227,1.0
fresh,ss_cp_hk,S0_pool/ridge,b_only,22,1.0
fresh,ss_cp_hk,S0_pool/ridge,c_only,3,0.0
fresh,ss_cp_hk,S0_pool/ridge,both_wrong,4,0.25
fresh,ss_cp_hk,U1_pre_meta/prototype,both_correct,227,0.9647577092511013
fresh,ss_cp_hk,U1_pre_meta/prototype,b_only,22,0.5909090909090909
fresh,ss_cp_hk,U1_pre_meta/prototype,c_only,3,0.6666666666666666
fresh,ss_cp_hk,U1_pre_meta/prototype,both_wrong,4,0.0
fresh,ss_cp_hk,U1_pre_meta/ridge,both_correct,227,0.973568281938326
fresh,ss_cp_hk,U1_pre_meta/ridge,b_only,22,0.6363636363636364
fresh,ss_cp_hk,U1_pre_meta/ridge,c_only,3,0.3333333333333333
fresh,ss_cp_hk,U1_pre_meta/ridge,both_wrong,4,0.0
fresh,ss_cp_hk,M2_post_meta/prototype,both_correct,227,0.7577092511013216
fresh,ss_cp_hk,M2_post_meta/prototype,b_only,22,0.5
fresh,ss_cp_hk,M2_post_meta/prototype,c_only,3,0.6666666666666666
fresh,ss_cp_hk,M2_post_meta/prototype,both_wrong,4,0.25
fresh,ss_cp_hk,M2_post_meta/ridge,both_correct,227,0.775330396475771
fresh,ss_cp_hk,M2_post_meta/ridge,b_only,22,0.5454545454545454
fresh,ss_cp_hk,M2_post_meta/ridge,c_only,3,0.6666666666666666
fresh,ss_cp_hk,M2_post_meta/ridge,both_wrong,4,0.25
fresh,ss_cp_hk,final_input/prototype,both_correct,227,0.7577092511013216
fresh,ss_cp_hk,final_input/prototype,b_only,22,0.5
fresh,ss_cp_hk,final_input/prototype,c_only,3,0.6666666666666666
fresh,ss_cp_hk,final_input/prototype,both_wrong,4,0.25
fresh,ss_cp_hk,final_input/ridge,both_correct,227,0.775330396475771
fresh,ss_cp_hk,final_input/ridge,b_only,22,0.5454545454545454
fresh,ss_cp_hk,final_input/ridge,c_only,3,0.6666666666666666
fresh,ss_cp_hk,final_input/ridge,both_wrong,4,0.25
