rung,dataset,test_roc_auc,checkpoint_step,metrics_path
7,ukr_rus_suspended,0.9292248758620690,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r7_to_ukr_rus_suspended_nm_3shot_30way_06_08_2026_14_03_45/data/metrics_test_step0.json
7,twibot20,0.9245062374680714,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r7_to_twibot20_nm_3shot_30way_06_08_2026_14_04_05/data/metrics_test_step0.json
7,cp_hk_twitter,0.7276890814655173,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r7_to_cp_hk_twitter_nm_3shot_30way_06_08_2026_14_05_13/data/metrics_test_step0.json
7,facebook_page_reference,0.9939190712643678,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r7_to_facebook_page_reference_nm_3shot_30way_06_08_2026_14_06_16/data/metrics_test_step0.json
8,ukr_rus_twitter,0.9332294034642402,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r8_to_ukr_rus_twitter_nm_3shot_30way_06_08_2026_13_53_20/data/metrics_test_step0.json
8,covid19_twitter,0.9744747264208174,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r8_to_covid19_twitter_nm_3shot_30way_06_08_2026_13_56_15/data/metrics_test_step0.json
8,midterm,0.9076018352490419,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r8_to_midterm_nm_3shot_30way_06_08_2026_14_00_13/data/metrics_test_step0.json
8,covid_political,0.9100276989303957,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r8_to_covid_political_nm_3shot_30way_06_08_2026_14_01_45/data/metrics_test_step0.json
8,election2020,0.9211355816091954,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r8_to_election2020_nm_3shot_30way_06_08_2026_14_03_25/data/metrics_test_step0.json
8,ukr_rus_suspended,0.9276741632183908,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r8_to_ukr_rus_suspended_nm_3shot_30way_06_08_2026_14_04_02/data/metrics_test_step0.json
8,twibot20,0.9378747997765006,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r8_to_twibot20_nm_3shot_30way_06_08_2026_14_04_22/data/metrics_test_step0.json
8,cp_hk_twitter,0.7278068176724137,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r8_to_cp_hk_twitter_nm_3shot_30way_06_08_2026_14_05_38/data/metrics_test_step0.json
8,facebook_page_reference,0.9937087375000000,40000,/dataMeR1/phil/gfm/prodigy-facebook/log/eval_nm_ladder_ordD_r8_to_facebook_page_reference_nm_3shot_30way_06_08_2026_14_06_38/data/metrics_test_step0.json
