target,family,checkpoint_step,metric,seeds,mean,sample_std
facebook_page_reference,leave_one_out,2500,roc_auc_ovr_macro,3,0.7856545216343447,0.0008178586831498406
facebook_page_reference,specialist,100,accuracy,3,0.20626578326950137,0.0019371798697546377
facebook_page_reference,specialist,100,f1_macro,3,0.15792368438996304,0.0024382399918876727
facebook_page_reference,specialist,100,roc_auc_ovr_macro,3,0.7951104105015839,0.0012508195956861476
facebook_page_reference,specialist,300,accuracy,3,0.22576015953332773,0.0009368720455159613
facebook_page_reference,specialist,300,f1_macro,3,0.18870112592923358,0.001112276062550403
facebook_page_reference,specialist,300,roc_auc_ovr_macro,3,0.7951462164234275,0.001581188127546306
facebook_page_reference,specialist,900,accuracy,3,0.21564333615995576,0.001631630950529791
facebook_page_reference,specialist,900,f1_macro,3,0.190166633812331,0.0005253828737226249
facebook_page_reference,specialist,900,roc_auc_ovr_macro,3,0.7798257555046454,0.0012916373270033268
facebook_page_reference,specialist,2500,accuracy,3,0.1998484184892169,0.0030679689032407907
facebook_page_reference,specialist,2500,f1_macro,3,0.1848055983491814,0.0019379106278781515
facebook_page_reference,specialist,2500,roc_auc_ovr_macro,3,0.7625238112273459,0.0026947049281991252
pubmed,leave_one_out,100,accuracy,3,0.7579113120333215,0.023222955877291108
pubmed,leave_one_out,100,f1_macro,3,0.7529797125463915,0.025263464905053528
pubmed,leave_one_out,100,roc_auc_ovr_macro,3,0.8804778649776009,0.00785251348521186
pubmed,leave_one_out,300,accuracy,3,0.6099795127072011,0.0017272769648734817
pubmed,leave_one_out,300,f1_macro,3,0.6038544038868588,0.0027137841290610257
pubmed,leave_one_out,300,roc_auc_ovr_macro,3,0.7913731035996419,0.001959880636319462
pubmed,leave_one_out,900,accuracy,3,0.6217639389783445,0.002206122776069795
pubmed,leave_one_out,900,f1_macro,3,0.6228453196824387,0.0029605706923435957
pubmed,leave_one_out,900,roc_auc_ovr_macro,3,0.8068109609582544,0.0016696705289860523
pubmed,leave_one_out,2500,accuracy,3,0.6952303550566364,0.003247302729400022
pubmed,leave_one_out,2500,f1_macro,3,0.6986215124123795,0.0023839523599582437
pubmed,leave_one_out,2500,roc_auc_ovr_macro,3,0.8505000428306716,0.0004950384656658553
pubmed,specialist,100,accuracy,3,0.8127359848292444,0.004149151817270785
pubmed,specialist,100,f1_macro,3,0.8013879871003754,0.004240238482765965
pubmed,specialist,100,roc_auc_ovr_macro,3,0.9289822928600407,0.003024664599713011
pubmed,specialist,300,accuracy,3,0.813447114000779,0.007744576770052926
pubmed,specialist,300,f1_macro,3,0.8012197361220159,0.008774532377779235
pubmed,specialist,300,roc_auc_ovr_macro,3,0.92700247458933,0.0025460732820793775
pubmed,specialist,900,accuracy,3,0.7436887286026312,0.010327374739589019
pubmed,specialist,900,f1_macro,3,0.7298920853670291,0.010890981390972327
pubmed,specialist,900,roc_auc_ovr_macro,3,0.8835159647112807,0.005318786518704291
