target,checkpoint_step,metric,seeds,mean_loo_minus_specialist,sample_std,loo_wins
pubmed,100,roc_auc_ovr_macro,3,-0.04850442788243995,0.005858685128976328,0
pubmed,300,accuracy,3,-0.2034676012935778,0.008978260240693233,0
pubmed,300,f1_macro,3,-0.1973653322351571,0.009647994207089517,0
pubmed,300,roc_auc_ovr_macro,3,-0.13562937098968822,0.002701578552870999,0
pubmed,900,accuracy,3,-0.12192478962428677,0.010064237027526528,0
pubmed,900,f1_macro,3,-0.10704676568459044,0.009684859857679827,0
pubmed,900,roc_auc_ovr_macro,3,-0.07670500375302614,0.0066889529816826065,0
pubmed,2500,accuracy,3,-0.01481519107363575,0.0019516982445140969,0
pubmed,2500,f1_macro,3,0.005169719147038676,0.0010839182759345152,3
pubmed,2500,roc_auc_ovr_macro,3,-0.0008905817216083486,0.0030800904266988613,1
twibot20,100,accuracy,3,0.0017787565644587315,0.006226656259355927,2
twibot20,100,f1_macro,3,0.016309625628355102,0.005028327732562829,3
twibot20,100,roc_auc_ovr_macro,3,0.025341200242147328,0.0068973961104556005,3
twibot20,300,accuracy,3,-0.006578575865379206,0.0035699279731358723,0
twibot20,300,f1_macro,3,0.01085411954502502,0.002922785186693451,3
twibot20,300,roc_auc_ovr_macro,3,0.004867537872400278,0.0007871034488600817,3
twibot20,900,accuracy,3,-0.02193799762832464,0.003267372780278802,0
twibot20,900,f1_macro,3,-0.0006597313805608943,0.003699512946653725,1
twibot20,900,roc_auc_ovr_macro,3,0.008976293472478525,0.0064039700935256795,3
twibot20,2500,accuracy,3,-0.020272177988593338,0.005086630068247141,0
twibot20,2500,f1_macro,3,-0.006648449403366767,0.005386847105757184,0
twibot20,2500,roc_auc_ovr_macro,3,0.01606127754255815,0.002413728214831373,3
ukr_rus_suspended,100,accuracy,3,0.01025677384286335,0.01585605871604424,2
ukr_rus_suspended,100,f1_macro,3,0.020470163964087202,0.009686026284125588,3
ukr_rus_suspended,100,roc_auc_ovr_macro,3,0.03668296470487268,0.011938536024288049,3
ukr_rus_suspended,300,accuracy,3,-0.03189289470263627,0.004723739031235943,0
ukr_rus_suspended,300,f1_macro,3,0.014870788216340858,0.004574788421900906,3
ukr_rus_suspended,300,roc_auc_ovr_macro,3,0.00867979352098086,0.0038119919916179356,3
ukr_rus_suspended,900,accuracy,3,-0.03682040010871238,0.004156629201780335,0
ukr_rus_suspended,900,f1_macro,3,-0.0005532988707229921,0.007822448603345647,1
ukr_rus_suspended,900,roc_auc_ovr_macro,3,-0.004590909328252864,0.002194462423567932,0
ukr_rus_suspended,2500,accuracy,3,-0.019568222907582682,0.003269308103812448,0
ukr_rus_suspended,2500,f1_macro,3,-0.010222904690675697,0.004181408352041265,0
ukr_rus_suspended,2500,roc_auc_ovr_macro,3,-0.016148457492866437,0.002603407083243926,0
