metric,rung,arm,mean,delta_vs_balanced_mean,seed_wins_vs_balanced,winner_by_mean
cls_fixed_panel,2,baseline,0.7653808216989777,0.0,0,False
cls_fixed_panel,2,objective,0.7659902031039015,0.0006093814049238736,2,False
cls_fixed_panel,2,exposure,0.7676856335298515,0.0023048118308738688,2,True
cls_fixed_panel,2,schedule,0.7651614200921707,-0.00021940160680692747,2,False
cls_fixed_panel,2,composition,0.7548293549337505,-0.010551466765227039,0,False
cls_fixed_panel,3,baseline,0.7636046798140913,0.0,0,False
cls_fixed_panel,3,objective,0.763773105762623,0.0001684259485315772,2,True
cls_fixed_panel,3,exposure,0.7591129302978515,-0.004491749516239836,1,False
cls_fixed_panel,3,schedule,0.7629560023178289,-0.0006486774962624805,2,False
cls_fixed_panel,3,composition,0.7543586683862004,-0.00924601142789109,1,False
cls_fixed_panel,4,baseline,0.7631329053713953,0.0,0,True
cls_fixed_panel,4,objective,0.7629647148980035,-0.00016819047339174573,2,False
cls_fixed_panel,4,exposure,0.7596769921573592,-0.003455913214036044,0,False
cls_fixed_panel,4,schedule,0.7586892069121937,-0.004443698459201451,0,False
cls_fixed_panel,4,composition,0.7585839542341821,-0.004548951137213171,0,False
cls_fixed_panel,5,baseline,0.7615978570631993,0.0,0,False
cls_fixed_panel,5,objective,0.7619951413001544,0.00039728423695506443,2,False
cls_fixed_panel,5,exposure,0.7662186563750844,0.004620799311885082,3,True
cls_fixed_panel,5,schedule,0.7556074966619044,-0.005990360401294896,1,False
cls_fixed_panel,5,composition,0.7556944058265215,-0.00590345123667783,0,False
cls_fixed_panel,6,baseline,0.7586419470516251,0.0,0,False
cls_fixed_panel,6,objective,0.7577324054859301,-0.0009095415656950046,1,False
cls_fixed_panel,6,exposure,0.7639640007489993,0.005322053697374078,3,True
cls_fixed_panel,6,schedule,0.7478003325285735,-0.010841614523051768,1,False
cls_fixed_panel,6,composition,0.759966414651753,0.0013244676001277582,2,False
cls_fixed_panel,7,baseline,0.752166281806098,0.0,0,False
cls_fixed_panel,7,objective,0.7557791862958743,0.0036129044897762106,2,False
cls_fixed_panel,7,exposure,0.7638632597746673,0.011696977968569203,3,True
cls_fixed_panel,7,schedule,0.7523108729609737,0.00014459115487556554,2,False
cls_fixed_panel,7,composition,0.7591050795566888,0.006938797750590771,3,False
cls_fixed_panel,8,baseline,0.7678461946087118,0.0,0,False
cls_fixed_panel,8,objective,0.7681652021996769,0.00031900759096503695,1,True
cls_fixed_panel,8,exposure,0.7641217738022038,-0.0037244208065079962,0,False
cls_fixed_panel,8,schedule,0.753481627099308,-0.014364567509403847,1,False
cls_fixed_panel,8,composition,0.7655373137674214,-0.0023088808412905135,0,False
nm_heldout_twibot,1,baseline,0.9052602345916047,0.0,0,False
nm_heldout_twibot,1,objective,0.9037856281032051,-0.001474606488399477,0,False
nm_heldout_twibot,1,exposure,0.9051722209572336,-8.801363437105358e-05,1,False
nm_heldout_twibot,1,schedule,0.9040302882249326,-0.0012299463666719153,1,False
nm_heldout_twibot,1,composition,0.905340706936701,8.04723450963385e-05,2,True
nm_heldout_twibot,2,baseline,0.9084246914048761,0.0,0,False
nm_heldout_twibot,2,objective,0.9107702383136383,0.002345546908762134,3,True
nm_heldout_twibot,2,exposure,0.908703162935045,0.0002784715301688001,2,False
nm_heldout_twibot,2,schedule,0.906621146613154,-0.0018035447917222152,0,False
nm_heldout_twibot,2,composition,0.9052388684502963,-0.00318582295457992,1,False
nm_heldout_twibot,3,baseline,0.907454520852173,0.0,0,False
nm_heldout_twibot,3,objective,0.9086681040767509,0.0012135832245778373,2,True
nm_heldout_twibot,3,exposure,0.9078197407539776,0.0003652199018047142,2,False
nm_heldout_twibot,3,schedule,0.9067706420047074,-0.0006838788474656798,1,False
nm_heldout_twibot,3,composition,0.9028862318773379,-0.004568288974835151,0,False
nm_heldout_twibot,4,baseline,0.9043231621555897,0.0,0,False
nm_heldout_twibot,4,objective,0.906197063584894,0.0018739014293043255,3,False
nm_heldout_twibot,4,exposure,0.9074682858255173,0.003145123669927622,2,True
nm_heldout_twibot,4,schedule,0.9032757053886793,-0.0010474567669105372,1,False
nm_heldout_twibot,4,composition,0.9028543675082853,-0.0014687946473043907,1,False
nm_heldout_twibot,5,baseline,0.9042032020302111,0.0,0,False
nm_heldout_twibot,5,objective,0.9057626614168686,0.001559459386657543,3,False
nm_heldout_twibot,5,exposure,0.908722833426976,0.004519631396765034,3,True
nm_heldout_twibot,5,schedule,0.8971820841347121,-0.007021117895498937,0,False
nm_heldout_twibot,5,composition,0.9015491072245485,-0.002654094805662551,0,False
nm_heldout_twibot,6,baseline,0.9012912879501723,0.0,0,False
nm_heldout_twibot,6,objective,0.9017319597503691,0.0004406718001966903,1,False
nm_heldout_twibot,6,exposure,0.9080044659618217,0.006713178011649353,3,True
nm_heldout_twibot,6,schedule,0.8968388590319404,-0.004452428918232054,0,False
nm_heldout_twibot,6,composition,0.8998113908986936,-0.0014798970514787364,0,False
nm_heldout_twibot,7,baseline,0.9038544635206347,0.0,0,False
nm_heldout_twibot,7,objective,0.9032223234688185,-0.0006321400518162212,1,False
nm_heldout_twibot,7,exposure,0.9092165818159609,0.005362118295326031,3,True
nm_heldout_twibot,7,schedule,0.894733408219056,-0.009121055301578659,0,False
nm_heldout_twibot,7,composition,0.8983426586878253,-0.0055118048328093305,0,False
nm_heldout_twibot,8,baseline,0.9017843504518387,0.0,0,False
nm_heldout_twibot,8,objective,0.9021187043281351,0.0003343538762965818,1,False
nm_heldout_twibot,8,exposure,0.9085146895313629,0.006730339079524324,3,True
nm_heldout_twibot,8,schedule,0.8859765093445321,-0.015807841107306448,0,False
nm_heldout_twibot,8,composition,0.8991060182966034,-0.0026783321552350894,0,False
