arm,rung,metric,seed_count,mean,min,max,sd
exposure,1,nm_included,3,0.9201285217000151,0.9120979859911162,0.9246514764325372,0.006973153791154409
exposure,1,nm_future_sources,3,0.8442844762133977,0.8423421456504535,0.8462883882334665,0.001973841897896709
exposure,1,nm_heldout_twibot,3,0.9051722209572336,0.9011315095013586,0.9077032015241426,0.0035364176122743424
exposure,1,cls_fixed_panel,3,0.7627088805775584,0.7578478636565031,0.7676102814850984,0.004881334204374019
exposure,2,nm_fixed_panel,3,0.8565744356228068,0.8519873446736147,0.8600904975966627,0.004156392561234152
exposure,2,nm_included,3,0.9384490629493962,0.9366571000252647,0.9397188151019744,0.0015962621558449307
exposure,2,nm_future_sources,3,0.8205947719619039,0.8149465226122246,0.8251391370634465,0.005185196974347075
exposure,2,nm_heldout_twibot,3,0.908703162935045,0.9048927663386552,0.9106746966811433,0.0033005669297838333
exposure,2,cls_fixed_panel,3,0.7676856335298515,0.7643715611210575,0.7703756403040003,0.0030503008287741723
exposure,3,nm_fixed_panel,3,0.8569420864095888,0.8560168983835827,0.8577111804165602,0.0008578589096706636
exposure,3,nm_included,3,0.9102940850026459,0.9086459097277616,0.9112468312526572,0.0014331484016468742
exposure,3,nm_future_sources,3,0.8147553563848766,0.814427965536885,0.8153630672104057,0.0005268189938776566
exposure,3,nm_heldout_twibot,3,0.9078197407539776,0.9058391742322637,0.9096167456144575,0.0018954636766497874
exposure,3,cls_fixed_panel,3,0.7591129302978515,0.7542014510543258,0.7625663192183885,0.004368898647603619
exposure,4,nm_fixed_panel,3,0.855934917414224,0.8539079072222703,0.8580387054427525,0.0020664691170512693
exposure,4,nm_included,3,0.892507935780675,0.8894497134562196,0.8951884075827982,0.0028879359692431817
exposure,4,nm_future_sources,3,0.8064785569449494,0.8049374077854485,0.8082243695341308,0.0016530108057455353
exposure,4,nm_heldout_twibot,3,0.9074682858255173,0.9060849369257348,0.908697240517057,0.001312977795685452
exposure,4,cls_fixed_panel,3,0.7596769921573592,0.7551377190483941,0.7684416170473451,0.0075920105207155615
exposure,5,nm_fixed_panel,3,0.8580524894418794,0.8559679751651954,0.8599079592017835,0.0019799531800379733
exposure,5,nm_included,3,0.8823285448596853,0.8788810877142282,0.8845482744567696,0.003026505838997213
exposure,5,nm_future_sources,3,0.8007022824171707,0.7989797825100778,0.8020921894873695,0.0015826347634367009
exposure,5,nm_heldout_twibot,3,0.908722833426976,0.9062017121534236,0.910153692070095,0.0021899864766553347
exposure,5,cls_fixed_panel,3,0.7662186563750844,0.7624831164324725,0.7683897654215495,0.0032492627766395276
exposure,6,nm_fixed_panel,3,0.8574274146135638,0.8550102483267071,0.8587991648402402,0.00209967691343049
exposure,6,nm_included,3,0.8723476897482673,0.8700872156583487,0.8741687991153236,0.002075960476221695
exposure,6,nm_future_sources,3,0.7873780635353249,0.7840902039374428,0.7922028742987534,0.004269135657457812
exposure,6,nm_heldout_twibot,3,0.9080044659618217,0.9063885331153869,0.9095604566321978,0.00158681110957713
exposure,6,cls_fixed_panel,3,0.7639640007489993,0.7610137939453125,0.766234164767795,0.0026758010993006257
exposure,7,nm_fixed_panel,3,0.8592675127187349,0.8566574402391377,0.8617159288657275,0.002533115941629567
exposure,7,nm_included,3,0.8511989453221253,0.8484407421990567,0.8530597259454147,0.002436755644214725
exposure,7,nm_future_sources,3,0.8657984153977757,0.8598083313854263,0.873050688327044,0.006710800622041855
exposure,7,nm_heldout_twibot,3,0.9092165818159609,0.9062955402779853,0.9109745898466001,0.002547128073100827
exposure,7,cls_fixed_panel,3,0.7638632597746673,0.7572491398564092,0.7693901203296803,0.006143081588690726
exposure,8,nm_fixed_panel,3,0.8584194475917322,0.8560903974115317,0.860052608058218,0.0020707426620463535
exposure,8,nm_included,3,0.8521575423492784,0.8496345386594193,0.853977047437909,0.002255111601287785
exposure,8,nm_future_sources,0,,,,
exposure,8,nm_heldout_twibot,3,0.9085146895313629,0.907737267428431,0.9091497081449663,0.0007169074276093164
exposure,8,cls_fixed_panel,3,0.7641217738022038,0.762918797245732,0.7653422037760416,0.001211797536356673
objective,1,nm_fixed_panel,3,0.857191157117708,0.85557781724333,0.858496377187975,0.0014834761197557431
objective,1,nm_included,3,0.9216288941573366,0.9165671810336495,0.9252274039147914,0.004511716763714041
objective,1,nm_future_sources,3,0.8413294131141186,0.8402721714112167,0.8424323330371839,0.0010808049950954597
objective,1,nm_heldout_twibot,3,0.9037856281032051,0.9017279742778033,0.9054152505151158,0.0018805344136079724
objective,1,cls_fixed_panel,3,0.762166209279755,0.7567615509033202,0.7662602459942853,0.0048830931757720165
objective,2,nm_fixed_panel,3,0.8588850011161765,0.8561245176831729,0.8603164960902618,0.002391198127368115
objective,2,nm_included,3,0.9422283267381091,0.9391532358766972,0.9437831610783762,0.0026631629242026915
objective,2,nm_future_sources,3,0.8224563530426221,0.8194976727396136,0.8240037760743695,0.002563196662400332
objective,2,nm_heldout_twibot,3,0.9107702383136383,0.9098281509574803,0.9112594862093869,0.0008160746494749451
objective,2,cls_fixed_panel,3,0.7659902031039015,0.7644457781756365,0.7687532071714049,0.0023983718388392436
objective,3,nm_fixed_panel,3,0.8591371711694012,0.8584437019828026,0.8594993962943173,0.0006007616758257631
objective,3,nm_included,3,0.9146520675370521,0.9143137270920122,0.9153034433551218,0.0005642498816499105
objective,3,nm_future_sources,3,0.8159220467673407,0.8149100424777502,0.8168648453416496,0.0009792372707613
objective,3,nm_heldout_twibot,3,0.9086681040767509,0.9079503290954677,0.9096279741703779,0.000864627539411167
objective,3,cls_fixed_panel,3,0.763773105762623,0.7630320796260127,0.7647666507297093,0.0008944319696061384
objective,4,nm_fixed_panel,3,0.8589047501370368,0.8587640740557801,0.8590128338352171,0.0001275423637162665
objective,4,nm_included,3,0.8964893332158012,0.8961824602779301,0.8967090451169288,0.0002738990378049376
objective,4,nm_future_sources,3,0.8094970886963081,0.8091363931524342,0.8101155485572487,0.0005380689166445083
objective,4,nm_heldout_twibot,3,0.906197063584894,0.9054949134245687,0.907172808153876,0.0008717643638021688
objective,4,cls_fixed_panel,3,0.7629647148980035,0.7595861929434318,0.7673164791531033,0.003955974172376815
objective,5,nm_fixed_panel,3,0.8574389835477838,0.8560304406806731,0.8590986812251737,0.0015494625080246626
objective,5,nm_included,3,0.8853868367388787,0.8843311940664533,0.8872173616255837,0.0015914844106522993
objective,5,nm_future_sources,3,0.7947513356062647,0.7924856923549112,0.7967908581554662,0.0021614719687110006
objective,5,nm_heldout_twibot,3,0.9057626614168686,0.9051609187290585,0.9066983170893,0.0008212927860954825
objective,5,cls_fixed_panel,3,0.7619951413001544,0.7577447538022641,0.769114656801577,0.00620424009681573
objective,6,nm_fixed_panel,3,0.8645651622750292,0.8620138570571158,0.8672094136210085,0.002599025055514843
objective,6,nm_included,3,0.886246770841104,0.884139102309143,0.8891010804879711,0.0025638665288276294
objective,6,nm_future_sources,3,0.7809369378391354,0.7732321804282309,0.7866562993362032,0.006928787037776069
objective,6,nm_heldout_twibot,3,0.9017319597503691,0.8986595743003931,0.9044335721553057,0.002904800732465075
objective,6,cls_fixed_panel,3,0.7577324054859301,0.7489670930085358,0.767706411856192,0.009427949056582887
