arm,rung,training_seed,nm_fixed_panel,nm_included,nm_future_sources,nm_heldout_twibot,cls_fixed_panel
objective,5,2,0.8590986812251737,0.8872173616255837,0.7967908581554662,0.9054287484322471,0.7577447538022641
objective,6,0,0.8644722161469636,0.884139102309143,0.7866562993362032,0.9021027327954083,0.7489670930085358
objective,6,1,0.8672094136210085,0.8891010804879711,0.7829223337529719,0.9044335721553057,0.767706411856192
objective,6,2,0.8620138570571158,0.8855001297261978,0.7732321804282309,0.8986595743003931,0.7565237115930629
objective,7,0,0.8633127114934178,0.8604781329338186,0.8435683255908134,0.9028991473132166,0.7456786544234665
objective,7,1,0.8680622961938305,0.8641716084456796,0.8595880507052631,0.9037713559194542,0.7574202926070601
objective,7,2,0.8640441837286432,0.8608033403387211,0.8477778040129563,0.9029964671737846,0.7642386118570963
objective,8,0,0.8644865548473666,0.8599838765188195,,0.9005079814757425,0.7759121082447193
objective,8,1,0.8679160289228496,0.8635654555826352,,0.9027206156445646,0.7646141617386429
objective,8,2,0.86618530540174,0.8615675290939452,,0.9031275158640982,0.7639693366156683
schedule,1,0,0.8551260724530518,0.912510108947754,0.8407480534857327,0.8983881687295848,0.7682794217710143
schedule,1,1,0.8588156361537265,0.9221465290277855,0.8429529380524295,0.9065236299887469,0.7721661179154007
schedule,1,2,0.8614973768877344,0.9214765714502884,0.8464029649404078,0.9071790659564662,0.7820537990993923
schedule,2,0,0.8527278703900286,0.9372092251805054,0.8161785336289826,0.9030611813753501,0.7646385051586011
schedule,2,1,0.8575698695724799,0.9404993864311569,0.8213682428173636,0.9089205963858245,0.7639778561062283
schedule,2,2,0.8570853397611762,0.9400223914234118,0.8209736021542459,0.9078816620782875,0.7668678990116826
schedule,3,0,0.8556391286667278,0.9108121078133126,0.8125311295191446,0.90566018696489,0.7619735011348018
schedule,3,1,0.859822096678489,0.9129246684326523,0.8183446344836005,0.9079016923904419,0.7686261918809679
schedule,3,2,0.8582750803666097,0.9139761887747667,0.8151594220632795,0.90675004665879,0.7582683139377171
schedule,4,0,0.8517337796331822,0.8871383256953338,0.8038264313648489,0.9017449884579098,0.7575074655038339
schedule,4,1,0.8570201727774561,0.8938284057652814,0.8080016718513664,0.9058612445305132,0.7574957953559028
schedule,4,2,0.8554041962666226,0.8936588750831013,0.8054453457223958,0.9022208831776147,0.7610643598768446
schedule,5,0,0.8495763241407362,0.8769640677276698,0.7884750871366011,0.8959413172184735,0.7450942286738643
schedule,5,1,0.8488843358491726,0.8757615269737681,0.7886191206416863,0.8952940258486517,0.7559776588722511
schedule,5,2,0.8511833293684598,0.8781400685200745,0.7898795707929179,0.900310909337011,0.7657506024395978
schedule,6,0,0.8538484891103449,0.873029953857948,0.7758953122571968,0.894666054331023,0.7489104518183956
schedule,6,1,0.8630618812328401,0.8836047210684225,0.7839892257904184,0.8979501531041902,0.7545624768292463
schedule,6,2,0.8542438427607218,0.8746347602528174,0.7712428268344922,0.8979003696606077,0.7399280689380786
schedule,7,0,0.8581827542943211,0.8537559048687101,0.8474809954906332,0.899872459077287,0.7559120460792824
schedule,7,1,0.8551927993428509,0.8529426685499245,0.8435099009809824,0.8826266132552046,0.7409208368372033
schedule,7,2,0.8587417138338393,0.8543173067675435,0.8467531248070728,0.9017011523246765,0.7600997359664352
schedule,8,0,0.8536291143598836,0.849742973570166,,0.8847182406776252,0.7364468468560114
schedule,8,1,0.8550837490902702,0.8505324274301529,,0.8914943223712087,0.7546762537073206
schedule,8,2,0.85598557012139,0.8527691457634684,,0.8817169649847624,0.769321780734592
