task,arm,rung,target,training_seeds,delta_vs_baseline_mean,delta_vs_baseline_min,delta_vs_baseline_max,delta_vs_rung1_mean,delta_vs_rung1_min,delta_vs_rung1_max
CLS,baseline,5,twibot20,3,0.0,0.0,0.0,-0.028288099500868042,-0.04257477654351116,-0.017338646782769085
CLS,baseline,5,ukr_rus_suspended,3,0.0,0.0,0.0,-0.014546712239583334,-0.02496337890625,0.00347900390625
CLS,baseline,6,covid_political,3,0.0,0.0,0.0,-0.005411783854166741,-0.010902404785156361,-0.00134305600766782
CLS,baseline,6,election2020,3,0.0,0.0,0.0,-0.0004374186197916667,-0.002349853515625,0.001983642578125
CLS,baseline,6,facebook_page_reference,3,0.0,0.0,0.0,-0.006351470947265625,-0.021747589111328125,0.007038116455078125
CLS,baseline,6,twibot20,3,0.0,0.0,0.0,-0.0393662629304109,-0.044602500067816964,-0.031029383341471317
CLS,baseline,6,ukr_rus_suspended,3,0.0,0.0,0.0,-0.015340169270833334,-0.01959228515625,-0.00762939453125
CLS,baseline,7,covid_political,3,0.0,0.0,0.0,-0.009927066755883581,-0.01787369339554412,0.0018821998878761903
CLS,baseline,7,election2020,3,0.0,0.0,0.0,0.00128173828125,-0.00115966796875,0.00494384765625
CLS,baseline,7,facebook_page_reference,3,0.0,0.0,0.0,-0.022172292073567707,-0.0316009521484375,-0.013347625732421875
CLS,baseline,7,twibot20,3,0.0,0.0,0.0,-0.018541053489402493,-0.03610377841525603,-0.005791982014974106
CLS,baseline,7,ukr_rus_suspended,3,0.0,0.0,0.0,-0.0499267578125,-0.06085205078125,-0.0401611328125
CLS,baseline,8,covid_political,3,0.0,0.0,0.0,-0.006376949357397928,-0.007844995569299962,-0.0036146375868055802
CLS,baseline,8,election2020,3,0.0,0.0,0.0,-0.001007080078125,-0.00262451171875,0.00189208984375
CLS,baseline,8,facebook_page_reference,3,0.0,0.0,0.0,0.025260289510091145,0.0132598876953125,0.0318450927734375
CLS,baseline,8,twibot20,3,0.0,0.0,0.0,-0.017949139630353012,-0.01905144585503482,-0.01655493842230893
CLS,baseline,8,ukr_rus_suspended,3,0.0,0.0,0.0,-0.02081298828125,-0.02459716796875,-0.0174560546875
CLS,composition,1,covid_political,3,-0.004140406479070324,-0.010901557074653012,0.0010048195167822183,0.0,0.0,0.0
CLS,composition,1,election2020,3,-0.0008341471354166666,-0.00225830078125,0.0013427734375,0.0,0.0,0.0
CLS,composition,1,facebook_page_reference,3,0.007303873697916667,-0.007114410400390625,0.016117095947265625,0.0,0.0,0.0
CLS,composition,1,twibot20,3,0.004046828658492485,-0.02775065104166663,0.027718014187282924,0.0,0.0,0.0
CLS,composition,1,ukr_rus_suspended,3,-0.015950520833333332,-0.02435302734375,-0.00335693359375,0.0,0.0,0.0
CLS,composition,2,covid_political,3,-0.008846706814236013,-0.020681310583043788,0.003737555609809151,-0.006589630503713306,-0.02179181134259267,0.007820129394531361
CLS,composition,2,election2020,3,-0.0020548502604166665,-0.0069580078125,0.0030517578125,-0.0019327799479166667,-0.00433349609375,-0.000732421875
CLS,composition,2,facebook_page_reference,3,0.014170964558919271,0.003490447998046875,0.034694671630859375,0.008232752482096354,-0.0068798065185546875,0.019496917724609375
CLS,composition,2,twibot20,3,-0.005123420997902195,-0.018597708808051228,0.00700463189019096,-0.034724200213396984,-0.04357931349012589,-0.025540033976236942
CLS,composition,2,ukr_rus_suspended,3,-0.0509033203125,-0.090576171875,-0.02325439453125,-0.0413818359375,-0.05596923828125,-0.01629638671875
CLS,composition,3,covid_political,3,-0.004721559124228262,-0.013099952980323848,0.00892300075954866,-0.014448095251012686,-0.02335103352864587,-0.00713122332537619
CLS,composition,3,election2020,3,-0.002716064453125,-0.00634765625,-0.000457763671875,-0.0025736490885416665,-0.0042724609375,0.000701904296875
CLS,composition,3,facebook_page_reference,3,-0.021692911783854168,-0.032825469970703125,-0.006504058837890625,-0.01556396484375,-0.0301971435546875,0.000217437744140625
CLS,composition,3,twibot20,3,-0.02220612985116462,-0.04338900248209632,-0.005164252387152679,-0.04091439423737705,-0.050221337212456585,-0.02917310926649319
CLS,composition,3,ukr_rus_suspended,3,0.005106608072916667,-0.04010009765625,0.0543212890625,-0.0052490234375,-0.01580810546875,0.00262451171875
CLS,composition,4,covid_political,3,-0.014854902102623599,-0.02328547724971064,-0.0021009091977721717,-0.01914893256293415,-0.03538597954644118,-0.0022532145182292407
CLS,composition,4,election2020,3,-0.000946044921875,-0.00262451171875,0.001373291015625,-0.0021769205729166665,-0.003662109375,0.00030517578125
CLS,composition,4,facebook_page_reference,3,-0.0071074167887369795,-0.0172882080078125,0.0033893585205078125,-0.004175821940104167,-0.01465606689453125,0.0074615478515625
CLS,composition,4,twibot20,3,-0.0029491848415798736,-0.0229930877685548,0.009225209554036495,-0.022335052490234375,-0.03712399800618493,-0.0039172702365450895
CLS,composition,4,ukr_rus_suspended,3,0.00311279296875,-0.01080322265625,0.02825927734375,-0.009785970052083334,-0.03668212890625,0.01544189453125
CLS,composition,5,covid_political,3,-0.017678343219521664,-0.02553106237340841,-0.01351504855685759,-0.022865012839988503,-0.03035736083984364,-0.017671938295718004
CLS,composition,5,election2020,3,-0.00019327799479166666,-0.006134033203125,0.00286865234375,0.003662109375,-0.0050048828125,0.00830078125
CLS,composition,5,facebook_page_reference,3,-0.022589365641276043,-0.048419952392578125,-0.005283355712890625,-0.032880147298177086,-0.06349563598632812,-0.00412750244140625
CLS,composition,5,twibot20,3,0.017006556193033855,-0.012788348727756138,0.033958858913845535,-0.015328371966326674,-0.02761247422960067,0.00444708930121529
CLS,composition,5,ukr_rus_suspended,3,-0.006062825520833333,-0.029296875,0.0162353515625,-0.004659016927083333,-0.02392578125,0.01141357421875
CLS,composition,6,covid_political,3,-0.0229954660674672,-0.0395341096100984,-0.0121626677336516,-0.024266843442563617,-0.03835268373842604,-0.010377954553674629
CLS,composition,6,election2020,3,0.002410888671875,-0.002593994140625,0.005218505859375,0.0028076171875,-0.001953125,0.00592041015625
CLS,composition,6,facebook_page_reference,3,-0.01727294921875,-0.0309600830078125,0.00472259521484375,-0.030928293863932293,-0.042835235595703125,-0.01680755615234375
CLS,composition,6,twibot20,3,0.03811186331289792,0.004234525892469643,0.06291071573893237,-0.005301228276005469,-0.025130165947808147,0.019708209567599888
CLS,composition,6,ukr_rus_suspended,3,0.006368001302083333,-0.00457763671875,0.01702880859375,0.006978352864583333,-0.0040283203125,0.02337646484375
CLS,composition,7,covid_political,3,-0.021926503122588776,-0.02671672679759829,-0.015516775625723622,-0.027713163399402035,-0.04559523970992463,-0.01840492531105342
CLS,composition,7,election2020,3,0.0009765625,-0.0013427734375,0.004150390625,0.0030924479166666665,-0.00115966796875,0.005859375
CLS,composition,7,facebook_page_reference,3,0.014062245686848959,-0.01239013671875,0.029571533203125,-0.015413920084635416,-0.01862335205078125,-0.0126800537109375
CLS,composition,7,twibot20,3,0.008704079522026897,-0.00025155809190535727,0.021394729614257812,-0.01388380262586808,-0.028540929158528794,-0.004505793253580692
CLS,composition,7,ukr_rus_suspended,3,0.032877604166666664,0.02569580078125,0.03936767578125,-0.0010986328125,-0.01812744140625,0.0098876953125
CLS,composition,8,covid_political,3,-0.023077505606192112,-0.03180101182725703,-0.005990770128038281,-0.025314048484519718,-0.04029054994936321,-0.007080925835503682
CLS,composition,8,election2020,3,0.003448486328125,-0.0018310546875,0.0098876953125,0.0032755533854166665,0.0015869140625,0.00592041015625
CLS,composition,8,facebook_page_reference,3,-0.01631609598795573,-0.0325164794921875,-0.0066471099853515625,0.00164031982421875,-0.013580322265625,0.010589599609375
CLS,composition,8,twibot20,3,-0.0069103240966796875,-0.011474821302625893,0.0017299652099609375,-0.028906292385525185,-0.05824428134494364,0.0002095964219835933
CLS,composition,8,ukr_rus_suspended,3,0.03131103515625,0.0238037109375,0.03741455078125,0.026448567708333332,0.0025634765625,0.03961181640625
CLS,exposure,1,covid_political,3,-0.005811338071470014,-0.008423134132668042,-0.002450165925202419,0.0,0.0,0.0
CLS,exposure,1,election2020,3,-0.0004475911458333333,-0.00250244140625,0.0013427734375,0.0,0.0,0.0
CLS,exposure,1,facebook_page_reference,3,0.0034968058268229165,-0.01250457763671875,0.01651763916015625,0.0,0.0,0.0
CLS,exposure,1,twibot20,3,-0.008572684393988691,-0.031079398261176228,0.011965009901258705,0.0,0.0,0.0
CLS,exposure,1,ukr_rus_suspended,3,-0.035237630208333336,-0.04327392578125,-0.02984619140625,0.0,0.0,0.0
CLS,exposure,2,covid_political,3,-0.0023993032949940485,-0.0033981888382521586,-0.0006569756401908489,0.0015287046079283477,-0.004583005551938801,0.008221944173177453
CLS,exposure,2,election2020,3,-3.0517578125e-05,-0.000823974609375,0.00140380859375,-0.0002950032552083333,-0.00274658203125,0.00146484375
CLS,exposure,2,facebook_page_reference,3,0.012933731079101562,0.0015411376953125,0.03496742248535156,0.010802586873372396,-0.00931549072265625,0.03776741027832031
CLS,exposure,2,twibot20,3,0.013674771344220201,0.001593059963650223,0.03353479173448348,-0.003306494818793415,-0.020059797498914844,0.007229910956488617
CLS,exposure,2,ukr_rus_suspended,3,-0.012654622395833334,-0.014892578125,-0.01068115234375,0.016153971354166668,0.00030517578125,0.0377197265625
CLS,exposure,3,covid_political,3,0.011806346752025557,0.0006722344292535709,0.02187206127025476,0.0037507422176408234,0.002549348054108558,0.005363464355468972
CLS,exposure,3,election2020,3,-0.0006815592447916666,-0.003997802734375,0.00140380859375,-0.0009256998697916666,-0.002960205078125,0.00030517578125
CLS,exposure,3,facebook_page_reference,3,-0.014418284098307291,-0.026866912841796875,0.00067138671875,-0.004482269287109375,-0.009937286376953125,0.00390625
CLS,exposure,3,twibot20,3,-0.01733419630262578,-0.018669552273220424,-0.01498582628038192,-0.023422947636357033,-0.04765129089355469,0.00014750162760424068
CLS,exposure,3,ukr_rus_suspended,3,-0.0018310546875,-0.0294189453125,0.03411865234375,0.007100423177083333,0.00103759765625,0.01715087890625
CLS,exposure,4,covid_political,3,0.005378534764419259,-0.0026038840964985877,0.016118084942852717,0.002755435896508396,-0.00016389069733824257,0.008439523202401822
CLS,exposure,4,election2020,3,0.001953125,-0.0035400390625,0.004730224609375,0.000335693359375,-0.000244140625,0.001190185546875
CLS,exposure,4,facebook_page_reference,3,-0.0021724700927734375,-0.017528533935546875,0.0188140869140625,0.004566192626953125,-0.01529693603515625,0.020107269287109375
CLS,exposure,4,twibot20,3,-0.00935688725224256,-0.01740519205729174,0.005070368448893192,-0.016123241848415886,-0.027218924628363728,7.014804416227705e-05
CLS,exposure,4,ukr_rus_suspended,3,-0.013081868489583334,-0.0269775390625,-0.0045166015625,-0.006693522135416667,-0.03277587890625,0.00750732421875
CLS,exposure,5,covid_political,3,0.004145869502314843,-0.005792688440393601,0.01233729609736689,0.0006301314742476934,-0.009550023961950371,0.008632236056857812
CLS,exposure,5,election2020,3,-0.004282633463541667,-0.005859375,-0.00323486328125,-0.0008138020833333334,-0.00244140625,0.001220703125
CLS,exposure,5,facebook_page_reference,3,0.020451863606770832,0.00286865234375,0.03765106201171875,0.013968149820963541,-0.0095672607421875,0.046112060546875
CLS,exposure,5,twibot20,3,0.010458981549298288,-0.005308363172743191,0.019000795152452343,-0.009256433557581064,-0.019231372409396874,0.008265813191731808
CLS,exposure,5,ukr_rus_suspended,3,-0.007670084635416667,-0.0137939453125,-0.002685546875,0.013020833333333334,0.002197265625,0.029541015625
CLS,exposure,6,covid_political,3,0.0012235288266781996,-0.005564654314959561,0.01387193467881942,0.0016230830439814732,-0.004457544397424962,0.009530244050202641
CLS,exposure,6,election2020,3,-0.0023091634114583335,-0.003997802734375,-0.001251220703125,-0.0022989908854166665,-0.00396728515625,0.00048828125
CLS,exposure,6,facebook_page_reference,3,0.022660573323567707,0.006511688232421875,0.049304962158203125,0.012812296549479166,0.00707244873046875,0.02032470703125
CLS,exposure,6,twibot20,3,0.010609874018916407,-0.01385752360026049,0.025698979695638058,-0.020183704517505802,-0.03086853027343761,-0.004437552558051117
CLS,exposure,6,ukr_rus_suspended,3,-0.005574544270833333,-0.01708984375,0.01446533203125,0.014322916666666666,0.00738525390625,0.02471923828125
CLS,exposure,7,covid_political,3,0.002729627821180506,-0.00789670591001157,0.01575130886501752,-0.0013861008632330603,-0.0050322921187792025,0.004438329626012982
CLS,exposure,7,election2020,3,-0.0011800130208333333,-0.00567626953125,0.002685546875,0.00054931640625,-0.0020751953125,0.00201416015625
CLS,exposure,7,facebook_page_reference,3,0.0395819346110026,0.032257080078125,0.047885894775390625,0.013912836710611979,0.009799957275390625,0.019506454467773438
CLS,exposure,7,twibot20,3,-0.00946143821433735,-0.033991919623481026,0.007779227362738839,-0.019429807309751152,-0.039016299777560826,-0.009295357598198661
CLS,exposure,7,ukr_rus_suspended,3,0.026814778645833332,0.0191650390625,0.0369873046875,0.012125651041666666,0.0067138671875,0.01806640625
CLS,exposure,8,covid_political,3,-0.0038422007619598095,-0.01250090422453698,0.006898668077257031,-0.004407812047887723,-0.01174898500795718,0.005614386664496651
CLS,exposure,8,election2020,3,-7.120768229166667e-05,-0.00372314453125,0.002899169921875,-0.0006306966145833334,-0.003173828125,0.00079345703125
CLS,exposure,8,facebook_page_reference,3,-0.010341008504231771,-0.023019790649414062,0.009265899658203125,0.011422475179036459,-0.008861541748046875,0.027080535888671875
CLS,exposure,8,twibot20,3,0.003119292082609896,-0.018101586235894196,0.028323279486762054,-0.006257163153754426,-0.01250118679470491,-0.002693176269531472
CLS,exposure,8,ukr_rus_suspended,3,-0.007486979166666667,-0.03302001953125,0.0111083984375,0.006937662760416667,-0.01434326171875,0.02056884765625
CLS,objective,1,covid_political,3,-0.003205946934076128,-0.008011994538484002,0.0035903365523726194,0.0,0.0,0.0
CLS,objective,1,election2020,3,0.001953125,0.00091552734375,0.00262451171875,0.0,0.0,0.0
CLS,objective,1,facebook_page_reference,3,0.0007565816243489584,-0.0125732421875,0.011749267578125,0.0,0.0,0.0
CLS,objective,1,twibot20,3,-0.020367516411675373,-0.04779540167914498,-0.005844116210937722,0.0,0.0,0.0
CLS,objective,1,ukr_rus_suspended,3,-0.028422037760416668,-0.03717041015625,-0.0208740234375,0.0,0.0,0.0
CLS,objective,2,covid_political,3,-0.00707687566309793,-0.01663942690248843,-0.002167595757378349,-0.00575425889756942,-0.01542578803168404,-0.0006063955801504095
CLS,objective,2,election2020,3,-0.0013020833333333333,-0.002197265625,0.0,-0.00396728515625,-0.00506591796875,-0.00299072265625
CLS,objective,2,facebook_page_reference,3,0.009396870930989584,0.00580596923828125,0.014862060546875,0.010005950927734375,0.000682830810546875,0.017730712890625
CLS,objective,2,twibot20,3,-0.00031068589952254477,-0.007884979248046875,0.011115815904405468,-0.0054971200448494795,-0.012821833292643192,0.00898912217881942
CLS,objective,2,ukr_rus_suspended,3,0.0023396809895833335,-0.000244140625,0.007080078125,0.024332682291666668,0.010009765625,0.0391845703125
CLS,objective,3,covid_political,3,0.005432976616753571,-0.0005900065104166297,0.012944539388020981,-0.00522801905502505,-0.00604982729311343,-0.0036349826388888395
CLS,objective,3,election2020,3,-0.0003255208333333333,-0.0020751953125,0.00115966796875,-0.0029703776041666665,-0.00482177734375,-0.00115966796875
CLS,objective,3,facebook_page_reference,3,-0.005751291910807292,-0.009368896484375,0.001270294189453125,0.006924947102864583,-0.00457000732421875,0.01346588134765625
CLS,objective,3,twibot20,3,0.0066942992033782,0.0010286966959635047,0.010613759358723995,0.012400379887333631,-0.000881195068359264,0.020705117119683036
CLS,objective,3,ukr_rus_suspended,3,-0.005208333333333333,-0.052734375,0.02203369140625,-0.0030924479166666665,-0.02557373046875,0.017333984375
CLS,objective,4,covid_political,3,0.005589708869839931,-0.0074646561234081865,0.02148804841218155,0.00036121886453518065,-0.0065722995334199785,0.00795208966290517
CLS,objective,4,election2020,3,-3.0517578125e-05,-0.001678466796875,0.001983642578125,-0.004048665364583333,-0.004638671875,-0.003509521484375
CLS,objective,4,facebook_page_reference,3,-0.0076974232991536455,-0.011730194091796875,-0.00508880615234375,0.001781463623046875,-0.004730224609375,0.010486602783203125
CLS,objective,4,twibot20,3,0.004857663755063617,-0.009728961520724888,0.01670583089192701,0.009886141176576971,-0.0008860694037542416,0.023608101738823772
CLS,objective,4,ukr_rus_suspended,3,-0.0035603841145833335,-0.025146484375,0.026611328125,-0.003987630208333333,-0.0244140625,0.0169677734375
CLS,objective,5,covid_political,3,0.0030843475718558278,-0.0019474735966433787,0.00657851607711224,-0.003036781593605209,-0.0033617372866030504,-0.0027898152669270093
CLS,objective,5,election2020,3,-0.0029195149739583335,-0.0045166015625,-0.001190185546875,-0.0018513997395833333,-0.00213623046875,-0.0013427734375
CLS,objective,5,facebook_page_reference,3,0.0068206787109375,0.003238677978515625,0.0102386474609375,0.0030771891276041665,-0.00372314453125,0.011768341064453125
CLS,objective,5,twibot20,3,0.004054458053023735,-0.002635108100043526,0.010716968112521763,-0.003866125036168936,-0.008389790852864398,0.00258551703559029
CLS,objective,5,ukr_rus_suspended,3,-0.009053548177083334,-0.04925537109375,0.0162353515625,0.00482177734375,-0.0185546875,0.03125
CLS,objective,6,covid_political,3,0.003242398485725236,-0.002387717918113541,0.006675437644675819,0.0010365615656346232,-0.007817303692853161,0.009461579499421391
CLS,objective,6,election2020,3,0.000640869140625,-0.001739501953125,0.002716064453125,-0.0017496744791666667,-0.00238037109375,-0.00091552734375
CLS,objective,6,facebook_page_reference,3,-0.0023403167724609375,-0.021488189697265625,0.03341484069824219,-0.009448369344075521,-0.017543792724609375,-8.20159912109375e-05
CLS,objective,6,twibot20,3,0.01441715381763605,-0.0022710164388020093,0.023493025037977455,-0.0045815927010994795,-0.015265358818901786,0.0030574798583985485
CLS,objective,6,ukr_rus_suspended,3,-0.0205078125,-0.04278564453125,0.012939453125,-0.007425944010416667,-0.0303955078125,0.03131103515625
CLS,objective,7,covid_political,3,0.0026251710491415428,-0.007343998661747619,0.01489709924768512,-0.00409594877266591,-0.006566930700231621,-0.00026561595775442814
CLS,objective,7,election2020,3,-0.000640869140625,-0.0052490234375,0.002471923828125,-0.001312255859375,-0.001708984375,-0.001007080078125
CLS,objective,7,facebook_page_reference,3,-0.0010197957356770833,-0.009693145751953125,0.009296417236328125,-0.02394866943359375,-0.035980224609375,-0.007144927978515625
CLS,objective,7,twibot20,3,0.006866455078125,-0.005771001180012947,0.01941341824001741,0.008692918000397879,0.0006925794813366082,0.019465552435981026
CLS,objective,7,ukr_rus_suspended,3,0.010233561197916666,-0.00274658203125,0.0296630859375,-0.011271158854166666,-0.0306396484375,0.0167236328125
CLS,objective,8,covid_political,3,0.001152321144386681,-0.004362600821035789,0.004347624602141442,-0.0020186812789351194,-0.007087707519531139,0.0038127192744501492
CLS,objective,8,election2020,3,0.0006917317708333334,-0.00323486328125,0.003631591796875,-0.0022684733072916665,-0.003570556640625,-0.0009765625
CLS,objective,8,facebook_page_reference,3,-0.0029729207356770835,-0.0150299072265625,0.0044231414794921875,0.021530787150065105,-0.004863739013671875,0.04610633850097656
CLS,objective,8,twibot20,3,0.011635038587782106,0.010109159681532032,0.01465776231553828,0.014053415369104464,-0.003069135877821094,0.04134962293836808
CLS,objective,8,ukr_rus_suspended,3,-0.0089111328125,-0.03173828125,0.01416015625,-0.0013020833333333333,-0.0191650390625,0.0146484375
CLS,schedule,1,covid_political,3,-0.0020639866958431416,-0.009551719382957624,0.0018302069769965401,0.0,0.0,0.0
CLS,schedule,1,election2020,3,0.0010579427083333333,-0.00140380859375,0.0025634765625,0.0,0.0,0.0
CLS,schedule,1,facebook_page_reference,3,0.001796722412109375,-0.002742767333984375,0.00649261474609375,0.0,0.0,0.0
CLS,schedule,1,twibot20,3,0.0063643278899016,-0.03268623352050781,0.037420060899522656,0.0,0.0,0.0
CLS,schedule,1,ukr_rus_suspended,3,0.0035603841145833335,-0.01239013671875,0.02264404296875,0.0,0.0,0.0
CLS,schedule,2,covid_political,3,-0.0048274287471064365,-0.012245178222656361,-0.0010325113932289076,-0.004646772219810913,-0.008970755117911011,0.0015281394675927817
CLS,schedule,2,election2020,3,-0.0011393229166666667,-0.00445556640625,0.00054931640625,-0.0029093424479166665,-0.0045166015625,-0.00201416015625
CLS,schedule,2,facebook_page_reference,3,0.02187347412109375,0.0044403076171875,0.040386199951171875,0.021442413330078125,0.006839752197265625,0.029041290283203125
CLS,schedule,2,twibot20,3,0.0025885546648944193,0.00038676791720915205,0.006336424085829018,-0.029329723782009487,-0.04596731397840703,-0.013709598117404465
CLS,schedule,2,ukr_rus_suspended,3,-0.01959228515625,-0.0406494140625,0.00372314453125,-0.029581705729166668,-0.03631591796875,-0.02252197265625
CLS,schedule,3,covid_political,3,0.00373962779103972,-0.00404923050491901,0.00991114863642939,-0.008063328118971888,-0.009248804163049962,-0.007448267053674851
CLS,schedule,3,election2020,3,-0.001220703125,-0.00225830078125,6.103515625e-05,-0.0029703776041666665,-0.0054931640625,-0.00128173828125
CLS,schedule,3,facebook_page_reference,3,-0.0025202433268229165,-0.022449493408203125,0.020893096923828125,0.009115854899088541,-0.00301361083984375,0.029544830322265625
CLS,schedule,3,twibot20,3,-0.004462771945529427,-0.038658565945095424,0.019550959269205803,-0.025488535563150966,-0.06386523776584196,-0.0004531012641058041
CLS,schedule,3,ukr_rus_suspended,3,0.001220703125,-0.02056884765625,0.0223388671875,-0.028645833333333332,-0.04327392578125,-0.01715087890625
CLS,schedule,4,covid_political,3,-0.0023227267795138395,-0.016497294108072547,0.005894978841145759,-0.008693177023051576,-0.01466736970124416,0.0021319919162328116
CLS,schedule,4,election2020,3,0.0012410481770833333,-0.00048828125,0.002685546875,-0.0018819173177083333,-0.003814697265625,0.00042724609375
CLS,schedule,4,facebook_page_reference,3,-0.01693407694498698,-0.0188751220703125,-0.013200759887695312,-0.008495330810546875,-0.017597198486328125,0.002765655517578125
CLS,schedule,4,twibot20,3,0.0024907853868272323,-0.011701371934678684,0.012017567952473884,-0.019212581493236385,-0.04038683573404933,0.0038106706407334823
CLS,schedule,4,ukr_rus_suspended,3,-0.006693522135416667,-0.048095703125,0.03753662109375,-0.039103190104166664,-0.06884765625,-0.01837158203125
CLS,schedule,5,covid_political,3,-0.004430135091145797,-0.010490700050636348,0.001860724555121429,-0.011693224494839819,-0.01584173131872102,-0.006539803964120239
CLS,schedule,5,election2020,3,-0.0038350423177083335,-0.00640869140625,-0.00244140625,-0.0018717447916666667,-0.00274658203125,-0.0010986328125
CLS,schedule,5,facebook_page_reference,3,-0.03258387247721354,-0.05933380126953125,-0.01522064208984375,-0.03736750284830729,-0.05554962158203125,-0.020904541015625
CLS,schedule,5,twibot20,3,0.010266551265010082,-0.020554860432942745,0.03360430399576819,-0.02438587612575956,-0.03700849745008694,-0.005705727471245647
CLS,schedule,5,ukr_rus_suspended,3,0.0006306966145833334,-0.02374267578125,0.01861572265625,-0.017476399739583332,-0.04913330078125,-0.00054931640625
CLS,schedule,6,covid_political,3,-0.0038653715157216015,-0.012862876609520013,0.00900974980107061,-0.007213168674045201,-0.010916250723379761,-0.0034222073025174105
CLS,schedule,6,election2020,3,0.001068115234375,-0.004425048828125,0.004058837890625,-0.00042724609375,-0.0050048828125,0.00311279296875
CLS,schedule,6,facebook_page_reference,3,-0.02893384297688802,-0.06807136535644531,0.00685882568359375,-0.03708203633626302,-0.06752586364746094,-0.01214599609375
CLS,schedule,6,twibot20,3,-0.008235436898690662,-0.029253853691948772,0.0062870449490017855,-0.05396602771900316,-0.07018894619411897,-0.03903452555338538
CLS,schedule,6,ukr_rus_suspended,3,-0.014241536458333334,-0.0384521484375,0.00970458984375,-0.03314208984375,-0.0687255859375,-0.01031494140625
CLS,schedule,7,covid_political,3,-0.007645218460648214,-0.03376713505497675,0.005758497450086608,-0.015508298520688654,-0.0337151421440971,0.0015205100730614207
CLS,schedule,7,election2020,3,0.0024617513020833335,-0.00262451171875,0.00537109375,0.002685546875,0.00030517578125,0.0048828125
CLS,schedule,7,facebook_page_reference,3,-0.007872263590494791,-0.024768829345703125,0.016155242919921875,-0.031841278076171875,-0.0435943603515625,-0.017086029052734375
CLS,schedule,7,twibot20,3,-0.012262980143229166,-0.03890503777398002,0.008189943101670982,-0.03716836152253326,-0.059056176079644085,0.004772398206922768
CLS,schedule,7,ukr_rus_suspended,3,0.026041666666666668,0.0089111328125,0.0386962890625,-0.027445475260416668,-0.03955078125,-0.0186767578125
CLS,schedule,8,covid_political,3,-0.010010330765335565,-0.029905248571325038,0.0035058480721933405,-0.014323293426890352,-0.03535009313512716,0.005386352539062722
CLS,schedule,8,election2020,3,0.0013631184895833333,0.00103759765625,0.00177001953125,-0.000701904296875,-0.004150390625,0.00164794921875
CLS,schedule,8,facebook_page_reference,3,-0.0399627685546875,-0.06519699096679688,-0.025453567504882812,-0.01649920145670573,-0.034992218017578125,0.004180908203125
CLS,schedule,8,twibot20,3,-0.019062466091579838,-0.07425117492675781,0.012472576565212723,-0.04337593361183445,-0.05811987982855893,-0.028819402058919197
