model_id,checkpoint_sha256_nm,checkpoint_step_nm,training_revision_nm,sources_nm,checkpoint_sha256_cls,checkpoint_step_cls,training_revision_cls,sources_cls
nmi_objective_r3_s0,7ac59081b00f7396bd8012c2f8e0c6982c254d8f9e997aee9b4b19f7371202c4,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm",7ac59081b00f7396bd8012c2f8e0c6982c254d8f9e997aee9b4b19f7371202c4,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm"
nmi_objective_r4_s0,5293a9b96aa97d4a84ec26c862e0d2e5b4660a5be49c43dfa672a5a40c3a5163,6000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political",5293a9b96aa97d4a84ec26c862e0d2e5b4660a5be49c43dfa672a5a40c3a5163,6000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political"
nmi_objective_r5_s0,057ed204c945b96392db37af50d8c6ade3dea31834b6fce9786e42ca960c6676,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020",057ed204c945b96392db37af50d8c6ade3dea31834b6fce9786e42ca960c6676,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020"
nmi_objective_r6_s0,a17f5078b572a2fdc90d8ac8f709fe7dff7060ec9ce369fe564bf6cf0dff4aca,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",a17f5078b572a2fdc90d8ac8f709fe7dff7060ec9ce369fe564bf6cf0dff4aca,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended"
nmi_objective_r7_s0,d08d96c4df6dd9fd40d6cb9798d62302942c887b2c5d08b2c02c02e69cd21c97,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk",d08d96c4df6dd9fd40d6cb9798d62302942c887b2c5d08b2c02c02e69cd21c97,8000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk"
nmi_objective_r8_s0,1e6a97d9345b7a7116887613d193e454afa51d1a3f2795536915b9608817161c,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",1e6a97d9345b7a7116887613d193e454afa51d1a3f2795536915b9608817161c,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference"
nmi_schedule_r1_s0,5fe498d749adcffb0b3a5338f8c2966bf4ef3cbce0b8dd3624b5e9931ab55747,10000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus,5fe498d749adcffb0b3a5338f8c2966bf4ef3cbce0b8dd3624b5e9931ab55747,10000,6260524ef6a5833ea1628712e901904db5fb5b75,ukr_rus
nmi_schedule_r2_s0,e62665a8193a532a475de7e2a982cc86ee90915bbdc95df917473212a9e7d78c,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid",e62665a8193a532a475de7e2a982cc86ee90915bbdc95df917473212a9e7d78c,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid"
nmi_schedule_r3_s0,41e64c4784c5cde1005101f21c74580a3b9d32d131f895df72f741c9005f8ca5,6000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm",41e64c4784c5cde1005101f21c74580a3b9d32d131f895df72f741c9005f8ca5,6000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm"
nmi_schedule_r4_s0,5bd6565a916ea293ed2047e1c52151a906fc86107ada615d7b45f779d0cfb319,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political",5bd6565a916ea293ed2047e1c52151a906fc86107ada615d7b45f779d0cfb319,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political"
nmi_schedule_r5_s0,31cafc3c5e8d5859feea8a2c17fe5fccbb1c6df98baf532ff17d1f9517ca43d9,4000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020",31cafc3c5e8d5859feea8a2c17fe5fccbb1c6df98baf532ff17d1f9517ca43d9,4000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020"
nmi_schedule_r6_s0,4a0113703cf6ddfd351463977a28d72dd32a5f3dfcfd0f7651e1e43e24fb3bb3,4000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",4a0113703cf6ddfd351463977a28d72dd32a5f3dfcfd0f7651e1e43e24fb3bb3,4000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended"
nmi_schedule_r7_s0,ed92e4ca8182cba842e70316597cf923e10953570f2e6547e14b5c2094988ef6,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk",ed92e4ca8182cba842e70316597cf923e10953570f2e6547e14b5c2094988ef6,10000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk"
nmi_schedule_r8_s0,355a393a0f0dfbf93e5f8151a8e8798798d5cf5ab5c0e5185baf398294631671,6000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",355a393a0f0dfbf93e5f8151a8e8798798d5cf5ab5c0e5185baf398294631671,6000,6260524ef6a5833ea1628712e901904db5fb5b75,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference"
nmi_baseline_r1_s1,4cc9cb910da07b063d7688848573d8a4720049f3047a12f69e15e9fc17cb0172,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,ukr_rus,4cc9cb910da07b063d7688848573d8a4720049f3047a12f69e15e9fc17cb0172,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,ukr_rus
nmi_baseline_r1_s2,3bad18d8ecea8561f2f44af853c1d503541e90d4d39e9e1cbe92af8e4d324639,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,ukr_rus,3bad18d8ecea8561f2f44af853c1d503541e90d4d39e9e1cbe92af8e4d324639,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,ukr_rus
nmi_baseline_r2_s1,cacfe7c2910e61b7515a003fb6f32907db6d17be9fe2862cdffe50a09ae450b8,6000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid",cacfe7c2910e61b7515a003fb6f32907db6d17be9fe2862cdffe50a09ae450b8,6000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid"
nmi_baseline_r2_s2,24099e260f8c39f5e6f03417d2a2b256388adcdfbad5a28bfd8afde489cdaa33,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid",24099e260f8c39f5e6f03417d2a2b256388adcdfbad5a28bfd8afde489cdaa33,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid"
nmi_baseline_r3_s1,8ecb95612e4b837f614371675473c7374bb4b1bd4426d4e7c67fc65ed2187a1e,4000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm",8ecb95612e4b837f614371675473c7374bb4b1bd4426d4e7c67fc65ed2187a1e,4000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm"
nmi_baseline_r3_s2,5de172591c024feb51142bfb53cc39960907bc7c86337d1370812de6ff300241,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm",5de172591c024feb51142bfb53cc39960907bc7c86337d1370812de6ff300241,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm"
nmi_baseline_r4_s1,bfbdd03f595902de08f69562a067c3224497985bc7b85ce280a6b82f1002935d,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political",bfbdd03f595902de08f69562a067c3224497985bc7b85ce280a6b82f1002935d,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political"
nmi_baseline_r4_s2,205d99d5a5595fc3295ffeb623832dec2018a79ba23bbd09ffa4fc8f9b2b08a7,6000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political",205d99d5a5595fc3295ffeb623832dec2018a79ba23bbd09ffa4fc8f9b2b08a7,6000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political"
nmi_baseline_r5_s1,1157891be21d09ad2adaf8bb4f55c3f1c7ff6a1f7da5378d6af5dd980fbaa478,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020",1157891be21d09ad2adaf8bb4f55c3f1c7ff6a1f7da5378d6af5dd980fbaa478,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020"
nmi_baseline_r5_s2,104349972ab224e5f1eb837530c96711dc31874ac2feae006447bc88de145bcb,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020",104349972ab224e5f1eb837530c96711dc31874ac2feae006447bc88de145bcb,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020"
nmi_baseline_r6_s1,430bb1a1ad7d77109934e8476e427e68740469a340d83a07fffce6f00a582c5f,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",430bb1a1ad7d77109934e8476e427e68740469a340d83a07fffce6f00a582c5f,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended"
nmi_baseline_r6_s2,e8c7ea7f981b3c3d5ea5031e4b9a86ea92149fc8e4f517958d81abcf4a1cf7fd,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",e8c7ea7f981b3c3d5ea5031e4b9a86ea92149fc8e4f517958d81abcf4a1cf7fd,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended"
nmi_baseline_r7_s1,a3c39519cf1a6c7e9a7f6ce69281eea9ef006003527dd16d86e5dde81ce86697,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk",a3c39519cf1a6c7e9a7f6ce69281eea9ef006003527dd16d86e5dde81ce86697,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk"
nmi_baseline_r7_s2,a3c302f2a820c727a8caa75f6ef683f5d4857eb2b2811925c4467f08c9eaaf18,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk",a3c302f2a820c727a8caa75f6ef683f5d4857eb2b2811925c4467f08c9eaaf18,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk"
nmi_baseline_r8_s1,04f460fd149c33a6a823ff6d0731430d0e680d11585a3110cbe40ec116bb0fc1,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",04f460fd149c33a6a823ff6d0731430d0e680d11585a3110cbe40ec116bb0fc1,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference"
nmi_baseline_r8_s2,81c701ceaa57dbd2559c62a0779046320b350913e00a8288f45ee63516b56e8c,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",81c701ceaa57dbd2559c62a0779046320b350913e00a8288f45ee63516b56e8c,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference"
nmi_composition_r1_s1,84f60b5e96b9aed5042d7cdf26d4f7fab05c74aebce02b4b24c351d854996895,6000,f6593005900fead88a6a339d4c6f0e6e8ab68438,ukr_rus,84f60b5e96b9aed5042d7cdf26d4f7fab05c74aebce02b4b24c351d854996895,6000,f6593005900fead88a6a339d4c6f0e6e8ab68438,ukr_rus
nmi_composition_r1_s2,9ecb6138928f88a9a92e3c37e6e96ced463612f832b2480228ae838822569520,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,ukr_rus,9ecb6138928f88a9a92e3c37e6e96ced463612f832b2480228ae838822569520,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,ukr_rus
nmi_composition_r2_s1,6f4590a54bdbc2d8b57ac5a2f3e8a3729ee1038abe81d045107b6811d8bbf6a1,6000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid",6f4590a54bdbc2d8b57ac5a2f3e8a3729ee1038abe81d045107b6811d8bbf6a1,6000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid"
nmi_composition_r2_s2,ae055710cabedd4f82c59913f6ed6a138aebda91acee8b24cd96ea089e89e4c1,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid",ae055710cabedd4f82c59913f6ed6a138aebda91acee8b24cd96ea089e89e4c1,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid"
nmi_composition_r3_s1,9fecdf7362176cddd694bac894ff6d9b7987ce5677889bc09de300095c2495bf,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm",9fecdf7362176cddd694bac894ff6d9b7987ce5677889bc09de300095c2495bf,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm"
nmi_composition_r3_s2,e246682295a9ec8c5352b7b9d13628d0850112e1e4f49403689929f568ec2c3e,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm",e246682295a9ec8c5352b7b9d13628d0850112e1e4f49403689929f568ec2c3e,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm"
nmi_composition_r4_s1,4039c22103a58aee7c56f3090ff3c428b9b6d60917fa5b0770e3b76e974cca3d,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political",4039c22103a58aee7c56f3090ff3c428b9b6d60917fa5b0770e3b76e974cca3d,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political"
nmi_composition_r4_s2,e566df55a0229a6a08da796693c425130bf55d259ee0d770537184d20fd0c65a,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political",e566df55a0229a6a08da796693c425130bf55d259ee0d770537184d20fd0c65a,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political"
nmi_composition_r5_s1,18ce23afef95b4c1decc95003f35a4e69c854b1c7d86169dcbb5a2877ef4c541,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020",18ce23afef95b4c1decc95003f35a4e69c854b1c7d86169dcbb5a2877ef4c541,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020"
nmi_composition_r5_s2,eac46630d0c900a34b5dd4479ebf9b6bff7fb7898aea1ceb9a63046b263c8c40,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020",eac46630d0c900a34b5dd4479ebf9b6bff7fb7898aea1ceb9a63046b263c8c40,8000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020"
nmi_composition_r6_s1,d0f06d154e844a303ea9061a673ba7940b08a833b442617cdbe77c038630dc5e,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",d0f06d154e844a303ea9061a673ba7940b08a833b442617cdbe77c038630dc5e,10000,f6593005900fead88a6a339d4c6f0e6e8ab68438,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended"
