model,order,rung,training_seed,target,roc_auc,fingerprint
PRODIGY,A,5,1,election2020,0.99212646484375,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,5,1,facebook_page_reference,0.7620620727539062,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,5,1,twibot20,0.6125509474012587,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,5,1,ukr_rus_suspended,0.50067138671875,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,5,2,covid_political,0.9361529880099828,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,5,2,election2020,0.9908447265625,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,5,2,facebook_page_reference,0.7678031921386719,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,5,2,twibot20,0.5791123708089193,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,5,2,ukr_rus_suspended,0.465576171875,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,6,0,covid_political,0.9318791142216436,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,6,0,election2020,0.986572265625,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,6,0,facebook_page_reference,0.7669105529785156,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,6,0,twibot20,0.5829156239827473,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,6,0,ukr_rus_suspended,0.45697021484375,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,6,1,covid_political,0.9254989624023436,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,6,1,election2020,0.9931640625,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,6,1,facebook_page_reference,0.7460060119628906,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,6,1,twibot20,0.5999404059516059,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,6,1,ukr_rus_suspended,0.4765625,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,6,2,covid_political,0.9248202288592304,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,6,2,election2020,0.99053955078125,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,6,2,facebook_page_reference,0.7605762481689453,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,6,2,twibot20,0.6181430816650391,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,6,2,ukr_rus_suspended,0.5203857421875,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,7,0,covid_political,0.9325541743525751,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,7,0,election2020,0.993408203125,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
