source,target,roc_auc,training_seeds,model,kind,checkpoint_step
ukr_rus_suspended,covid_political,0.7981951678240741,3,SAMGPT,single source,500
ukr_rus_suspended,election2020,0.7681929976851851,3,SAMGPT,single source,500
ukr_rus_suspended,ukr_rus_suspended,0.5287181712962963,3,SAMGPT,single source,500
ukr_rus_suspended,twibot20,0.6872920283564814,3,SAMGPT,single source,500
ukr_rus_suspended,facebook_page_reference,0.7088080304285068,3,SAMGPT,single source,500
ukr_rus_twitter,covid_political,0.7298267505787037,3,SAMGPT,single source,500
ukr_rus_twitter,election2020,0.6558159722222222,3,SAMGPT,single source,500
ukr_rus_twitter,ukr_rus_suspended,0.5230396412037037,3,SAMGPT,single source,500
ukr_rus_twitter,twibot20,0.6821469907407408,3,SAMGPT,single source,500
ukr_rus_twitter,facebook_page_reference,0.7270908373576522,3,SAMGPT,single source,500
all9,covid_political,0.7591688368055555,3,SAMGPT,all-nine mixture,500
all9,election2020,0.716796875,3,SAMGPT,all-nine mixture,500
all9,ukr_rus_suspended,0.5232837818287037,3,SAMGPT,all-nine mixture,500
all9,twibot20,0.6983416521990741,3,SAMGPT,all-nine mixture,500
all9,facebook_page_reference,0.7299792319371274,3,SAMGPT,all-nine mixture,500
all9,mean,0.7611799499134959,3,PRODIGY,all-nine mixture,2500
covid,mean,0.8465337235534784,3,PRODIGY,single source,2500
covid_political,mean,0.7452358952975364,3,PRODIGY,single source,2500
cp_hk,mean,0.7576866414355135,3,PRODIGY,single source,2500
election2020,mean,0.7802115117544415,3,PRODIGY,single source,2500
facebook_page_reference,mean,0.7835232389658346,3,PRODIGY,single source,2500
midterm,mean,0.8007641725887285,3,PRODIGY,single source,2500
twibot20,mean,0.837628030850056,3,PRODIGY,single source,2500
ukr_rus,mean,0.8520444177759104,3,PRODIGY,single source,2500
ukr_rus_suspended,mean,0.7883271798502895,3,PRODIGY,single source,2500
all9,mean,0.685514075554092,3,SAMGPT,all-nine mixture,500
covid19_twitter,mean,0.6618441940054278,3,SAMGPT,single source,500
covid_political,mean,0.6695931384531981,3,SAMGPT,single source,500
cp_hk_twitter,mean,0.6677380397077213,3,SAMGPT,single source,500
election2020,mean,0.6625465457375479,3,SAMGPT,single source,500
facebook_page_reference,mean,0.7036552642913209,3,SAMGPT,single source,500
midterm,mean,0.6602150453816783,3,SAMGPT,single source,500
twibot20,mean,0.6656381684194072,3,SAMGPT,single source,500
ukr_rus_suspended,mean,0.6982412791181087,3,SAMGPT,single source,500
ukr_rus_twitter,mean,0.6635840384206045,3,SAMGPT,single source,500
all9,mean,0.7630734007044553,3,VISION,all-nine mixture,900
covid_political,mean,0.7607186116275944,1,VISION,single source,900
election2020,mean,0.7450984583455063,1,VISION,single source,900
facebook_page_reference,mean,0.7658829330636403,1,VISION,single source,900
twibot20,mean,0.7694049202585299,1,VISION,single source,900
ukr_rus,mean,0.7581464679355973,1,VISION,single source,900
ukr_rus_suspended,mean,0.7558008269209997,1,VISION,single source,900
