model,order,rung,training_seed,roc_auc,targets
SAMGPT,A,4,39,0.6472769059806034,5
SAMGPT,A,4,40,0.6700981488964719,5
SAMGPT,A,4,41,0.6505380011274744,5
SAMGPT,A,5,39,0.6499086109614464,5
SAMGPT,A,5,40,0.6677692281788794,5
SAMGPT,A,5,41,0.650978907247765,5
SAMGPT,A,6,39,0.6756455913753193,5
SAMGPT,A,6,40,0.6851599729106801,5
SAMGPT,A,6,41,0.6629478156429597,5
SAMGPT,A,7,39,0.6674246375618614,5
SAMGPT,A,7,40,0.6861366601313058,5
SAMGPT,A,7,41,0.670340917594588,5
SAMGPT,A,8,39,0.6839396813637453,5
SAMGPT,A,8,40,0.6659366144835568,5
SAMGPT,A,8,41,0.6825739156788793,5
SAMGPT,A,9,39,0.6924427906489463,5
SAMGPT,A,9,40,0.6771027211546137,5
SAMGPT,A,9,41,0.6869967148587165,5
SAMGPT,B,1,39,0.7022839714040549,5
SAMGPT,B,1,40,0.6927167207954182,5
SAMGPT,B,1,41,0.6997231451548531,5
SAMGPT,B,2,39,0.6871630485213123,5
SAMGPT,B,2,40,0.7073107801025703,5
SAMGPT,B,2,41,0.6889812195681674,5
SAMGPT,B,3,39,0.6868633261494252,5
SAMGPT,B,3,40,0.6893969071779215,5
SAMGPT,B,3,41,0.6792430518139367,5
SAMGPT,B,4,39,0.7081514906609195,5
SAMGPT,B,4,40,0.7103383857658845,5
SAMGPT,B,4,41,0.6868101577466476,5
SAMGPT,B,5,39,0.7103862909582535,5
SAMGPT,B,5,40,0.6808642702845625,5
SAMGPT,B,5,41,0.6880941503532088,5
SAMGPT,B,6,39,0.6966462499002235,5
SAMGPT,B,6,40,0.6910526545537995,5
SAMGPT,B,6,41,0.6804913306693008,5
SAMGPT,B,7,39,0.6935781536857439,5
SAMGPT,B,7,40,0.6815550915948276,5
SAMGPT,B,7,41,0.6850601153416347,5
SAMGPT,B,8,39,0.6708183294420498,5
SAMGPT,B,8,40,0.685817624770514,5
SAMGPT,B,8,41,0.6885416292504789,5
SAMGPT,B,9,39,0.6924427906489463,5
SAMGPT,B,9,40,0.6771027211546137,5
SAMGPT,B,9,41,0.6869967148587165,5
SAMGPT,C,1,39,0.6569221319244891,5
SAMGPT,C,1,40,0.6684036820023149,5
SAMGPT,C,1,41,0.6715886913314176,5
SAMGPT,C,2,39,0.6614034812021072,5
SAMGPT,C,2,40,0.6667914621248403,5
SAMGPT,C,2,41,0.6667527800227491,5
SAMGPT,C,3,39,0.6636821769236909,5
SAMGPT,C,3,40,0.6580562477550288,5
SAMGPT,C,3,41,0.6582471513809068,5
SAMGPT,C,4,39,0.649991631246009,5
SAMGPT,C,4,40,0.6716118831317848,5
SAMGPT,C,4,41,0.6523030349517083,5
SAMGPT,C,5,39,0.6483747281090357,5
SAMGPT,C,5,40,0.6643275500379151,5
SAMGPT,C,5,41,0.6555966322936622,5
SAMGPT,C,6,39,0.6660740441411239,5
SAMGPT,C,6,40,0.6797761140046296,5
SAMGPT,C,6,41,0.6577185230084611,5
SAMGPT,C,7,39,0.6589545231182152,5
SAMGPT,C,7,40,0.6714418327945403,5
SAMGPT,C,7,41,0.6615549294580141,5
SAMGPT,C,8,39,0.6737595224197797,5
SAMGPT,C,8,40,0.6632688777139208,5
SAMGPT,C,8,41,0.6720551963601533,5
SAMGPT,C,9,39,0.6924427906489463,5
SAMGPT,C,9,40,0.6771027211546137,5
SAMGPT,C,9,41,0.6869967148587165,5
VISION,A,1,0,0.7589956560210853,5
VISION,A,1,1,0.7659954379369283,5
VISION,A,1,2,0.759771593777983,5
VISION,A,3,0,0.7697064946702004,5
VISION,A,3,1,0.7720746412993587,5
VISION,A,3,2,0.774788010180348,5
VISION,A,5,0,0.7502070799745828,5
VISION,A,5,1,0.7546979062738645,5
VISION,A,5,2,0.752572135187928,5
VISION,A,7,0,0.7572027871345769,5
VISION,A,7,1,0.7622666306393644,5
VISION,A,7,2,0.754814424009971,5
VISION,A,9,0,0.7581178301508468,5
VISION,A,9,1,0.7621754629630183,5
VISION,A,9,2,0.7657562905591,5
VISION,B,1,0,0.7651861918153081,5
VISION,B,1,1,0.7643771368796818,5
VISION,B,1,2,0.764395939760307,5
VISION,B,3,0,0.7595037205982885,5
VISION,B,3,1,0.7575519009417916,5
VISION,B,3,2,0.7569806972601458,5
VISION,B,5,0,0.7680213678182282,5
VISION,B,5,1,0.765889412065031,5
VISION,B,5,2,0.7691355477181059,5
VISION,B,7,0,0.7600203392008689,5
VISION,B,7,1,0.7618775570304781,5
VISION,B,7,2,0.7527757326735954,5
VISION,B,9,0,0.7581178301508468,5
VISION,B,9,1,0.7621754629630183,5
VISION,B,9,2,0.7657562905591,5
VISION,C,1,0,0.7708184248496952,5
VISION,C,1,1,0.766064125801304,5
VISION,C,1,2,0.7690163828000915,5
VISION,C,3,0,0.7742666315287655,5
VISION,C,3,1,0.7797898230135119,5
VISION,C,3,2,0.7770937355418379,5
VISION,C,5,0,0.7638005633346798,5
VISION,C,5,1,0.7608128987520693,5
VISION,C,5,2,0.7675261141337809,5
VISION,C,7,0,0.7671890356171025,5
VISION,C,7,1,0.7655070336579376,5
VISION,C,7,2,0.7738515207002186,5
VISION,C,9,0,0.7581178301508468,5
VISION,C,9,1,0.7621754629630183,5
VISION,C,9,2,0.7657562905591,5
