target,rung,seed,method,reference,target_supported_at_0_55,delta_accuracy,delta_roc_auc,delta_nll
facebook_page_reference,4,2,trace_health_fusion,discovery_auc_fixed,True,0.041015625,0.035366058349609375,-0.13971807443490936
election2020,2,0,trace_support_loo_u1,discovery_auc_fixed,True,0.0,-0.0001220703125,0.00011721094872199633
election2020,2,1,trace_support_loo_u1,discovery_auc_fixed,True,0.0,-0.00091552734375,0.037155420770794576
election2020,2,2,trace_support_loo_u1,discovery_auc_fixed,True,0.0,6.103515625e-05,-2.567572064829382e-05
election2020,3,0,trace_support_loo_u1,discovery_auc_fixed,True,0.0,-0.0050048828125,0.05936851566720075
election2020,3,1,trace_support_loo_u1,discovery_auc_fixed,True,-0.00390625,-0.0003662109375,0.024087725630968213
election2020,3,2,trace_support_loo_u1,discovery_auc_fixed,True,0.00390625,-0.00439453125,0.041731253160045154
election2020,4,0,trace_support_loo_u1,discovery_auc_fixed,True,0.0,0.00067138671875,-0.024494285163707052
election2020,4,1,trace_support_loo_u1,discovery_auc_fixed,True,0.0,0.00048828125,-8.5862843909143e-05
election2020,4,2,trace_support_loo_u1,discovery_auc_fixed,True,0.0,0.00201416015625,0.033397245451026014
ukr_rus_suspended,2,0,trace_support_loo_u1,discovery_auc_fixed,False,-0.01953125,-0.01129150390625,0.028354575791914804
ukr_rus_suspended,2,1,trace_support_loo_u1,discovery_auc_fixed,False,-0.0390625,-0.01922607421875,0.043669593625400904
ukr_rus_suspended,2,2,trace_support_loo_u1,discovery_auc_fixed,False,0.05078125,0.0078125,-0.0025397982443817746
ukr_rus_suspended,3,0,trace_support_loo_u1,discovery_auc_fixed,False,0.00390625,-0.00567626953125,0.03301353415977293
ukr_rus_suspended,3,1,trace_support_loo_u1,discovery_auc_fixed,False,-0.0390625,-0.01177978515625,0.04276565426210599
ukr_rus_suspended,3,2,trace_support_loo_u1,discovery_auc_fixed,False,0.0,0.01953125,-0.004103614377157339
ukr_rus_suspended,4,0,trace_support_loo_u1,discovery_auc_fixed,False,0.02734375,0.0228271484375,-0.22717555732596972
ukr_rus_suspended,4,1,trace_support_loo_u1,discovery_auc_fixed,False,-0.01953125,-0.00238037109375,0.013287732447850531
ukr_rus_suspended,4,2,trace_support_loo_u1,discovery_auc_fixed,False,-0.00390625,0.0125732421875,-0.02714132101826161
twibot20,2,0,trace_support_loo_u1,discovery_auc_fixed,True,0.01725260416666674,0.004344092475043304,0.023778441622947177
twibot20,2,1,trace_support_loo_u1,discovery_auc_fixed,True,0.00618489583333337,-0.004217995537651897,0.0752360031246947
twibot20,2,2,trace_support_loo_u1,discovery_auc_fixed,True,0.0032552083333333703,-0.009840859307183036,0.034476643249712335
twibot20,3,0,trace_support_loo_u1,discovery_auc_fixed,True,0.00553385416666663,-0.015075895521375893,0.09636979175781113
twibot20,3,1,trace_support_loo_u1,discovery_auc_fixed,True,0.00813802083333337,-0.013181686401367299,0.08414635682012384
twibot20,3,2,trace_support_loo_u1,discovery_auc_fixed,True,0.00813802083333337,-0.005944357977973103,0.049093885885334476
twibot20,4,0,trace_support_loo_u1,discovery_auc_fixed,True,-0.0032552083333333703,-0.028235117594401005,0.40259684511789484
twibot20,4,1,trace_support_loo_u1,discovery_auc_fixed,True,-0.0087890625,-0.021269692314995647,0.0490121548190281
twibot20,4,2,trace_support_loo_u1,discovery_auc_fixed,True,0.03059895833333337,0.0018304189046224328,-0.04837828544145928
covid_political,2,0,trace_support_loo_u1,discovery_auc_fixed,True,0.00748697916666663,-0.00024979202835639924,-0.014757565032452291
