dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
covid19_twitter,sequential__nm_ladder_seq_h2m_r7,degree_matched,encoder_cosine,0.8059836734693877,0.8110884131725687,1.0,1,2800,1400,0.505564125,0.9995,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r7,random,encoder_cosine,0.8206576530612245,0.829880845081128,1.0,1,2800,1400,0.496289375,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r7,hard_2hop,encoder_cosine,0.6999058673469388,0.6772751033998288,0.84,-1,2800,1400,0.5094755,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r8,degree_matched,encoder_cosine,0.707534693877551,0.6846538936669186,0.82,1,2800,1400,0.503894375,0.9995,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r8,random,encoder_cosine,0.6746321428571429,0.6296732847317742,0.7,1,2800,1400,0.501914,0.99975,0.0
covid19_twitter,sequential__nm_ladder_seq_h2m_r8,hard_2hop,encoder_cosine,0.8216454081632653,0.8066467546640138,1.0,-1,2800,1400,0.50012575,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r1,degree_matched,encoder_cosine,0.8788540816326531,0.8745202030859959,0.98,1,2800,1400,0.504843,0.9995,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r1,random,encoder_cosine,0.8725584183673469,0.8692251072972571,0.96,1,2800,1400,0.503152,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r1,hard_2hop,encoder_cosine,0.6455612244897959,0.5998325958824543,0.7,-1,2800,1400,0.50306525,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r2,degree_matched,encoder_cosine,0.8937390306122449,0.8806154139656762,0.96,1,2800,1400,0.50027,0.9995,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r2,random,encoder_cosine,0.8849232142857143,0.8722167501114645,0.96,1,2800,1400,0.50612325,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r2,hard_2hop,encoder_cosine,0.7213887755102041,0.6533648654866335,0.62,-1,2800,1400,0.50435075,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r3,degree_matched,encoder_cosine,0.8838520408163265,0.8842080846198971,0.94,1,2800,1400,0.503570375,0.9995,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r3,random,encoder_cosine,0.8791951530612245,0.8843036536597112,0.96,1,2800,1400,0.50237375,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r3,hard_2hop,encoder_cosine,0.6470375,0.6063052270997221,0.78,-1,2800,1400,0.5081295,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r4,degree_matched,encoder_cosine,0.8559770408163265,0.8545792667337673,0.94,1,2800,1400,0.49446575,0.9995,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r4,random,encoder_cosine,0.855811224489796,0.8581591593091323,1.0,1,2800,1400,0.498896,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r4,hard_2hop,encoder_cosine,0.7117586734693877,0.6674987772110819,0.8,-1,2800,1400,0.500355875,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r5,degree_matched,encoder_cosine,0.8537867346938776,0.8561642447260689,0.98,1,2800,1400,0.50791675,0.9995,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r5,random,encoder_cosine,0.8345551020408163,0.8396615356403845,0.96,1,2800,1400,0.506451625,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r5,hard_2hop,encoder_cosine,0.6355147959183673,0.6063637780009639,0.68,-1,2800,1400,0.50830725,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r6,degree_matched,encoder_cosine,0.8492780612244898,0.8503274612683575,0.96,1,2800,1400,0.49636925,0.9995,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r6,random,encoder_cosine,0.8480071428571428,0.8604323346696786,0.94,1,2800,1400,0.49877175,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r6,hard_2hop,encoder_cosine,0.6864451530612244,0.6587610272347212,0.94,-1,2800,1400,0.503929125,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r7,degree_matched,encoder_cosine,0.856084693877551,0.8607639647780115,0.98,1,2800,1400,0.502442125,0.9995,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r7,random,encoder_cosine,0.8575979591836734,0.8625765443964599,0.96,1,2800,1400,0.5022025,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r7,hard_2hop,encoder_cosine,0.6591173469387756,0.6249801857028426,0.82,-1,2800,1400,0.500667,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r8,degree_matched,encoder_cosine,0.8571117346938776,0.8571711044700077,0.96,1,2800,1400,0.507484375,0.9995,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r8,random,encoder_cosine,0.8525219387755102,0.8558676916081552,0.96,1,2800,1400,0.50588975,0.99975,0.0
covid19_twitter,split__nm_ladder_tts_h2m_r8,hard_2hop,encoder_cosine,0.6680765306122449,0.6323693054571502,0.84,-1,2800,1400,0.503482875,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r1,degree_matched,encoder_cosine,0.8591387755102041,0.8418452052769495,0.94,1,2800,1400,0.50287,0.9995,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r1,random,encoder_cosine,0.851544387755102,0.8383175364281096,0.96,1,2800,1400,0.5102295,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r1,hard_2hop,encoder_cosine,0.7536918367346939,0.6984017672146043,0.82,-1,2800,1400,0.504217375,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r2,degree_matched,encoder_cosine,0.9002556122448979,0.8920853341081426,0.94,1,2800,1400,0.50539825,0.9995,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r2,random,encoder_cosine,0.8991885204081632,0.895875890856022,0.96,1,2800,1400,0.50971825,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r2,hard_2hop,encoder_cosine,0.6719987244897959,0.6098900400250212,0.7,-1,2800,1400,0.5110515,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r3,degree_matched,encoder_cosine,0.8852497448979592,0.8800438767481245,0.94,1,2800,1400,0.499220625,0.9995,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r3,random,encoder_cosine,0.8795709183673469,0.8778854508147627,0.96,1,2800,1400,0.5025695,0.99975,0.0
