dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
cp_hk_twitter,split__nm_ladder_tts_h2m_r2,hard_2hop,encoder_cosine,0.7851025510204082,0.702455237285521,0.72,-1,2800,1400,0.51392925,0.9997496871088861,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r3,degree_matched,encoder_cosine,0.5636576530612245,0.5156308945648723,0.3,1,2800,1400,0.50298225,0.9994988724630418,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r3,random,encoder_cosine,0.7465,0.6815784439106493,0.54,1,2800,1400,0.51786825,0.9987487487487487,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r3,hard_2hop,encoder_cosine,0.7323607142857143,0.6721947774746212,0.82,-1,2800,1400,0.51253,0.9997496871088861,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r4,degree_matched,encoder_cosine,0.5405954081632653,0.5014160428225659,0.34,1,2800,1400,0.5030315,0.9994988724630418,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r4,random,encoder_cosine,0.6995992346938775,0.6324691680549366,0.54,1,2800,1400,0.522529625,0.9987487487487487,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r4,hard_2hop,encoder_cosine,0.8183377551020408,0.7634790101443458,0.94,-1,2800,1400,0.51500625,0.9997496871088861,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r5,degree_matched,encoder_cosine,0.5613446428571428,0.5207214983655434,0.32,1,2800,1400,0.50081825,0.9994988724630418,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r5,random,encoder_cosine,0.7093048469387755,0.6488333145477335,0.52,1,2800,1400,0.516752375,0.9987487487487487,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r5,hard_2hop,encoder_cosine,0.7460864795918367,0.6934604143212335,0.9,-1,2800,1400,0.511882125,0.9997496871088861,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r6,degree_matched,encoder_cosine,0.5536744897959184,0.5154654936559435,0.34,1,2800,1400,0.4973915,0.9994988724630418,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r6,random,encoder_cosine,0.6973252551020408,0.637426580275952,0.56,1,2800,1400,0.515661125,0.9987487487487487,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r6,hard_2hop,encoder_cosine,0.786161224489796,0.731118988599739,0.94,-1,2800,1400,0.510863375,0.9997496871088861,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r7,degree_matched,encoder_cosine,0.5483739795918368,0.5113864444523967,0.34,1,2800,1400,0.5020855,0.9994988724630418,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r7,random,encoder_cosine,0.7202053571428572,0.6611894415355906,0.54,1,2800,1400,0.518617875,0.9987487487487487,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r7,hard_2hop,encoder_cosine,0.770229081632653,0.7164650555601694,0.9,-1,2800,1400,0.5111005,0.9997496871088861,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r8,degree_matched,encoder_cosine,0.5617392857142857,0.5162011969858785,0.36,1,2800,1400,0.4993505,0.9994988724630418,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r8,random,encoder_cosine,0.7137617346938776,0.6425704431545711,0.46,1,2800,1400,0.5128275,0.9987487487487487,0.0
cp_hk_twitter,split__nm_ladder_tts_h2m_r8,hard_2hop,encoder_cosine,0.7385563775510204,0.6954254685172211,0.98,-1,2800,1400,0.512349125,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r1,degree_matched,encoder_cosine,0.5557650510204082,0.5071091304746663,0.34,1,2800,1400,0.500277625,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r1,random,encoder_cosine,0.6493818877551021,0.5731825786135685,0.52,1,2800,1400,0.51925775,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r1,hard_2hop,encoder_cosine,0.8442122448979592,0.777539652610842,0.82,-1,2800,1400,0.504887,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r2,degree_matched,encoder_cosine,0.5661872448979591,0.5138376732109072,0.28,1,2800,1400,0.5013775,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r2,random,encoder_cosine,0.7345048469387755,0.6576033890846678,0.48,1,2800,1400,0.517884375,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r2,hard_2hop,encoder_cosine,0.778020918367347,0.6958989097028743,0.78,-1,2800,1400,0.511855375,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r3,degree_matched,encoder_cosine,0.5569122448979592,0.5092515506853669,0.28,1,2800,1400,0.499811,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r3,random,encoder_cosine,0.7262645408163265,0.6535775561707151,0.44,1,2800,1400,0.5179305,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r3,hard_2hop,encoder_cosine,0.7704862244897959,0.7068767658023237,0.9,-1,2800,1400,0.513432375,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r4,degree_matched,encoder_cosine,0.5694489795918367,0.5245340166489462,0.34,1,2800,1400,0.5020185,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r4,random,encoder_cosine,0.7281668367346938,0.6636490618931126,0.46,1,2800,1400,0.5170955,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r4,hard_2hop,encoder_cosine,0.7417926020408163,0.6796397886244976,0.88,-1,2800,1400,0.50985,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r5,degree_matched,encoder_cosine,0.5678209183673469,0.521622906888211,0.32,1,2800,1400,0.500633875,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r5,random,encoder_cosine,0.7137191326530612,0.648515819197698,0.48,1,2800,1400,0.512445,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r5,hard_2hop,encoder_cosine,0.7400755102040817,0.6895759661685614,0.92,-1,2800,1400,0.513493375,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r6,degree_matched,encoder_cosine,0.5475316326530613,0.5092487664884517,0.3,1,2800,1400,0.502650875,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r6,random,encoder_cosine,0.7245354591836735,0.6630482453416832,0.52,1,2800,1400,0.51530375,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r6,hard_2hop,encoder_cosine,0.7496321428571429,0.7078726944814606,0.96,-1,2800,1400,0.513816125,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r7,degree_matched,encoder_cosine,0.5549857142857143,0.511255535125433,0.28,1,2800,1400,0.502042375,0.9994988724630418,0.0
