run_id,display_name,state,dataset,task_name,prefix,pretrained_model_run,n_shots,n_way,n_query,zero_shot,test_accuracy,train_accuracy,test_f1,test_roc_auc,created_at,steps,tags,train1_dataset,train1_task,eval1_task,shot_label,eval1_dataset,trained_on_display_name,month/day,trained_on_n_way,trained_on_n_query,trained_on_n_shots,trained_on_steps,auc
0mpwb58z,train3_exp3_covid_nm_to_ukr_rus_nm_to_midterm_nm_28_04_2026_07_05_55,crashed,midterm,neighbor_matching,train3_exp3_covid_nm_to_ukr_rus_nm_to_midterm_nm,/scratch1/singhama/data/experiments/exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26/checkpoint/state_dict_30000.ckpt,3,3,24,False,0.8438388888888889,,0.843843672968756,0.9676111052083334,2026-04-28 14:05:58+00:00,7508.0,[],,,nm,3,midterm,scratch1,4/28,,,,,0.9676111052083334
f06oha4l,train3_exp14_ukr_rus_nm_to_midterm_nm_to_ukr_rus_suspended_nm_28_04_2026_07_05_55,failed,ukr_rus_suspended,neighbor_matching,train3_exp14_ukr_rus_nm_to_midterm_nm_to_ukr_rus_suspended_nm,/scratch1/singhama/data/experiments/exp14_train2_ukr_rus_nm_to_midterm_nm_23_04_2026_13_26_26/checkpoint/state_dict_12000.ckpt,3,3,12,False,,,,,2026-04-28 14:05:57+00:00,,[],,,nm,3,ukr_rus_suspended,scratch1,4/28,,,,,
j2xt5bbt,train3_exp2_midterm_nm_to_ukr_rus_nm_to_ukr_rus_suspended_nm_28_04_2026_07_05_55,crashed,ukr_rus_suspended,neighbor_matching,train3_exp2_midterm_nm_to_ukr_rus_nm_to_ukr_rus_suspended_nm,/scratch1/singhama/data/experiments/exp2_train2_midterm_nm_to_ukr_rus_nm_16_04_2026_10_32_38/checkpoint/state_dict_27000.ckpt,3,3,12,False,0.7889333333333334,,0.7889129465205013,0.9364147680555556,2026-04-28 14:05:57+00:00,10000.0,[],,,nm,3,ukr_rus_suspended,scratch1,4/28,,,,,0.9364147680555556
fh8g4zdt,train3_exp15_ukr_rus_nm_to_covid_nm_to_midterm_nm_28_04_2026_07_05_55,failed,midterm,neighbor_matching,train3_exp15_ukr_rus_nm_to_covid_nm_to_midterm_nm,/scratch1/singhama/data/experiments/exp15_train2_ukr_rus_nm_to_covid_nm_23_04_2026_13_33_55/state_dict,3,3,24,False,,,,,2026-04-28 14:05:57+00:00,,[],,,nm,3,midterm,scratch1,4/28,,,,,
frly8dvx,train3_exp14_ukr_rus_nm_to_midterm_nm_to_covid_political_nm_28_04_2026_07_05_55,failed,covid_political,neighbor_matching,train3_exp14_ukr_rus_nm_to_midterm_nm_to_covid_political_nm,/scratch1/singhama/data/experiments/exp14_train2_ukr_rus_nm_to_midterm_nm_23_04_2026_13_26_26/checkpoint/state_dict_12000.ckpt,3,3,12,False,,,,,2026-04-28 14:05:57+00:00,,[],,,nm,3,covid_political,scratch1,4/28,,,,,
gg89ct84,train3_exp15_ukr_rus_nm_to_covid_nm_to_election2020_nm_28_04_2026_07_05_55,failed,election2020,neighbor_matching,train3_exp15_ukr_rus_nm_to_covid_nm_to_election2020_nm,/scratch1/singhama/data/experiments/exp15_train2_ukr_rus_nm_to_covid_nm_23_04_2026_13_33_55/state_dict,3,3,12,False,,,,,2026-04-28 14:05:57+00:00,,[],,,nm,3,election2020,scratch1,4/28,,,,,
hfq51c76,train3_exp14_ukr_rus_nm_to_midterm_nm_to_election2020_nm_28_04_2026_07_05_55,failed,election2020,neighbor_matching,train3_exp14_ukr_rus_nm_to_midterm_nm_to_election2020_nm,/scratch1/singhama/data/experiments/exp14_train2_ukr_rus_nm_to_midterm_nm_23_04_2026_13_26_26/checkpoint/state_dict_12000.ckpt,3,3,12,False,,,,,2026-04-28 14:05:57+00:00,,[],,,nm,3,election2020,scratch1,4/28,,,,,
t22kt9om,train3_exp1_midterm_nm_to_covid_nm_to_ukr_rus_suspended_nm_28_04_2026_07_05_55,crashed,ukr_rus_suspended,neighbor_matching,train3_exp1_midterm_nm_to_covid_nm_to_ukr_rus_suspended_nm,/scratch1/singhama/data/experiments/train2_midterm_nm_to_covid_nm_16_04_2026_10_07_00/state_dict,3,3,12,False,0.7911333333333334,,0.7911320118756318,0.9372272123148148,2026-04-28 14:05:57+00:00,10000.0,[],,,nm,3,ukr_rus_suspended,scratch1,4/28,,,,,0.9372272123148148
jtls2m8q,train3_exp15_ukr_rus_nm_to_covid_nm_to_ukr_rus_suspended_nm_28_04_2026_07_05_55,failed,ukr_rus_suspended,neighbor_matching,train3_exp15_ukr_rus_nm_to_covid_nm_to_ukr_rus_suspended_nm,/scratch1/singhama/data/experiments/exp15_train2_ukr_rus_nm_to_covid_nm_23_04_2026_13_33_55/state_dict,3,3,12,False,,,,,2026-04-28 14:05:57+00:00,,[],,,nm,3,ukr_rus_suspended,scratch1,4/28,,,,,
m6jipnm4,train3_exp2_midterm_nm_to_ukr_rus_nm_to_election2020_nm_28_04_2026_07_05_55,crashed,election2020,neighbor_matching,train3_exp2_midterm_nm_to_ukr_rus_nm_to_election2020_nm,/scratch1/singhama/data/experiments/exp2_train2_midterm_nm_to_ukr_rus_nm_16_04_2026_10_32_38/checkpoint/state_dict_27000.ckpt,3,3,12,False,0.6745,,0.6744526529132067,0.8858951932407407,2026-04-28 14:05:57+00:00,3848.0,[],,,nm,3,election2020,scratch1,4/28,,,,,0.8858951932407407
pzvm9jp3,train3_exp13_covid_nm_to_midterm_nm_to_election2020_nm_28_04_2026_07_05_55,failed,election2020,neighbor_matching,train3_exp13_covid_nm_to_midterm_nm_to_election2020_nm,/scratch1/singhama/data/experiments/exp13_train2_covid_nm_to_midterm_nm_23_04_2026_13_24_00/checkpoint/state_dict_15000.ckpt,3,3,12,False,,,,,2026-04-28 14:05:57+00:00,,[],,,nm,3,election2020,scratch1,4/28,,,,,
rp4yrj89,train3_exp13_covid_nm_to_midterm_nm_to_ukr_rus_suspended_nm_28_04_2026_07_05_55,failed,ukr_rus_suspended,neighbor_matching,train3_exp13_covid_nm_to_midterm_nm_to_ukr_rus_suspended_nm,/scratch1/singhama/data/experiments/exp13_train2_covid_nm_to_midterm_nm_23_04_2026_13_24_00/checkpoint/state_dict_15000.ckpt,3,3,12,False,,,,,2026-04-28 14:05:57+00:00,,[],,,nm,3,ukr_rus_suspended,scratch1,4/28,,,,,
vpikgap0,train3_exp2_midterm_nm_to_ukr_rus_nm_to_covid_political_nm_28_04_2026_07_05_55,crashed,covid_political,neighbor_matching,train3_exp2_midterm_nm_to_ukr_rus_nm_to_covid_political_nm,/scratch1/singhama/data/experiments/exp2_train2_midterm_nm_to_ukr_rus_nm_16_04_2026_10_32_38/checkpoint/state_dict_27000.ckpt,3,3,12,False,0.7564222222222222,,0.7564300277509437,0.9297820441666668,2026-04-28 14:05:57+00:00,8551.0,[],,,nm,3,covid_political,scratch1,4/28,,,,,0.9297820441666668
drmpty3z,train3_exp1_midterm_nm_to_covid_nm_to_covid_political_nm_28_04_2026_07_05_55,crashed,covid_political,neighbor_matching,train3_exp1_midterm_nm_to_covid_nm_to_covid_political_nm,/scratch1/singhama/data/experiments/train2_midterm_nm_to_covid_nm_16_04_2026_10_07_00/state_dict,3,3,12,False,0.7559444444444444,,0.7559131982696354,0.9297234662037036,2026-04-28 14:05:57+00:00,8019.0,['train3_v1'],,,nm,3,covid_political,scratch1,4/28,,,,,0.9297234662037036
