auxiliary_loss_active,auxiliary_parameters,frozen_label_parameters,initialization_seconds,job_seconds,loop_seconds,model_id,model_parameters,optimizer_parameter_slots,peak_allocated_bytes,physical_gpu,selected_step,stop_reason,training_and_cache_seconds,training_steps,validation_inference_seconds
False,263168,256000,1.4924118518829346,508.5811219215393,496.08655977249146,nmi_eligibility_r3_s0,1640514,1647682,464664576,3,6000,validation_plateau,507.0887100696564,10000,11.425053596496582
False,263168,256000,1.2227375507354736,418.809143781662,406.1040530204773,nmi_positives_r3_s0,1640514,1647682,476482048,3,8000,validation_plateau,417.5864062309265,8000,7.5893144607543945
False,263168,256000,1.248847246170044,429.0966820716858,416.9115023612976,nmi_negatives_r3_s0,1640514,1647682,486738944,1,4000,validation_plateau,427.84783482551575,8000,7.8883092403411865
False,263168,256000,1.202594518661499,538.7020890712738,526.6845169067383,nmi_context_r3_s0,1640514,1647682,504172032,1,8000,validation_plateau,537.4994945526123,10000,9.288455486297607
False,263168,256000,1.2910487651824951,665.3196308612823,652.942551612854,nmi_optimization_r3_s0,1640514,1647682,479817216,2,8000,cap,664.0285820960999,10000,13.86843204498291
False,263168,256000,1.2615587711334229,538.9398519992828,526.6938438415527,nmi_alignment_r3_s0,1640514,1647682,475589632,1,10000,cap,537.6782932281494,10000,11.402977705001831
False,263168,256000,1.2266507148742676,573.2661085128784,560.6642446517944,nmi_sharing_r3_s0,1654338,1661506,532916224,2,4000,validation_plateau,572.0394577980042,8000,9.063336849212646
False,656640,512000,1.2594103813171387,532.2943606376648,519.8790957927704,nmi_capacity_r3_s0,4860034,5004674,786078208,1,10000,cap,531.0349502563477,10000,8.836643934249878
True,263168,256000,1.1476497650146484,523.3076798915863,511.3511965274811,nmi_objective_r3_s0,1640514,1647682,533836288,3,8000,cap,522.1600301265717,10000,8.467350244522095
False,263168,256000,1.1905548572540283,325.5007884502411,313.40467834472656,nmi_region_adaptive_r3_s0,1640514,1647682,484956160,3,4000,validation_plateau,324.31023359298706,6000,5.436617612838745
False,263168,256000,1.2532250881195068,515.1166944503784,502.87467885017395,nmi_coverage_r3_s0,1640514,1647682,476014080,3,10000,cap,513.8634693622589,10000,10.58799695968628
False,263168,256000,1.2486381530761719,265.03812623023987,252.879802942276,nmi_budget_r3_s0,1640514,1647682,475589632,2,2000,cap,263.7894880771637,3750,6.4227094650268555
False,263168,256000,1.206451416015625,514.1374521255493,499.22352743148804,nmi_baseline_r4_s0,1640514,1647682,476455936,3,10000,cap,512.9310007095337,10000,12.801347970962524
False,263168,256000,1.1873564720153809,510.26375555992126,495.98198890686035,nmi_exposure_r4_s0,1640514,1647682,475148288,2,8000,validation_plateau,509.0763990879059,8000,13.979199886322021
False,263168,256000,1.206305980682373,495.15201807022095,481.1294631958008,nmi_schedule_r4_s0,1640514,1647682,476653056,1,10000,cap,493.9457120895386,10000,9.749053478240967
False,263168,256000,1.2343246936798096,621.8614253997803,607.5521790981293,nmi_composition_r4_s0,1640514,1647682,448756736,3,8000,cap,620.6271007061005,10000,18.628224849700928
False,263168,256000,1.3046178817749023,448.4216561317444,434.2330219745636,nmi_centers_r4_s0,1640514,1647682,485143552,2,4000,validation_plateau,447.1170382499695,8000,10.131056547164917
False,263168,256000,1.2023544311523438,382.39390802383423,368.480899810791,nmi_eligibility_r4_s0,1640514,1647682,469689344,1,4000,validation_plateau,381.1915535926819,8000,8.875061511993408
False,263168,256000,1.250769853591919,506.9152340888977,492.5508530139923,nmi_positives_r4_s0,1640514,1647682,476869632,1,10000,cap,505.6644642353058,10000,11.619927883148193
False,263168,256000,2.134216070175171,514.5367267131805,499.68552803993225,nmi_negatives_r4_s0,1640514,1647682,488367616,1,6000,validation_plateau,512.4025106430054,10000,11.958826065063477
False,263168,256000,1.160750150680542,697.2495958805084,683.0313231945038,nmi_context_r4_s0,1640514,1647682,504686592,3,6000,validation_plateau,696.0888457298279,10000,18.396726846694946
False,263168,256000,1.3229057788848877,517.045444726944,502.05260729789734,nmi_optimization_r4_s0,1640514,1647682,480683520,2,10000,cap,515.7225389480591,10000,12.317091941833496
False,263168,256000,1.322859525680542,427.9027099609375,413.74931836128235,nmi_alignment_r4_s0,1640514,1647682,476041216,2,8000,validation_plateau,426.57985043525696,8000,11.749431848526001
False,263168,256000,1.1703517436981201,485.9357650279999,471.6579203605652,nmi_sharing_r4_s0,1654338,1661506,533678080,3,4000,validation_plateau,484.76541328430176,6000,11.194080114364624
False,656640,512000,1.4451885223388672,586.2295475006104,571.3592827320099,nmi_capacity_r4_s0,4860034,5004674,785081344,3,4000,validation_plateau,584.7843589782715,8000,14.16166877746582
True,263168,256000,1.4447271823883057,544.0429272651672,528.4728693962097,nmi_objective_r4_s0,1640514,1647682,534807040,2,6000,validation_plateau,542.5982000827789,10000,13.182109832763672
False,263168,256000,1.2161941528320312,560.5148694515228,546.0902235507965,nmi_region_adaptive_r4_s0,1640514,1647682,486331392,1,6000,validation_plateau,559.2986752986908,10000,15.421655893325806
False,263168,256000,1.2216215133666992,538.1747965812683,524.0078995227814,nmi_coverage_r4_s0,1640514,1647682,473997312,1,8000,cap,536.9531750679016,10000,12.733514308929443
False,263168,256000,1.2539584636688232,276.76452803611755,262.6694872379303,nmi_budget_r4_s0,1640514,1647682,476455936,2,5000,cap,275.51056957244873,5000,8.250904083251953
False,263168,256000,1.2804722785949707,613.6166265010834,596.8248958587646,nmi_baseline_r5_s0,1640514,1647682,492000256,3,10000,cap,612.3361542224884,10000,15.79802918434143
False,263168,256000,1.2107923030853271,576.0124442577362,559.3350007534027,nmi_exposure_r5_s0,1640514,1647682,488598016,2,10000,cap,574.8016519546509,10000,20.472360134124756
False,263168,256000,1.3126428127288818,483.4823009967804,466.30705285072327,nmi_schedule_r5_s0,1640514,1647682,495181824,1,4000,validation_plateau,482.1696581840515,8000,14.279066324234009
False,263168,256000,1.2225828170776367,655.4094998836517,638.5462329387665,nmi_composition_r5_s0,1640514,1647682,464160768,1,10000,cap,654.1869170665741,10000,23.76563262939453
False,263168,256000,1.3085885047912598,572.9226343631744,555.1314034461975,nmi_centers_r5_s0,1640514,1647682,503817728,2,6000,validation_plateau,571.6140458583832,10000,17.568965673446655
False,263168,256000,1.2085413932800293,463.0308873653412,446.3987464904785,nmi_eligibility_r5_s0,1640514,1647682,491420672,3,8000,validation_plateau,461.82234597206116,8000,14.93794298171997
False,263168,256000,1.2549703121185303,559.1333708763123,542.280510187149,nmi_positives_r5_s0,1640514,1647682,490168320,2,6000,validation_plateau,557.8784005641937,10000,18.59567928314209
False,263168,256000,1.2172174453735352,360.52135181427,343.6599290370941,nmi_negatives_r5_s0,1640514,1647682,506156544,3,4000,validation_plateau,359.3041343688965,6000,11.137464761734009
False,263168,256000,1.2347831726074219,479.65128326416016,462.790967464447,nmi_context_r5_s0,1640514,1647682,511666176,2,4000,validation_plateau,478.41650009155273,8000,17.282983779907227
False,263168,256000,1.2856764793395996,586.9278793334961,569.6185829639435,nmi_optimization_r5_s0,1640514,1647682,496227840,3,10000,cap,585.6422028541565,10000,19.86535120010376
False,263168,256000,1.2737648487091064,792.0902483463287,775.3895242214203,nmi_alignment_r5_s0,1640514,1647682,492000256,1,10000,cap,790.8164834976196,10000,26.44210958480835
False,263168,256000,1.348428726196289,813.3802859783173,795.3759729862213,nmi_sharing_r5_s0,1654338,1661506,551806976,1,6000,validation_plateau,812.031857252121,10000,16.371304750442505
False,656640,512000,1.4163479804992676,763.8355247974396,746.2437901496887,nmi_capacity_r5_s0,4860034,5004674,805378048,1,8000,cap,762.4191768169403,10000,20.038119792938232
True,263168,256000,1.220712423324585,561.8376860618591,545.3004562854767,nmi_objective_r5_s0,1640514,1647682,553766400,2,10000,cap,560.6169736385345,10000,15.072743654251099
False,263168,256000,1.364018201828003,486.63621830940247,469.84709215164185,nmi_region_adaptive_r5_s0,1640514,1647682,504568832,3,4000,validation_plateau,485.27220010757446,8000,16.707332372665405
