consumed_episodes,exposure_episodes,model_id,source,training_steps
10000,0.0,nmi_eligibility_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_positives_r1_s0,ukr_rus,10000
10000,0.0,nmi_positives_r1_s0,covid,10000
10000,0.0,nmi_positives_r1_s0,midterm,10000
10000,0.0,nmi_positives_r1_s0,covid_political,10000
10000,0.0,nmi_positives_r1_s0,election2020,10000
10000,0.0,nmi_positives_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_positives_r1_s0,twibot20,10000
10000,0.0,nmi_positives_r1_s0,cp_hk,10000
10000,0.0,nmi_positives_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_negatives_r1_s0,ukr_rus,10000
10000,0.0,nmi_negatives_r1_s0,covid,10000
10000,0.0,nmi_negatives_r1_s0,midterm,10000
10000,0.0,nmi_negatives_r1_s0,covid_political,10000
10000,0.0,nmi_negatives_r1_s0,election2020,10000
10000,0.0,nmi_negatives_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_negatives_r1_s0,twibot20,10000
10000,0.0,nmi_negatives_r1_s0,cp_hk,10000
10000,0.0,nmi_negatives_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_context_r1_s0,ukr_rus,10000
10000,0.0,nmi_context_r1_s0,covid,10000
10000,0.0,nmi_context_r1_s0,midterm,10000
10000,0.0,nmi_context_r1_s0,covid_political,10000
10000,0.0,nmi_context_r1_s0,election2020,10000
10000,0.0,nmi_context_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_context_r1_s0,twibot20,10000
10000,0.0,nmi_context_r1_s0,cp_hk,10000
10000,0.0,nmi_context_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_optimization_r1_s0,ukr_rus,10000
10000,0.0,nmi_optimization_r1_s0,covid,10000
10000,0.0,nmi_optimization_r1_s0,midterm,10000
10000,0.0,nmi_optimization_r1_s0,covid_political,10000
10000,0.0,nmi_optimization_r1_s0,election2020,10000
10000,0.0,nmi_optimization_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_optimization_r1_s0,twibot20,10000
10000,0.0,nmi_optimization_r1_s0,cp_hk,10000
10000,0.0,nmi_optimization_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_alignment_r1_s0,ukr_rus,10000
