episodes,loss,model_id,seconds,step
900,2.5658217489719393,nmi_coverage_r8_s0,47.95568537712097,900
1000,2.450220859050751,nmi_coverage_r8_s0,52.88204336166382,1000
1100,2.44084925532341,nmi_coverage_r8_s0,57.82634520530701,1100
1200,2.2424363219738006,nmi_coverage_r8_s0,62.68573784828186,1200
1300,2.218774664402008,nmi_coverage_r8_s0,67.74895429611206,1300
1400,2.2378603792190552,nmi_coverage_r8_s0,72.75380992889404,1400
1500,2.237373982667923,nmi_coverage_r8_s0,77.6426374912262,1500
1600,2.2647506844997407,nmi_coverage_r8_s0,82.46648669242859,1600
1700,2.2009875708818436,nmi_coverage_r8_s0,87.28608727455139,1700
1800,2.236476072072983,nmi_coverage_r8_s0,92.29656171798706,1800
1900,2.1502155804634095,nmi_coverage_r8_s0,97.22300577163696,1900
2000,2.2576288270950315,nmi_coverage_r8_s0,101.87292695045471,2000
2100,2.194999564290047,nmi_coverage_r8_s0,115.96740913391113,2100
2200,2.0964737647771834,nmi_coverage_r8_s0,120.57401180267334,2200
2300,2.2943141466379164,nmi_coverage_r8_s0,125.60668063163757,2300
2400,2.2693259179592133,nmi_coverage_r8_s0,130.85683393478394,2400
2500,2.262134063243866,nmi_coverage_r8_s0,135.94495487213135,2500
2600,2.131490298509598,nmi_coverage_r8_s0,141.35108304023743,2600
2700,2.1379286283254624,nmi_coverage_r8_s0,146.4318971633911,2700
2800,2.227228983640671,nmi_coverage_r8_s0,151.7378294467926,2800
2900,2.1692992842197416,nmi_coverage_r8_s0,157.06157231330872,2900
3000,2.0570585852861405,nmi_coverage_r8_s0,162.23876023292542,3000
3100,2.2084086352586745,nmi_coverage_r8_s0,167.4095060825348,3100
3200,2.159377318620682,nmi_coverage_r8_s0,172.41769790649414,3200
3300,2.0242909669876097,nmi_coverage_r8_s0,177.42801022529602,3300
3400,2.0774791836738586,nmi_coverage_r8_s0,182.54388618469238,3400
3500,1.9954139763116836,nmi_coverage_r8_s0,187.51564288139343,3500
3600,2.1467308908700944,nmi_coverage_r8_s0,192.68461680412292,3600
3700,2.162186590433121,nmi_coverage_r8_s0,197.47945976257324,3700
3800,2.1704832392930986,nmi_coverage_r8_s0,202.3550786972046,3800
3900,2.0625744688510896,nmi_coverage_r8_s0,207.40982031822205,3900
4000,1.9224341326951981,nmi_coverage_r8_s0,212.38305807113647,4000
4100,2.1026962327957155,nmi_coverage_r8_s0,222.19327235221863,4100
4200,2.022641476392746,nmi_coverage_r8_s0,227.23107981681824,4200
4300,2.2766511565446854,nmi_coverage_r8_s0,232.00593280792236,4300
4400,2.2409035366773606,nmi_coverage_r8_s0,236.72836804389954,4400
4500,2.223311756849289,nmi_coverage_r8_s0,241.51144933700562,4500
4600,2.1373417168855666,nmi_coverage_r8_s0,246.46182918548584,4600
4700,2.269590686559677,nmi_coverage_r8_s0,251.3756513595581,4700
4800,2.3422786170244216,nmi_coverage_r8_s0,256.07256960868835,4800
4900,2.2945966506004334,nmi_coverage_r8_s0,260.99790692329407,4900
5000,2.361671180725098,nmi_coverage_r8_s0,265.9868838787079,5000
5100,2.333261265158653,nmi_coverage_r8_s0,270.9114487171173,5100
5200,2.445023232102394,nmi_coverage_r8_s0,275.9318571090698,5200
5300,2.35685246527195,nmi_coverage_r8_s0,280.85904145240784,5300
5400,2.337631458044052,nmi_coverage_r8_s0,285.62162494659424,5400
5500,2.280517866015434,nmi_coverage_r8_s0,290.4440608024597,5500
5600,2.2580802208185196,nmi_coverage_r8_s0,295.38006377220154,5600
5700,2.2233356761932375,nmi_coverage_r8_s0,300.1057119369507,5700
5800,2.3654985386133194,nmi_coverage_r8_s0,304.8300096988678,5800
5900,2.2818524101376534,nmi_coverage_r8_s0,309.6365420818329,5900
6000,2.204832420349121,nmi_coverage_r8_s0,314.2578125,6000
6100,2.20505106151104,nmi_coverage_r8_s0,323.70400762557983,6100
6200,2.2379675197601316,nmi_coverage_r8_s0,328.6726973056793,6200
6300,2.247962064743042,nmi_coverage_r8_s0,333.52279591560364,6300
6400,2.3146985840797423,nmi_coverage_r8_s0,338.47959542274475,6400
6500,2.16128949791193,nmi_coverage_r8_s0,343.32926416397095,6500
6600,2.239912601709366,nmi_coverage_r8_s0,348.2465629577637,6600
6700,2.2792325806617737,nmi_coverage_r8_s0,352.9176938533783,6700
6800,2.278804088234901,nmi_coverage_r8_s0,357.78658986091614,6800
6900,2.2660979360342024,nmi_coverage_r8_s0,362.66296672821045,6900
7000,2.2435893005132677,nmi_coverage_r8_s0,367.6063721179962,7000
7100,2.164365128874779,nmi_coverage_r8_s0,372.4809715747833,7100
7200,2.1476454561948777,nmi_coverage_r8_s0,377.11791157722473,7200
7300,2.2191315257549284,nmi_coverage_r8_s0,381.6513080596924,7300
7400,2.140828563272953,nmi_coverage_r8_s0,386.5153422355652,7400
7500,2.2039713889360426,nmi_coverage_r8_s0,391.3725402355194,7500
7600,2.0919607919454575,nmi_coverage_r8_s0,396.3190815448761,7600
7700,2.259372982382774,nmi_coverage_r8_s0,401.2209897041321,7700
7800,2.2153014659881594,nmi_coverage_r8_s0,406.11255955696106,7800
7900,2.253650401830673,nmi_coverage_r8_s0,410.7141053676605,7900
8000,2.22719125688076,nmi_coverage_r8_s0,415.5520477294922,8000
8100,2.230558881163597,nmi_coverage_r8_s0,424.7344079017639,8100
8200,2.0887745106220246,nmi_coverage_r8_s0,429.5870006084442,8200
8300,2.1112453070282937,nmi_coverage_r8_s0,434.50009655952454,8300
8400,2.0992096972465517,nmi_coverage_r8_s0,439.26454186439514,8400
8500,2.0378308954834936,nmi_coverage_r8_s0,443.956547498703,8500
8600,1.9645031398534776,nmi_coverage_r8_s0,448.60938835144043,8600
8700,2.077295575737953,nmi_coverage_r8_s0,453.389741897583,8700
8800,2.094750811457634,nmi_coverage_r8_s0,458.38662481307983,8800
8900,2.0560179603099824,nmi_coverage_r8_s0,463.3023431301117,8900
9000,2.02197025924921,nmi_coverage_r8_s0,468.2259681224823,9000
9100,2.0589439845085145,nmi_coverage_r8_s0,472.95149326324463,9100
9200,2.011580171585083,nmi_coverage_r8_s0,477.65769958496094,9200
9300,2.1944804972410203,nmi_coverage_r8_s0,482.6347110271454,9300
9400,2.017632312774658,nmi_coverage_r8_s0,487.4081223011017,9400
9500,1.8524093654751779,nmi_coverage_r8_s0,492.22344183921814,9500
9600,2.017360746264458,nmi_coverage_r8_s0,497.1397006511688,9600
9700,2.047476163804531,nmi_coverage_r8_s0,502.086501121521,9700
9800,1.9659267997741698,nmi_coverage_r8_s0,506.9331395626068,9800
9900,1.8542471998929977,nmi_coverage_r8_s0,511.8748474121094,9900
10000,1.766902553141117,nmi_coverage_r8_s0,516.6716840267181,10000
1,3.4961421489715576,nmi_budget_r8_s0,3.777740478515625,1
100,3.350549305328215,nmi_budget_r8_s0,8.955896139144897,100
200,3.2029007649421692,nmi_budget_r8_s0,14.231773853302002,200
300,3.1172602915763856,nmi_budget_r8_s0,19.027257442474365,300
400,2.8687776279449464,nmi_budget_r8_s0,23.83681321144104,400
500,2.754294695854187,nmi_budget_r8_s0,29.065094709396362,500
600,2.6035863184928894,nmi_budget_r8_s0,34.09932279586792,600
700,2.480579490661621,nmi_budget_r8_s0,39.35919141769409,700
800,2.288291119337082,nmi_budget_r8_s0,44.35654544830322,800
900,2.3459875071048737,nmi_budget_r8_s0,49.409311294555664,900
1000,2.3197273313999176,nmi_budget_r8_s0,54.32439947128296,1000
1100,2.1744172978401184,nmi_budget_r8_s0,59.58479142189026,1100
1200,2.2267576521635055,nmi_budget_r8_s0,64.64481329917908,1200
1300,2.2062574863433837,nmi_budget_r8_s0,69.82424521446228,1300
1400,2.1009944355487824,nmi_budget_r8_s0,74.74128699302673,1400
1500,2.1503152787685393,nmi_budget_r8_s0,79.84689021110535,1500
1600,2.0648265999555586,nmi_budget_r8_s0,84.77564477920532,1600
1700,2.014301117658615,nmi_budget_r8_s0,89.5754816532135,1700
1800,2.1348667764663696,nmi_budget_r8_s0,94.480548620224,1800
1900,2.0438128584623336,nmi_budget_r8_s0,99.59207916259766,1900
2000,2.1064081913232804,nmi_budget_r8_s0,104.81514811515808,2000
