arm,rung,role,roc_auc,target_count,expected_targets,complete_panel
negatives,2,unseen,0.9033486423821284,1,1,True
negatives,3,included,0.9096916460442817,3,3,True
negatives,3,not_yet_included,0.8148889583006673,5,5,True
negatives,3,unseen,0.9026225405177852,1,1,True
negatives,4,included,,1,4,False
negatives,4,unseen,0.9011050754580004,1,1,True
negatives,5,included,,1,5,False
negatives,5,unseen,0.8946177977255021,1,1,True
negatives,6,included,,1,6,False
negatives,6,unseen,0.8898444296299727,1,1,True
negatives,7,unseen,0.899947722752889,1,1,True
negatives,8,included,0.8571657065516229,8,8,True
negatives,8,unseen,0.9007795414705384,1,1,True
objective,1,included,0.9283400509549284,1,1,True
objective,1,not_yet_included,0.8422892522537845,7,7,True
objective,1,unseen,0.8980268504427766,1,1,True
objective,2,included,0.9419197871767242,2,2,True
objective,2,not_yet_included,0.8203609217629123,6,6,True
objective,2,unseen,0.9073703694617612,1,1,True
objective,3,included,,1,3,False
objective,3,unseen,0.9051405435320976,1,1,True
objective,4,included,,1,4,False
objective,4,unseen,0.9025511341533442,1,1,True
objective,5,included,,1,5,False
objective,5,unseen,0.9018448813208216,1,1,True
objective,6,included,,1,6,False
objective,6,unseen,0.8978910251595509,1,1,True
objective,7,unseen,0.8990984602906237,1,1,True
objective,8,included,0.8637258097358134,8,8,True
objective,8,unseen,0.897353387427056,1,1,True
optimization,1,included,0.9307541425200712,1,1,True
optimization,1,not_yet_included,0.8438583838332855,7,7,True
optimization,1,unseen,0.8987504538448378,1,1,True
optimization,2,included,0.9403424641181681,2,2,True
optimization,2,not_yet_included,0.8130819665289474,6,6,True
optimization,2,unseen,0.9009051301013464,1,1,True
optimization,3,included,,1,3,False
optimization,3,unseen,0.9041034960198676,1,1,True
optimization,4,included,,1,4,False
optimization,4,unseen,0.8990038542911923,1,1,True
optimization,5,included,,1,5,False
optimization,5,unseen,0.9006448695029334,1,1,True
optimization,6,included,,1,6,False
optimization,6,unseen,0.8972731403920842,1,1,True
optimization,7,unseen,0.899516535764453,1,1,True
optimization,8,included,0.8595863376540699,8,8,True
optimization,8,unseen,0.8945239648051646,1,1,True
positives,1,included,0.9234502416917648,1,1,True
positives,1,not_yet_included,0.848759074770954,7,7,True
positives,1,unseen,0.908296961619936,1,1,True
positives,2,included,0.9412906807044459,2,2,True
positives,2,not_yet_included,0.824259240303003,6,6,True
positives,2,unseen,0.9074446623352752,1,1,True
positives,3,included,0.9112375631642982,3,3,True
positives,3,not_yet_included,0.8161910864676554,5,5,True
positives,3,unseen,0.9023322521955116,1,1,True
positives,4,included,,1,4,False
positives,4,unseen,0.9029566915555932,1,1,True
positives,5,included,,1,5,False
positives,5,unseen,0.8974509748919258,1,1,True
positives,6,included,,1,6,False
positives,6,unseen,0.9004673100065911,1,1,True
positives,7,included,,1,7,False
positives,7,unseen,0.8997574939124886,1,1,True
positives,8,included,0.8602665691026326,8,8,True
positives,8,unseen,0.9016294265615532,1,1,True
region_adaptive,1,included,0.9197405179341634,1,1,True
region_adaptive,1,not_yet_included,0.84326020759119,7,7,True
region_adaptive,1,unseen,0.8976582734064125,1,1,True
region_adaptive,2,included,0.937730635788249,2,2,True
region_adaptive,2,not_yet_included,0.8191815992196401,6,6,True
region_adaptive,2,unseen,0.9019068016403023,1,1,True
