protocol,model,objective,comparison,order,source_count,previous_source_count,added_sources,model_id,physical_model_id,reference_model_id,sources,target,target_seen,role,training_seed,checkpoint_step,stream,metric,value,reference_value,gain
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",twibot20,False,unseen,1,2500,original,accuracy,0.578125,0.5856119791666666,-0.00748697916666663
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",ukr_rus_suspended,False,unseen,1,2500,original,roc_auc,0.4647216796875,0.5140380859375,-0.04931640625
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",ukr_rus_suspended,False,unseen,1,2500,original,accuracy,0.484375,0.515625,-0.03125
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",ukr_rus_suspended,False,unseen,1,2500,original,roc_auc,0.4647216796875,0.5140380859375,-0.04931640625
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",ukr_rus_suspended,False,unseen,1,2500,original,accuracy,0.484375,0.515625,-0.03125
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",covid_political,False,unseen,2,2500,original,roc_auc,0.9397031995985242,0.9429863823784722,-0.0032831827799479907
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",covid_political,False,unseen,2,2500,original,accuracy,0.8623046875,0.8987630208333334,-0.03645833333333337
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",covid_political,False,unseen,2,2500,original,roc_auc,0.9397031995985242,0.9429863823784722,-0.0032831827799479907
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",covid_political,False,unseen,2,2500,original,accuracy,0.8623046875,0.8987630208333334,-0.03645833333333337
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",election2020,False,unseen,2,2500,original,roc_auc,0.98468017578125,0.98834228515625,-0.003662109375
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",election2020,False,unseen,2,2500,original,accuracy,0.984375,0.984375,0.0
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",election2020,False,unseen,2,2500,original,roc_auc,0.98468017578125,0.98834228515625,-0.003662109375
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",election2020,False,unseen,2,2500,original,accuracy,0.984375,0.984375,0.0
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",facebook_page_reference,False,unseen,2,2500,original,roc_auc,0.7680568695068359,0.7700119018554688,-0.0019550323486328125
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",facebook_page_reference,False,unseen,2,2500,original,accuracy,0.6865234375,0.701171875,-0.0146484375
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",facebook_page_reference,False,unseen,2,2500,original,roc_auc,0.7680568695068359,0.7700119018554688,-0.0019550323486328125
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",facebook_page_reference,False,unseen,2,2500,original,accuracy,0.6865234375,0.701171875,-0.0146484375
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",twibot20,False,unseen,2,2500,original,roc_auc,0.607319090101454,0.6231765747070312,-0.015857484605577232
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",twibot20,False,unseen,2,2500,original,accuracy,0.5813802083333334,0.5944010416666666,-0.01302083333333326
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",twibot20,False,unseen,2,2500,original,roc_auc,0.607319090101454,0.6231765747070312,-0.015857484605577232
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",twibot20,False,unseen,2,2500,original,accuracy,0.5813802083333334,0.5944010416666666,-0.01302083333333326
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",ukr_rus_suspended,False,unseen,2,2500,original,roc_auc,0.477294921875,0.50250244140625,-0.02520751953125
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",ukr_rus_suspended,False,unseen,2,2500,original,accuracy,0.4921875,0.4765625,0.015625
