protocol,model,objective,model_id,sources,source_count,target,target_canonical_name,target_seen,training_seed,checkpoint_step,budget_regime,stream,schedule,episode_fingerprint,roc_auc,accuracy,source_path
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r5,"covid,covid_political,election2020,midterm,ukr_rus",5,covid_political,covid-political,True,0,2500,fixed_updates,original,native_mixture,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.9361108850549767,0.896484375,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r5,"covid,covid_political,election2020,midterm,ukr_rus",5,election2020,election2020-political,True,0,2500,fixed_updates,original,native_mixture,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.99176025390625,0.98046875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r5,"covid,covid_political,election2020,midterm,ukr_rus",5,facebook_page_reference,facebook-page-reference,False,0,2500,fixed_updates,original,native_mixture,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.7251205444335938,0.66015625,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r5,"covid,covid_political,election2020,midterm,ukr_rus",5,twibot20,twibot20,False,0,2500,fixed_updates,original,native_mixture,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.5957183837890625,0.5696614583333334,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r5,"covid,covid_political,election2020,midterm,ukr_rus",5,ukr_rus_suspended,ukraine-suspended,False,0,2500,fixed_updates,original,native_mixture,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.51611328125,0.51953125,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r6,"covid,covid_political,election2020,midterm,ukr_rus,ukr_rus_suspended",6,covid_political,covid-political,True,0,2500,fixed_updates,original,native_mixture,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.9318791142216436,0.8636067708333334,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r6,"covid,covid_political,election2020,midterm,ukr_rus,ukr_rus_suspended",6,election2020,election2020-political,True,0,2500,fixed_updates,original,native_mixture,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.986572265625,0.98046875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r6,"covid,covid_political,election2020,midterm,ukr_rus,ukr_rus_suspended",6,facebook_page_reference,facebook-page-reference,False,0,2500,fixed_updates,original,native_mixture,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.7669105529785156,0.69140625,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r6,"covid,covid_political,election2020,midterm,ukr_rus,ukr_rus_suspended",6,twibot20,twibot20,False,0,2500,fixed_updates,original,native_mixture,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.5829156239827473,0.5559895833333334,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r6,"covid,covid_political,election2020,midterm,ukr_rus,ukr_rus_suspended",6,ukr_rus_suspended,ukraine-suspended,True,0,2500,fixed_updates,original,native_mixture,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.45697021484375,0.46875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
